# Drift report generated 2025-12-30T02:27:14.376955
# Source file: /Users/andrew/repo/principles-of-faith/english/chapters/chapter7_chapter_7_jesus_the_foundation_of_our_faith.md
# Back translation: /Users/andrew/repo/kli-translation-pipeline_principles-of-faith/urdu/pipeline2/backtranslation/chapters/chapter7_chapter_7_jesus_the_foundation_of_our_faith.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9285","HIGH","Building on our study of Jesus as the Messiah, in this chapter we continue in looking at the life, person, and work of Jesus. We’ll see that Jesus is the Mediator of a new and better covenant-and that He perfectly fills the roles of Prophet, Priest, and King. It is in this New Covenant that we as believers have good standing with God and transition from a works-based covenant to a trust-based (faith-based) covenant. Finally, we will read and study the *Apostles Creed* as a way to round-out our study on Jesus.","Advancing our teaching that Jesus is the Christ, in this chapter we will continue to look at Jesus’s life, person, and work. We will see that Jesus is the mediator of a new and better covenant—and that he has perfectly filled the roles of prophet, priest, and king. In this new covenant we, as believers, are set in a right relationship with God and move from a works-based covenant to a trust-based (faith-based) covenant. Finally, to complete our teaching on Jesus, we will read and study the *Apostles’ Creed*."
"2","0.962","HIGH","## Mediator of the New Covenant","## The Mediator of the New Covenant"
"3","0.9878","HIGH","The concept of a mediator involves a go-between who bridges the gap between two parties, facilitating a relationship or agreement. In the Exodus story, Moses is the initial mediator of the covenant God established with His people. Moses received the law, offered the sacrifice (priest), called God’s people to obedience (prophet), and judged them (judge / king). In the remainder of the Old Testament after Moses, the mediating role was fulfilled through the role of the Prophet, the Levitical Priesthood, and the Judges and later Kings of the nation.","The concept of a mediator is of a go-between who bridges the gap between two parties and makes a relationship or agreement possible. In the story of Exodus, Moses is the initial mediator of the covenant that God established with his people. Moses received the Law, offered sacrifice (priest), called God’s people to obedience (prophet), and judged them (judge / king). After Moses, throughout the rest of the Old Testament this mediating role continued to be carried out through the office of the prophet, the Levitical priesthood, and the nation’s judges and later kings."
"4","0.8836","MEDIUM","Old Testament Roles of Mediators:","Mediatorial roles in the Old Testament:"
"5","0.98","HIGH","1.  **Prophet:** Prophets were God’s messengers, sent to speak His heart to the people and call them back when they wandered. Moses, for example, served as a prophet who mediated the Old Covenant by receiving the Law from God and teaching it to Israel. Prophets also foretold the coming of the Messiah and the ultimate redemption of humanity. Other prominent examples of prophet include: Isaiah, Jeremiah, Elijah, Elisha, Samuel.","1.  **Prophet:** Prophets were God’s messengers, sent to convey his heart to the people and to call them back when they strayed. For example, Moses served as a prophet who received the Law from God and, by teaching it to Israel, mediated the old covenant. The prophets also foretold the coming of the Messiah and the final salvation of humanity. Other notable examples of prophets include: Isaiah, Jeremiah, Elijah, Elisha, Samuel."
"6","0.9785","HIGH","2.  **Levitical Priesthood:** Priests acted as mediators by offering sacrifices for the atonement of sins and interceding for the people before God. The High Priest, especially, played a vital role on the Day of Atonement, entering the Holy of Holies to sprinkle blood on the mercy seat, symbolizing reconciliation with God. The priest's ministry is to intercede for the people.","2.  **Levitical priesthood:** Priests became mediators by offering sacrifices for the atonement of the people’s sins and by interceding for the people before God. The high priest in particular played a great role on the Day of Atonement when he would enter the Holy of Holies and sprinkle blood on the mercy seat, which was a sign of reconciliation with God. The ministry of the priest is to intercede for the people."
"7","0.9614","HIGH","3.  **Judge/King:** Judges, and later Kings, were charged with ruling over God’s people, enforcing His laws, judging between the people, delivering them from their enemies, and leading them in righteousness. The book of Judges tells the stories of these leaders-people like Deborah, Samson, and Gideon-whom God raised up to rescue and guide Israel. Israel later had a line of kings, many wicked, some good (see 1st and 2nd Kings, 1st and 2nd Samuel, and 1<sup>st</sup> and 2<sup>nd</sup> Chronicles). Some prominent examples are Saul, David, and Solomon.","3.  **Judge/King:** Judges, and later kings, were responsible to rule over God’s people, enforce his laws, judge between the people, deliver them from enemies, and lead them in righteousness. The book of Judges tells the stories of these leaders—leaders-people like Deborah, Samson, and Gideon-whom God raised up to save and guide Israel. Later a line of kings came in Israel, often wicked, some good (see 1<sup>st</sup> and 2<sup>nd</sup> Kings، 1<sup>st</sup> and 2<sup>nd</sup> Samuel، and 1<sup>st</sup> and 2<sup>nd</sup> Chronicles). Some notable examples are Saul، David، and Solomon."
"8","0.8914","MEDIUM","Worth noting is that all the Old Covenant mediators were fully man and not divine. As men they were able to sin, and many times were given to sin. Some of the mediators were sinful and drove people away from God and towards profane worship: false prophets, lying and corrupt priests, and wicked kings.","It is noteworthy that all the mediators of the Old Testament were entirely human and not divine. Being human, they could sin, and often fell prey to sin. Some mediators were sinful and led the people away from God into impure worship: false prophets, false and corrupt priests, and wicked kings."
"9","1.0","HIGH","### Christ as the Mediator of the New Covenant","### Christ as the Mediator of the New Covenant"
"10","0.9237","HIGH","Jesus’ death, resurrection and ascension fulfil the Old Covenant, and establish the New Covenant.","The death, resurrection, and ascension of Jesus fulfilled the old covenant and established the new covenant."
