# Drift report generated 2026-01-30T02:02:14.608956
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter5_chapter_5_repentance_from_dead_works.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/french/pipeline2/backtranslation/chapters/chapter5_chapter_5_repentance_from_dead_works.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9753","HIGH","Oftentimes in Christianity we think about repentance as fundamental only to the beginning of our faith in Jesus. The heart of repentance goes much deeper than turning away from sin unto salvation. Repentance from dead works means living with our hearts turned away from the things that harm us or stunt our growth-and turned toward the things of God.","Very often, in Christianity, we consider repentance as fundamental only at the beginning of our faith in Jesus. The heart of repentance goes far beyond turning from sin for salvation. Repentance from dead works means living with our hearts turned away from the things that harm us or hinder our growth — and turned toward the things of God."
"2","0.9665","HIGH","The author of Hebrews sets ‘repentance from dead works’ as the first item in the list of the foundational doctrines after the foundational principles of the Messiah (Chapter 4).","The author of the Epistle to the Hebrews places « repentance from dead works » as the first item in the list of foundational doctrines after the foundational principles of the Messiah (Chapter 4)."
"3","1.0","HIGH","<span class=""x-scripture"" data-book=""HEB"" data-chapter=""6"" data-lang=""en"" data-type=""quote"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""HEB"" data-chapter=""6"" data-lang=""en"" data-type=""quote"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"4","0.9657","HIGH","> **<u>Hebrews 6:1</u>** (NKJV)\\n>\\n> Therefore, leaving the discussion of the elementary principles of Christ, let us go on to perfection, not laying again the foundation of repentance from dead works and of faith toward God,\\n>","> **<u>Hebrews 6:1</u>** (NKJV)\\n>\\n> Therefore, leaving the elementary teaching of Christ, let us press on to perfection, not laying again the foundation of repentance from dead works and of faith in God,\\n>"
"5","1.0","HIGH","</span>","</span>"
"6","0.8094","LOW","Let's take an in-depth look at the Greek for this phrase:","Let us examine in depth the Greek of this expression :"
"7","0.9998","HIGH","[See Table 4](../tables/table4.md)","[See Table 4](../tables/table4.md)"
"8","0.8915","MEDIUM","### Dead Works","### Dead works"
"9","0.9591","HIGH","Every person who has ever been employed knows what work is. Work is the set of tasks that you undertake to receive a paycheck so you can earn a living (employment). Employment is an agreement to trade your talents and efforts for something of value that will help sustain you. You work because you get something out of it.","Anyone who has ever been employed knows what work is. Work is the set of tasks you undertake to receive wages in order to make a living (employment). Employment is an agreement by which you exchange your talents and efforts for something of value that will help you subsist. You work because you get something out of it."
"10","0.9698","HIGH","Our work is important, it can bring a sense of purpose, often a sense of identity. It's very common to be asked ‘What do you do for a living?’ and the response begins with a statement of identity ‘I am’. While work can be enjoyable and purposeful, it is also very likely to be physically or mentally tough, difficult, challenging, and stressful. If your job is none of these things, you might find it too menial and boring.","Our work is important, it can bring meaning, often a sense of identity. It is very common to be asked ‘What do you do for a living ?’ and the answer begins with an identity statement ‘I am’. Although work can be enjoyable and meaningful, it is also very likely to be physically or mentally taxing, difficult, demanding, and stressful. If your job is none of those things, you might find it too menial and boring."
"11","0.9893","HIGH","If you work a 40-hour a week job, and sleep 8 hours per night, you spend 36% of your waking hours working, and this excludes the time you spend getting ready to work, commuting to work, taking care of a household, and all the other necessary tasks you need to do to keep the your life on track.","If you work 40 hours per week and sleep 8 hours per night, you spend 36% of your waking hours working, and that excludes the time you spend getting ready for work, commuting, taking care of a household, and all the other necessary tasks you have to do to keep your life on track."
"12","0.9629","HIGH","Why do we do all this work? It varies, but definitionally because we get something of value from it.","Why do we do all this work ? This varies, but, by definition, because we get something of value from it."
"13","0.9762","HIGH","Would you continue to work at a job if they stopped paying you? For most of us the easy and painfully obvious answer is a resounding, NO!","Would you keep working at a job if they stopped paying you ? For most of us, the easy and painfully obvious answer is a resounding NO!"
"14","0.9769","HIGH","Would you continue to work at a job if it was killing you? I suppose it depends on how quickly.","Would you keep working at a job if it were killing you ? I suppose that depends on how quickly."
"15","0.9605","HIGH","The context of ***nekros*** joined with ***erga*** is labor or work that is dead, has no vitality, cannot reproduce! The author of Hebrews is warning us of labor that is dead.","In context, ***nekros*** joined to ***erga*** denotes labor or work that is dead, has no vitality, cannot reproduce ! The author of the Epistle to the Hebrews warns us against labor that is dead."
"16","0.974","HIGH","In the study of biology, there are several criteria that are used to determine if an organism is alive (this is a partial list used for our purpose):","In the study of biology, there are several criteria used to determine whether an organism is alive (this is a partial list for our purposes) :"
"17","0.9655","HIGH","1.  **Metabolism**: Living things convert energy through metabolic processes to grow, develop, and sustain themselves.","1.  **Metabolism**: Living beings convert energy through metabolic processes to grow, develop, and maintain themselves."
"18","0.9941","HIGH","2.  **Growth and Development**: Life involves growth and progression over time, with a specific life cycle and developmental changes.","2.  **Growth and development**: Life involves growth and progression over time, with a specific life cycle and developmental changes."
"19","0.9436","HIGH","3.  **Reproduction**: Living things have the capacity to reproduce, creating offspring or new entities.","3.  **Reproduction**: Living beings have the ability to reproduce, creating offspring or new entities."
"20","0.9782","HIGH","4.  **Response to Stimuli**: Life responds to external stimuli (like light, heat, or sound) and can adjust to changes in the environment.","4.  **Response to stimuli**: Life responds to external stimuli (such as light, heat, or sound) and can adapt to changes in the environment."
"21","0.9997","HIGH","5.  **Homeostasis**: Living organisms maintain internal stability, such as temperature regulation or pH balance.","5.  **Homeostasis**: Living organisms maintain internal stability, such as temperature regulation or pH balance."
"22","0.9726","HIGH","6.  **Adaptation**: Over time, living things can adapt to their environments through genetic changes, allowing survival in various conditions.","6.  **Adaptation**: Over time, living beings can adapt to their environments through genetic changes, allowing survival in various conditions."
"23","1.0","HIGH","If we apply this standard of ‘life’ to our works with a bit of creative license, then dead works are those that:","If we apply this standard of ‘life’ to our works with a bit of creative license, then dead works are those that:"
"24","0.983","HIGH","1.  Do not permit personal growth or development.","1.  Do not allow personal growth or development."
"25","0.983","HIGH","2.  Do not reproduce, cannot produce a positive or desirable result.","2.  Do not reproduce, cannot produce a positive or desirable outcome."
"26","0.9899","HIGH","3.  Do not respond to external stimuli, the light of God’s presence or the sound of His voice.","3.  Do not respond to external stimuli, to the light of God’s presence or the sound of His voice."
"27","0.9676","HIGH","4.  Do not maintain internal stability, become dis-regulated, are not self-controlled.","4.  Do not maintain internal stability, become deregulated, are not self-controlled."
"28","0.9969","HIGH","5.  Do not adapt (are too rigid) and no longer help us survive.","5.  Do not adapt (are too rigid) and no longer help us to survive."
"29","1.0","HIGH","Dead works are not God’s desire for us. God wants to bring us life!","Dead works are not God’s desire for us. God wants to bring us life!"
"30","1.0","HIGH","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""10"" data-lang=""en"" data-type=""quote"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""10"" data-lang=""en"" data-type=""quote"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"31","1.0","HIGH","> **<u>John 10:10</u>** (NKJV)\\n>\\n> The thief does not come except to steal, and to kill, and to destroy. I have come that they may have life, and that they may have it more abundantly.\\n>","> **<u>John 10:10</u>** (NKJV)\\n>\\n> The thief does not come except to steal, and to kill, and to destroy. I have come that they may have life, and that they may have it more abundantly.\\n>"
