# Drift report generated 2026-01-30T15:55:44.319358
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter11_chapter_11_baptisms_water_and_spirit.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/nepali/pipeline2/backtranslation/chapters/chapter11_chapter_11_baptisms_water_and_spirit.md
"id","similarity","translation_quality","source","back_translation"
"1","0.8859","MEDIUM","Baptism in our modern age, separated from the Jewish roots, is typically only thought of in terms of water baptism, and the Holy Spirit baptism (Pentecost).","In the modern era, apart from its Jewish roots, baptism is often thought of only as water baptism and the baptism of the Holy Spirit (Pentecost)."
"2","0.9876","HIGH","The book of Hebrews was written to a Jewish audience. The overwhelming majority of Christians in our modern age do not have Jewish roots or heritage. Without the Jewish roots and culture many of us do not have the cultural context for things that 1st century messianic Jews (those Jewish believers professing Jesus) would have shared. As we were not raised in the Jewish tradition we don’t typically know much about the feasts, fasts, prayers, washings, rites, and rituals that Jewish believers would know.","The book of Hebrews was written to a Jewish audience. The vast majority of Christians in our modern era do not have Jewish roots or heritage. Without Jewish roots and culture, many of us lack the cultural context that first-century Messianic Jews (Jewish believers who accepted Jesus) shared. Because we were not raised in Jewish tradition, we generally do not know much about the feasts, fasts, prayers, washings, rites, and rituals that would have been known to Jewish believers."
"3","0.9627","HIGH","The word for baptisms, or washings, in the Greek is: **Baptismos** (bap-tis-mos’ - **G909**) - The act of dipping or washing. Refers to ceremonial washings or ritual cleansing. It can indicate immersion, purification rites, or washings practiced in Jewish and Christian contexts.","In Greek, the word for baptism, or washing, is: **Baptismos** (bap-tis-mos’ - **G909**) - the act of dipping or washing. It refers to religious washing or ceremonial purification. It can denote immersions, purification rites, or washings practiced in Jewish and Christian contexts."
"4","0.9568","HIGH","Baptisms is one of the foundational doctrines mentioned in Hebrews:","Baptisms are one of the foundational teachings mentioned in Hebrews:"
"5","1.0","HIGH","<span class=""x-scripture"" data-book=""HEB"" data-chapter=""6"" data-lang=""en"" data-type=""quote"" data-verses=""1-2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""HEB"" data-chapter=""6"" data-lang=""en"" data-type=""quote"" data-verses=""1-2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"6","0.9848","HIGH","> **<u>Hebrews 6:1-2</u>** (NKJV)\\n>\\n> Therefore, leaving the discussion of the elementary principles of Christ, let us go on to perfection, not laying again the foundation of repentance from dead works and of faith toward God,\\n>\\n> of the doctrine of baptisms, of laying on of hands, of resurrection of the dead, and of eternal judgment.\\n>","> **<u>Hebrews 6:1-2</u>** (NKJV)\\n>\\n> Therefore, leaving aside the discussion of the elementary doctrines of Christ, let us go on to perfection, and let us not lay again the foundation of repentance from dead works and of faith toward God,\\n>\\n> the teaching of baptisms, of laying on of hands, of the resurrection of the dead, and of eternal judgment as well.\\n>"
"7","1.0","HIGH","</span>","</span>"
"8","0.9331","HIGH","## Old Covenant Washings - Historical Context","## Washings in the Old Covenant - Historical Context"
"9","0.9842","HIGH","In the Old Covenant, ceremonial washings played a central role in maintaining ritual purity and symbolizing holiness before God. These washings were prescribed in the Law of Moses and applied both to the priests who served in the Tabernacle and to the people of Israel. For example, priests were required to wash their hands and feet at the bronze basin before entering the Tabernacle or approaching the altar, symbolizing their readiness to serve in the presence of a holy God (<span class=""x-scripture"" data-book=""EXO"" data-chapter=""30"" data-lang=""en"" data-type=""ref"" data-verses=""18-21"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Exodus 30:18-21</span>). Similarly, rituals for cleansing individuals from defilement, such as contact with a dead body or skin diseases, involved washing with water as a sign of restoration to purity (<span class=""x-scripture"" data-book=""LEV"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""8"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Leviticus 14:8</span>; <span class=""x-scripture"" data-book=""NUM"" data-chapter=""19"" data-lang=""en"" data-type=""ref"" data-verses=""17-19"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Numbers 19:17-19</span>). These acts served as outward demonstrations of an inward desire for holiness, emphasizing the importance of being set apart for God.","In the Old Covenant, ritual washings played a central role, symbolically displaying holiness before God and maintaining ceremonial purity. These washings were commanded in the Mosaic Law and applied to the priests who served in the tabernacle and to the people of Israel. For example, before entering the tabernacle or approaching the altar, the priests had to wash their hands and feet at the bronze basin, which symbolized being prepared to serve in the presence of the holy God (<span class=""x-scripture"" data-book=""EXO"" data-chapter=""30"" data-lang=""en"" data-type=""ref"" data-verses=""18-21"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Exodus 30:18-21</span>). Similarly, the procedures for cleansing a person from impurities such as having touched a dead body or from skin diseases also required washing with water, which signified restoration to purity (<span class=""x-scripture"" data-book=""LEV"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""8"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Leviticus 14:8</span>; <span class=""x-scripture"" data-book=""NUM"" data-chapter=""19"" data-lang=""en"" data-type=""ref"" data-verses=""17-19"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Numbers 19:17-19</span>). These acts outwardly displayed the desire for inner holiness and emphasized the importance of living a life set apart for God."
"10","0.964","HIGH","The ceremonial washings in the Old Testament required regular repetition to maintain ritual purity. Unlike permanent solutions, these rituals only provided temporary external cleansing, leaving the deeper issue of sin unresolved. The writer of Hebrews highlights this limitation, explaining that these practices were “symbolic for the present time,” unable to clear the conscience of the worshiper (<span class=""x-scripture"" data-book=""HEB"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""9-10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Hebrews 9:9-10</span>). These washings acted as constant reminders of human imperfection and the need for something greater-an ultimate purification that could cleanse not just the body, but the heart and soul as well.","The ritual washings of the Old Covenant had to be repeated regularly to maintain ceremonial purity. Because they were not a permanent solution, these rites provided only temporary external purity, but could not address the deeper problem of sin. The author of Hebrews points out this limitation, saying that these practices were “symbolic for the present time” and unable to purify the worshiper’s conscience (<span class=""x-scripture"" data-book=""HEB"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""9-10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Hebrews 9:9-10</span>). These washings were a continual reminder of human imperfection and a sign of the need for something greater—ultimate purification—that could cleanse not only the body, but also the heart and spirit."
