# Drift report generated 2026-01-30T15:57:38.268875
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter6_chapter_6_faith_toward_god.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/nepali/pipeline2/backtranslation/chapters/chapter6_chapter_6_faith_toward_god.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9248","HIGH","Faith is a bedrock concept in Christianity. Faith is such a commonly used word in Christianity that sometimes the meaning of the word is supplanted by subtle misconceptions and wrong understanding. But it’s not something you can hold in your hands-it’s something formed in your heart as you come to trust God. Persuasion is belief.","Faith is a cornerstone-like concept of the Christian faith. In Christianity the word faith is used so commonly that sometimes its meaning can be displaced by subtle misconceptions and misunderstandings. But it is not something you can hold in your hand—it is something formed in the heart as one trusts in God. Persuasion itself is faith."
"2","0.9673","HIGH","The writer of Hebrews instructs us that we are to have ‘faith towards God’.","The author of Hebrews instructs us to have ‘faith toward God’."
"3","1.0","HIGH","<span class=""x-scripture"" data-book=""HEB"" data-chapter=""6"" data-lang=""en"" data-type=""quote"" data-verses=""1-2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""HEB"" data-chapter=""6"" data-lang=""en"" data-type=""quote"" data-verses=""1-2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"4","0.9891","HIGH","> **<u>Hebrews 6:1-2</u>** (NKJV)\\n>\\n> Therefore, leaving the discussion of the elementary principles of Christ, let us go on to perfection, not laying again the foundation of repentance from dead works and of faith toward God,\\n>\\n> of the doctrine of baptisms, of laying on of hands, of resurrection of the dead, and of eternal judgment.\\n>","> **<u>Hebrews 6:1-2</u>** (NKJV)\\n>\\n> Therefore, leaving the discussion of the elementary principles of Christ, let us go on to maturity, not laying again the foundation of repentance from dead works and of faith toward God,\\n>\\n> of the doctrine of baptisms, of laying on of hands, of resurrection of the dead, and of eternal judgment.\\n>"
"5","1.0","HIGH","</span>","</span>"
"6","0.9499","HIGH","In this chapter we will discuss what faith is, and is not, how to increase our faith, how we exercise our faith (obedience), the benefits of living a life of obedience, and practical steps to increasing our faith.","In this chapter we will discuss what faith is and is not, how to grow our faith, how we practice our faith (obedience), the benefits of living a life of obedience, and practical steps to grow our faith."
"7","0.9664","HIGH","As we did in our study on repentance, let’s examine the Greek to set the stage for our study. Understanding these terms helps us see how faith is both directional (toward God) and relational (rooted in trust and persuasion).","As we did in our study on repentance, let us likewise examine the Greek to set the background for our study. In understanding these words, we see how faith is directional (toward God) and relational (rooted in trust and persuasion)."
"8","1.0","HIGH","[See Table 5](../tables/table5.md)","[See Table 5](../tables/table5.md)"
"9","0.8775","MEDIUM","### Defining Faith","### Definition of Faith"
"10","0.9558","HIGH","Faith is a commonly misunderstood and misrepresented aspect of Christianity. As the saying goes, “there is a ditch on both sides of the road”! Because the word faith is so commonly used without proper explanation in our modern Christianity, it can come to pick up erroneous definitions amplified through misunderstanding. Faith is often portrayed either as a blanketed statement of abstracted belief or as an almost mystical power or “magic,” something you possess in a specific measured and limited amount.","Faith is one of the most misunderstood and misrepresented aspects of the Christian faith. As the saying goes, ""There are ditches on both sides of the road""! In modern Christianity, the word 'faith' is so often used without proper explanation that it can take on faulty definitions amplified by misunderstandings. Faith is often portrayed either as a general statement of vague belief, or as an almost mystical power or ""magic""—something you supposedly carry in a measured and limited amount."
"11","0.9938","HIGH","#### What Faith is Not","#### What Faith Is Not"
"12","0.9533","HIGH","Faith misrepresented <u>abstractly</u> has no specific conviction or persuasion. This is often evident with a bit of probing as this representation of faith cannot be made specific. If you ask, ‘what do you believe’ or ‘why do you believe’ the person with this understanding of faith often cannot clarify beyond ‘I believe’. <span class=""x-scripture"" data-book=""1PE"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""15"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Peter 3:15</span> says we should be ready to give an answer for the hope that is in us.","Faith that is misrepresented as abstract has no specific conviction or persuasion. This becomes clear with a little probing, because such a kind of faith cannot be precisely specified. If you ask, 'What do you believe?' or 'Why do you believe?', a person with such an understanding of faith usually cannot clarify beyond 'I believe.' <span class=""x-scripture"" data-book=""1PE"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""15"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Peter 3:15</span> says we must be ready to give an answer for the reason for the hope within us."
"13","0.9747","HIGH","Sometimes people think of faith like a magical power-but that’s not what Scripture teaches. Faith is about a real relationship built on trust. In Scripture, faith is far more dynamic and relational-it’s rooted in persuasion, trust, and confidence in God’s character and promises. It’s not an impersonal force but an engaged response to God that shapes thoughts, feelings, and actions.","Sometimes people think of faith as a magical power—but Scripture does not teach that. Faith is about a real relationship built on trust. In Scripture, faith is highly dynamic and relational—it is deeply rooted in persuasion, trust, and confidence in the nature and promises of God. It is not an impersonal force, but an engaged response toward God that shapes thoughts, emotions, and actions."
"14","0.722","CRITICAL","Why is belief relevant to persuasion?","Why is faith related to persuasion?"
"15","0.9374","HIGH","Our beliefs shape the way we see and interact with the world around us. Belief molds perception and precipitates our actions. This is how our minds are wired-we live based on what we believe is possible.","Our beliefs shape how we see and interact with the world around us. Belief forms perception and energizes our actions. Our brains are wired this way—we live on the basis of what we believe is possible."
"16","0.9678","HIGH","We act on what we perceive, understand, and believe to be possible. When we walk through a hallway our brain detects the boundaries of the floor and the wall and tells our feet automatically where we can step, and what to avoid. This truth extends beyond our physical navigation of the world around us.","We act according to what we perceive, understand, and believe is possible. When we walk down a corridor, our brain recognizes the boundaries of the floor and walls and automatically tells our feet where to step and what to avoid. This truth extends far beyond physically navigating the world around us."
"17","0.956","HIGH","Suppose you believe that it is impossible for you to become financially independent or live a healthy and active lifestyle. In that case your actions will follow that belief, and you, true to belief, will not do or likely even attempt what you believe is impossible.","Suppose you believe it is impossible for you to be financially free or to live a healthy and active lifestyle. Then your actions will follow that belief, and you, staying true to your own belief, will likely not even want to do or attempt what you have deemed impossible."
