# Drift explanation generated 2026-01-30T15:11:44.519749
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/chinese/pipeline2/analysis/chapters/drift_report_chapter7_chapter_7_jesus_the_foundation_of_our_faith_vs_chapter7_chapter_7_jesus_the_foundation_of_our_faith.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"4","0.7823","LOW","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply rephrasing 'roles of mediators' to 'mediatorial offices' without altering the theological implications.","Old Testament Roles of Mediators:","The mediatorial offices in the Old Testament:"
"8","0.8925","MEDIUM","no","paraphrase","Both paragraphs convey the same doctrinal meaning regarding the nature of Old Covenant mediators as fully human and capable of sin, along with the consequences of their actions leading people away from God. The back-translation maintains the original intent and logical relationships without significant alteration.","Worth noting is that all the Old Covenant mediators were fully man and not divine. As men they were able to sin, and many times were given to sin. Some of the mediators were sinful and drove people away from God and towards profane worship: false prophets, lying and corrupt priests, and wicked kings.","It is worth noting that all the mediators in the Old Testament were entirely human rather than divine. As humans, they could sin, and often fell into sin. Some mediators were themselves wicked, turning people away from God toward profane worship: false prophets, lying and corrupt priests, and evil kings."
"19","0.8216","LOW","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply substituting 'roles' with 'offices' without altering the overall intent or doctrinal implications.","Jesus Fulfills and Perfects These Roles","Jesus fulfills and perfects these offices"
"28","0.8845","MEDIUM","yes","doctrinal","The back-translation introduces the idea of a 'doctrine exam,' which implies a formal assessment of beliefs, potentially altering the original message that emphasizes faith over doctrinal understanding. Additionally, the phrase 'ongoing journey of faith' suggests a more gradual process than the original's implication of immediate understanding as one continues in faith.","A person does not need to fully understand these beliefs to come to God and receive salvation, salvation is by faith, not by a doctrinal test! However, in continuing in that faith we all should come to understand these fundamental truths.","One does not need to fully understand these beliefs to come to God and be saved; salvation is by faith, not by passing a doctrine exam！However, on the ongoing journey of faith, we should all gradually understand these basic truths."
"31","0.9161","MEDIUM","no","paraphrase","The back-translation maintains the original meaning and intent, conveying the same ideas about the Apostles' Creed and its relation to the Godhead without altering doctrinal content or logical relationships.","The fundamental truths in the Apostles Creed are numerous and quite deep, a full explanation would certainly take many whole volumes to explain. While this chapter is about Jesus, many of the topics cross over into the other members of the Godhead. This will be an abbreviated explanation of the creed, focusing only on the most central themes. Several of these topics are studied in greater depth across the chapters of this book.","The basic truths in the Apostles’ Creed are many and profound; a complete exposition would undoubtedly require many volumes. Although this chapter focuses on Jesus, many themes also intersect with the other persons of the Godhead. Only a brief explanation is given here, focusing on the most central themes. Other chapters of this book will explore several of these topics in greater depth."
"34","0.9114","MEDIUM","yes","doctrinal","The back-translation alters the phrasing to emphasize Jesus Christ as 'my Lord' and refers to God as 'God's', which may imply a more personal relationship and a different theological emphasis compared to the original statement.","#### *I believe in Jesus Christ, His only Son, our Lord.*","#### *I believe in my Lord Jesus Christ, God’s only Son.*"
"36","0.8912","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationships as the original, presenting the concepts of Jesus' divine nature and His relationship with the Father without significant alterations.","Jesus is not **just** sent from God; He **is** part of God. Jesus abides in the Father and the Father abides in Jesus. The Gospel of John repeatedly establishes that Jesus and the Father are one (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""10"" data-lang=""en"" data-type=""ref"" data-verses=""30"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 10:30</span>), that Jesus did not act on His own accord (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""5"" data-lang=""en"" data-type=""ref"" data-verses=""19"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 5:19</span>; <span class=""x-scripture"" data-book=""JHN"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""49-50"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 12:49-50</span>), and that everything He did was to glorify His Father (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""17"" data-lang=""en"" data-type=""ref"" data-verses=""4"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 17:4</span>; <span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""13"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 14:13</span>), and was done by the authority and power of His Father (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 14:10</span>; <span class=""x-scripture"" data-book=""JHN"" data-chapter=""8"" data-lang=""en"" data-type=""ref"" data-verses=""28-29"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 8:28-29</span>).","Jesus is not only sent from God; he is a part of God. Jesus is in the Father, and the Father is in Jesus. The Gospel of John repeatedly shows that Jesus and the Father are one (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""10"" data-lang=""en"" data-type=""ref"" data-verses=""30"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 10:30</span>），and that Jesus did not act on his own (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""5"" data-lang=""en"" data-type=""ref"" data-verses=""19"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 5:19</span>；<span class=""x-scripture"" data-book=""JHN"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""49-50"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 12:49-50</span>），but did everything to glorify the Father (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""17"" data-lang=""en"" data-type=""ref"" data-verses=""4"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 17:4</span>；<span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""13"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 14:13</span>），and accomplished it all by the Father’s authority and power (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 14:10</span>；<span class=""x-scripture"" data-book=""JHN"" data-chapter=""8"" data-lang=""en"" data-type=""ref"" data-verses=""28-29"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 8:28-29</span>）。"
"40","0.8993","MEDIUM","no","paraphrase","The back-translated paragraph retains the same wording and structure as the original, with no changes in doctrinal meaning, logical relationships, or intent.","#### *He suffered under Pontius Pilate, was crucified, died, and was buried.*","#### *He suffered under Pontius Pilate, was crucified, died, and was buried。*"
"42","0.8839","MEDIUM","no","paraphrase","The back-translated paragraph retains the same wording and meaning as the original, indicating no change in doctrinal, logical, or intentional aspects.","#### *He descended to the dead.*","#### *He descended to the dead。*"
"44","0.8772","MEDIUM","no","paraphrase","The back-translated paragraph retains the same doctrinal meaning and intent as the original, with no significant changes in wording or logical relationships.","#### *On the third day He rose again.*","#### *On the third day he rose again。*"
