# Drift explanation generated 2025-12-30T02:38:42.377836
# Source drift file: /Users/andrew/repo/kli-translation-pipeline_principles-of-faith/urdu/pipeline2/analysis/chapters/drift_report_chapter13_chapter_13_spiritual_authority_vs_chapter13_chapter_13_spiritual_authority.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"9","0.8893","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationships as the original, simply using different wording without altering the intent or core concepts.","Example 1: At work, an employee may have the talents and skills to conduct a sale of the company's assets (power). This power is lawful if they also have the associated permission (authority) from the company’s owners. Without this authority, selling the company's assets is theft.","Example 1: In the workplace, an employee may have the abilities and skills (power) to sell the company's assets. This power is legitimate only when he also has the relevant authorization (authority) from the owners of the company. Without this authority, selling the company's assets is theft."
"16","0.8922","MEDIUM","yes","doctrinal","The original phrase 'demons' specifically refers to malevolent supernatural beings, while 'evil spirits' is a broader term that may encompass various forms of malevolence. This change could affect the doctrinal interpretation of the types of spiritual entities being referenced.","- Over demons and spiritual forces","- Over evil spirits and spiritual forces"
"18","0.7753","LOW","yes","doctrinal","The original phrase suggests a general ability or action of judging humanity, while the back-translated version implies a specific authority or power to judge, altering the conceptual understanding of who holds the right to make such judgments.","- To judge humanity","- The authority to judge humanity"
"38","0.8898","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, referring to authority over malevolent spiritual entities without altering the doctrinal implications.","### Authority Over Demons and Spiritual Forces","### Authority over evil spirits and spiritual powers"
"85","0.9176","MEDIUM","no","paraphrase","Both paragraphs convey the same core message that Jesus respects individual freedom and does not force obedience, maintaining the original intent and doctrinal meaning.","Jesus never forces anyone to obey. He respects our freedom and gently invites us to follow Him.","Jesus never compels anyone to obedience۔ He respects our freedom and gently invites us to follow Him۔"
"93","0.9186","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply using different wording to express that Jesus gave some authority to His followers.","## Jesus Delegated Certain Authority to His Followers","## Jesus entrusted some authority to His followers"
"94","0.9038","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationships as the original, emphasizing the relational nature of authority and power in connection with Jesus and the Holy Spirit.","Jesus delegated specific areas of authority to believers. This authority is relational. We only have this authority in relationship to Jesus. We have no authority apart from our relationship with Jesus. Likewise, the power we have been given by the Holy Spirit is only through our relationship with Him. Apart from Him, we can do nothing.","Jesus assigned specific spheres of authority to believers۔ This authority is relational۔ We have this authority only in relationship with Jesus۔ Apart from our relationship with Jesus we have no authority۔ Likewise، the power the Holy Spirit has given us is also only through our relationship with Him۔ Without Him we can do nothing۔"
"103","0.9192","MEDIUM","yes","mixed","The back-translation alters the terms 'persuasion' to 'conviction' and 'able to persuade us' to 'able to convince us,' which shifts the emphasis from a relational aspect of faith to a more assertive stance. This change may affect the understanding of the nature of faith and the relationship between Jesus and believers.","When we ask, we are to ask in faith (<span class=""x-scripture"" data-book=""MRK"" data-chapter=""11"" data-lang=""en"" data-type=""ref"" data-verses=""24"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Mark 11:24</span>, <span class=""x-scripture"" data-book=""MAT"" data-chapter=""21"" data-lang=""en"" data-type=""ref"" data-verses=""22"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 21:22</span>). Reminding ourselves that **faith is not magic but is persuasion and trust**. Jesus as the source of complete and perfect truth is able to persuade us of His will and His ability to deliver on His promises (Hebrews 11).","When we ask, let us ask in faith (<span class=""x-scripture"" data-book=""MRK"" data-chapter=""11"" data-lang=""en"" data-type=""ref"" data-verses=""24"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Mark 11:24</span>, <span class=""x-scripture"" data-book=""MAT"" data-chapter=""21"" data-lang=""en"" data-type=""ref"" data-verses=""22"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 21:22</span>)۔ Reminding ourselves that **faith is not magic but conviction and trust**۔ Jesus, who is the source of perfect and complete truth, is able to convince us of His will and His power to fulfill His promises (Hebrews 11)."
"110","0.8938","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, with only slight variations in wording that do not alter the overall message about Christ's promise of empowerment through the Holy Spirit.","- **Speak with New Tongues** - This is Christ’s promise of supernatural empowerment by the manifestation of the Holy Spirit.","- **Speak with new tongues** - This is Christ’s promise of supernatural empowerment through the manifestation of the Holy Spirit۔"
"150","0.9104","MEDIUM","no","paraphrase","Both paragraphs convey the same core message that believers should direct their prayers to God rather than angels, emphasizing God's authority in sending angels. The changes in wording do not alter the doctrinal meaning or intent.","- **Prayer to God, Not Angels**: Believers should pray to God, who dispatches angels as He wills (<span class=""x-scripture"" data-book=""PSA"" data-chapter=""91"" data-lang=""en"" data-type=""ref"" data-verses=""11"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Psalms 91:11</span>).","- **Prayer to God, not to angels**: Believers should pray to God, who sends angels according to His will (<span class=""x-scripture"" data-book=""PSA"" data-chapter=""91"" data-lang=""en"" data-type=""ref"" data-verses=""11"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Psalm 91:11</span>)۔"
"151","0.9001","MEDIUM","no","paraphrase","The back-translation maintains the original message that while angels serve as reminders of God's care, faith should be placed solely in God. The slight change in wording does not alter the doctrinal meaning or intent.","- **Encouragement and Trust**: Angels remind us of God’s care, but our faith should rest fully in God, not in angels.","- **Encouragement and trust**: Angels remind us of God’s care، but our faith must rest wholly in God, not in angels۔"
"157","0.9145","MEDIUM","no","paraphrase","The back-translated paragraph retains the original doctrinal meaning and intent, with only slight variations in wording and structure. The core concepts regarding demons and their limitations compared to God remain unchanged.","Demons are spirits without physical bodies but can oppress and torment humans and animals. *(<span class=""x-scripture"" data-book=""MRK"" data-chapter=""5"" data-lang=""en"" data-type=""ref"" data-verses=""11-13"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Mark 5:11-13</span>).* They seek to deceive, tempt, oppress, and destroy. *(<span class=""x-scripture"" data-book=""JHN"" data-chapter=""10"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 10:10</span>; <span class=""x-scripture"" data-book=""2CO"" data-chapter=""11"" data-lang=""en"" data-type=""ref"" data-verses=""14"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">2 Corinthians 11:14</span>). Unlike God,* they have limits, and are not omnipresent (everywhere), omniscient (all knowing), omnipotent (all powerful)*.* Their ultimate defeat is certain, and they will face eternal punishment. *(<span class=""x-scripture"" data-book=""REV"" data-chapter=""20"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 20:10</span>)*","Demons are spirits that do not have bodies but can harass and torment humans and animals۔ *(<span class=""x-scripture"" data-book=""MRK"" data-chapter=""5"" data-lang=""en"" data-type=""ref"" data-verses=""11-13"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Mark 5:11-13</span>).* They seek to deceive, tempt, oppress, and destroy۔ *(<span class=""x-scripture"" data-book=""JHN"" data-chapter=""10"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 10:10</span>; <span class=""x-scripture"" data-book=""2CO"" data-chapter=""11"" data-lang=""en"" data-type=""ref"" data-verses=""14"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">2 Corinthians 11:14</span>). God, in contrast,* they are limited, and they are not omnipresent (everywhere), omniscient (all-knowing), omnipotent (all-powerful) نہیں ہیں*.* Their final defeat is certain, and they will face eternal punishment۔ *(<span class=""x-scripture"" data-book=""REV"" data-chapter=""20"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 20:10</span>)*"
"158","0.8334","LOW","yes","doctrinal","The original refers to 'the devil' in a general sense, while the back-translation specifies 'Satan,' which may imply a more personal and specific understanding of evil in a doctrinal context.","The scriptures describe the work and activity of the devil as:","Scripture describes Satan’s works and activities as follows:"
"161","0.9117","MEDIUM","yes","doctrinal","The original paragraph uses the term 'tempts,' which implies an enticement to sin, while the back-translated paragraph uses 'tests,' suggesting a trial or examination of faith. This change alters the understanding of the nature of the challenge believers face.","- Tempts and Accuses Believers *(<span class=""x-scripture"" data-book=""LUK"" data-chapter=""22"" data-lang=""en"" data-type=""ref"" data-verses=""31"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Luke 22:31</span>; <span class=""x-scripture"" data-book=""REV"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 12:10</span>)*","- Tests and accuses believers *(<span class=""x-scripture"" data-book=""LUK"" data-chapter=""22"" data-lang=""en"" data-type=""ref"" data-verses=""31"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Luke 22:31</span>; <span class=""x-scripture"" data-book=""REV"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 12:10</span>)*"
"163","0.7489","CRITICAL","yes","doctrinal","The original refers to 'the devil' in a more general sense, while the back-translation specifically names 'Satan,' which can imply a more specific theological interpretation. Additionally, 'attributes' in the back-translation suggests a more defined characterization than 'descriptions' in the original.","There are many names and descriptions for the devil, each describing a different aspect of his work.","Satan has many names and attributes، each of which describes a different aspect of his work۔"
"166","0.8829","MEDIUM","no","paraphrase","Both paragraphs convey the same core message about the potential for demonic influence in areas of personal struggle, emphasizing that not all issues stem from such influence while acknowledging the enemy's ability to exploit vulnerabilities.","It's important to note that not every lie a person believes, infirmity in their body, or stronghold in their life is the direct result of demonic influence, but these places of woundedness are places where the enemy can exploit us and keep us in a place of frustration and oppression.","It is important to note that not every lie a person believes، every illness of the body، or every stronghold in life is directly the result of demonic influence، however these places of woundedness are those areas the enemy can use to exploit us and keep us in a state of vexation and oppression۔"
"176","0.8974","MEDIUM","no","paraphrase","The back-translated paragraph retains the same doctrinal meaning and intent as the original, with only minor punctuation differences that do not affect the overall message.","> **<u>Matthew 18:18</u>** (NKJV)\\\\n>\\\\n> ""Assuredly, I say to you, whatever you bind on earth will be bound in heaven, and whatever you loose on earth will be loosed in heaven.\\\\n>","> **<u>Matthew 18:18</u>** (NKJV)\\\\n>\\\\n> ""Assuredly، I say to you، whatever you bind on earth will be bound in heaven، and whatever you loose on earth will be loosed in heaven۔""\\\\n>"
"178","0.9156","MEDIUM","no","paraphrase","The back-translated paragraph retains the exact wording and meaning of the original, indicating no changes in doctrinal meaning, logical relationship, or intent.","We speak to them in the name of Jesus and command them to leave.","We speak to them in the name of Jesus and command them to leave۔"
