# Drift report generated 2026-02-01T01:33:13.589022
# Source file: /Users/andrew/repo/principles-of-faith/english/chapters/chapter9_chapter_9_the_church_our_role_in_it.md
# Back translation: /Users/andrew/repo/kli-translation-pipeline_principles-of-faith/japenese/pipeline2/backtranslation/chapters/chapter9_chapter_9_the_church_our_role_in_it.md
"id","similarity","translation_quality","source","back_translation"
"1","0.8991","MEDIUM","The church is how God shows Himself on earth-through His people, doing His work. We are called to be His body, we are His hands and feet to accomplish His work and purpose. Without our efforts the harvest will remain in the field and will go un-reaped.","The church is the way in which God reveals Himself on the earth-through His people carrying out His works-。 We are called to be His body、 the hands and feet of the Lord to accomplish His works and purposes。 Without our efforts、 the harvest will remain in the fields and will not be gathered in。"
"2","0.8896","MEDIUM","## Who is the Church?","## Who is the Church？"
"3","0.9632","HIGH","The church, ***Ekklesia** (eh-klee-SEE-ah - **G1577**),* is derived from two Greek words:","The church、 ***Ekklesia** (eh-klee-SEE-ah - **G1577**),* derives from two Greek words:"
"4","0.8138","LOW","- **""Ek""**: ""Out of.""","- **""Ek""**: ""from。"""
"5","0.9245","HIGH","- **""Kaleo""**: ""To call.""","- **""Kaleo""**: ""to call。"""
"6","0.9467","HIGH","Together, **Ekklesia** literally means ""called out"" or ""called out assembly."" In ancient Greek city-states, it referred to a gathering of citizens summoned for a specific purpose, such as legislative or judicial meetings. It was a secular term denoting an assembly of people.","Taken together、 **Ekklesia** literally means ""called out"" or ""called-out assembly""。 In the ancient Greek city-states, it referred to an assembly of citizens convened for specific purposes such as legislative and judicial meetings。 It was a secular term that referred to an assembly of people。"
"7","0.8705","MEDIUM","In the New Testament, it is used primarily to refer to the community of believers in Jesus Christ. It can denote:","In the New Testament、 it is used primarily as a term referring to the community of those who believe in Jesus Christ。 This can mean the following:"
"8","0.8953","MEDIUM","- **The Local Church**: A specific gathering of believers in a particular location (e.g., the church at Corinth, Philippi, etc.).","- **Local church**: A specific gathering of believers in a particular place（e.g.: the churches in Corinth, Philippi, etc.）。"
"9","1.0","HIGH","<span class=""x-scripture"" data-book=""1CO"" data-chapter=""1"" data-lang=""en"" data-type=""quote"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""1CO"" data-chapter=""1"" data-lang=""en"" data-type=""quote"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"10","0.9356","HIGH","> **<u>1 Corinthians 1:2</u>** (NKJV)\\n>\\n> To the church of God which is at Corinth, to those who are sanctified in Christ Jesus, called to be saints, with all who in every place call on the name of Jesus Christ our Lord, both theirs and ours:\\n>","> **<u>1 Corinthians 1:2</u>** (NKJV)\\n>\\n> To the church of God which is in Corinth、 to those who are sanctified in Christ Jesus、 called to be saints、 and together with all who in every place call on the name of our Lord Jesus Christ—their Lord and ours—:\\n>"
"11","1.0","HIGH","</span>","</span>"
"12","0.9016","MEDIUM","- **The Universal Church**: The collective body of all believers across time and space.","- **The universal Church**: The collective body of all believers that exists across time and space。"
"13","1.0","HIGH","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""16"" data-lang=""en"" data-type=""fragment"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""16"" data-lang=""en"" data-type=""fragment"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"14","0.9371","HIGH","> **<u>Matthew 16:18</u>** (NKJV)\\n>\\n> And I also say to you that you are Peter, and on this rock I will build My church, and the gates of Hades shall not prevail against it.\\n>","> **<u>Matthew 16:18</u>** (NKJV)\\n>\\n> And I also say to you。 You are Peter。 On this rock I will build My church。 The gates of Hades shall not prevail against it。\\n>"
"15","1.0","HIGH","</span>","</span>"
"16","0.8751","MEDIUM","The church is the people, not the building or location they meet. **Called-Out Ones**: Reflects the idea that Christians are called out of the world and set apart for God's purposes (e.g., <span class=""x-scripture"" data-book=""1PE"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Peter 2:9</span>) for a specific mission and purpose (the great commission). The church is technically any two or more believers meeting together (<span class=""x-scripture"" data-book=""MAT"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 18:20</span>). Typically, the church is organized into regular meetings, with perhaps a set location and time, but wherever two or more people meet in Jesus’ name, that's where the church is!","The church is not a building or the place where they gather、 but the people themselves。 **The called-out ones**: This reflects the idea that Christians are called out of the world and set apart for God’s purposes（e.g.: <span class=""x-scripture"" data-book=""1PE"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Peter 2:9</span>）。 For a specific mission and purpose（the Great Commission）。 Strictly speaking、 the church is wherever two or more believers gather together（<span class=""x-scripture"" data-book=""MAT"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 18:20</span>）。 Normally、 churches are organized to have regular gatherings and may have set places and times、 but wherever two or more are gathered in the name of Jesus、 there is the church！"
"17","0.88","MEDIUM","The church was established by Jesus and increased in the 1st century A.D. by the work of the disciples who followed him. The church we have and experience today in all its local bodies across the Earth is a direct result of the original work of Christ and His apostles. As believers we are to be committed to a local church for fellowship, provision, equipping for ministry, and to do good works!","The church was established by Jesus and expanded in the first century A.D. through the work of the disciples who followed Him。 Today、 the church we have and experience in every local congregation on earth is the direct result of the initial work of Christ and His apostles。 As believers、 we should devote ourselves to the local church for fellowship、 equipping、 training for service、 and to do good works！"
"18","0.8421","LOW","To help us understand what the church is, the Scriptures gives us powerful pictures that show what it’s meant to be.","To help us understand what the church is、 the Bible gives powerful images that show what it is intended to be。"
"19","1.0","HIGH","## Understanding the Church","## Understanding the Church"
"20","0.9354","HIGH","There are several core metaphorical images used to depict attributes of the church:","There are several central metaphorical images used to describe the characteristics of the church:"
"21","0.8815","MEDIUM","1.  The Body","1.  Body"
"22","0.8864","MEDIUM","2.  The Bride","2.  Bride"
"23","0.908","MEDIUM","3.  The Temple","3.  Temple"
"24","0.9225","HIGH","4.  The Family","4.  Family"
"25","0.7891","LOW","5.  The Flock","5.  Flock of sheep"
"26","0.938","HIGH","6.  The Vine and Branches","6.  Vine and branches"
"27","0.8497","LOW","Each analogy highlights a unique aspect of the church, yet together, they reveal the church's identity as a unified and diverse community under Christ's leadership.","Each metaphor highlights a unique aspect of the church, but taken together they reveal the church’s identity as a community, under Christ’s guidance, endowed with unity and diversity."
"28","0.8577","MEDIUM","### The Body","### Body"
"29","0.9864","HIGH","The church is often described as **the Body of Christ**, emphasizing both its unity and diversity. With Christ as the head, the church functions as a living organism where every believer plays an essential and potentially diverse role. Each member is uniquely gifted and contributes to the health and mission of the body according to their own function. This image highlights the interdependence of believers, specifically that the body must be connected to function, and that our function is collaborative not competitive. When every part works together, the body grows and thrives in unity and love (<span class=""x-scripture"" data-book=""1CO"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""12-27"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Corinthians 12:12-27</span>; <span class=""x-scripture"" data-book=""EPH"" data-chapter=""4"" data-lang=""en"" data-type=""ref"" data-verses=""15-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Ephesians 4:15-16</span>; <span class=""x-scripture"" data-book=""COL"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Colossians 1:18</span>).","The church is often described as the **Body of Christ**, with both its unity and diversity emphasized. With Christ as the head, the church functions as a living organism, and every believer has roles that are indispensable and can be diverse. Each member is given unique gifts and contributes to the body’s health and mission according to their function. This image underscores believers’ mutual interdependence, showing especially that, for the body to function, it must remain connected, and that our work is cooperation, not competition. When all the parts work together, the body grows and thrives in unity and love (<span class=""x-scripture"" data-book=""1CO"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""12-27"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Corinthians 12:12-27</span>; <span class=""x-scripture"" data-book=""EPH"" data-chapter=""4"" data-lang=""en"" data-type=""ref"" data-verses=""15-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Ephesians 4:15-16</span>; <span class=""x-scripture"" data-book=""COL"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Colossians 1:18</span>)."
"30","0.7542","LOW","### The Bride","### Bride"
