# Drift explanation generated 2026-01-30T02:22:12.845837
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/hindi/pipeline2/analysis/chapters/drift_report_chapter4_chapter_4_jesus_the_messiah_vs_chapter4_chapter_4_jesus_the_messiah.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"4","0.9199","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, emphasizing the importance of understanding the expectations of Jesus' contemporaries in recognizing Him as the Messiah.","To understand who Jesus is, it helps to look at what people in His time were hoping the Messiah would be. These expectations shaped how they viewed Jesus and, in many cases, why they struggled to recognize Him as the fulfillment of God’s plan.","To understand who Jesus is, it is helpful to see what the people of His time expected from the Messiah। These expectations shaped how they saw Jesus and, in many cases, why they struggled to recognize Him as the fulfillment of God’s plan।"
"28","0.858","MEDIUM","no","paraphrase","The terms 'diverse' and 'various' convey similar meanings, indicating a range of Messianic beliefs without altering the doctrinal or intentional context.","### Diverse Messianic Beliefs","### Various Messianic Beliefs"
"36","0.8736","MEDIUM","no","paraphrase","The back-translation simplifies the title but retains the same conceptual meaning regarding the event of Jesus' anointing without altering any doctrinal or intentional aspects.","### The Anointing of Jesus","### Jesus' Anointing"
"44","0.856","MEDIUM","no","paraphrase","The terms 'proclaimed' and 'announced' are synonymous in this context, conveying the same intent and doctrinal meaning without altering the original message.","Jesus proclaimed:","Jesus announced:"
"45","0.859","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply rearranging the terms without altering the theological significance of the phrase.","- The good news (gospel) of the Kingdom.","- The good news of the kingdom (Gospel)।"
"46","0.8666","MEDIUM","yes","doctrinal","The term 'remission of sin' in the back-translation may imply a different theological nuance compared to 'pardon of sin' in the original, potentially affecting the understanding of the nature of forgiveness in a doctrinal context.","- Deliverance - forgiveness, pardon of sin, freedom.","- Deliverance - forgiveness, remission of sin, freedom।"
"48","0.8639","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that there are people to whom He came, with no significant change in meaning or intent.","The people He came to were:","The people to whom he came were:"
"49","0.854","MEDIUM","no","paraphrase","The back-translation retains the same meaning as the original, describing the emotional and spiritual state of being brokenhearted without any changes in doctrinal, logical, or intentional aspects.","- Brokenhearted - shattered emotionally and spiritually.","- The brokenhearted - shattered emotionally and spiritually।"
"50","0.8647","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, emphasizing the spiritual and physical aspects of being blind without altering the intent or logical structure.","- Blind - spiritually, and sometimes physically.","- The blind - spiritually, and sometimes physically as well।"
"51","0.8802","MEDIUM","no","paraphrase","The back-translation retains the original meaning and intent, with no significant changes in doctrinal or logical relationships.","- Poor - destitute, in poverty (spiritual and or physical).","- The poor - destitute, in poverty (spiritual and/or physical)।"
"53","0.9056","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply rephrasing 'by' to 'in this way' without altering the intent or doctrinal implications.","Jesus transformed these broken people by:","Jesus transformed these broken people in this way:"
