# Drift explanation generated 2026-01-30T16:27:58.356329
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/punjabi/pipeline2/analysis/chapters/drift_report_chapter8_chapter_8_holy_spirit_comforter_guide_and_power_vs_chapter8_chapter_8_holy_spirit_comforter_guide_and_power.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"22","0.9135","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, with slight variations in wording but no significant changes in conceptual or theological content.","The Holy Spirit is first and foremost, from and of God. The scriptures refer to the Spirit as the Spirit of God, or the Spirit of the Lord, or the Spirit of Christ, while these highlight different aspects, they are all one in the same. The Holy Spirit, being fully God, is also eternal and is holy (blameless, innocent, pure, not profane). Some translations refer to the Holy Spirit as the Holy Ghost.","The Holy Spirit, first and foremost, is from God and belongs to God. Scripture calls the Spirit the Spirit of God, or the Spirit of the Lord, or the Spirit of Christ; though these highlight different aspects, they are all the same. Being fully God, the Holy Spirit is both eternal and holy (sinless, blameless, pure, not impure). Some translations call the Holy Spirit the Holy Ghost."
"24","0.8684","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, using different wording but conveying the same ideas about the adjectives describing the Holy Spirit and their essential qualities.","There are several other core adjectives to describe the Holy Spirit. Each of these adjectives are used in conjunction with ‘the Spirit of’, meaning that these properties are vital to the definition of the Spirit. Example, the *Spirit of Truth* or the *Spirit of Life*.","There are also a few other fundamental descriptors used to describe the Holy Spirit. Each of these is used together with ‘of the Spirit’, which means these qualities are essential to defining the Spirit. For example, the Spirit of truth or the Spirit of life."
"25","0.7895","LOW","yes","doctrinal","The original phrase 'The Spirit of' suggests a possessive or defining relationship with the Spirit, while 'Of the Spirit:' implies a more detached or descriptive relationship, potentially altering the theological emphasis on the Spirit's role or nature.","The Spirit of:","Of the Spirit:"
"40","0.9121","MEDIUM","no","paraphrase","Both paragraphs convey the same core message about receiving Jesus through faith leading to salvation and the seal of the Holy Spirit, with only slight variations in wording.","When we accept Jesus by faith, we receive salvation and the seal of the Holy Spirit.","When we receive Jesus through faith, then we obtain salvation and the seal of the Holy Spirit."
"48","0.8424","LOW","no","paraphrase","The back-translation maintains the same doctrinal meaning and intent as the original, simply substituting 'Furthermore' for 'Upward' without altering the overall message about the Holy Spirit's testimony of Jesus.","### Upward-The Holy Spirit Testifies of Jesus","### Furthermore—the Holy Spirit Testifies of Jesus"
"58","0.8624","MEDIUM","no","paraphrase","Both phrases inquire about the relationship between a statement and Scripture, with no significant change in meaning. The terms 'align' and 'consistent' convey a similar concept regarding adherence to Scriptural teachings.","- Does this align with Scripture?","- Is this consistent with Scripture?"
"59","0.8555","MEDIUM","no","paraphrase","The back-translation uses 'glorify' instead of 'exalt,' but both terms convey a similar concept of honoring or elevating Jesus Christ, maintaining the original intent and doctrinal meaning.","- Does this exalt Jesus Christ?","- Does it glorify Jesus Christ?"
"84","0.8886","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same core message as the original, simply using different wording. Both emphasize the boldness and fearlessness in proclaiming the gospel with accompanying signs and wonders.","3.  **Proclamation**: They boldly declare the gospel, often with signs and wonders and miracles.","3.  **Preaching**: They fearlessly proclaim the Gospel, often with signs and wonders and miracles."
"105","0.8131","LOW","yes","doctrinal","The original emphasizes a personal and individual approach to prayer, suggesting a direct and intimate communication with God. The back-translation uses 'personally,' which may imply a similar meaning, but 'invite' can suggest a less direct engagement than 'call out,' potentially altering the urgency and nature of the prayer.","1.  Call out to Him **individually** in prayer, pause and wait for Him to speak.","1.  Invite him in prayer **personally**, pause, and wait for him to speak."
"106","0.8065","LOW","yes","intentional","The original paragraph emphasizes calling out to God as an act of collective worship within the church, while the back-translated version shifts the focus to inviting God, which may imply a more personal or individual approach rather than a communal one.","2.  Call out to Him as part of a **group** of people who know Him (the church), pause, and wait for Him to speak.","2.  As part of a **group** of people who know him (the Church), invite him, pause, and wait for him to speak."
"107","0.7653","LOW","yes","doctrinal","The original phrase 'call out' implies a direct action of speaking or expressing oneself, while the back-translated phrase 'invite' suggests a more passive or suggestive action, altering the intent and meaning of the communication.","I use the phrase ‘call out’ to mean literally, with your mouth, or however you speak (with your hands if you cannot speak aloud with your mouth). Why speak? A few reasons:","I use the phrase ‘invite’ to mean literally, with your mouth, or in whatever way you speak (with your hands if you cannot speak out loud with your mouth). Why speak? A few reasons:"
"110","0.9032","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea that speaking is a purposeful action aimed at initiating a conversation with another person, using slightly different wording but maintaining the original intent.","3.  Speaking is an intentional act, and indicates to the party you are talking to, that you’d like to engage them in a conversation.","3.  Speaking is a deliberate act, and it tells the one you are speaking with that you want to converse with him."
"113","0.8906","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same intent and meaning as the original, with only slight variations in wording that do not affect the overall message or theological implications.","Consider asking Him a question. It doesn’t have to be a deep theological question; it can start simple. Can you show me Your love for me? Why do I have a certain feeling? What would You like to tell me?","Consider asking him a question. It does not need to be a deep theological question; it can start simply. Can you show me your love for me? Why do I feel a particular way? What do you want to say to me?"
"118","0.901","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that a person speaking with God gains an immediate understanding that is beneficial. The terms 'knowing' and 'inner understanding' are synonymous in this context, indicating no significant change in meaning.","- A knowing - the person talking to God gets an immediate understanding that helps them.","- An inner understanding - the person speaking with God receives an immediate understanding that helps them."
"121","0.8828","MEDIUM","yes","doctrinal","The original phrase 'What will God say?' implies a certainty about God's future response, while 'What would God say?' introduces a hypothetical scenario, suggesting uncertainty or speculation about God's response.","#### What will God say?","#### What would God say?"
"124","0.8946","MEDIUM","no","paraphrase","Both paragraphs convey the same core message about the simplicity of maintaining dialogue or conversation, with no significant changes in meaning.","Keep the dialogue going! It’s really that simple.","Keep the conversation going! It really is that simple."
