# Drift explanation generated 2026-01-30T14:57:05.306890
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/chinese/pipeline2/analysis/chapters/drift_report_chapter3_chapter_3_sin_and_redemption_vs_chapter3_chapter_3_sin_and_redemption.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"2","0.9038","MEDIUM","no","paraphrase","The back-translated paragraph conveys the same concepts and ideas as the original, simply rephrasing the content without altering the doctrinal meaning or logical relationships.","Both Old and New Testaments use various terms for sin, each highlighting aspects like its type, severity, intent, victim, nature, and required punishment. There are several broad categorizations that the scriptures use to describe sin:","The Old and New Testaments use various terms to describe sin, each term emphasizing aspects such as its type, severity, intent, victim, nature, and the punishment required. The general categories Scripture uses to describe sin include the following："
"3","0.8246","LOW","no","paraphrase","The back-translation maintains the original concepts of sin against God, others, and oneself without altering the doctrinal meaning or intent.","- Sin against God, sin against man, sin against self","- Sins against God，sins against others，sins against oneself"
"4","0.8101","LOW","no","paraphrase","The back-translation maintains the same conceptual distinction between intentional and unintentional sins, using synonymous terms without altering the original meaning.","- Intentional sin, unintentional sin","- Willful sins，unintentional sins"
"5","0.7528","LOW","no","paraphrase","The back-translation maintains the original concepts of sin occurring in a single moment versus sin that is habitual, without altering the doctrinal meaning or intent.","- Sin of a single moment, sin habitually committed","- Momentary sins，habitual sins"
"6","0.7525","LOW","no","paraphrase","The back-translation maintains the original concepts of severe punishment and financial restitution for sins without altering their doctrinal meaning or logical relationships.","- Sin requiring severe punishment like death, sin requiring financial restitution","- Sins requiring severe punishment such as the death penalty，sins requiring monetary restitution"
"7","0.9083","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same distinctions and relationships between crime and sin as the original, without altering the doctrinal or logical meaning.","In our modern criminal justice systems, we have similar distinctions: degrees of crime, premeditated or crimes of passion, crimes requiring financial restitution, or incarceration, or even capital punishment. An act might be both a crime and a sin, but crime is man's categorization, sin is God’s.","In our modern criminal justice system there are similar distinctions：degrees of crimes，premeditated or crimes of passion，crimes requiring monetary restitution，or imprisonment, even the death penalty。An act may be both a crime and a sin, but crime is a human classification, whereas sin is God’s。"
"9","0.8982","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, simply using slightly different wording without altering the overall message about the seriousness of sin and the need for God's grace.","Here are some words the Scriptures use for sin. They help us understand how serious sin is-and how deeply we need God's grace.","Here are some of the words the Bible uses to describe sin。They help us understand how serious sin is-and how much we need God’s grace。"
"12","0.8923","MEDIUM","no","paraphrase","The back-translation maintains the same doctrinal meaning as the original, simply using 'every kind of sin' instead of 'every sin,' which does not alter the overall intent or logical relationship regarding the consequences of sin.","Every sin brings consequences-sometimes immediate, sometimes delayed, but always real.","Every kind of sin brings consequences-sometimes immediate, sometimes delayed, but always real。"
"13","0.8965","MEDIUM","no","paraphrase","The back-translation maintains the same doctrinal meaning and intent as the original, simply rephrasing it with slight variations in wording and structure.","Let's consider Cain’s murder of his brother Able in Genesis 4.","Let us consider Cain’s murder of his brother Abel in Genesis chapter 4。"
"18","0.8805","MEDIUM","no","paraphrase","Both sentences convey the same idea that the individual did not provide a sacrifice that meets the required standards, with no significant change in meaning.","1.  He failed to offer a proper sacrifice.","1.  He did not offer an appropriate sacrifice。"
