# Drift report generated 2026-01-30T15:57:26.428012
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter5_chapter_5_repentance_from_dead_works.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/nepali/pipeline2/backtranslation/chapters/chapter5_chapter_5_repentance_from_dead_works.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9682","HIGH","Oftentimes in Christianity we think about repentance as fundamental only to the beginning of our faith in Jesus. The heart of repentance goes much deeper than turning away from sin unto salvation. Repentance from dead works means living with our hearts turned away from the things that harm us or stunt our growth-and turned toward the things of God.","In Christianity we often consider repentance as merely foundational for the beginning of our faith in Jesus. The heart of repentance is much deeper than turning from sin and receiving salvation. Repentance from dead works means to live with our hearts turned away from things that harm us or hinder our growth- and turned toward the things of God."
"2","0.9281","HIGH","The author of Hebrews sets ‘repentance from dead works’ as the first item in the list of the foundational doctrines after the foundational principles of the Messiah (Chapter 4).","The author of the book of Hebrews places ‘repentance from dead works’ first in the list of elementary teachings that come after the foundational principles of Christ (chapter 4)."
"3","1.0","HIGH","<span class=""x-scripture"" data-book=""HEB"" data-chapter=""6"" data-lang=""en"" data-type=""quote"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""HEB"" data-chapter=""6"" data-lang=""en"" data-type=""quote"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"4","1.0","HIGH","> **<u>Hebrews 6:1</u>** (NKJV)\\n>\\n> Therefore, leaving the discussion of the elementary principles of Christ, let us go on to perfection, not laying again the foundation of repentance from dead works and of faith toward God,\\n>","> **<u>Hebrews 6:1</u>** (NKJV)\\n>\\n> Therefore, leaving the discussion of the elementary principles of Christ, let us go on to perfection, not laying again the foundation of repentance from dead works and of faith toward God,\\n>"
"5","1.0","HIGH","</span>","</span>"
"6","0.9103","MEDIUM","Let's take an in-depth look at the Greek for this phrase:","Let’s look in depth at the Greek words for this phrase:"
"7","1.0","HIGH","[See Table 4](../tables/table4.md)","[See Table 4](../tables/table4.md)"
"8","1.0","HIGH","### Dead Works","### Dead Works"
"9","0.933","HIGH","Every person who has ever been employed knows what work is. Work is the set of tasks that you undertake to receive a paycheck so you can earn a living (employment). Employment is an agreement to trade your talents and efforts for something of value that will help sustain you. You work because you get something out of it.","Anyone who has ever been employed knows what work is. Work is the set of actions you do to receive a wage and make a living (employment). Employment is an agreement to exchange your talent and effort for something of value that helps sustain you. You work because you get something from it."
"10","0.9782","HIGH","Our work is important, it can bring a sense of purpose, often a sense of identity. It's very common to be asked ‘What do you do for a living?’ and the response begins with a statement of identity ‘I am’. While work can be enjoyable and purposeful, it is also very likely to be physically or mentally tough, difficult, challenging, and stressful. If your job is none of these things, you might find it too menial and boring.","Our work is important; it can give a sense of purpose, and often a sense of identity. It is very common to be asked, ‘What do you do for a living?’ and the answer often begins with an identity statement, ‘I am ...’. Work can be enjoyable and purposeful, but it is also very likely to be physically or mentally demanding, hard, challenging, and stressful. If your work is none of these, you may find it extremely menial and tedious."
"11","0.9739","HIGH","If you work a 40-hour a week job, and sleep 8 hours per night, you spend 36% of your waking hours working, and this excludes the time you spend getting ready to work, commuting to work, taking care of a household, and all the other necessary tasks you need to do to keep the your life on track.","If you work a 40-hour week, and sleep 8 hours a night, you spend 36% of your waking hours at work, and this does not include the time spent getting ready for work, commuting, managing the household, and the other necessary tasks required to keep life running properly."
"12","0.9581","HIGH","Why do we do all this work? It varies, but definitionally because we get something of value from it.","Why do we do all this work? The reasons may vary, but by definition it is because we get something of value from it."
"13","0.871","MEDIUM","Would you continue to work at a job if they stopped paying you? For most of us the easy and painfully obvious answer is a resounding, NO!","If the pay stopped, would you continue doing the same job? For almost all of us the easy and painfully clear answer is, emphatically, no!"
"14","0.9307","HIGH","Would you continue to work at a job if it was killing you? I suppose it depends on how quickly.","If a job were killing you, would you continue to work at it? In my opinion, that would depend on how quickly it was happening."
"15","0.9578","HIGH","The context of ***nekros*** joined with ***erga*** is labor or work that is dead, has no vitality, cannot reproduce! The author of Hebrews is warning us of labor that is dead.","The context of the combination of ***nekros*** and ***erga*** indicates labor or work that is dead, that has no vitality, that cannot reproduce! The author of the book of Hebrews is warning us about such dead labor."
"16","0.9559","HIGH","In the study of biology, there are several criteria that are used to determine if an organism is alive (this is a partial list used for our purpose):","In the study of biology, there are certain criteria used to determine whether a living organism is alive (for our purposes this is only a partial list):"
"17","0.9756","HIGH","1.  **Metabolism**: Living things convert energy through metabolic processes to grow, develop, and sustain themselves.","1.  **Metabolism**: Living things transform energy through metabolic processes to grow, develop, and sustain themselves."
"18","0.9449","HIGH","2.  **Growth and Development**: Life involves growth and progression over time, with a specific life cycle and developmental changes.","2.  **Growth and Development**: Life shows increase and progressive change over time, with a specific life cycle and developmental changes."
"19","0.9684","HIGH","3.  **Reproduction**: Living things have the capacity to reproduce, creating offspring or new entities.","3.  **Reproduction**: Living things have the capacity to create offspring or new units, that is, to reproduce."
"20","0.9887","HIGH","4.  **Response to Stimuli**: Life responds to external stimuli (like light, heat, or sound) and can adjust to changes in the environment.","4.  **Response to stimuli**: Life responds to external stimuli (such as light, heat, or sound) and can adjust to changes in the environment."
"21","1.0","HIGH","5.  **Homeostasis**: Living organisms maintain internal stability, such as temperature regulation or pH balance.","5.  **Homeostasis**: Living organisms maintain internal stability, such as temperature regulation or pH balance."
"22","0.9506","HIGH","6.  **Adaptation**: Over time, living things can adapt to their environments through genetic changes, allowing survival in various conditions.","6.  **Adaptation**: Over time, living organisms can adapt to their environment through genetic changes, which helps them survive under different conditions."
"23","0.9154","MEDIUM","If we apply this standard of ‘life’ to our works with a bit of creative license, then dead works are those that:","If we apply this criterion of ‘life’ to our deeds with some creative freedom, then ‘dead works’ are those that:"
"24","0.983","HIGH","1.  Do not permit personal growth or development.","1.  Do not allow personal growth or development."
"25","0.9816","HIGH","2.  Do not reproduce, cannot produce a positive or desirable result.","2.  Do not reproduce, cannot produce positive or desirable results."
"26","0.9862","HIGH","3.  Do not respond to external stimuli, the light of God’s presence or the sound of His voice.","3.  Do not respond to external stimuli, to the light of God’s presence, or to the sound of His voice."
"27","0.9529","HIGH","4.  Do not maintain internal stability, become dis-regulated, are not self-controlled.","4.  Do not maintain internal stability, become unregulated, are not self-controlled."
"28","0.9828","HIGH","5.  Do not adapt (are too rigid) and no longer help us survive.","5.  Do not adapt (are excessively rigid) and no longer help us to survive."
"29","0.9834","HIGH","Dead works are not God’s desire for us. God wants to bring us life!","Dead works are not God’s desire for us. God wants to give us life!"
"30","0.9989","HIGH","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""10"" data-lang=""en"" data-type=""quote"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""10"" data-lang=""en"" data-type=""quote"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"31","0.9832","HIGH","> **<u>John 10:10</u>** (NKJV)\\n>\\n> The thief does not come except to steal, and to kill, and to destroy. I have come that they may have life, and that they may have it more abundantly.\\n>","> **<u>John 10:10</u>** (NKJV)\\n>\\n> The thief comes only to steal, to kill, and to destroy. I have come so that they may have life and have it abundantly.\\n>"
"32","1.0","HIGH","</span>","</span>"
"33","0.9274","HIGH","While dead versus alive is a binary. Dying is a gradient. Our dead works may not be completely dead across every single category, yet, but they will become so! Dead works are like poisons, some have greater effects.","The contrast between dead and alive is binary. Dying, however, is gradual. Our dead works may not be completely dead in every category right now, but they become so! Dead works are like poisons; some have a much greater effect."
"34","0.9677","HIGH","Poison hurts the body by preventing it from functioning normally. Some poisons have small effects, like a headache. Others affect how we think, see, or even if we can bear children (live fruitfully). Dead works are just like that. They may just be a headache, or they may cause death.","Poison harms the body by preventing it from functioning normally. Some poisons have minor effects, like a headache. Others affect the way we think, the way we see, or even whether we can bear children (live fruitfully). Dead works are the same. They may cause only a headache, or they may lead to death."
"35","0.9236","HIGH","Dead works are any works that in review and consideration are not bringing the abundant life that Jesus promised. Having an extra marital affair is very strong poison, it's likely to have a full and negative effect quite soon. Being a needlessly stubborn and resentful person will slowly poison a person until they’ve driven everyone away from them.","Dead works are any actions that, upon review and reflection, do not bring about the abundant life Jesus promised. Maintaining a relationship outside of marriage is an extremely potent poison; it is likely to have a swift, total, and negative impact. Being an unnecessarily stubborn and bitter person gradually poisons an individual, which ultimately pushes everyone away from them."
"36","0.9289","HIGH","To be delivered from dead works, we must repent!","To be freed from dead works, we must repent!"
"37","1.0","HIGH","### Repentance","### Repentance"
"38","0.9699","HIGH","To ‘repent from dead works’ is to turn to God and leave behind anything that is hurting our walk with Him-starting with a change of heart and mind.","To ‘repent from dead works’ means to turn to God and to give up anything that is harming our walk with Him - beginning with a change of heart and mind."
"39","0.9219","HIGH","Building on the analogy of poison for dead works, if you found out that your favorite snack was full of toxic heavy metals that would give you a fatal condition if consumed, what would you do? We would without hesitation put it away from us, and never enjoy it again. Realizing that to consume it means our untimely, and probably painful death.","Extending the metaphor of poison for dead works, if you found out that your favorite snack was full of toxic heavy metals that, if eaten, would bring about a fatal condition, what would you do? We would, without hesitation, keep it away from ourselves and never enjoy it again. Because we would understand that consuming it means our untimely, and perhaps painful, death."
"40","0.9397","HIGH","We must repent! We must turn away from the things of this life that are poisoning us and leading to both our natural and spiritual death.","We must repent! We must distance ourselves from those things in this life that are poisoning us and pushing us toward both natural and spiritual death."
"41","0.9671","HIGH","To understand this fully we need to look a bit deeper into the Greek language.","To understand this fully, we need to take a slightly deeper look at the Greek language."
"42","0.9025","MEDIUM","The term used in Hebrews is *repentance*. This is contrasted with the term *repent,* an example is found in","The term used in Hebrews is ‘repentance.’ It is compared with the term ‘to repent,’ an example of which is found in"
"43","1.0","HIGH","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""4"" data-lang=""en"" data-type=""quote"" data-verses=""17"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""4"" data-lang=""en"" data-type=""quote"" data-verses=""17"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"44","1.0","HIGH","> **<u>Matthew 4:17</u>** (NKJV)\\n>\\n> From that time Jesus began to preach and to say, ""Repent, for the kingdom of heaven is at hand.""\\n>","> **<u>Matthew 4:17</u>** (NKJV)\\n>\\n> From that time Jesus began to preach and to say, ""Repent, for the kingdom of heaven is at hand.""\\n>"
"45","1.0","HIGH","</span>","</span>"
"46","0.9734","HIGH","Repent (***Metanoeō***, pronounced *meh-tah-NO-eh-oh* - **G3340**) is a verb, it's an action or occurrence, it means to change one’s mind or purpose; to turn away from sin and toward God.","To repent (***Metanoeō***, pronounced *meh-tah-NO-eh-oh* - **G3340**) is a verb; it is an action or event; it means to change one’s mind or purpose; to turn away from sin and turn toward God."
"47","0.9947","HIGH","Repentance (***Metanoia***, pronounced *meh-TAH-noi-ah* - **G3341**) is a noun, it's a state of having repented, it means to have a change of mind; the state of having turned away from sin and toward God.","Repentance (***Metanoia***, pronounced *meh-TAH-noi-ah* - **G3341**) is a noun; it is the state of having repented; it means the mind has been changed; the state of having turned away from sin and turned toward God."
"48","0.9528","HIGH","When God says in Hebrews ‘*repentance from dead works*’ He is saying to be in the state of having repented! We are to live in a continual state of having ‘turned away’ from dead works.","When God says in Hebrews ‘repentance from dead works’ He is telling us to remain in the state of having repented! We must live in the continual state of having ‘turned away’ from dead works."
"49","0.9373","HIGH","How many times do we need to repent? Trick question! We need to continually change our minds until we are no longer doing dead works. To repent is **not asking for forgiveness, or apologizing**, although that might be involved. Repent is to turn away from the previous manner of thinking.","How many times should we repent? A trick question! We must keep changing our minds until we no longer do dead works. To repent is not to ask forgiveness, or to apologize, although that may be involved. To repent is to turn from the former way of thinking."
"50","0.9624","HIGH","## Changing Our Minds","## Changing Our Mind"
