# Drift report generated 2025-10-08T07:13:51.472427
# Source file: source/AUTOGEN/chapters/chapter0_6_preface.md
# Back translation: backtranslation/chapter0_6_preface.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9492","HIGH","## Building a Foundation that Lasts","## Building a Lasting Foundation"
"2","0.9555","HIGH","I have always had a fascination with questions. Why is *something* true? What made it that way? How do we know? How are we sure? If *something* is true, what else is true? What is false? This fascination goes beyond a desire to be correct on a surface level, but to know deeply and precisely, and to be able to clearly articulate the new gained understanding.","I have had a unique fascination with questions. Why is *something* true? What made it so? How can we know? How can we be sure? If *something* is true, what else is true? What is not true? This fascination goes beyond the desire to be superficially right, but to know deeply and accurately, and to be able to clearly explain the newly gained understanding."
"3","0.9641","HIGH","While communication is common, effective and precise communication is challenging. To effectively communicate a message the author and originator must have an idea. However, the idea alone like water on a hard surface-its edges and boundaries are poorly defined, fluid, and easily moved around.","Although communication is commonplace, effective and accurate communication is challenging. To convey a message effectively the author and originator must have an idea. However, an idea by itself is like water on a hard surface—its edges and boundaries are not well defined, it is fluid, and easy to be moved here and there."
"4","0.9617","HIGH","We use words, terms, and phrases to transform the raw idea from vaguely shaped to precisely shaped. Words give our idea a boundary, they help us distinguish and separate between what the idea is, and what it is not. Now our shaped idea must be transmitted and received through some medium. Whether in long form text, like this book, or short form text, like a social media post, or in oral form, like a conversation or a video recording, the medium transmits the now well-formed idea to the recipient.","We use words, terms, and phrases to transform a raw idea from an indistinct form into a well-defined one. Words give our idea its boundaries; they help us distinguish and separate between what the idea is and what it is not. Now our shaped idea must be sent and received through some channel. Whether by long-form writing, like this book, or short-form writing, like a social media post, or by spoken communication, such as a talk or a video recording, the medium of communication delivers to the recipient the idea that is now well-formed."
"5","0.9421","HIGH","So far, we’ve only discussed the originator and author of the idea. For an idea to be useful, the recipient must receive, decode, and understand the message accurately. The transmitted and received messages should align closely.","Up to now, we have only talked about the originator and the author of the idea. For an idea to be useful, the recipient must receive it, interpret it, and understand the message accurately. The message sent and the message received should closely align."
"6","0.9556","HIGH","Every great human work is the by-product of effective communication. One man’s labor can only accomplish so much. To really build or perform something great, many men (speaking here generically of mankind) must labor together in a shared purpose, with a shared idea. Barring naturally occurring disasters (like a volcanic eruption) we also know that the greatest calamities to ever occur usually did so in significant part because of missing, broken or distorted communication. Truly life and death are in the power of the tongue (<span class=""x-scripture"" data-type=""ref"" data-book=""Proverbs"" data-chapter=""18"" data-verses=""21"" data-lang=""en"" data-version=""NKJV"">Proverbs 18:21</span>).","Every great human endeavor is the product that results from effective communication. The work of one person can accomplish only a small amount. To truly build or execute something great, many people (speaking here broadly about human beings) must work together for a common purpose, with a shared idea. Except for disasters that occur naturally (like a volcanic eruption) we also know that the greatest catastrophes that have ever occurred largely happened because communication was absent, broken, or distorted. Truly life and death are in the power of the tongue (<span class=""x-scripture"" data-type=""ref"" data-book=""Proverbs"" data-chapter=""18"" data-verses=""21"" data-lang=""en"" data-version=""NKJV"">Proverbs 18:21</span>)."
"7","0.9777","HIGH","What we believe and how we communicate it has the power to build a person, a family, a community, a nation, or has the power to equally destroy them. What we believe is the foundation for our actions and is the blueprint for what we will do, who we will be, how we will exist. Because belief is expressed through action and communication, it defines the role we play in existence. Our beliefs shape not just our lives, but to a degree the lives of everyone around us.","What we believe and how we communicate it has the power to build up a person, a family, a community, a nation, or it equally has the power to destroy them. What we believe is the foundation of our actions and the map of what we will do, what we will become, and how we will live. Since belief is expressed through actions and communication, it defines the role we play in existence. Our beliefs shape not only our lives, but also to some extent the lives of everyone around us."
"8","0.8644","MEDIUM","We must establish our beliefs accurately and learn to share them effectively. Jesus said as much when he said to His disciples:","We must align our faith correctly and learn to share it effectively. Jesus said so when He told His disciples:"
"9","1.0","HIGH","<span class=""x-scripture"" data-type=""fragment"" data-book=""Matthew"" data-chapter=""28"" data-verses=""18-20"" data-lang=""en"" data-version=""NKJV"">","<span class=""x-scripture"" data-type=""fragment"" data-book=""Matthew"" data-chapter=""28"" data-verses=""18-20"" data-lang=""en"" data-version=""NKJV"">"
"10","0.9973","HIGH","> **<u>Matthew 28:18-20</u>** (NKJV) ***18** … ""All authority has been given to Me in heaven and on earth.* ***19** Go therefore and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit, **20** teaching them to observe all things that I have commanded you; and lo, I am with you always, even to the end of the age."" Amen.*","> **<u>Matthew 28:18-20</u>** (NKJV) ***18** … ""All authority has been given to Me in heaven and on earth.* ***19** Therefore go and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit, **20** teaching them to observe all things I have commanded you; and behold, I am with you always, even to the end of the age."" Amen.*"
