# Drift explanation generated 2026-01-30T15:31:02.273056
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/somali/pipeline2/analysis/chapters/drift_report_chapter14_back_4_end_of_chapter_activities_vs_chapter14_back_4_end_of_chapter_activities.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"3","0.7943","LOW","no","paraphrase","The back-translated title 'Aligning Scripture' conveys the same concept as 'Scripture Match-Up' without altering the doctrinal meaning, logical relationship, or intent of the original.","### Activity 1: Scripture Match-Up","### Activity 1: Aligning Scripture"
"4","0.7148","CRITICAL","no","paraphrase","The terms 'Purpose' and 'Objective' are synonymous in this context, and the overall intent of the paragraphs remains unchanged.","#### Purpose:","#### Objective:"
"13","0.9115","MEDIUM","no","paraphrase","The back-translation maintains the same directive to read Scripture aloud, with only a slight modification in wording that does not alter the overall meaning or intent.","- **Read their assigned Scripture** aloud.","- **Read the assigned Scripture passage** aloud."
"18","0.715","CRITICAL","no","paraphrase","The terms 'Purpose' and 'Objective' are synonymous in this context, and thus the translation does not alter the original meaning.","#### Purpose:","#### Objective:"
"28","0.7078","CRITICAL","no","paraphrase","The back-translation uses 'write' instead of 'list,' but both phrases convey the same intent of identifying and presenting relevant scriptures. There is no significant change in doctrinal meaning or logical relationship.","- **List 1-2 Scriptures** that address the issue.","- **Write 1-2 verses** that address the issue."
"31","0.887","MEDIUM","no","paraphrase","The change from 'Activity' to 'Task' does not alter the doctrinal meaning, logical relationship, or intent of the original text; it simply uses a different word with a similar meaning.","### Activity 3: Statement or Scripture?","### Task 3: Statement or Scripture?"
"32","0.7149","CRITICAL","no","paraphrase","The terms 'Purpose' and 'Objective' are synonymous in this context, and the overall meaning remains unchanged.","#### Purpose:","#### Objective:"
"43","0.9174","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that sound doctrine is not more important than love for others, maintaining the original intent and logical relationship without altering the doctrinal meaning.","3.  *Sound doctrine isn’t as important as loving others.* *(False - <span class=""x-scripture"" data-book=""1TI"" data-chapter=""4"" data-lang=""en"" data-type=""ref"" data-verses=""16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Timothy 4:16</span>)*","3.  *Right doctrine is not more important than love for others.* *(False - <span class=""x-scripture"" data-book=""1TI"" data-chapter=""4"" data-lang=""en"" data-type=""ref"" data-verses=""16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Timothy 4:16</span>)*"
"48","0.7149","CRITICAL","no","paraphrase","The terms 'Purpose' and 'Objective' are synonymous in this context, and the overall intent and meaning of the original text remain unchanged.","#### Purpose:","#### Objective:"
"59","0.715","CRITICAL","no","paraphrase","The terms 'Purpose' and 'Objective' are synonymous in this context, and the overall meaning remains unchanged.","#### Purpose:","#### Objective:"
