# Drift explanation generated 2026-01-30T16:25:35.859758
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/punjabi/pipeline2/analysis/chapters/drift_report_chapter4_chapter_4_jesus_the_messiah_vs_chapter4_chapter_4_jesus_the_messiah.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"2","0.8929","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationships as the original, simply using different wording without altering the core concepts regarding sin and atonement.","Even with all the sacrifices for sin, they still weren’t enough-not because God failed, but because people continued to choose sin. While animal sacrifice could provide limited atonement, no amount of animal sacrifice was able to change the sinful nature of men.","Despite all the sacrifices for sin, they still were not enough—not because God failed, but because people kept choosing sin. While the sacrifice of animals could provide atonement to some extent, no amount of animal sacrifice could change the sinful nature of man।"
"4","0.9009","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, emphasizing the importance of understanding the expectations of the Messiah in relation to recognizing Jesus. There are no significant changes in doctrinal meaning, logical relationships, or intent.","To understand who Jesus is, it helps to look at what people in His time were hoping the Messiah would be. These expectations shaped how they viewed Jesus and, in many cases, why they struggled to recognize Him as the fulfillment of God’s plan.","To understand who Jesus is, it is helpful to see what people of his time expected of the Messiah. These expectations shaped how they viewed Jesus and, in many cases, why they found it difficult to recognize him as the fulfillment of God’s plan।"
"12","0.9117","MEDIUM","no","paraphrase","The back-translation maintains the original doctrinal meaning and intent, with only slight variations in wording. Both paragraphs convey the same theological concepts regarding Jesus' kingship and the nature of His kingdom.","- **Truth:** Jesus is a King, but His kingdom is not earthly (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""36"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 18:36</span>). He established a spiritual kingdom through His first coming, but He will return as a conquering King to judge and rule in righteousness, as described in the book of Revelation (<span class=""x-scripture"" data-book=""REV"" data-chapter=""19"" data-lang=""en"" data-type=""ref"" data-verses=""11-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 19:11-16</span>).","- **Reality:** Jesus is a king, but his kingdom is not of this world (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""36"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 18:36</span>)। He established a spiritual kingdom at his first coming, but he will return as the conquering King to judge and reign in righteousness, as described in the book of Revelation (<span class=""x-scripture"" data-book=""REV"" data-chapter=""19"" data-lang=""en"" data-type=""ref"" data-verses=""11-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 19:11-16</span>)।"
"28","0.8869","MEDIUM","no","paraphrase","Both phrases convey the same concept of varying beliefs regarding the Messiah without altering the doctrinal meaning or intent.","### Diverse Messianic Beliefs","### Diverse beliefs about the Messiah"
"36","0.8361","LOW","yes","doctrinal","The original phrase 'The Anointing of Jesus' suggests a specific theological event or significance related to Jesus' anointing, while 'Jesus’ anointing' is more general and lacks the same doctrinal weight, potentially altering the understanding of its importance.","### The Anointing of Jesus","### Jesus’ anointing"
"45","0.8627","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply rearranging the terms without altering the theological significance of 'good news' and 'Kingdom'.","- The good news (gospel) of the Kingdom.","- The good news of the Kingdom (Gospel)।"
"46","0.7085","CRITICAL","yes","doctrinal","The term 'deliverance' in the original emphasizes a broader concept of freedom and forgiveness, while 'salvation' in the back-translation specifically refers to the act of being saved from sin, which may imply a more specific theological context.","- Deliverance - forgiveness, pardon of sin, freedom.","- Salvation - forgiveness, the remission of sin, freedom।"
"47","0.8642","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply rearranging the order of the words without altering the theological significance.","- The acceptable year (season) of the lord.","- The acceptable year of the Lord (season)।"
"49","0.8182","LOW","no","paraphrase","Both paragraphs convey the same emotional and spiritual state of being brokenhearted, with no significant changes in meaning or intent.","- Brokenhearted - shattered emotionally and spiritually.","- The broken-hearted - broken emotionally and spiritually।"
"50","0.8642","MEDIUM","no","paraphrase","The back-translation maintains the original meaning by conveying the same concepts of spiritual and physical blindness without altering the intent or doctrinal implications.","- Blind - spiritually, and sometimes physically.","- The blind - spiritually, and sometimes physically as well।"
"51","0.7951","LOW","no","paraphrase","Both paragraphs convey the same concept of being in a state of poverty, whether spiritual or physical, with only slight variations in wording that do not alter the overall meaning.","- Poor - destitute, in poverty (spiritual and or physical).","- The poor - needy, in poverty (spiritual and/or physical)।"
"52","0.8935","MEDIUM","yes","doctrinal","The original paragraph emphasizes the concept of captives being taken against their will, while the back-translation introduces the specific imagery of being 'bound in chains,' which may imply a more physical and restrictive condition than the original's broader notion of bondage.","- Captives - meaning ‘taken with a spear’ representing those held in bondage against their own will.","- The captives - meaning ‘taken with a spear,’ representing those who are bound in chains against their will।"
"53","0.9056","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, simply rephrasing it without altering the intent or doctrinal implications.","Jesus transformed these broken people by:","Jesus transformed these broken people in this way:"
"54","0.8422","LOW","no","paraphrase","Both phrases convey the same concept of regaining or restoring vision, with no significant change in meaning or intent.","- Recovering sight","- Restoration of sight"
"55","0.7201","CRITICAL","yes","doctrinal","The original phrase 'set in a state of liberty' implies a condition of being free that is established or recognized, while 'establishing in a state of freedom' suggests an active process of creating freedom, altering the emphasis from a condition to an action.","- Set in a state of liberty","- Establishing in a state of freedom"
"59","0.9105","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, simply using different wording without altering the core message about Jesus' mission to humanity.","God sent Jesus to repair, rebuild, restore, and reconcile mankind to Himself. (2 Cor 5:17-21)","God sent Jesus so that He would repair, rebuild, restore humanity, and reconcile humans to Himself। (2 Corinthians 5:17-21)"
"60","0.8869","MEDIUM","no","paraphrase","The terms 'necessary' and 'essential' are synonymous in this context, conveying the same core idea about the importance of Jesus's work without altering the doctrinal meaning or intent.","### The Necessary Work of Jesus","### The Essential Work of Jesus"
"70","0.8771","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea of being kept safe from danger, with only slight variations in word choice ('implies' vs. 'denotes' and 'preserved' vs. 'guarded'). There are no significant changes in meaning.","- Implies being kept safe, protected, or preserved from danger.","- Denotes being kept safe, protected, or guarded from danger."
"79","0.701","CRITICAL","no","paraphrase","The phrase 'Born Again' and 'The New Birth' convey the same theological concept of spiritual rebirth in Christianity, with no significant change in meaning.","### Born Again","### The New Birth"
