# Drift explanation generated 2026-01-30T02:23:57.189005
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/hindi/pipeline2/analysis/chapters/drift_report_chapter1_chapter_1_sound_doctrine_matters_vs_chapter1_chapter_1_sound_doctrine_matters.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"1","0.7987","LOW","no","paraphrase","Both paragraphs convey the same core idea about doctrine as foundational truths rooted in Scripture and lived out in daily life, with no significant changes in meaning or intent.","Doctrine simply means the core truths we believe and teach-truths passed on by faithful people of God, rooted in Scripture, and lived out in our daily walk.","The simple meaning of doctrine is the foundational truths we believe and teach—truths entrusted by God’s faithful people, embedded in Scripture, and lived out in our daily lives."
"2","0.8764","MEDIUM","yes","doctrinal","The original paragraph emphasizes sharing 'His doctrine,' which implies a specific set of beliefs, while the back-translation uses 'His instruction,' which is broader and may not convey the same doctrinal specificity.","When Jesus instructed His church to ‘teach’, He was instructing them to share His doctrine.","When Jesus described His church as ‘teaching,’ He was commanding them to share His instruction."
"18","0.9099","MEDIUM","no","paraphrase","Both paragraphs convey the same core message about the necessity of building one's life on faith to withstand various challenges. The wording is different, but the doctrinal meaning and intent remain consistent.","We cannot expect our lives to stand strong in the face of difficulties, challenges, tribulations, persecutions, or just ordinary life if we have not built our lives on the strong rock of faith.","If we have not built our lives on the solid rock of faith, we cannot expect our lives to remain firm in difficulties, challenges, tribulations, upheavals, or even in the ordinary circumstances of life."
"20","0.9172","MEDIUM","no","paraphrase","Both paragraphs convey the same core message about the importance of personal spiritual growth and the responsibility to teach and disciple others in the faith, with only slight variations in wording.","Jesus’ charge extends beyond us. It’s great that we become whole, healthy, disciplined, submitted to God, but we must teach, train, equip, lead, and disciple others into the faith as well!","Jesus’ command extends beyond us. It is very good that we become whole, healthy, disciplined, and submit to God, but we must also teach, train, equip, lead, and make disciples of others in the faith!"
"41","0.8795","MEDIUM","yes","doctrinal","The original emphasizes that the church has been given gifts for the purpose of bringing us to maturity, while the back-translation suggests that God is the one bringing us to maturity through these gifts, which alters the focus from the church's role to God's direct action.","God has given the church these special gifts to bring us to maturity, so we can and are:","God has given these special gifts to the Church so that He might bring us to maturity, and that we:"
"43","0.8512","MEDIUM","no","paraphrase","The phrases 'unified in the faith' and 'united in the faith' convey the same concept of collective belief and agreement among individuals, with no significant change in meaning.","- Unified in the faith","- united in the faith"
"44","0.8861","MEDIUM","no","paraphrase","The phrases 'full of' and 'filled with' convey the same concept of possessing knowledge of God, maintaining the original intent and meaning without any significant change.","- Full of the knowledge of God","- filled with the knowledge of God"
"47","0.9172","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that without sound doctrine or teaching, individuals will be vulnerable and easily influenced. The phrasing is slightly different, but the core message remains intact.","Without sound doctrine we will be <u>children, tossed about and carried off.</u>","Without sound teaching we will be <u>children, who are tossed to and fro and carried away.</u>"
"50","0.8944","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that a naive person cannot differentiate between good and bad, with 'actors' and 'people' being interchangeable in this context.","- Naive - unable to discern between good and bad actors.","- Naive - unable to distinguish between good and bad people."
"51","0.8535","MEDIUM","no","paraphrase","Both paragraphs convey the idea of being focused on the present moment, with no significant change in meaning. The terms 'temporal and the now' and 'momentary and immediate' essentially express the same concept of self-centeredness.","- Self-centered - concerned with the temporal and the now.","- Self-centered - engaged only in what is momentary and immediate."
