# Drift explanation generated 2026-02-01T01:37:52.704149
# Source drift file: /Users/andrew/repo/kli-translation-pipeline_principles-of-faith/japenese/pipeline2/analysis/chapters/drift_report_chapter1_chapter_1_sound_doctrine_matters_vs_chapter1_chapter_1_sound_doctrine_matters.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"1","0.7377","CRITICAL","no","paraphrase","The back-translated paragraph maintains the same core truths and concepts as the original, using slightly different wording but conveying the same doctrinal meaning regarding the nature of doctrine.","Doctrine simply means the core truths we believe and teach-truths passed on by faithful people of God, rooted in Scripture, and lived out in our daily walk.","Teaching is, simply put, the core truths we believe and teach - truths handed down by people faithful to God, rooted in Scripture, and lived out in our daily walk."
"2","0.8385","LOW","yes","doctrinal","The original paragraph uses the term 'doctrine', which implies a formal set of beliefs, while the back-translation uses 'teaching', which is broader and may not convey the same formal doctrinal significance.","When Jesus instructed His church to ‘teach’, He was instructing them to share His doctrine.","When Jesus commanded His own church to 「teach」, He was commanding them to share His own teaching."
"6","0.9144","MEDIUM","yes","doctrinal","The original paragraph emphasizes learning and replicating Jesus' teachings, suggesting a voluntary and personal approach, while the back-translated version uses the word 'commands,' which implies a more authoritative and obligatory tone, altering the nature of the relationship between Jesus and His followers.","In other words, Jesus is instructing all of us to learn His teachings and to replicate them in others.","In other words, Jesus commands all of us to learn His own teaching and reproduce it in others."
"13","0.6471","CRITICAL","yes","doctrinal","The term 'doctrine' in the original implies a formal set of beliefs or teachings, often associated with a religious or philosophical context, whereas 'teaching' in the back-translation is more general and may not carry the same weight or specificity.","## Why Should We Study Doctrine?","## Why should we learn the teaching?"
"18","0.9101","MEDIUM","no","paraphrase","Both paragraphs convey the same core message about the necessity of building one's life on faith to withstand various challenges, maintaining the original intent and logical structure.","We cannot expect our lives to stand strong in the face of difficulties, challenges, tribulations, persecutions, or just ordinary life if we have not built our lives on the strong rock of faith.","When faced with difficulties, challenges, tribulation, persecution, or simply everyday life, if we have not built our lives on the solid rock of faith, we cannot expect to keep standing strong."
"19","0.9096","MEDIUM","no","paraphrase","Both paragraphs convey the same message about the necessity of active participation in both gym and faith to realize the full benefits of membership, without any significant changes in meaning.","It takes more than a gym membership to make a person healthy and physically fit. You must continue in the discipline of the gym to get the full benefits of membership. Likewise, we cannot merely attend a church or casually claim to be Christians, we all must become educated, trained, equipped, disciplined in the faith, only then will we realize the full benefits of membership!","A gym membership card alone does not make a person healthy and fit. To receive the full benefits of being a member, one must continue training at the gym. In the same way, we must not merely attend church or casually claim to be Christians. All of us must be educated, trained, equipped, and disciplined in the faith. Only then will we truly experience the blessings of membership！"
"20","0.855","MEDIUM","no","paraphrase","Both paragraphs convey the same core message about the importance of not only personal spiritual growth but also the responsibility to teach and disciple others in the faith. The differences in wording do not alter the overall intent or doctrinal meaning.","Jesus’ charge extends beyond us. It’s great that we become whole, healthy, disciplined, submitted to God, but we must teach, train, equip, lead, and disciple others into the faith as well!","Jesus’ mission does not stop with us alone. It is wonderful for us to become complete, healthy, trained, and obedient to God, but at the same time, we must teach, train, equip, guide, and raise others as disciples to lead them to faith!"
"21","0.9156","MEDIUM","no","paraphrase","The back-translation maintains the same core message and intent as the original, emphasizing the importance of studying doctrine and discipline for building a strong foundation in life.","Why should we study doctrine and become disciplined? To build our lives on the rock!","Why should we learn doctrine and become trained? To build our lives on the rock!"
"28","0.9012","MEDIUM","no","paraphrase","Both paragraphs convey the same essential idea that disciples, having received training, are able to follow the commands of the Master, and that all individuals in the New Testament church have a calling. The differences in wording do not alter the underlying meaning.","Disciples, having been taught discipline, can carry out the master’s commandments. Every person in the New Testament church is called to:","A disciple who has been trained can carry out the Master’s commands. Everyone in the New Testament church is called to the following:"
"29","0.9026","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea of becoming a disciple through submission to sound doctrine, with slight variations in wording but no significant change in meaning.","1.  Be a disciple -\\\\> subject ourselves to the discipline of sound doctrine.","1.  Become a disciple -\\\\> Submit yourself to training in sound doctrine."
"32","0.8204","LOW","no","paraphrase","Both paragraphs convey the same reassuring message that support is available, with no significant changes in meaning or intent.","Don’t worry, we do not have to go this alone.","Don’t worry; you don’t have to go through this alone."
"41","0.8704","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea that God has bestowed special gifts upon the church to facilitate spiritual maturity, with no significant changes in doctrinal meaning, logical relationships, or intent.","God has given the church these special gifts to bring us to maturity, so we can and are:","God has given these special gifts to the church to lead us into maturity. That is, we can, and are being made into people who:"
"42","0.74","CRITICAL","yes","doctrinal","The original phrase emphasizes the ability to perform work and produce results, suggesting a potential for action and productivity. The back-translated version simplifies this to merely stating the actions without the implication of capability or potential, altering the doctrinal nuance.","- Able to do work and bear fruit","- do the work and bear fruit"
"43","0.8243","LOW","no","paraphrase","Both phrases convey the same core idea of individuals being collectively aligned in their beliefs. The change in wording does not alter the underlying meaning.","- Unified in the faith","- are united in faith"
"44","0.8901","MEDIUM","yes","doctrinal","The original phrase suggests a state of being characterized by the fullness of God's knowledge, while the back-translated version implies an active condition or ongoing state, which may alter the interpretation of how one possesses or experiences that knowledge.","- Full of the knowledge of God","- are full of the knowledge of God"
"45","0.8237","LOW","yes","doctrinal","The original term 'Mature' suggests a state of being or quality, while 'are mature' indicates a condition of existence. This shifts the focus from a descriptive quality to a more definitive state, altering the doctrinal implication.","- Mature","- are mature"
"46","0.8334","LOW","yes","logical","The original phrase 'Not like children' suggests a comparison that implies a difference, while the back-translated version 'are not like children' presents a definitive statement. This change alters the logical relationship by making it more assertive rather than comparative.","- Not like children","- are not like children"
"48","0.917","MEDIUM","no","paraphrase","The back-translation maintains the same doctrinal meaning and logical relationship as the original, simply rephrasing the text without altering its intent or theological implications.","Children are an important part of the family of God, but children are inherently:","Children are an important part of God’s family, but children are by nature:"
"50","0.6154","CRITICAL","yes","doctrinal","The original term 'naive' implies a lack of sophistication in judgment, while 'simple' suggests a more general lack of complexity. Additionally, 'good and bad actors' is more specific than 'the good from the evil,' which could alter the interpretation of moral discernment.","- Naive - unable to discern between good and bad actors.","- Simple — unable to distinguish the good from the evil."
"51","0.9166","MEDIUM","no","paraphrase","Both paragraphs convey the same idea of being self-centered as a focus on the temporary and immediate aspects of life, with no significant changes in meaning.","- Self-centered - concerned with the temporal and the now.","- Self-centered — concerned only with the temporary, with the here and now."
"55","0.9061","MEDIUM","no","paraphrase","The back-translation maintains the same doctrinal meaning and intent as the original, simply rephrasing the sentence without altering its core message.","Paul charged his spiritual son in the Lord Timothy saying:","Paul charged Timothy, his spiritual son in the Lord, as follows:"
"61","0.9075","MEDIUM","yes","doctrinal","The back-translated paragraph omits significant portions of the original text, including warnings about specific behaviors and the consequences of such actions, which alters the doctrinal emphasis on moral decay and the importance of turning away from corrupt influences.","> **<u>2 Timothy 3:1-9</u>** (NKJV)\\\\n>\\\\n> But know this, that in the last days perilous times will come:\\\\n>\\\\n> For men will be lovers of themselves, lovers of money, boasters, proud, blasphemers, disobedient to parents, unthankful, unholy,\\\\n>\\\\n> unloving, unforgiving, slanderers, without self-control, brutal, despisers of good,\\\\n>\\\\n> traitors, headstrong, haughty, lovers of pleasure rather than lovers of God,\\\\n>\\\\n> having a form of godliness but denying its power. And from such people turn away!\\\\n>\\\\n> For of this sort are those who creep into households and make captives of gullible women loaded down with sins, led away by various lusts,\\\\n>\\\\n> always learning and never able to come to the knowledge of the truth.\\\\n>\\\\n> Now as Jannes and Jambres resisted Moses, so do these also resist the truth: men of corrupt minds, disapproved concerning the faith;\\\\n>\\\\n> but they will progress no further, for their folly will be manifest to all, as theirs also was.\\\\n>","> **<u>2 Timothy 3:1-9</u>** (NKJV)\\\\n>\\\\n> But know this, that in the last days perilous times will come:\\\\n>\\\\n> For men will be lovers of themselves, lovers of money, boasters, proud, blasphemers, disobedient to parents, unthankful, unholy,\\\\n>\\\\n> unloving, unforgiving, slanderers, without self-control"
"87","0.7119","CRITICAL","yes","doctrinal","The original paragraph refers to 'His doctrines' in a plural sense, suggesting multiple teachings, while the back-translation refers to 'the doctrine of the Lord' in a singular sense, which may imply a more unified or singular teaching. This alters the understanding of the scope of the teachings being discussed.","What are His doctrines, what will we study?","What is the doctrine of the Lord? What will we learn?"
"93","0.9156","MEDIUM","yes","doctrinal","The original phrase 'Principle doctrines' suggests multiple foundational teachings, while the back-translation 'basic doctrine' implies a singular, overarching teaching. This change alters the understanding of the number and nature of the doctrines associated with Christ.","1.  Principle doctrines of the Christ (the Anointed One)","1.  The basic doctrine of Christ (the Anointed One)"
"100","0.9047","MEDIUM","no","paraphrase","Both paragraphs convey the same idea of studying essential aspects of the Christian faith, with only slight variations in wording. The core message remains intact.","We will also study core elements of our Christian walk:","We will also learn the core elements in our walk as Christians:"
