# Drift report generated 2026-02-01T01:32:39.268652
# Source file: /Users/andrew/repo/principles-of-faith/english/chapters/chapter0_6_preface.md
# Back translation: /Users/andrew/repo/kli-translation-pipeline_principles-of-faith/japenese/pipeline2/backtranslation/chapters/chapter0_6_preface.md
"id","similarity","translation_quality","source","back_translation"
"1","0.8739","MEDIUM","## Building a Foundation that Lasts","## Building an Enduring Foundation"
"2","0.9155","MEDIUM","I have always had a fascination with questions. Why is *something* true? What made it that way? How do we know? How are we sure? If *something* is true, what else is true? What is false? This fascination goes beyond a desire to be correct on a surface level, but to know deeply and precisely, and to be able to clearly articulate the new gained understanding.","I have long been captivated by questions. Why is *something* true? What made it so? How do we know? How can we be certain? If *something* is true, what else is true? What is false? This captivation goes beyond a desire to be superficially right; it moves toward knowing deeply and precisely, and being able to articulate newly gained understanding clearly."
"3","0.9284","HIGH","While communication is common, effective and precise communication is challenging. To effectively communicate a message the author and originator must have an idea. However, the idea alone like water on a hard surface-its edges and boundaries are poorly defined, fluid, and easily moved around.","Communication is common, but effective and accurate communication is difficult. To convey a message effectively, the originator and author must have an idea. Yet that idea by itself is like water on a hard surface—its contours and boundaries are indistinct, fluid, and easily stirred up."
"4","0.9582","HIGH","We use words, terms, and phrases to transform the raw idea from vaguely shaped to precisely shaped. Words give our idea a boundary, they help us distinguish and separate between what the idea is, and what it is not. Now our shaped idea must be transmitted and received through some medium. Whether in long form text, like this book, or short form text, like a social media post, or in oral form, like a conversation or a video recording, the medium transmits the now well-formed idea to the recipient.","We use words, terms, and turns of phrase to transform raw ideas from a vague form into a precise one. Words give ideas boundaries and help distinguish and separate what the idea is and what it is not. Our shaped ideas must be transmitted and received through some medium. Whether in long form like this book, in short form like a social media post, or in spoken form like a conversation or video, the medium conveys well-formed ideas to the recipient."
"5","0.9618","HIGH","So far, we’ve only discussed the originator and author of the idea. For an idea to be useful, the recipient must receive, decode, and understand the message accurately. The transmitted and received messages should align closely.","Thus far, we have spoken only of the originator and author of an idea. For an idea to be useful, the recipient must accurately receive, decode, and understand the message. The message sent and the message received should closely align."
"6","0.9464","HIGH","Every great human work is the by-product of effective communication. One man’s labor can only accomplish so much. To really build or perform something great, many men (speaking here generically of mankind) must labor together in a shared purpose, with a shared idea. Barring naturally occurring disasters (like a volcanic eruption) we also know that the greatest calamities to ever occur usually did so in significant part because of missing, broken or distorted communication. Truly life and death are in the power of the tongue (<span class=""x-scripture"" data-book=""PRO"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""21"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Proverbs 18:21</span>).","Every great human achievement is a byproduct of effective communication. There is only so much that can be accomplished by the labor of a single person. To build and carry out something truly great, many people (here I mean humanity in general) must work together under a common purpose and common ideas. Except for spontaneous natural disasters (such as volcanic eruptions), we also know that many of the greatest calamities that have ever occurred arose in large part because communication was missing, broken, or distorted. Truly, life and death are in the power of the tongue (<span class=""x-scripture"" data-book=""PRO"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""21"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Proverbs 18:21</span>)."
"7","0.9405","HIGH","What we believe and how we communicate it has the power to build a person, a family, a community, a nation, or has the power to equally destroy them. What we believe is the foundation for our actions and is the blueprint for what we will do, who we will be, how we will exist. Because belief is expressed through action and communication, it defines the role we play in existence. Our beliefs shape not just our lives, but to a degree the lives of everyone around us.","What we believe and how we communicate it has the power to build people, families, communities, and nations—and likewise the power to destroy them. What we believe is the foundation for action and the blueprint for what we do, who we become, and how we exist. Because faith is expressed through action and communication, it defines the role we play in existence. Our beliefs shape not only our own lives but, to some extent, the lives of everyone around us."
"8","0.8774","MEDIUM","We must establish our beliefs accurately and learn to share them effectively. Jesus said as much when he said to His disciples:","We must learn to establish our faith accurately and to share it effectively. Jesus spoke precisely to this when He said to His disciples,"
"9","1.0","HIGH","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""fragment"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""fragment"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"10","0.9901","HIGH","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.\\n>\\n> Go therefore and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all things that I have commanded you; and lo, I am with you always, even to the end of the age."" Amen.\\n>","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> And Jesus came to them and said, ""All authority in heaven and on earth has been given to Me.\\n>\\n> Therefore, go and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all that I have commanded you. Behold, I am with you always, to the end of the age."" Amen.\\n>"
"11","1.0","HIGH","</span>","</span>"
"12","0.9791","HIGH","Many Christians today desire a stronger faith but lack a clear foundation to build upon. Without solid doctrine, we lack the firm foundation we need to stand strong; we risk being swayed by false teaching, discouraged in trials, or unprepared for the work God has called us to do. This book is designed to equip you with the foundational teachings of Scripture-truths that strengthen your faith, deepen your walk with Christ, and empower you to live a Spirit-filled life.","Today, many Christians desire a stronger faith, yet they lack a clear foundation on which to build. Without solid doctrine, we lose the firm footing needed to stand, we are shaken by false teaching, discouraged in trials, or left unprepared for the work God has entrusted to us. This book is designed to equip you with the foundational teachings of Scripture—the truths that strengthen your faith, deepen your walk with Christ, and empower you to live a Spirit-filled life."
"13","0.9882","HIGH","The Apostle Paul urged believers to be “*rooted and built up in Him and established in the faith*” (<span class=""x-scripture"" data-book=""COL"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Colossians 2:7</span>). To grow into mature, Spirit-led believers, we must first have deep roots in God’s truth. This is why doctrine matters. It is more than information; it is the framework that shapes how we live and respond to God.","The apostle Paul urged believers to be ""*rooted and built up in Him and established in the faith*"" (<span class=""x-scripture"" data-book=""COL"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Colossians 2:7</span>). To grow into mature, Spirit-led believers, we must first take deep root in God’s truth. This is why doctrine matters. It is more than mere information; it is the framework that shapes how we live and how we respond to God."
"14","0.9659","HIGH","## Why This Book, Who Is it For?","## Why This Book, and Who Is It For?"
"15","0.9748","HIGH","The teachings in this book are meant to educate and encourage you, the reader, in the foundational doctrines of the New Testament church. It is my hope that these beliefs will convince and inspire your walk of faith to plant deep roots in Christ and to come to know Him personally.","The teachings in this book are intended to educate and encourage you, the reader, in the foundational doctrines of the New Testament Church. I hope these beliefs will assure and inspire your walk of faith, root you more deeply in Christ, and lead you to know Him personally."
"16","0.968","HIGH","These teachings are framed and shaped by my experience in the church, particularly in Charismatic or Pentecostal manifestations. The composition of the teachings in this book builds upon my own personal study of the scripture, formal and informal education, and from my experience in close to twenty years involvement in ministry, much of that time being an ordained minister. My background includes youth and children’s ministry, evangelistic outreach and revival ministry, discipleship, pastoral counseling, and church and ministry administration.","These teachings are framed and shaped by my experiences in the church, particularly by charismatic and Pentecostal manifestations. The structure of the teachings in this book is based on my own study of Scripture, formal and informal education, and roughly two decades of involvement in ministry (much of that time as an ordained pastor). My background includes youth and children’s ministry, evangelistic outreach and revival work, discipleship, pastoral counseling, and the administration of churches and ministries."
"17","0.9002","MEDIUM","This book serves believers seeking to strengthen their faith or disciple others in their spiritual growth. Specifically:","This book will be useful to believers who want to strengthen their own faith or who desire to lead others in spiritual growth through discipleship. Specifically:"
"18","0.9662","HIGH","- **New Believers** - Those who need a clear foundation to start their Christian journey.","- **New believers** - Those who need a clear foundation to begin their walk as Christians."
"19","0.9533","HIGH","- **Growing Christians** - Those seeking to deepen their understanding of God and Scripture while walking in greater obedience and faith.","- **Growing Christians** - Those who are walking in greater obedience and faith and seeking to further deepen their understanding of God and of Scripture."
"20","0.9557","HIGH","- **Teachers, Mentors, and Small Group Leaders** - Those preparing to disciple others, whether one-on-one, in small groups, or from the pulpit.","- **Teachers, mentors, and small group leaders** - People who are prepared to disciple others, whether one-on-one, in small groups, or from the pulpit."
"21","0.9896","HIGH","Each chapter is designed to equip believers both **personally** and **practically**, making it ideal for personal growth as well as group teaching. Whether you're using this book to strengthen your own walk with God or to train others, the content is structured for easy application and Spirit-led growth.","Each chapter is designed to equip believers both **personally** and **practically**, making it ideal for individual growth and group teaching. Whether you use this book to strengthen your own walk with God or to train others, its content is accessible and structured for Spirit-led growth."
"22","0.998","HIGH","## How to Use This Book","## How to Use This Book"
"23","0.9858","HIGH","The chapters follow a logical progression, beginning with foundational truths like **God**, **sin**, **repentance**, and **faith**, and moving into the deeper work of the **Holy Spirit**, **discipleship**, and **spiritual authority**. Each topic stands alone but also builds upon the previous chapters, making it easy to work through step-by-step or focus on specific areas as needed.","Each chapter follows a logical progression that begins with foundational truths such as **God**, **sin**, **repentance**, and **faith**, and moves into deeper workings such as the **Holy Spirit**, **discipleship**, and **spiritual authority**. Each topic stands on its own while also building on the previous chapters, making it easy to progress step by step as needed or focus on particular areas."
"24","0.9707","HIGH","For **individuals**, this book serves as a guide to understanding and applying Scripture. For **teachers**, it provides material to prepare lessons, lead discussions, and disciple others effectively. Personal reflection questions, group discussion questions for facilitation, group activities, and word studies are included to help deepen understanding and encourage practical steps of obedience.","For the **individual**, this book serves as a guide to understanding and applying Scripture. For the **teacher**, it provides material for lesson preparation, leading discussions, and discipling others effectively. To deepen understanding and encourage practical steps of obedience, it includes personal reflection questions, discussion questions for group facilitation, group activities, and word studies."
"25","0.7974","LOW","## How will we study?","## How Will We Learn?"
"26","0.9618","HIGH","We have been given a primary source for sound doctrine, the teachings of the Holy Spirit, inspired and recorded in scripture, passed down through the teachings and tradition of the church. This book will take essential teachings, present them in easy-to-understand format and conclude each chapter with a personal reflection, group facilitation questions, and optional group activities.","We have been given the primary source of sound doctrine: the teaching inspired by the Holy Spirit and recorded in Scripture, handed down through the teaching and tradition of the Church. This book highlights essential teachings, presents them in an accessible format, and includes personal reflection, group facilitation questions, and optional group activities at the end of each chapter."
"27","0.8317","LOW","Let’s explore each element in a bit more depth:","Let’s take a closer look at each element:"
"28","1.0","HIGH","### The Holy Spirit","### The Holy Spirit"
"29","0.9998","HIGH","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""16"" data-lang=""en"" data-type=""quote"" data-verses=""13-14"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""16"" data-lang=""en"" data-type=""quote"" data-verses=""13-14"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"30","0.9696","HIGH","> **<u>John 16:13-14</u>** (NKJV)\\n>\\n> However, when He, the Spirit of truth, has come, He will guide you into all truth; for He will not speak on His own authority, but whatever He hears He will speak; and He will tell you things to come.\\n>\\n> He will glorify Me, for He will take of what is Mine and declare it to you.\\n>","> **<u>The Gospel of John 16:13-14</u>** (NKJV)\\n>\\n> However, when the Spirit of truth comes, He will guide you into all truth. He will not speak on His own, but will speak whatever He hears, and He will tell you the things to come.\\n>\\n> He will glorify Me, for He will take of what is Mine and declare it to you.\\n>"
"31","1.0","HIGH","</span>","</span>"
