# Drift explanation generated 2026-01-30T02:28:32.242665
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/hindi/pipeline2/analysis/chapters/drift_report_chapter12_chapter_12_discipleship_vs_chapter12_chapter_12_discipleship.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"2","0.8594","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that discipleship is the main focus of the Great Commission as defined by Jesus, with no significant change in meaning or intent.","Discipleship is the primary command in the Great Commission. Jesus defined this mission in:","In the Great Commission, discipleship is the primary command. Jesus defined this mission as follows:"
"26","0.9121","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, simply using 'apprenticeship' instead of 'apprentice' without altering the overall intent or doctrinal content.","Jesus describes the apprentice model in:","Jesus describes the apprenticeship model here:"
"40","0.9028","MEDIUM","no","paraphrase","The terms 'phases' and 'stages' are synonymous in this context, and both convey the same concept of progression in discipleship without altering the doctrinal meaning or intent.","The eight phases of discipleship are:","The eight stages of discipleship are:"
"43","0.6077","CRITICAL","yes","doctrinal","The term 'demonstrating' implies a focus on showing or proving something through evidence or examples, while 'modeling' suggests a focus on imitation or representation. This shift alters the doctrinal emphasis from evidence-based demonstration to a more illustrative or imitative approach.","3.  Demonstrating","3.  Modeling"
"44","0.8671","MEDIUM","yes","doctrinal","The term 'Trying' implies an effort or struggle, while 'Attempt' can suggest a more formal or less personal effort. This subtle shift may affect the understanding of the nature of participation in a doctrinal context.","4.  Participation/Trying","4.  Participation/Attempt"
"46","0.8855","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, as both terms refer to the act of granting power or authority to someone.","6.  Empowerment/Authorization","6.  Empowerment/Granting authority"
"48","0.894","MEDIUM","no","paraphrase","The back-translation 'Staying connected' conveys the same concept as 'Remain Connected,' maintaining the original intent without altering its meaning.","8.  Remain Connected","8.  Staying connected"
"55","0.4995","CRITICAL","yes","doctrinal","The term 'demonstrating' implies a focus on showing or proving something through evidence or examples, while 'modeling' suggests creating a representation or example to be followed. This shift can alter the understanding of the original intent regarding the nature of the action being described.","### Demonstrating","### Modeling"
"58","0.8423","LOW","no","paraphrase","The terms 'Trying' and 'Attempt' are synonymous in this context, and both convey the same concept of participation in an effort. Therefore, the translation does not alter the original meaning.","### Participation/Trying","### Participation/Attempt"
"70","0.7796","LOW","no","paraphrase","The phrases 'Remain Connected' and 'Stay Connected' convey the same idea of maintaining a connection, with no significant change in meaning or intent.","### Remain Connected","### Stay Connected"
"92","0.8905","MEDIUM","no","paraphrase","The terms 'Biblical Study' and 'Bible Study' convey the same concept of studying the Bible, with no significant change in doctrinal meaning, logical relationship, or intent.","### Biblical Study","### Bible Study"
"101","0.9157","MEDIUM","no","paraphrase","The terms 'mentorship' and 'mentoring' are synonymous and convey the same concept of guidance and support, indicating no significant change in meaning.","### Mentorship","### Mentoring"
