# Drift explanation generated 2026-02-01T01:35:50.980061
# Source drift file: /Users/andrew/repo/kli-translation-pipeline_principles-of-faith/japenese/pipeline2/analysis/chapters/drift_report_chapter11_chapter_11_baptisms_water_and_spirit_vs_chapter11_chapter_11_baptisms_water_and_spirit.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"1","0.8696","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that baptism is often viewed in modern times without considering its Jewish origins, focusing instead on water baptism and Holy Spirit baptism. The phrasing is different, but the core message remains unchanged.","Baptism in our modern age, separated from the Jewish roots, is typically only thought of in terms of water baptism, and the Holy Spirit baptism (Pentecost).","In the modern era, baptism is commonly discussed apart from its Jewish roots, and only in terms of water baptism and baptism in the Holy Spirit (Pentecost)."
"8","0.9062","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual focus on the historical context of washings in the Old Covenant, without altering the doctrinal meaning or intent.","## Old Covenant Washings - Historical Context","## Washings in the Old Covenant - Historical Background"
"26","0.8937","MEDIUM","no","paraphrase","Both paragraphs convey the same doctrinal meaning regarding water baptism as an outward sign of faith and the role of the Holy Spirit in empowering believers for ministry and service, with no significant changes in intent or logical relationships.","Having established water baptism as an outward sign of faith, we now turn to the baptism of the Holy Spirit, which empowers believers for ministry and service.","Having affirmed that water baptism is the outward sign of faith, we now turn to the baptism of the Holy Spirit, which empowers believers for service and ministry。"
"27","0.8838","MEDIUM","no","paraphrase","The phrases 'Holy Spirit Baptism' and 'Baptism of the Holy Spirit' convey the same concept of a baptism associated with the Holy Spirit, with no significant change in doctrinal meaning or intent.","## Holy Spirit Baptism","## Baptism of the Holy Spirit"
"28","0.8763","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, emphasizing the transformative experience of baptism in the Holy Spirit and its role in empowering believers for ministry and service.","The baptism in the Holy Spirit is a profound and transformative experience promised by God to empower believers for ministry, service, and holy living. Every believer receives the Holy Spirit when they’re born again-this is how we’re made spiritually alive. But later, we should also receive the baptism in the Holy Spirit, which empowers us for boldness, spiritual gifts, and effective ministry.","The baptism of the Holy Spirit is a deeply transformative experience promised by God to empower believers for service, ministry, and holy living。All believers receive the Holy Spirit when they are born again—that is what makes us spiritually alive。しかしその後、we should also receive the baptism of the Holy Spirit, by which we receive boldness, spiritual gifts, and power for effective ministry。"
"36","0.8754","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual distinction between 'the Spirit within' and 'the Spirit upon' as presented in the original, without altering the doctrinal meaning or intent.","### Spirit Within vs Spirit Upon","### The Spirit within vs. the Spirit upon"
"38","0.8735","MEDIUM","no","paraphrase","The terms 'Scriptural Basis' and 'Biblical basis' convey the same concept, referring to the foundation of beliefs derived from religious texts, without altering the doctrinal meaning, logical relationship, or intent.","Scriptural Basis:","Biblical basis:"
"44","0.8735","MEDIUM","no","paraphrase","The terms 'Scriptural Basis' and 'Biblical basis' are synonymous, with no change in doctrinal meaning, logical relationship, or intent.","Scriptural Basis:","Biblical basis:"
"78","0.9038","MEDIUM","no","paraphrase","The back-translated title removes the definite article 'The,' but this does not alter the overall meaning or intent of the phrase. Both versions refer to the same concept of the gifts associated with the Holy Spirit.","## The Gifts of the Holy Spirit","## Gifts of the Holy Spirit"
"80","0.9051","MEDIUM","no","paraphrase","The back-translation maintains the same meaning as the original, simply rephrasing it without altering the doctrinal content or intent regarding the lists of gifts in the New Testament.","There are several lists of gifts in the New Testament:","The New Testament contains several lists of gifts:"
