# Drift explanation generated 2026-01-30T15:00:52.890734
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/chinese/pipeline2/analysis/chapters/drift_report_chapter9_chapter_9_the_church_our_role_in_it_vs_chapter9_chapter_9_the_church_our_role_in_it.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"20","0.9037","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, using different words ('portray' instead of 'depict' and 'characteristics' instead of 'attributes') but conveying the same idea about metaphorical images related to the church.","There are several core metaphorical images used to depict attributes of the church:","There are several core metaphorical images used to portray the characteristics of the church："
"27","0.8187","LOW","no","paraphrase","Both paragraphs convey the same core idea that various analogies or metaphors illustrate different facets of the church's identity, emphasizing its unity and diversity under Christ's leadership.","Each analogy highlights a unique aspect of the church, yet together, they reveal the church's identity as a unified and diverse community under Christ's leadership.","Each metaphor emphasizes a distinct aspect of the church, but together they reveal the church’s communal identity as both unified and diverse under Christ’s leadership。"
"29","0.9158","MEDIUM","no","paraphrase","The back-translated paragraph maintains the original's doctrinal meaning and intent, emphasizing the unity and diversity of the church as the Body of Christ, along with the collaborative nature of believers' roles within it.","The church is often described as **the Body of Christ**, emphasizing both its unity and diversity. With Christ as the head, the church functions as a living organism where every believer plays an essential and potentially diverse role. Each member is uniquely gifted and contributes to the health and mission of the body according to their own function. This image highlights the interdependence of believers, specifically that the body must be connected to function, and that our function is collaborative not competitive. When every part works together, the body grows and thrives in unity and love (<span class=""x-scripture"" data-book=""1CO"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""12-27"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Corinthians 12:12-27</span>; <span class=""x-scripture"" data-book=""EPH"" data-chapter=""4"" data-lang=""en"" data-type=""ref"" data-verses=""15-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Ephesians 4:15-16</span>; <span class=""x-scripture"" data-book=""COL"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Colossians 1:18</span>).","The church is often described as the **body of Christ**, emphasizing its unity and diversity。With Christ as the head, the church is like a living organism, and every believer plays an indispensable yet distinct role。Each member has unique gifts and contributes according to its function to the health and mission of the body。这一意象凸显信徒彼此的相互依存，特别是身体必须相连才能运作，并且我们的功用是合作而非竞争。当各部分同心配搭，身体就在合一与爱中成长兴旺（<span class=""x-scripture"" data-book=""1CO"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""12-27"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Corinthians 12:12-27</span>; <span class=""x-scripture"" data-book=""EPH"" data-chapter=""4"" data-lang=""en"" data-type=""ref"" data-verses=""15-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Ephesians 4:15-16</span>; <span class=""x-scripture"" data-book=""COL"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Colossians 1:18</span>）。"
"31","0.9149","MEDIUM","no","paraphrase","The back-translation maintains the original's doctrinal meaning and intent, conveying the same concepts of the church's relationship with Christ and the metaphor of the Bride without significant changes.","The church is described as **the Bride of Christ**, this reflects an intimate and loving relationship with Jesus. Just as a bride is cherished and made ready for her husband, the church is sanctified and purified by Christ’s sacrificial love. This metaphor captures the devotion and faithfulness expected of the church, as well as the deep affection Christ has for His people. The imagery also points to the ultimate union between Christ and the church, celebrated in the marriage supper of the Lamb, where the church is presented in glory without spot or blemish (<span class=""x-scripture"" data-book=""EPH"" data-chapter=""5"" data-lang=""en"" data-type=""ref"" data-verses=""25-27"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Ephesians 5:25-27</span>; <span class=""x-scripture"" data-book=""REV"" data-chapter=""19"" data-lang=""en"" data-type=""ref"" data-verses=""7-9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 19:7-9</span>; <span class=""x-scripture"" data-book=""REV"" data-chapter=""21"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 21:2</span>).","The church is described as the **bride of Christ**, reflecting an intimate and loving relationship with Jesus。Just as a bride is cherished and prepared for her husband, the church is sanctified and cleansed by Christ’s self-giving love。This metaphor embodies the devotion and fidelity that the church ought to have, and it also reflects Christ’s deep love for His people。这一意象也指向基督与教会最终的联合，在羔羊的婚宴中庆贺，教会将以荣耀呈现，毫无斑点或瑕疵（<span class=""x-scripture"" data-book=""EPH"" data-chapter=""5"" data-lang=""en"" data-type=""ref"" data-verses=""25-27"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Ephesians 5:25-27</span>; <span class=""x-scripture"" data-book=""REV"" data-chapter=""19"" data-lang=""en"" data-type=""ref"" data-verses=""7-9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 19:7-9</span>; <span class=""x-scripture"" data-book=""REV"" data-chapter=""21"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 21:2</span>）。"
"33","0.9137","MEDIUM","no","paraphrase","The back-translation maintains the original doctrinal meaning and intent, conveying the same theological concepts regarding the church as the Temple of God and the role of believers without significant changes.","The church is described as **the Temple of God**, the dwelling place of His Spirit. Believers are described as living stones being built together on the foundation of the apostles and prophets, with Christ Himself as the cornerstone. This holy structure signifies God’s presence among His people and their role as a community of worship and prayer. The temple imagery underscores the importance of holiness and the church’s collective purpose in glorifying God (<span class=""x-scripture"" data-book=""1CO"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""16-17"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Corinthians 3:16-17</span>; <span class=""x-scripture"" data-book=""EPH"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""19-22"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Ephesians 2:19-22</span>; <span class=""x-scripture"" data-book=""1PE"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""4-5"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Peter 2:4-5</span>).","The church is described as the **temple of God**, the place where His Spirit dwells。Believers are called living stones, joined together and built on the foundation of the apostles and prophets, with Christ Himself as the cornerstone。这座圣洁的结构表明神住在祂的子民中间，也表明他们作为敬拜与祷告群体的身份与角色。The temple imagery underscores the importance of holiness and the church’s common purpose of glorifying God（<span class=""x-scripture"" data-book=""1CO"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""16-17"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Corinthians 3:16-17</span>; <span class=""x-scripture"" data-book=""EPH"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""19-22"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Ephesians 2:19-22</span>; <span class=""x-scripture"" data-book=""1PE"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""4-5"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Peter 2:4-5</span>）。"
"35","0.9111","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, using slightly different wording but conveying the same concepts of relational unity, care, and spiritual growth within the church as the Family of God.","The church is described as **the Family of God**, emphasizing relational unity and care among its members. Through the Spirit of adoption, believers are made children of God and members of His household. This familial imagery highlights the love, belonging, and shared inheritance believers have in Christ. It also reflects the call to treat one another with compassion and humility as brothers and sisters in God’s family (<span class=""x-scripture"" data-book=""GAL"" data-chapter=""6"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Galatians 6:10</span>; <span class=""x-scripture"" data-book=""EPH"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""19"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Ephesians 2:19</span>; <span class=""x-scripture"" data-book=""ROM"" data-chapter=""8"" data-lang=""en"" data-type=""ref"" data-verses=""15-17"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Romans 8:15-17</span>). Furthermore, through the family image it depicts how the members of the church are to become mature, that they would be taught and nourished by spiritual mothers and fathers (<span class=""x-scripture"" data-book=""1TI"" data-chapter=""5"" data-lang=""en"" data-type=""ref"" data-verses=""1-2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Timothy 5:1-2</span>), that we could go from infants drinking the pure milk of the Word, to full grown adults able to eat the strong meat of the Word (Hebrews 5).","The church is described as the **household of God**, emphasizing relational unity and mutual care among its members。By the Spirit of adoption, believers become God’s children and are brought into His household。This family imagery highlights the love, belonging, and shared inheritance that believers have in Christ。It also reflects the call for us to treat one another with compassion and humility in God’s household, as brothers and sisters（<span class=""x-scripture"" data-book=""GAL"" data-chapter=""6"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Galatians 6:10</span>; <span class=""x-scripture"" data-book=""EPH"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""19"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Ephesians 2:19</span>; <span class=""x-scripture"" data-book=""ROM"" data-chapter=""8"" data-lang=""en"" data-type=""ref"" data-verses=""15-17"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Romans 8:15-17</span>）。Furthermore, through the family image it depicts how the members of the church are to become mature, that they would be taught and nourished by spiritual mothers and fathers (<span class=""x-scripture"" data-book=""1TI"" data-chapter=""5"" data-lang=""en"" data-type=""ref"" data-verses=""1-2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Timothy 5:1-2</span>), that we could go from infants drinking the pure milk of the Word, to full grown adults able to eat the strong meat of the Word (Hebrews 5)."
"40","0.8843","MEDIUM","no","paraphrase","The back-translation changes 'Roles' to 'Role', but this does not alter the overall meaning or intent regarding the function of the Church.","## Roles of the Church","## The Role of the Church"
"41","0.8483","LOW","no","paraphrase","The back-translation maintains the original meaning and intent regarding the church's mission and its three dimensions, reflecting the same theological concepts without altering the doctrinal content.","The church’s mission, like the Holy Spirit's role, can be understood through three dimensions: upward, inward, and outward, each reflecting a unique aspect of its calling in God’s plan. These dimensions guide the church in fulfilling its role as a worshiping, edifying, and missional community.","The mission of the church，like the role of the Holy Spirit，can be understood in three dimensions：upward、inward、and outward，each reflecting a unique facet of its calling in God's plan。这些维度引导教会成就其作为敬拜、造就、并宣教群体的角色。"
"43","0.9103","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationships as the original, with only minor variations in wording and phrasing. Both emphasize the church's purpose of worshiping God and living in obedience.","The church’s first purpose is to worship and glorify God. Corporate worship, where believers gather to exalt God together, is a visible reflection of His glory and a response to His greatness. As the psalmist declares, “*Worship the Lord in the splendor of holiness; tremble before him, all the earth*” (<span class=""x-scripture"" data-book=""PSA"" data-chapter=""96"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Psalms 96:9</span>). Beyond corporate worship, the church is called to live lives of obedience and sacrifice, offering themselves as “living sacrifices” as an act of spiritual worship (<span class=""x-scripture"" data-book=""ROM"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""1-2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Romans 12:1-2</span>). This upward focus keeps the church centered on God’s majesty and aligns its priorities with His will.","The church's primary purpose is to worship and glorify God。Corporate worship，that is, believers gathering together to exalt God，is a visible reflection of His glory，and a response to His greatness。正如诗人宣告：“*Worship the Lord in the beauty of holiness；let all the earth tremble before Him*”（<span class=""x-scripture"" data-book=""PSA"" data-chapter=""96"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Psalm 96:9</span>）。In addition to corporate worship，the church is called to a life of obedience and surrender，offering itself as a “living sacrifice”，as an act of spiritual worship（<span class=""x-scripture"" data-book=""ROM"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""1-2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Romans 12:1-2</span>）。This upward focus centers the church on God's majesty，and aligns its priorities with His will。"
"45","0.9055","MEDIUM","yes","doctrinal","The back-translation changes 'observe' to 'obey,' which alters the nuance of the command from simply observing teachings to actively following and adhering to them, potentially affecting the interpretation of the Great Commission's intent.","The Great Commission commands us to ‘*teach them to observe’*, this command goes much further than formal teaching methods like this book. Discipleship making (discussed further in the chapter on discipleship) is forming the follower into the likeness of the discipline, like how a parent raises their child. Good parents don’t hand a five-year-old an encyclopedia and challenge them to figure it out! Rather they model, demonstrate, correct, guide, nurture, love, care, and shepherd.","The Great Commission commands us to ‘teach them to obey’，and this command goes far beyond formal teaching methods like those in a book such as this。Discipleship（discussed further in the chapter on discipleship training）is to shape followers into a form consistent with this discipline，just as parents raise children。Good parents do not hand an encyclopedia to a five-year-old and tell him to figure it out for himself！Instead，they model、demonstrate、correct、guide、nurture、cherish、care for、and shepherd。"
