# Drift report generated 2025-12-20T05:37:59.959396
# Source file: /Users/andrew/repo/urdu-principles-of-faith/pipeline1/AUTOGEN/chapters/chapter0_3_table_of_contents.md
# Back translation: /Users/andrew/repo/urdu-principles-of-faith/pipeline2/backtranslation/chapters/chapter0_3_table_of_contents.md
"id","similarity","translation_quality","source","back_translation"
"1","1.0","HIGH","[Dedication [III](#dedication)](#dedication)","[Dedication [III](#dedication)](#dedication)"
"2","1.0","HIGH","[Acknowledgements [III](#acknowledgements)](#acknowledgements)","[Acknowledgements [III](#acknowledgements)](#acknowledgements)"
"3","1.0","HIGH","[Table of Contents [IV](#table-of-contents)](#table-of-contents)","[Table of Contents [IV](#table-of-contents)](#table-of-contents)"
"4","1.0","HIGH","[List of Tables [V](#list-of-tables)](#list-of-tables)","[List of Tables [V](#list-of-tables)](#list-of-tables)"
"5","1.0","HIGH","[Foreword [VI](#foreword)](#foreword)","[Foreword [VI](#foreword)](#foreword)"
"6","1.0","HIGH","[Preface [1](#preface)](#preface)","[Preface [1](#preface)](#preface)"
"7","1.0","HIGH","[Chapter 1 - Sound Doctrine Matters [10](#chapter-1---sound-doctrine-matters)](#chapter-1---sound-doctrine-matters)","[Chapter 1 - Sound Doctrine Matters [10](#chapter-1---sound-doctrine-matters)](#chapter-1---sound-doctrine-matters)"
"8","0.9916","HIGH","[Chapter 2 - God-Eternal Creator and Loving Father [22](#chapter-2---godeternal-creator-and-loving-father)](#chapter-2---godeternal-creator-and-loving-father)","[Chapter 2 - God-eternal Creator and Loving Father [22](#chapter-2---godeternal-creator-and-loving-father)](#chapter-2---godeternal-creator-and-loving-father)"
"9","1.0","HIGH","[Chapter 3 - Sin and Redemption [33](#chapter-3---sin-and-redemption)](#chapter-3---sin-and-redemption)","[Chapter 3 - Sin and Redemption [33](#chapter-3---sin-and-redemption)](#chapter-3---sin-and-redemption)"
"10","0.9956","HIGH","[Chapter 4 - Jesus-The Messiah [49](#chapter-4-jesusthe-messiah)](#chapter-4-jesusthe-messiah)","[Chapter 4 - Jesus-the Messiah [49](#chapter-4-jesusthe-messiah)](#chapter-4-jesusthe-messiah)"
"11","1.0","HIGH","[Chapter 5 - Repentance from Dead Works [62](#chapter-5---repentance-from-dead-works)](#chapter-5---repentance-from-dead-works)","[Chapter 5 - Repentance from Dead Works [62](#chapter-5---repentance-from-dead-works)](#chapter-5---repentance-from-dead-works)"
"12","1.0","HIGH","[Chapter 6 - Faith Toward God [80](#chapter-6---faith-toward-god)](#chapter-6---faith-toward-god)","[Chapter 6 - Faith Toward God [80](#chapter-6---faith-toward-god)](#chapter-6---faith-toward-god)"
"13","0.9966","HIGH","[Chapter 7 - Jesus-The Foundation of Our Faith [99](#chapter-7---jesusthe-foundation-of-our-faith)](#chapter-7---jesusthe-foundation-of-our-faith)","[Chapter 7 - Jesus-the Foundation of Our Faith [99](#chapter-7---jesusthe-foundation-of-our-faith)](#chapter-7---jesusthe-foundation-of-our-faith)"
"14","1.0","HIGH","[Chapter 8 - Holy Spirit-Comforter, Guide, and Power [113](#chapter-8---holy-spiritcomforter-guide-and-power)](#chapter-8---holy-spiritcomforter-guide-and-power)","[Chapter 8 - Holy Spirit-Comforter, Guide, and Power [113](#chapter-8---holy-spiritcomforter-guide-and-power)](#chapter-8---holy-spiritcomforter-guide-and-power)"
"15","1.0","HIGH","[Chapter 9 - The Church & Our Role in It [130](#chapter-9---the-church-our-role-in-it)](#chapter-9---the-church-our-role-in-it)","[Chapter 9 - The Church & Our Role in It [130](#chapter-9---the-church-our-role-in-it)](#chapter-9---the-church-our-role-in-it)"
"16","0.997","HIGH","[Chapter 10 - Sanctified-Prepared for God’s Purpose [154](#chapter-10---sanctifiedprepared-for-gods-purpose)](#chapter-10---sanctifiedprepared-for-gods-purpose)","[Chapter 10 - Sanctified-Prepared for God's Purpose [154](#chapter-10---sanctifiedprepared-for-gods-purpose)](#chapter-10---sanctifiedprepared-for-gods-purpose)"
"17","1.0","HIGH","[Chapter 11 - Baptisms-Water and Spirit [168](#chapter-11---baptismswater-and-spirit)](#chapter-11---baptismswater-and-spirit)","[Chapter 11 - Baptisms-Water and Spirit [168](#chapter-11---baptismswater-and-spirit)](#chapter-11---baptismswater-and-spirit)"
"18","1.0","HIGH","[Chapter 12 - Discipleship [186](#chapter-12---discipleship)](#chapter-12---discipleship)","[Chapter 12 - Discipleship [186](#chapter-12---discipleship)](#chapter-12---discipleship)"
"19","1.0","HIGH","[Chapter 13 - Spiritual Authority [204](#chapter-13---spiritual-authority)](#chapter-13---spiritual-authority)","[Chapter 13 - Spiritual Authority [204](#chapter-13---spiritual-authority)](#chapter-13---spiritual-authority)"
"20","1.0","HIGH","[Chapter 14 - Keep Watch [227](#chapter-14---keep-watch)](#chapter-14---keep-watch)","[Chapter 14 - Keep Watch [227](#chapter-14---keep-watch)](#chapter-14---keep-watch)"
"21","1.0","HIGH","[Postscript [236](#postscript)](#postscript)","[Postscript [236](#postscript)](#postscript)"
"22","1.0","HIGH","[Appendix [238](#appendix)](#appendix)","[Appendix [238](#appendix)](#appendix)"
"23","1.0","HIGH","[Extended Reference Tables [239](#extended-reference-tables)](#extended-reference-tables)","[Extended Reference Tables [239](#extended-reference-tables)](#extended-reference-tables)"
"24","0.9706","HIGH","[End of Chapter Activities [251](#end-of-chapter-activities)](#end-of-chapter-activities)","[End-of-Chapter Activities [251](#end-of-chapter-activities)](#end-of-chapter-activities)"
"25","0.9951","HIGH","[Hearing The Voice of God [298](#hearing-the-voice-of-god)](#hearing-the-voice-of-god)","[Hearing the Voice of God [298](#hearing-the-voice-of-god)](#hearing-the-voice-of-god)"
