# Drift report generated 2026-01-30T02:18:25.019804
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter12_chapter_12_discipleship.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/hindi/pipeline2/backtranslation/chapters/chapter12_chapter_12_discipleship.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9897","HIGH","Discipleship means following Jesus, learning from Him, and becoming more like Him in how we live and love. It involves a lifelong journey of obedience, transformation, and service, guided by the Holy Spirit, and rooted in God’s Word.","Discipleship means following Jesus, learning from Him, and becoming more like Him in the way we live and love. It is a lifelong journey of obedience, transformation, and service, guided by the Holy Spirit and rooted in the Word of God."
"2","0.8594","MEDIUM","Discipleship is the primary command in the Great Commission. Jesus defined this mission in:","In the Great Commission, discipleship is the primary command. Jesus defined this mission as follows:"
"3","0.9978","HIGH","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"4","0.9986","HIGH","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.\\n>\\n> Go therefore and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all things that I have commanded you; and lo, I am with you always, even to the end of the age."" Amen.\\n>","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, ""All authority has been given to Me in heaven and on earth.\\n>\\n> Go therefore and make disciples of all nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all things that I have commanded you; and lo, I am with you always, even to the end of the age."" Amen.\\n>"
"5","1.0","HIGH","</span>","</span>"
"6","0.9848","HIGH","We, His followers, are to *“go and make disciples of all nations.”* Discipleship is about personal growth and about multiplying that growth by teaching others to follow Christ. Discipleship is the vehicle through which we build the Kingdom of God; the teachings of Jesus are the message.","We, His followers, are to *“Go and make disciples of all nations.”* Discipleship is about personal growth and about multiplying that growth by teaching others to follow Christ. Discipleship is the means by which we build the Kingdom of God; the teachings of Jesus are the message."
"7","0.9686","HIGH","The call to be a disciple is more than attending church or learning Bible verses-it is an invitation to live like Jesus and to partner with Him in advancing God’s Kingdom. Genuine discipleship helps believers become spiritually mature and effective for ministry (<span class=""x-scripture"" data-book=""EPH"" data-chapter=""4"" data-lang=""en"" data-type=""ref"" data-verses=""13"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Ephesians 4:13</span>). It shapes both the heart and skills needed to serve others and share the Gospel. As Paul instructed Timothy in <span class=""x-scripture"" data-book=""2TI"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">2 Timothy 2:2</span>, discipleship follows a pattern of spiritual multiplication, where trained disciples continue raising up new followers to lead other to Christ.","The call to be a disciple is more than merely going to church or memorizing Bible verses; it is an invitation to live like Jesus and to partner with Him in advancing the Kingdom of God. True discipleship helps believers become spiritually mature and effective for service (<span class=""x-scripture"" data-book=""EPH"" data-chapter=""4"" data-lang=""en"" data-type=""ref"" data-verses=""13"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Ephesians 4:13</span>). It shapes the essential mindsets and skills needed to serve others and share the gospel. As Paul instructed Timothy in <span class=""x-scripture"" data-book=""2TI"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">2 Timothy 2:2</span>, discipleship follows a pattern of spiritual multiplication, where trained disciples continually raise up new followers so that they in turn lead others to Christ."
"8","0.982","HIGH","Discipleship is both an individual calling and a global mission. On a personal level, it involves growing in faith, developing an active spiritual life, being in relationship with others &amp; God. At the same time, it fuels the mission of the Church to reach every nation with the Gospel, ensuring that the message of Christ continues to expand and transform lives across generations.","Discipleship is both a personal calling and a global mission. On a personal level, it involves growing in faith, developing a vibrant spiritual life, and being in relationship with others &amp; with God. At the same time, it fuels the church’s mission to reach every nation with the gospel, ensuring that the message of Christ continues to spread from generation to generation and transform lives."
"9","1.0","HIGH","## Why Discipleship Matters","## Why Discipleship Matters"
"10","0.9659","HIGH","The impact of discipleship goes beyond personal transformation-it has a Kingdom impact. Paul reminded Timothy in <span class=""x-scripture"" data-book=""2TI"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">2 Timothy 2:2</span> to entrust what He had learned to faithful men who would then teach others also. This generational pattern highlights how discipleship is the engine that drives the growth and sustainability of the Church. Discipleship matters because it was Jesus’ chosen method for spreading the Gospel and building His Church.","The impact of discipleship goes beyond personal transformation; it has kingdom impact. Paul reminded Timothy in <span class=""x-scripture"" data-book=""2TI"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">2 Timothy 2:2</span> to entrust what he had learned to faithful people who would be able to teach others also. This generational pattern shows that discipleship is the engine that drives the church’s growth and stability. Discipleship is important because it is the very method Jesus chose to spread the gospel and build His church."
