# Drift explanation generated 2026-01-30T15:55:15.752158
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/bengali/pipeline2/analysis/chapters/drift_report_chapter4_chapter_4_jesus_the_messiah_vs_chapter4_chapter_4_jesus_the_messiah.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"2","0.9129","MEDIUM","no","paraphrase","The back-translated paragraph retains the original meaning, emphasizing that sacrifices for sin are insufficient due to human choice, and that animal sacrifices cannot change the sinful nature of people.","Even with all the sacrifices for sin, they still weren’t enough-not because God failed, but because people continued to choose sin. While animal sacrifice could provide limited atonement, no amount of animal sacrifice was able to change the sinful nature of men.","Despite so many sacrifices for sin, they were not sufficient—not because God had failed, but because people kept choosing sin। Animal sacrifices could provide limited atonement, but no matter how many animal sacrifices there were, they could not change the sinful nature of people।"
"10","0.9084","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same references to the scriptures as the original, with only a slight change in wording from 'Referenced' to 'Cited'. There are no changes in doctrinal meaning, logical relationships, or intent.","- **Scriptures Referenced:** <span class=""x-scripture"" data-book=""ISA"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""6-7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Isaiah 9:6-7</span>, <span class=""x-scripture"" data-book=""JER"" data-chapter=""23"" data-lang=""en"" data-type=""ref"" data-verses=""5-6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Jeremiah 23:5-6</span>, <span class=""x-scripture"" data-book=""ZEC"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""9-10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Zechariah 9:9-10</span>.","- **Cited Scriptures:** <span class=""x-scripture"" data-book=""ISA"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""6-7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Isaiah 9:6-7</span>, <span class=""x-scripture"" data-book=""JER"" data-chapter=""23"" data-lang=""en"" data-type=""ref"" data-verses=""5-6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Jeremiah 23:5-6</span>, <span class=""x-scripture"" data-book=""ZEC"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""9-10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Zechariah 9:9-10</span>।"
"11","0.918","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same meaning as the original, conveying the oppression of Jews under Roman rule and their hopes for a Messiah without altering any doctrinal, logical, or intentional aspects.","- **Historical Context:** Jews under the Roman’s rule were oppressed and heavily taxed, leading to hopes for a Messiah who would overthrow Rome and establish a powerful earthly kingdom.","- **Historical context:** Under Roman rule, the Jews were oppressed and bore heavy taxation; as a result they hoped for a Messiah who would overthrow Rome and establish a powerful earthly kingdom।"
"28","0.7909","LOW","no","paraphrase","Both paragraphs convey the idea of differing beliefs regarding the Messiah without altering the original intent or doctrinal implications.","### Diverse Messianic Beliefs","### Various beliefs about the Messiah"
"29","0.9194","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, simply rephrasing the content without altering the core concepts or relationships presented.","As Christendom today is divided into separate sects, denominations, or belief structures, so too, were the Jews of Jesus' age divided. During the time of Jesus, four major Jewish sects shaped the religious and political landscape of Israel, each with distinct beliefs and expectations about the Messiah. Understanding some background on these different groups can help provide meaningful context to a study of the New Testament scriptures.","Just as today the Christian world is divided into various distinct denominations, organizations, or frameworks of belief, so also the Jews of Jesus’ era were divided. In Jesus’ time, four major Jewish groups shaped Israel’s religious and political landscape, each with its own distinct beliefs and expectations regarding the Messiah. Understanding some background about these different groups can help provide meaningful context for the study of the New Testament Scriptures."
"36","0.8362","LOW","no","paraphrase","The back-translation simplifies the title but retains the core concept of Jesus being anointed, without altering the doctrinal or theological implications.","### The Anointing of Jesus","### Jesus’ anointing"
"45","0.8372","LOW","no","paraphrase","The back-translation maintains the same doctrinal meaning and intent as the original, simply rearranging the terms without altering the core message about the good news of the Kingdom.","- The good news (gospel) of the Kingdom.","- the gospel of the kingdom (good news)।"
"46","0.85","LOW","yes","doctrinal","The back-translation introduces redundancy by repeating 'forgiveness' instead of using 'pardon of sin,' which may imply a slightly different theological nuance regarding the nature of forgiveness and sin.","- Deliverance - forgiveness, pardon of sin, freedom.","- deliverance - forgiveness, forgiveness of sins, freedom।"
"48","0.8577","MEDIUM","no","paraphrase","Both phrases convey the same idea of a group of people to whom He came, with no significant change in meaning or intent.","The people He came to were:","Those to whom He came were:"
"49","0.8159","LOW","no","paraphrase","Both paragraphs convey the same emotional state of being brokenhearted, emphasizing the mental and spiritual aspects of the experience without altering the core meaning.","- Brokenhearted - shattered emotionally and spiritually.","- the brokenhearted - mentally and spiritually shattered।"
"50","0.8715","MEDIUM","no","paraphrase","The back-translation maintains the original meaning by conveying the same concepts of spiritual and physical blindness without altering the intent or doctrinal implications.","- Blind - spiritually, and sometimes physically.","- the blind - spiritually, and sometimes physically as well।"
"51","0.7938","LOW","no","paraphrase","Both paragraphs convey the same concept of being in a state of poverty, whether spiritual or physical, with only slight variations in wording. The essence of the meaning remains unchanged.","- Poor - destitute, in poverty (spiritual and or physical).","- the poor - needy, in poverty (spiritual and/or physical)।"
"52","0.8557","MEDIUM","no","paraphrase","The back-translation retains the original meaning of captives as those taken against their will, with no significant changes in doctrinal, logical, or intentional aspects.","- Captives - meaning ‘taken with a spear’ representing those held in bondage against their own will.","- the captives - that is, ‘taken with a spear’, meaning those bound in slavery against their will।"
"53","0.8625","MEDIUM","yes","intentional","The original paragraph implies that Jesus's transformation of broken people is through specific actions or means, while the back-translated version removes this implication, making it less clear how the transformation occurs.","Jesus transformed these broken people by:","Jesus transformed these broken people:"
"54","0.8013","LOW","no","paraphrase","Both phrases convey the same concept of restoring or recovering sight, maintaining the original intent without altering the doctrinal or logical relationships.","- Recovering sight","- by restoring sight"
"55","0.656","CRITICAL","no","paraphrase","Both phrases convey the same concept of being in a state of liberty or freedom, with no significant change in meaning or intent.","- Set in a state of liberty","- by placing them in a state of freedom"
"60","0.8869","MEDIUM","no","paraphrase","The terms 'necessary' and 'essential' are synonymous in this context, conveying the same idea about the importance of Jesus' work without altering the doctrinal meaning or intent.","### The Necessary Work of Jesus","### The Essential Work of Jesus"
"70","0.8632","MEDIUM","no","paraphrase","Both paragraphs convey the same concept of safety and protection from danger, with only a slight variation in wording that does not alter the overall meaning.","- Implies being kept safe, protected, or preserved from danger.","- Indicates being kept safe, protected, or preserved from danger."
"72","0.7803","LOW","yes","doctrinal","The original emphasizes restoration to completeness or soundness, which may imply a focus on physical or structural integrity, while the back-translation shifts to wholeness or well-being, suggesting a broader, more holistic interpretation that includes emotional or spiritual aspects.","- Includes the restoration to a state of completeness or soundness.","- Involves restoration to a state of wholeness or well-being."
"79","0.7001","CRITICAL","no","paraphrase","The terms 'Born Again' and 'New Birth' convey the same theological concept of spiritual renewal, with no significant change in meaning or intent.","### Born Again","### New Birth"
