# Drift report generated 2025-10-09T10:56:36.692276
# Source file: source/AUTOGEN/chapters/chapter3_chapter_3_sin_and_redemption.md
# Back translation: backtranslation/chapter3_chapter_3_sin_and_redemption.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9825","HIGH","Scripture tells us many stories about sin-its causes, its consequences, and how God responds to it. To sin is to fall short of God’s standard, or ‘miss the mark,’ a term from archery describing an archer’s failure to hit the target.","The Scriptures tell us many stories about sin-its causes, its consequences, and how God responds to it. To sin is to fall short of God’s standard, or 'miss the mark,' a term from archery that describes an archer’s failure to hit the target."
"2","0.9325","HIGH","Both Old and New Testaments use various terms for sin, each highlighting aspects like its type, severity, intent, victim, nature, and required punishment. There are several broad categorizations that the scriptures use to describe sin:","The Old Testament and the New Testament use various words for sin, each highlighting aspects such as its type, gravity, intent, victim, nature, and the punishment required. There are several broad categories that Scripture uses to describe sin:"
"3","1.0","HIGH","- Sin against God, sin against man, sin against self","- Sin against God, sin against man, sin against self"
"4","0.9174","MEDIUM","- Intentional sin, unintentional sin","- Deliberate sin, unintentional sin"
"5","0.7918","LOW","- Sin of a single moment, sin habitually committed","- One-time sin, habitual sin"
"6","0.9888","HIGH","- Sin requiring severe punishment like death, sin requiring financial restitution","- Sin requiring severe punishment such as death, sin requiring financial restitution"
"7","0.9781","HIGH","In our modern criminal justice systems, we have similar distinctions: degrees of crime, premeditated or crimes of passion, crimes requiring financial restitution, or incarceration, or even capital punishment. An act might be both a crime and a sin, but crime is man's categorization, sin is God’s.","In our modern criminal justice systems, we have similar distinctions: degrees of crime, premeditated or crimes of passion, crimes that require financial restitution, or imprisonment, or even capital punishment. An act can be a crime and also a sin, but crime is a human classification, whereas sin is God’s classification."
"8","0.9776","HIGH","The various Greek and Hebrew words for sin have a high level of overlap. All sin is broadly described under the umbrella term ‘missing the mark’, ***Hamartia*** in Greek, and ***Chata’*** in Hebrew. This umbrella term is used for the most severe sins, adultery, murder, but also less severe sins, like showing partiality to wealthy people in our church gatherings (<span class=""x-scripture"" data-type=""ref"" data-book=""James"" data-chapter=""2"" data-verses=""9"" data-lang=""en"" data-version=""NKJV"">James 2:9</span>).","The various Greek and Hebrew words for sin show a high degree of correspondence. All sin broadly falls under the umbrella of the word 'missing the mark', ***Hamartia*** in Greek, and ***Chata'*** in Hebrew. This umbrella term is used for very grave sins—adultery, murder—but also lighter sins, such as showing favoritism to the rich in our church gatherings (<span class=""x-scripture"" data-type=""ref"" data-book=""James"" data-chapter=""2"" data-verses=""9"" data-lang=""en"" data-version=""NKJV"">James 2:9</span>)."
"9","0.9344","HIGH","Here are some words the Scriptures use for sin. They help us understand how serious sin is-and how deeply we need God's grace.","These are some of the words that Scripture uses for sin. They help us understand how weighty-and how deeply we need the grace of God."
"10","1.0","HIGH","[See Table 2](../tables/table2.md)","[See Table 2](../tables/table2.md)"
"11","0.9887","HIGH","## Sin has Consequences","## Sin Has Consequences"
"12","1.0","HIGH","Every sin brings consequences-sometimes immediate, sometimes delayed, but always real.","Every sin brings consequences-sometimes immediate, sometimes delayed, but always real."
"13","0.9126","MEDIUM","Let's consider Cain’s murder of his brother Able in Genesis 4.","Consider Cain’s murder of his brother Abel in Genesis 4."
"14","0.9999","HIGH","<span class=""x-scripture"" data-type=""quote"" data-book=""Genesis"" data-chapter=""4"" data-verses=""1-16"" data-lang=""en"" data-version=""NKJV"">","<span class=""x-scripture"" data-type=""quote"" data-book=""Genesis"" data-chapter=""4"" data-verses=""1-16"" data-lang=""en"" data-version=""NKJV"">"
