# Drift report generated 2026-01-30T02:20:50.918873
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter9_chapter_9_the_church_our_role_in_it.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/hindi/pipeline2/backtranslation/chapters/chapter9_chapter_9_the_church_our_role_in_it.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9274","HIGH","The church is how God shows Himself on earth-through His people, doing His work. We are called to be His body, we are His hands and feet to accomplish His work and purpose. Without our efforts the harvest will remain in the field and will go un-reaped.","The Church is the means by which God reveals Himself on the earth—through His people who do His work. We are called to be His body; we are His hands and feet to accomplish His work and purpose. Without our efforts the harvest will remain in the field and will not be reaped."
"2","0.969","HIGH","## Who is the Church?","## Who Is the Church?"
"3","0.9752","HIGH","The church, ***Ekklesia** (eh-klee-SEE-ah - **G1577**),* is derived from two Greek words:","Church, ***Ekklesia** (eh-klee-SEE-ah - **G1577**),* is derived from two Greek words:"
"4","0.9885","HIGH","- **""Ek""**: ""Out of.""","- **""Ek""**: ""out of."""
"5","0.9657","HIGH","- **""Kaleo""**: ""To call.""","- **""Kaleo""**: ""to call."""
"6","0.9885","HIGH","Together, **Ekklesia** literally means ""called out"" or ""called out assembly."" In ancient Greek city-states, it referred to a gathering of citizens summoned for a specific purpose, such as legislative or judicial meetings. It was a secular term denoting an assembly of people.","Together, **Ekklesia** literally means ""the called-out ones"" or ""a called assembly."" In the ancient Greek city-states, it referred to the assembly of citizens summoned for a specific purpose, such as legislative or judicial meetings. It was a secular term denoting a gathering of people."
"7","0.949","HIGH","In the New Testament, it is used primarily to refer to the community of believers in Jesus Christ. It can denote:","In the New Testament, it is used primarily for the community of those who believe in Jesus Christ. It can refer to:"
"8","0.9311","HIGH","- **The Local Church**: A specific gathering of believers in a particular location (e.g., the church at Corinth, Philippi, etc.).","- **Local church**: A specific assembly of believers in a particular place (e.g., the church of Corinth, Philippi, etc.)."
"9","1.0","HIGH","<span class=""x-scripture"" data-book=""1CO"" data-chapter=""1"" data-lang=""en"" data-type=""quote"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""1CO"" data-chapter=""1"" data-lang=""en"" data-type=""quote"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"10","0.9939","HIGH","> **<u>1 Corinthians 1:2</u>** (NKJV)\\n>\\n> To the church of God which is at Corinth, to those who are sanctified in Christ Jesus, called to be saints, with all who in every place call on the name of Jesus Christ our Lord, both theirs and ours:\\n>","> **<u>1 Corinthians 1:2</u>** (NKJV)\\n>\\n> To the church of God which is in Corinth: to those who are sanctified in Christ Jesus, called to be saints, together with all who in every place call on the name of our Lord Jesus Christ, both theirs and ours:\\n>"
"11","1.0","HIGH","</span>","</span>"
"12","0.9848","HIGH","- **The Universal Church**: The collective body of all believers across time and space.","- **The universal Church**: The collective body of all believers across time and space."
"13","1.0","HIGH","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""16"" data-lang=""en"" data-type=""fragment"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""16"" data-lang=""en"" data-type=""fragment"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"14","1.0","HIGH","> **<u>Matthew 16:18</u>** (NKJV)\\n>\\n> And I also say to you that you are Peter, and on this rock I will build My church, and the gates of Hades shall not prevail against it.\\n>","> **<u>Matthew 16:18</u>** (NKJV)\\n>\\n> And I also say to you that you are Peter, and on this rock I will build My church, and the gates of Hades shall not prevail against it.\\n>"
"15","1.0","HIGH","</span>","</span>"
"16","0.9473","HIGH","The church is the people, not the building or location they meet. **Called-Out Ones**: Reflects the idea that Christians are called out of the world and set apart for God's purposes (e.g., <span class=""x-scripture"" data-book=""1PE"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Peter 2:9</span>) for a specific mission and purpose (the great commission). The church is technically any two or more believers meeting together (<span class=""x-scripture"" data-book=""MAT"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 18:20</span>). Typically, the church is organized into regular meetings, with perhaps a set location and time, but wherever two or more people meet in Jesus’ name, that's where the church is!","The Church is people, not the building or place where they meet. **Called-out people**: this idea indicates that Christians are called out of the world and set apart for God's purposes (e.g., <span class=""x-scripture"" data-book=""1PE"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Peter 2:9</span>) for a specific mission and purpose (the Great Commission). The church can technically be called any meeting with two or more believers (<span class=""x-scripture"" data-book=""MAT"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 18:20</span>). Generally, the church is organized into regular gatherings, possibly with a set place and time; but wherever two or more people gather in Jesus' name, there is the church!"
"17","0.9486","HIGH","The church was established by Jesus and increased in the 1st century A.D. by the work of the disciples who followed him. The church we have and experience today in all its local bodies across the Earth is a direct result of the original work of Christ and His apostles. As believers we are to be committed to a local church for fellowship, provision, equipping for ministry, and to do good works!","The Church was established by Jesus, and it grew in the first century AD through the work of the disciples who followed Him. The church we have today and experience in all its local congregations across the earth is the direct result of the foundational work of Christ and His apostles. As believers we should be committed to a local church for fellowship, provision, equipping for service, and doing good works!"
"18","0.9349","HIGH","To help us understand what the church is, the Scriptures gives us powerful pictures that show what it’s meant to be.","To help us understand what the church is, Scripture gives us some powerful images that show what it is intended to be."
"19","1.0","HIGH","## Understanding the Church","## Understanding the Church"
"20","0.9111","MEDIUM","There are several core metaphorical images used to depict attributes of the church:","Several key metaphorical images are used to depict the characteristics of the Church:"
"21","0.8815","MEDIUM","1.  The Body","1.  Body"
"22","0.8863","MEDIUM","2.  The Bride","2.  Bride"
"23","0.908","MEDIUM","3.  The Temple","3.  Temple"
"24","0.9225","HIGH","4.  The Family","4.  Family"
"25","0.8962","MEDIUM","5.  The Flock","5.  Flock"
"26","0.9732","HIGH","6.  The Vine and Branches","6.  Vine and Branches"
"27","0.9744","HIGH","Each analogy highlights a unique aspect of the church, yet together, they reveal the church's identity as a unified and diverse community under Christ's leadership.","Each analogy highlights a distinct aspect of the Church, yet together they reveal the Church’s identity as a unified and diverse community under the leadership of Christ."
"28","0.8578","MEDIUM","### The Body","### Body"
"29","0.9726","HIGH","The church is often described as **the Body of Christ**, emphasizing both its unity and diversity. With Christ as the head, the church functions as a living organism where every believer plays an essential and potentially diverse role. Each member is uniquely gifted and contributes to the health and mission of the body according to their own function. This image highlights the interdependence of believers, specifically that the body must be connected to function, and that our function is collaborative not competitive. When every part works together, the body grows and thrives in unity and love (<span class=""x-scripture"" data-book=""1CO"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""12-27"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Corinthians 12:12-27</span>; <span class=""x-scripture"" data-book=""EPH"" data-chapter=""4"" data-lang=""en"" data-type=""ref"" data-verses=""15-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Ephesians 4:15-16</span>; <span class=""x-scripture"" data-book=""COL"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Colossians 1:18</span>).","The Church is often called the **Body of Christ**, which emphasizes both its unity and diversity. With Christ as the head, the Church functions as a living body, where every believer plays an indispensable and potentially diverse role. Each member is endowed with distinct gifts and contributes to the health and mission of the body according to their respective role. This image underscores believers’ interdependence, particularly that the body must be connected in order to function, and that our work is cooperative, not competitive. When every part works together, the body grows and thrives in unity and love (<span class=""x-scripture"" data-book=""1CO"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""12-27"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Corinthians 12:12-27</span>; <span class=""x-scripture"" data-book=""EPH"" data-chapter=""4"" data-lang=""en"" data-type=""ref"" data-verses=""15-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Ephesians 4:15-16</span>; <span class=""x-scripture"" data-book=""COL"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Colossians 1:18</span>)."
