# Drift report generated 2026-01-30T14:17:26.244738
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter14_chapter_14_keep_watch.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/arabic/pipeline2/backtranslation/chapters/chapter14_chapter_14_keep_watch.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9413","HIGH","Having been given the spiritual authority of Christ on the Earth to establish His kingdom we should work with diligence and haste, for Jesus will return!","Since we have been given Christ’s spiritual authority on earth to establish His kingdom, we should work diligently and quickly, for Jesus will return!"
"2","0.9834","HIGH","The return of Christ is an important part of our faith. The study of the return of Christ and the end times is known as **eschatology**. Many books on eschatology have been written, and *most of them disagree with each other*! Specifically, they disagree on interpretations (figurative, literal, symbolic), the order and timings of the events in the scriptures. I'm reminded of the saying by the great Pentecostal evangelist Reinhard Bonke - “I will split hairs in heaven when I am done breaking chains on Earth!”","The return of Christ is an important part of our faith. The study of Christ’s return and the end times is known as **Eschatology**. Many books have been written about eschatology, and *most of them do not agree with one another*! Specifically, they differ over interpretations (figurative, literal, symbolic), and the order and timing of events in the Scriptures. This reminds me of the saying of the great Pentecostal evangelist Reinhard Bonnke - ""I will split hairs in heaven when I am done breaking chains on earth!"""
"3","0.9056","MEDIUM","As the author, I’m hesitant to dive very deep into this hotly debated topic given that this book is focused primarily on fundamentals of the faith. I will stick largely to the highest-level view of the events depicted in scripture and focus on what matters most - **the** **mission of the Gospel**!","As the author, I hesitate to dive deeply into this controversial subject since this book focuses primarily on the essentials of the faith. I will largely stick to a high-level overview of the events portrayed in the Bible and focus on what is most important - **the** **gospel message**!"
"4","0.9568","HIGH","## Universally Agreed Upon Points:","## Universally agreed-upon points:"
"5","0.9141","MEDIUM","1.  Jesus Is Returning","1.  Jesus will return"
"6","0.9296","HIGH","2.  Resurrection of the Dead","2.  The resurrection of the dead"
"7","0.969","HIGH","3.  Judgment for All People","3.  Judgment for all people"
"8","0.8308","LOW","4.  Eternal Destiny","4.  Eternal destiny"
"9","0.9506","HIGH","5.  A Defeated Enemy","5.  A defeated enemy"
"10","0.936","HIGH","6.  New Heaven and New Earth","6.  A new heaven and a new earth"
"11","0.9247","HIGH","For each point we will review what the concept is, look at reference scriptures, consider why it matters, and what we should do in light of it.","For each point we will review what is meant, look at the reference verses, consider why it matters, and what we should do in light of it."
"12","0.9474","HIGH","### **1. Jesus Is Returning**","### **1. Jesus will return**"
"13","0.9911","HIGH","**What It Is:** The **Second Coming of Christ** is the literal return of Jesus to the earth as King and Judge.","**What it is:** The **Second Coming of Christ** is the literal return of Jesus to the earth as King and Judge."
"14","1.0","HIGH","<span class=""x-scripture"" data-book=""ACT"" data-chapter=""1"" data-lang=""en"" data-type=""quote"" data-verses=""11"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""ACT"" data-chapter=""1"" data-lang=""en"" data-type=""quote"" data-verses=""11"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"15","0.9833","HIGH","> **<u>Acts 1:11</u>** (NKJV)\\n>\\n> who also said, ""Men of Galilee, why do you stand gazing up into heaven? This same Jesus, who was taken up from you into heaven, will so come in like manner as you saw Him go into heaven.""\\n>","> **<u>Acts 1:11</u>** (NKJV)\\n>\\n> who also said, ""Men of Galilee, why do you stand gazing up into heaven? This same Jesus, who was taken up from you into heaven, will come in the same way as you saw Him go into heaven.""\\n>"
"16","1.0","HIGH","</span>","</span>"
"17","1.0","HIGH","<span class=""x-scripture"" data-book=""REV"" data-chapter=""22"" data-lang=""en"" data-type=""quote"" data-verses=""12"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""REV"" data-chapter=""22"" data-lang=""en"" data-type=""quote"" data-verses=""12"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"18","0.9936","HIGH","> **<u>Revelation 22:12</u>** (NKJV)\\n>\\n> ""And behold, I am coming quickly, and My reward is with Me, to give to every one according to his work.\\n>","> **<u>Revelation 22:12</u>** (NKJV)\\n>\\n> ""And behold, I am coming quickly, and My reward is with Me, to give to everyone according to his work.\\n>"
"19","1.0","HIGH","</span>","</span>"
"20","0.9797","HIGH","**Why It Matters:** Christ’s return fulfills God’s promise to complete redemption and establish His kingdom. It reminds us to live with urgency, knowing we will one day see Him face-to-face.","**Why it matters:** The return of Christ fulfills God’s promise to complete redemption and establish His kingdom. And it reminds us to live with urgency, knowing that we will one day see Him face to face."
"21","0.9667","HIGH","**What Should We Do?**","**What should we do?**"
"22","0.99","HIGH","- **Be Watchful:** Live in expectation of His return.","- **Be watchful:** Live in expectation of His return."
"23","0.9659","HIGH","- **Stay Faithful:** Carry out the Great Commission (<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""ref"" data-verses=""19-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 28:19-20</span>) with purpose and diligence.","- **Remain faithful:** Fulfill the Great Commission (<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""ref"" data-verses=""19-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 28:19-20</span>) with purpose and diligence."
"24","0.9793","HIGH","### **2. Resurrection of the Dead**","### **2. The Resurrection of the Dead**"
"25","0.974","HIGH","**What It Is:** The **resurrection** is the raising of all people-both righteous and unrighteous-from the dead to face **judgment**.","**What it is:** The **resurrection** is the raising of all people-the righteous and the wicked-from the dead to face **judgment**."
"26","1.0","HIGH","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""5"" data-lang=""en"" data-type=""quote"" data-verses=""28-29"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""5"" data-lang=""en"" data-type=""quote"" data-verses=""28-29"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"27","0.9725","HIGH","> **<u>John 5:28-29</u>** (NKJV)\\n>\\n> Do not marvel at this; for the hour is coming in which all who are in the graves will hear His voice\\n>\\n> and come forth—those who have done good, to the resurrection of life, and those who have done evil, to the resurrection of condemnation.\\n>","> **<u>John 5:28-29</u>** (NKJV)\\n>\\n> Do not marvel at this; for an hour is coming in which all who are in the graves will hear His voice\\n>\\n> and come out—the ones who have done good, to the resurrection of life, and the ones who have done evil, to the resurrection of judgment.\\n>"
"28","1.0","HIGH","</span>","</span>"
"29","0.9999","HIGH","<span class=""x-scripture"" data-book=""1TH"" data-chapter=""4"" data-lang=""en"" data-type=""fragment"" data-verses=""16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""1TH"" data-chapter=""4"" data-lang=""en"" data-type=""fragment"" data-verses=""16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"30","1.0","HIGH","> **<u>1 Thessalonians 4:16</u>** (NKJV)\\n>\\n> For the Lord Himself will descend from heaven with a shout, with the voice of an archangel, and with the trumpet of God. And the dead in Christ will rise first.\\n>","> **<u>1 Thessalonians 4:16</u>** (NKJV)\\n>\\n> For the Lord Himself will descend from heaven with a shout, with the voice of an archangel, and with the trumpet of God. And the dead in Christ will rise first.\\n>"
"31","1.0","HIGH","</span>","</span>"
"32","0.974","HIGH","**Why It Matters:** The resurrection guarantees justice and eternal life for believers while warning unbelievers of judgment. It points to God’s sovereignty over life and death.","**Why it matters:** The resurrection ensures justice and eternal life for believers, while warning unbelievers of judgment. And it points to God’s sovereignty over life and death."
"33","0.9655","HIGH","**What Should We Do?**","**What should we do?**"
"34","0.922","HIGH","- **Be Prepared:** Live a life of repentance and faithfulness to God.","- **Be ready:** Live a life of repentance and faithfulness to God."
