# Drift explanation generated 2026-01-30T16:04:30.184950
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/bengali/pipeline2/analysis/chapters/drift_report_chapter13_chapter_13_spiritual_authority_vs_chapter13_chapter_13_spiritual_authority.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"9","0.9034","MEDIUM","no","paraphrase","The back-translated paragraph retains the original meaning, emphasizing the necessity of authority for an employee to lawfully sell company assets, without altering the doctrinal, logical, or intentional aspects.","Example 1: At work, an employee may have the talents and skills to conduct a sale of the company's assets (power). This power is lawful if they also have the associated permission (authority) from the company’s owners. Without this authority, selling the company's assets is theft.","Example 1: In the workplace, an employee may have the talent and skill (power) to sell the company’s assets. This power is legitimate if they also have the relevant authorization (authority) from the owners of the company. Selling the company’s assets without this authority is theft."
"12","0.8766","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that Jesus has been given 'all authority' and invite the reader to explore the implications of that authority. The changes in wording do not alter the overall meaning or intent.","As Jesus said in Matthew, ‘All authority’ has been given. Let's look at precisely what that authority entails:","In Matthew Jesus said that ‘all authority’ has been given. Let’s see exactly to what areas that authority applies:"
"16","0.8527","MEDIUM","yes","doctrinal","The original phrase 'demons and spiritual forces' suggests a specific focus on malevolent entities, while the back-translation 'evil spirits and spiritual powers' introduces a broader interpretation that may encompass a wider range of spiritual entities, potentially altering the doctrinal implications.","- Over demons and spiritual forces","- Over evil spirits and spiritual powers"
"18","0.7739","LOW","yes","doctrinal","The original phrase 'To judge humanity' implies a general action or capability, while the back-translated phrase 'The right to judge humankind' introduces a notion of entitlement or authority, altering the doctrinal implications regarding judgment.","- To judge humanity","- The right to judge humankind"
"38","0.8898","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply using different terms ('evil spirits' instead of 'demons' and 'spiritual powers' instead of 'spiritual forces') without altering the underlying doctrine or intent.","### Authority Over Demons and Spiritual Forces","### Authority over evil spirits and spiritual powers"
"80","0.9167","MEDIUM","no","paraphrase","The back-translation maintains the same doctrinal meaning and intent as the original, simply using different wording to convey the idea that Jesus' authority is exercised in harmony with the Father's will.","Even though Jesus has all authority, He uses it in full agreement with the Father’s heart and purpose:","Although Jesus has all authority, He uses it in complete alignment with the Father's heart and purposes:"
"103","0.9178","MEDIUM","yes","doctrinal","The back-translation alters the description of faith from 'persuasion' to 'conviction,' which shifts the emphasis from a relational trust in Jesus' ability to persuade us to a more personal assurance of belief. This change can affect the understanding of the nature of faith in relation to prayer.","When we ask, we are to ask in faith (<span class=""x-scripture"" data-book=""MRK"" data-chapter=""11"" data-lang=""en"" data-type=""ref"" data-verses=""24"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Mark 11:24</span>, <span class=""x-scripture"" data-book=""MAT"" data-chapter=""21"" data-lang=""en"" data-type=""ref"" data-verses=""22"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 21:22</span>). Reminding ourselves that **faith is not magic but is persuasion and trust**. Jesus as the source of complete and perfect truth is able to persuade us of His will and His ability to deliver on His promises (Hebrews 11).","When we pray, we must pray in faith (<span class=""x-scripture"" data-book=""MRK"" data-chapter=""11"" data-lang=""en"" data-type=""ref"" data-verses=""24"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Mark 11:24</span>, <span class=""x-scripture"" data-book=""MAT"" data-chapter=""21"" data-lang=""en"" data-type=""ref"" data-verses=""22"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 21:22</span>). We remind ourselves that **faith is not magic, but conviction and trust**. Jesus, as the source of complete and perfect truth, is able to assure us of His will and His ability to fulfill His promises (Hebrews 11)."
"107","0.8382","LOW","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, simply using a different verb tense without altering the core message about Jesus giving authority.","Jesus gave us His authority to:","Jesus has given us His authority:"
"146","0.8767","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, emphasizing the diversity and organization of the angelic/heavenly realm while highlighting the fulfillment of God's purposes.","These classifications emphasize the diversity and organization within the angelic realm, yet their primary focus is always fulfilling God’s purposes.","These classifications emphasize the diversity and organization of the heavenly realm, yet their primary aim is always to fulfill God's purposes."
"153","0.685","CRITICAL","yes","doctrinal","The term 'demons' typically refers to malevolent beings in various religious contexts, while 'evil spirits' may imply a broader range of supernatural entities, potentially diluting the specific doctrinal implications associated with demons.","### Demons","### Evil Spirits"
