# Drift explanation generated 2026-01-30T16:02:26.801821
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/bengali/pipeline2/analysis/chapters/drift_report_chapter14_back_4_end_of_chapter_activities_vs_chapter14_back_4_end_of_chapter_activities.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"3","0.8771","MEDIUM","no","paraphrase","The back-translation simplifies the title without altering the core concept of matching scriptures, maintaining the same intent and logical relationship.","### Activity 1: Scripture Match-Up","### Activity 1: Match the Scriptures"
"4","0.7147","CRITICAL","no","paraphrase","The terms 'Purpose' and 'Objective' are synonymous in this context, indicating no change in the overall meaning or intent of the original text.","#### Purpose:","#### Objective:"
"5","0.8982","MEDIUM","no","paraphrase","Both paragraphs convey the same idea of emphasizing the importance of doctrine through Scripture, with only slight variations in wording that do not alter the overall meaning.","Reinforce key biblical concepts about doctrine by exploring Scriptures that emphasize its importance.","Strengthen key biblical concepts about doctrine by exploring passages that emphasize the importance of doctrine."
"8","0.8641","MEDIUM","no","paraphrase","The back-translation uses 'passages' instead of 'Scriptures,' but both terms refer to biblical texts. The overall intent and logical structure remain unchanged.","2.  **Assign Scriptures** - Give each group one of the following passages:","2.  **Assign passages** - Give each group one from the following:"
"12","0.9113","MEDIUM","no","paraphrase","The back-translation maintains the same intent and logical relationship as the original, simply rephrasing the instruction without altering its meaning.","3.  **Group Discussion** - Have each group:","3.  **Group discussion** - Ask each group to:"
"13","0.8207","LOW","no","paraphrase","The term 'passage' is a synonym for 'Scripture,' and both phrases convey the same intent of reading a specific text aloud, maintaining the original meaning without doctrinal or logical changes.","- **Read their assigned Scripture** aloud.","- Read **their assigned passage** aloud."
"15","0.8155","LOW","yes","mixed","The back-translation shifts the focus from a specific 'real-life example' to 'practical examples,' which may imply a broader range of scenarios. Additionally, 'falsehood' is changed to 'error,' which could alter the nuance of the discussion regarding the nature of the teachings.","- **Discuss a real-life example** of how this teaching applies to guarding against falsehood or helping others grow in faith.","- Discuss **practical examples** of how this teaching helps guard against error or helps others grow in faith."
"16","0.9151","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same core message and intent as the original, simply rephrasing the content without altering its meaning.","4.  **Share Insights** - Groups take **2 minutes** each to present their Scripture, summary, and application to the whole group.","4.  **Share insights** - Each group will take **2 minutes** to present their passage, summary, and application to the whole group."
"18","0.7148","CRITICAL","no","paraphrase","The terms 'Purpose' and 'Objective' are synonymous in this context, indicating that the translation maintains the same intent without altering the doctrinal or logical meaning.","#### Purpose:","#### Objective:"
"32","0.7149","CRITICAL","no","paraphrase","The terms 'Purpose' and 'Objective' are synonymous in this context, indicating no change in the overall meaning or intent of the original text.","#### Purpose:","#### Objective:"
"36","0.7777","LOW","yes","intentional","The original paragraph emphasizes asking participants to provide responses, suggesting a more interactive approach, while the back-translated version instructs to tell participants, which implies a more directive or authoritative tone.","2.  **Group Responses** - Ask participants to:","2.  **Team response** - Tell the participants:"
"48","0.7147","CRITICAL","no","paraphrase","The terms 'Purpose' and 'Objective' are synonymous in this context, indicating that the translation maintains the same intent without altering the underlying meaning.","#### Purpose:","#### Objective:"
"52","0.8974","MEDIUM","no","paraphrase","Both paragraphs convey the same instruction to distribute one card to each participant or group, with no significant changes in meaning or intent.","2.  **Distribute Cards** - Hand out one card per participant or group.","2.  Distribute the cards - Give one card to each participant or team."
"53","0.8185","LOW","no","paraphrase","The terms 'Group Task' and 'Team Task' are synonymous and convey the same concept of a collaborative effort, thus maintaining the original intent and meaning.","3.  **Group Task:**","3.  Team task:"
"54","0.8578","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same meaning as the original, simply rephrasing the instruction without altering the doctrinal content or logical structure.","- Read the **name or attribute** and the accompanying **scripture reference** from the chapter.","- From the chapter, read the name or attribute and the corresponding Scripture reference."
"57","0.9026","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same intent and doctrinal meaning as the original, simply using different wording to convey the same idea of participants sharing their reflections on God's character in relation to real-life situations.","4.  **Wrap-Up** - Have each participant or group **present their reflections**, emphasizing the practical ways God’s character applies to real-life struggles or victories.","4.  Conclusion - Ask each participant or team to present their thoughts, emphasizing how God's character applies practically to real-life struggles or victories."
"59","0.7149","CRITICAL","no","paraphrase","The terms 'Purpose' and 'Objective' are synonymous in this context, indicating no change in doctrinal meaning, logical relationship, or intent.","#### Purpose:","#### Objective:"
"69","0.7149","CRITICAL","no","paraphrase","The terms 'Purpose' and 'Objective' are synonymous in this context, indicating that the translation does not alter the original meaning or intent.","#### Purpose:","#### Objective:"
"73","0.9144","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual focus on attributes as the original, merely rephrasing it without altering the meaning.","2.  **Attribute Focus:**","2.  **Focus on attributes:**"
"78","0.8593","MEDIUM","no","paraphrase","The back-translated paragraph retains the same meaning as the original, simply changing 'prompts' to 'prompt' without altering the overall intent or context.","- Example Prompts:","- Example prompt:"
"86","0.8208","LOW","no","paraphrase","The terms 'Purpose' and 'Objective' are synonymous in this context, and thus the translation does not alter the original meaning.","#### **Purpose:**","#### **Objective:**"
"102","0.8122","LOW","yes","doctrinal","The original uses the term 'ripples' which suggests subtle, ongoing effects of sin, while the back-translation uses 'waves,' implying a more forceful and immediate impact. This change alters the understanding of how sin affects individuals.","- *What are some “ripples” of sin you’ve experienced personally?*","- *What are some “waves” of sin you have personally experienced?*"
