# Drift explanation generated 2026-01-30T16:26:41.761104
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/punjabi/pipeline2/analysis/chapters/drift_report_chapter9_chapter_9_the_church_our_role_in_it_vs_chapter9_chapter_9_the_church_our_role_in_it.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"20","0.906","MEDIUM","no","paraphrase","Both paragraphs convey the same idea of using metaphorical images to describe the church, with no significant change in meaning or intent.","There are several core metaphorical images used to depict attributes of the church:","Several key metaphorical images are used to illustrate the characteristics of the church:"
"21","0.8815","MEDIUM","yes","doctrinal","The original term 'The Body' implies a specific theological or doctrinal context, potentially referring to the body of Christ or a collective entity, while the back-translated term 'Body' lacks this specificity and depth, altering its doctrinal significance.","1.  The Body","1.  Body"
"22","0.8864","MEDIUM","yes","intentional","The back-translation omits the article 'The,' which changes the emphasis from a specific bride to a more general reference to brides in general, altering the intent of the original text.","2.  The Bride","2.  Bride"
"23","0.908","MEDIUM","yes","doctrinal","The original paragraph refers specifically to 'The Temple,' which may imply a particular religious or doctrinal significance, while the back-translation simply states 'Temple,' potentially losing that specific context and meaning.","3.  The Temple","3.  Temple"
"25","0.8957","MEDIUM","yes","doctrinal","The back-translation omits the definite article 'The,' which may imply a specific group or concept in the original, potentially altering its doctrinal significance and specificity.","5.  The Flock","5.  Flock"
"27","0.8788","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationship as the original, simply using different wording without altering the intent or core message.","Each analogy highlights a unique aspect of the church, yet together, they reveal the church's identity as a unified and diverse community under Christ's leadership.","Each metaphor highlights a unique aspect of the church, but together they reveal the church’s identity as a unified and diverse community under the leadership of Christ."
"28","0.8577","MEDIUM","yes","paraphrase","The back-translation simplifies the title by omitting the article 'The,' which can subtly shift the emphasis from a specific body to a more general concept of 'Body.' However, the core meaning remains largely intact.","### The Body","### Body"
"30","0.7543","LOW","yes","intentional","The back-translation removes the article 'The,' which may imply a specific or unique reference in the original. This change alters the intent by making it less definitive and potentially more general.","### The Bride","### Bride"
"32","0.8024","LOW","yes","doctrinal","The original paragraph refers specifically to 'The Temple,' which may imply a particular religious or doctrinal significance, while the back-translated version simply states 'Temple,' which lacks the same specificity and may not convey the same theological weight.","### The Temple","### Temple"
"34","0.8425","LOW","yes","doctrinal","The original term 'The Family' implies a specific and possibly doctrinal context, suggesting a defined group or concept, whereas 'Family' is more general and lacks the same specificity, potentially altering the intended meaning.","### The Family","### Family"
"36","0.9111","MEDIUM","yes","intentional","The back-translation omits the article 'The' from the original title, which may alter the intent by making it less specific and potentially changing the focus from a defined group to a general concept.","### The Flock","### Flock"
"58","0.9124","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that all members of the body are equal, with no hierarchy among them. The slight rephrasing does not alter the original meaning.","3.  There are no greater or lesser members of the body. Scriptures supporting this are:","3.  No members of the body are greater or lesser. The scriptures that affirm this are:"
"65","0.894","MEDIUM","no","paraphrase","The back-translation uses a plural form for 'Role' which does not change the overall meaning or intent of the original text regarding the concept of roles and responsibilities.","Role and Responsibilities:","Roles and responsibilities:"
"76","0.8941","MEDIUM","no","paraphrase","The back-translation uses the plural form 'Roles' instead of 'Role', but this does not change the overall meaning or intent of the original text regarding responsibilities.","Role and Responsibilities:","Roles and responsibilities:"
"82","0.8586","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same core meaning as the original, with only slight variations in wording. Both convey the idea of being chosen based on reputation and spiritual character.","- **Recognized by the Congregation** - Chosen based on their reputation and spiritual character.","- **Identified by the congregation** - chosen on the basis of their reputation and spiritual character।"
"83","0.8923","MEDIUM","no","paraphrase","The back-translation maintains the same core meaning as the original, conveying that the apostles reviewed and appointed the deacons through prayer and the laying on of hands without altering the doctrinal or logical relationships.","- **Approved by Leaders** - Apostles reviewed and commissioned the chosen deacons through prayer and laying on of hands.","- **Approved by the leaders** - the apostles examined the chosen deacons through prayer and the laying on of hands and appointed them।"
"92","0.4896","CRITICAL","no","paraphrase","The terms 'Example Structures' and 'Illustrative frameworks' convey similar concepts, with no significant change in meaning or intent.","### Example Structures","### Illustrative frameworks"
"94","0.8597","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply using a different phrasing without altering any theological or doctrinal implications.","### Church at Jerusalem","### The church in Jerusalem"
"96","0.8745","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply using a different phrasing without altering any doctrinal or intentional aspects.","### Church at Antioch","### The church in Antioch"
"99","0.9047","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, with only minor changes in wording and pluralization of the terms used.","Throughout these passages certain terms are used that we have not yet defined and studied: *apostle, prophet, evangelist*. These gifts are part of the fivefold ministry that Jesus gave to the church.","Some terms have been used in these sections that we have not yet defined and studied: *apostles, prophets, evangelists*। These gifts are part of the fivefold ministry that Jesus gave to the church।"
