# Drift report generated 2026-01-30T15:22:22.640981
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter14_chapter_14_keep_watch.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/somali/pipeline2/backtranslation/chapters/chapter14_chapter_14_keep_watch.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9068","MEDIUM","Having been given the spiritual authority of Christ on the Earth to establish His kingdom we should work with diligence and haste, for Jesus will return!","Since we have been given the spiritual authority of Christ on earth to build His kingdom, we must work diligently and with urgency, for Jesus is coming back!"
"2","0.9693","HIGH","The return of Christ is an important part of our faith. The study of the return of Christ and the end times is known as **eschatology**. Many books on eschatology have been written, and *most of them disagree with each other*! Specifically, they disagree on interpretations (figurative, literal, symbolic), the order and timings of the events in the scriptures. I'm reminded of the saying by the great Pentecostal evangelist Reinhard Bonke - “I will split hairs in heaven when I am done breaking chains on Earth!”","The return of Christ is an important part of our faith. The study of the return of Christ and the end of the age is called **eschatology**. Many books about eschatology have been written, and they *often disagree*! In particular, they differ in interpretations (e.g., literal, symbolic), the order and timing of events in Scripture. It reminds me of the saying of the great Pentecostal evangelist Reinhard Bonke - “I will sort out the small things in heaven when I’m finished breaking chains on earth!”"
"3","0.9168","MEDIUM","As the author, I’m hesitant to dive very deep into this hotly debated topic given that this book is focused primarily on fundamentals of the faith. I will stick largely to the highest-level view of the events depicted in scripture and focus on what matters most - **the** **mission of the Gospel**!","As the author, I hesitate to go too far into this hotly debated subject since this book focuses on the foundations of the faith. For the most part I will stick to the high-level view of the events revealed in Scripture, and I will emphasize what is most important - **the work** **of the Gospel**!"
"4","0.8382","LOW","## Universally Agreed Upon Points:","## Points that are generally agreed upon:"
"5","0.9396","HIGH","1.  Jesus Is Returning","1.  Jesus Is Coming Back"
"6","0.9727","HIGH","2.  Resurrection of the Dead","2.  The Resurrection of the Dead"
"7","0.9353","HIGH","3.  Judgment for All People","3.  The Judgment of All People"
"8","0.7355","CRITICAL","4.  Eternal Destiny","4.  The Eternal Future"
"9","1.0","HIGH","5.  A Defeated Enemy","5.  A Defeated Enemy"
"10","1.0","HIGH","6.  New Heaven and New Earth","6.  New Heaven and New Earth"
"11","0.9601","HIGH","For each point we will review what the concept is, look at reference scriptures, consider why it matters, and what we should do in light of it.","For each point we will review what the concept is, we will look at the Scripture references, we will consider why it matters, and what we do in light of it."
"12","0.961","HIGH","### **1. Jesus Is Returning**","### **1. Jesus Is Coming Back**"
"13","0.9758","HIGH","**What It Is:** The **Second Coming of Christ** is the literal return of Jesus to the earth as King and Judge.","**What Is It:** **The Second Coming of Christ** is the literal return of Jesus to the earth as King and Judge."
"14","1.0","HIGH","<span class=""x-scripture"" data-book=""ACT"" data-chapter=""1"" data-lang=""en"" data-type=""quote"" data-verses=""11"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""ACT"" data-chapter=""1"" data-lang=""en"" data-type=""quote"" data-verses=""11"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"15","0.9989","HIGH","> **<u>Acts 1:11</u>** (NKJV)\\n>\\n> who also said, ""Men of Galilee, why do you stand gazing up into heaven? This same Jesus, who was taken up from you into heaven, will so come in like manner as you saw Him go into heaven.""\\n>","> **<u>Acts 1:11</u>** (NKJV)\\n>\\n> who also said, ""Men of Galilee, why do you stand gazing up into heaven? This same Jesus, who was taken up from you into heaven, will so come in like manner as you saw Him go into heaven.""\\n>"
"16","1.0","HIGH","</span>","</span>"
"17","1.0","HIGH","<span class=""x-scripture"" data-book=""REV"" data-chapter=""22"" data-lang=""en"" data-type=""quote"" data-verses=""12"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""REV"" data-chapter=""22"" data-lang=""en"" data-type=""quote"" data-verses=""12"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"18","0.9928","HIGH","> **<u>Revelation 22:12</u>** (NKJV)\\n>\\n> ""And behold, I am coming quickly, and My reward is with Me, to give to every one according to his work.\\n>","> **<u>Revelation 22:12</u>** (NKJV)\\n>\\n> ""And behold, I am coming quickly, and My reward is with Me, to give to each one according to his work.""\\n>"
"19","1.0","HIGH","</span>","</span>"
"20","0.9491","HIGH","**Why It Matters:** Christ’s return fulfills God’s promise to complete redemption and establish His kingdom. It reminds us to live with urgency, knowing we will one day see Him face-to-face.","**Why It Matters:** The return of Christ fulfills God’s promise of the completion of redemption and the establishment of His kingdom. It reminds us to live with watchfulness and readiness, knowing that one day we will see Him face to face."
"21","0.999","HIGH","**What Should We Do?**","**What Should We Do?**"
"22","1.0","HIGH","- **Be Watchful:** Live in expectation of His return.","- **Be Watchful:** Live in expectation of His return."
"23","0.9818","HIGH","- **Stay Faithful:** Carry out the Great Commission (<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""ref"" data-verses=""19-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 28:19-20</span>) with purpose and diligence.","- **Remain Faithful:** Carry out the Great Commission (<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""ref"" data-verses=""19-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 28:19-20</span>) with purpose and diligence."
"24","0.9792","HIGH","### **2. Resurrection of the Dead**","### **2. The Resurrection of the Dead**"
