# Drift report generated 2026-01-30T14:54:12.005734
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter3_chapter_3_sin_and_redemption.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/chinese/pipeline2/backtranslation/chapters/chapter3_chapter_3_sin_and_redemption.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9488","HIGH","Scripture tells us many stories about sin-its causes, its consequences, and how God responds to it. To sin is to fall short of God’s standard, or ‘miss the mark,’ a term from archery describing an archer’s failure to hit the target.","The Bible tells us many stories about sin-its causes, consequences, and how God responds to it. To sin is to fall short of God’s standard, or ‘miss the mark,’ a term from archery describing an archer failing to hit the target."
"2","0.9038","MEDIUM","Both Old and New Testaments use various terms for sin, each highlighting aspects like its type, severity, intent, victim, nature, and required punishment. There are several broad categorizations that the scriptures use to describe sin:","The Old and New Testaments use various terms to describe sin, each term emphasizing aspects such as its type, severity, intent, victim, nature, and the punishment required. The general categories Scripture uses to describe sin include the following："
"3","0.8246","LOW","- Sin against God, sin against man, sin against self","- Sins against God，sins against others，sins against oneself"
"4","0.8101","LOW","- Intentional sin, unintentional sin","- Willful sins，unintentional sins"
"5","0.7528","LOW","- Sin of a single moment, sin habitually committed","- Momentary sins，habitual sins"
"6","0.7525","LOW","- Sin requiring severe punishment like death, sin requiring financial restitution","- Sins requiring severe punishment such as the death penalty，sins requiring monetary restitution"
"7","0.9083","MEDIUM","In our modern criminal justice systems, we have similar distinctions: degrees of crime, premeditated or crimes of passion, crimes requiring financial restitution, or incarceration, or even capital punishment. An act might be both a crime and a sin, but crime is man's categorization, sin is God’s.","In our modern criminal justice system there are similar distinctions：degrees of crimes，premeditated or crimes of passion，crimes requiring monetary restitution，or imprisonment, even the death penalty。An act may be both a crime and a sin, but crime is a human classification, whereas sin is God’s。"
"8","0.9345","HIGH","The various Greek and Hebrew words for sin have a high level of overlap. All sin is broadly described under the umbrella term ‘missing the mark’, ***Hamartia*** in Greek, and ***Chata’*** in Hebrew. This umbrella term is used for the most severe sins, adultery, murder, but also less severe sins, like showing partiality to wealthy people in our church gatherings (<span class=""x-scripture"" data-book=""JAS"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">James 2:9</span>).","The many words in Greek and Hebrew for “sin” have a high degree of overlap。All sins can broadly be grouped under the general term “miss the mark,” Greek ***Hamartia***，Hebrew ***Chata’***。This umbrella term is used for the most serious sins, such as adultery and murder, as well as for lesser sins, for example showing partiality to the rich in our church gatherings (<span class=""x-scripture"" data-book=""JAS"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">James 2:9</span>)。"
"9","0.8982","MEDIUM","Here are some words the Scriptures use for sin. They help us understand how serious sin is-and how deeply we need God's grace.","Here are some of the words the Bible uses to describe sin。They help us understand how serious sin is-and how much we need God’s grace。"
"10","1.0","HIGH","[See Table 2](../tables/table2.md)","[See Table 2](../tables/table2.md)"
"11","0.9887","HIGH","## Sin has Consequences","## Sin Has Consequences"
"12","0.8923","MEDIUM","Every sin brings consequences-sometimes immediate, sometimes delayed, but always real.","Every kind of sin brings consequences-sometimes immediate, sometimes delayed, but always real。"
"13","0.8965","MEDIUM","Let's consider Cain’s murder of his brother Able in Genesis 4.","Let us consider Cain’s murder of his brother Abel in Genesis chapter 4。"
"14","1.0","HIGH","<span class=""x-scripture"" data-book=""GEN"" data-chapter=""4"" data-lang=""en"" data-type=""quote"" data-verses=""1-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""GEN"" data-chapter=""4"" data-lang=""en"" data-type=""quote"" data-verses=""1-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
