# Drift explanation generated 2025-10-08T09:09:02.899125
# Source drift file: analysis/drift_report_chapter1_chapter_1_sound_doctrine_matters_vs_chapter1_chapter_1_sound_doctrine_matters_20251008-071411.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"2","0.9129","MEDIUM","no","paraphrase","Both paragraphs convey the same essential message that Jesus instructed His church to teach His doctrine, with slight variations in wording but no change in meaning.","When Jesus instructed His church to ‘teach’, He was instructing them to share His doctrine.","When Jesus commanded His Church to ‘teach’, He was instructing them to impart His doctrine."
"6","0.8251","LOW","yes","doctrinal","The original emphasizes replicating Jesus' teachings in others, suggesting a focus on personal application and influence, while the back-translation shifts to a command to teach His doctrine, which implies a more formal and authoritative approach to sharing His teachings.","In other words, Jesus is instructing all of us to learn His teachings and to replicate them in others.","In other words, Jesus commands all of us to learn His doctrine and to teach it to others."
"14","0.9023","MEDIUM","no","paraphrase","Both paragraphs convey the same core message about Jesus' teachings as foundational to faith, emphasizing the importance of studying, obeying, and cultivating a relationship with Him to withstand life's challenges.","Jesus’ teaching is the bedrock of our faith! He is the master architect who has a perfect design and blueprint. Only by studying the blueprints, obeying the architect’s specific instructions, and developing a strong working relationship can we build a life that will stand in the storms of life.","Jesus’ doctrine is the rock of our faith! He is the master architect with the perfect design and blueprint. It is by studying the blueprint, obeying the architect’s specific instructions, and cultivating a strong working relationship that we can build lives that will endure the storms of life."
"20","0.8942","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same core message and intent as the original, emphasizing the importance of personal growth in faith alongside the responsibility to teach and disciple others.","Jesus’ charge extends beyond us. It’s great that we become whole, healthy, disciplined, submitted to God, but we must teach, train, equip, lead, and disciple others into the faith as well!","Jesus’ command goes beyond us. It is a good thing that we become complete, healthy, disciplined, and submitted to God, but we must teach, train, empower, lead, and make others disciples in the faith as well!"
"21","0.91","MEDIUM","no","paraphrase","The back-translation uses 'teachings' instead of 'doctrine,' but both terms convey similar concepts in this context. The overall intent and meaning remain unchanged, focusing on the importance of studying and discipline to build a strong foundation.","Why should we study doctrine and become disciplined? To build our lives on the rock!","Why should we study the teachings and be disciplined? To build our lives on the rock!"
"28","0.9179","MEDIUM","yes","doctrinal","The back-translation uses 'Lord's commands' instead of 'master’s commandments,' which may imply a different theological authority. Additionally, 'New Covenant church' suggests a specific theological framework that may differ from the broader 'New Testament church' terminology.","Disciples, having been taught discipline, can carry out the master’s commandments. Every person in the New Testament church is called to:","Disciples, after being trained in discipline, can carry out the Lord’s commands. Everyone in the New Covenant church is called to:"
"32","0.8996","MEDIUM","no","paraphrase","Both paragraphs convey the same reassurance that support is available, emphasizing that the task does not need to be faced alone. The phrasing is slightly different, but the core message remains unchanged.","Don’t worry, we do not have to go this alone.","Don’t worry, we don’t have to do this on our own."
"41","0.9115","MEDIUM","no","paraphrase","The back-translation maintains the original intent and meaning, simply rephrasing the language without altering the doctrinal or logical relationships.","God has given the church these special gifts to bring us to maturity, so we can and are:","God has given the church these special gifts to bring us into maturity, so that we may and be able to:"
"42","0.889","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply rephrasing it without altering the intent or doctrinal implications.","- Able to do work and bear fruit","- Have the ability to work and bear fruit"
"43","0.841","LOW","yes","doctrinal","The original phrase 'Unified in the faith' suggests a state of being together in faith, implying a completed action or condition. In contrast, 'Unite in the faith' implies a call to action, encouraging individuals to come together, which alters the doctrinal meaning from a state of unity to an invitation for unity.","- Unified in the faith","- Unite in the faith"
"44","0.8381","LOW","yes","doctrinal","The original phrase suggests a state of being already full of knowledge, while the back-translated version implies an action or command to become filled with knowledge. This changes the doctrinal meaning from a descriptive state to an imperative action.","- Full of the knowledge of God","- Be filled with the knowledge of God"
"45","0.7203","CRITICAL","yes","intentional","The original term 'Mature' suggests a state of being, while 'Be mature' implies an action or command to achieve that state. This changes the intent from a description to an imperative.","- Mature","- Be mature"
"46","0.8247","LOW","yes","doctrinal","The original phrase suggests a comparison that implies a distinction from children, while the back-translated version alters the structure to imply a potential state of being, which may affect the interpretation of the intended message.","- Not like children","- Not be like children"
"47","0.9152","MEDIUM","no","paraphrase","The back-translation maintains the original meaning by conveying the idea that without sound teaching, individuals will lack stability and be easily swayed. The phrasing is slightly altered, but the core message remains intact.","Without sound doctrine we will be <u>children, tossed about and carried off.</u>","Without sound teaching we will be <u>children, being tossed to and fro and carried about.</u>"
"48","0.9195","MEDIUM","no","paraphrase","The back-translation maintains the original meaning and intent, conveying that children are significant within God's family while also indicating their inherent nature.","Children are an important part of the family of God, but children are inherently:","Children are an important part of God’s family, but by nature children are:"
