# Drift explanation generated 2026-01-30T15:57:16.790005
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/bengali/pipeline2/analysis/chapters/drift_report_chapter1_chapter_1_sound_doctrine_matters_vs_chapter1_chapter_1_sound_doctrine_matters.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"1","0.8796","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea about doctrine as the essential truths believed and taught by God's faithful people, emphasizing their foundation in Scripture and their application in daily life.","Doctrine simply means the core truths we believe and teach-truths passed on by faithful people of God, rooted in Scripture, and lived out in our daily walk.","By doctrine we simply mean what we believe and teach—the core truths entrusted by God's faithful people, rooted in Scripture, and implemented in our daily lives."
"2","0.858","MEDIUM","no","paraphrase","Both paragraphs convey the same core message that Jesus instructed His church to teach His doctrine, with no significant changes in meaning or intent.","When Jesus instructed His church to ‘teach’, He was instructing them to share His doctrine.","When Jesus commanded His Church to “teach,” He told them to teach His doctrine."
"18","0.9072","MEDIUM","no","paraphrase","Both paragraphs convey the same core message that a strong foundation of faith is essential for enduring life's challenges. The back-translation maintains the original intent and logical relationship without altering the doctrinal meaning.","We cannot expect our lives to stand strong in the face of difficulties, challenges, tribulations, persecutions, or just ordinary life if we have not built our lives on the strong rock of faith.","If we do not build our lives on the solid rock of faith, then we cannot expect that our lives will stand firm—even when faced with hardship, challenges, tribulation, persecution, or ordinary day-to-day living."
"20","0.904","MEDIUM","no","paraphrase","Both paragraphs convey the same core message about the importance of personal spiritual growth and the responsibility to guide others in their faith. The differences in wording do not alter the underlying meaning.","Jesus’ charge extends beyond us. It’s great that we become whole, healthy, disciplined, submitted to God, but we must teach, train, equip, lead, and disciple others into the faith as well!","Jesus’ command extends beyond our own boundaries. It’s wonderful that we become whole, healthy, disciplined, and surrendered to God—but we must also teach, train, equip, lead, and disciple others to bring them to faith!"
"27","0.8933","MEDIUM","no","paraphrase","Both paragraphs convey the same core message about the necessity of abiding in Jesus' word to become His disciple and the resulting knowledge of truth that leads to freedom. The differences in wording do not alter the underlying meaning.","Being Jesus' disciple is only possible by continuing in His word (his logos)! The result of continuing in His word is our knowledge of the truth, which makes us free!","Becoming a disciple of Jesus is only possible when we abide in His word (His Logos)! The result of abiding in His word is our knowledge of the truth, which sets us free!"
"43","0.8629","MEDIUM","no","paraphrase","The phrases 'unified in the faith' and 'united in faith' convey the same core idea of collective belief and agreement among individuals, with no significant change in meaning.","- Unified in the faith","- United in faith"
"48","0.9171","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationship as the original, simply rephrasing it without altering the core message.","Children are an important part of the family of God, but children are inherently:","Children are an important part of God’s family, but children are by nature:"
"50","0.8777","MEDIUM","yes","doctrinal","The original paragraph uses 'good and bad actors,' which implies a focus on behavior and intentions, while the back-translated version uses 'good and evil people,' which introduces a moral dichotomy that may suggest a more absolute judgment of character.","- Naive - unable to discern between good and bad actors.","- Naive - unable to distinguish between good and evil people."
"87","0.9008","MEDIUM","no","paraphrase","The terms 'doctrines' and 'teachings' are often used interchangeably in a theological context, so the back-translation maintains the original intent and meaning without significant change.","What are His doctrines, what will we study?","What are His teachings, what will we study?"
"88","0.8843","MEDIUM","no","paraphrase","The back-translation maintains the original intent and meaning, using different wording but conveying the same concepts about the foundational nature of the teachings and their importance for the learner's life.","In this work we will primarily study foundational doctrines of the New Testament church. These doctrines are foundational in that scriptures refer to them as such, but more so because they provide a strong foundation for the learner to build their life upon.","In this work we will mainly study the foundational teachings of the New Testament church। These teachings are called foundational—on the one hand because Scripture refers to them this way, and on the other hand because they provide a firm foundation for building the student’s life।"
"92","0.9133","MEDIUM","no","paraphrase","The terms 'doctrines' and 'teachings' are often used interchangeably in a theological context, and both paragraphs convey the same intent to study fundamental beliefs.","The core doctrines we will study are:","The core teachings that we will study are:"
"93","0.8938","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply using 'teachings' instead of 'doctrines' without altering the overall intent or logical relationship.","1.  Principle doctrines of the Christ (the Anointed One)","1.  The principal teachings of Christ (the Anointed One)"
