# Drift explanation generated 2026-02-01T01:34:19.914778
# Source drift file: /Users/andrew/repo/kli-translation-pipeline_principles-of-faith/japenese/pipeline2/analysis/chapters/drift_report_chapter5_chapter_5_repentance_from_dead_works_vs_chapter5_chapter_5_repentance_from_dead_works.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"6","0.8756","MEDIUM","no","paraphrase","Both paragraphs convey the same intent of examining the Greek phrase more closely, with no significant changes in doctrinal meaning or logical relationships.","Let's take an in-depth look at the Greek for this phrase:","Let us take a closer look at the Greek of this phrase:"
"12","0.9049","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea that the work we do is motivated by the value we derive from it, with only slight variations in phrasing.","Why do we do all this work? It varies, but definitionally because we get something of value from it.","Why do we do this much work? It varies, but by definition, it is because we can obtain something of value through it."
"13","0.908","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that most people would not continue working at a job without pay. The phrasing is slightly different, but the core message remains unchanged.","Would you continue to work at a job if they stopped paying you? For most of us the easy and painfully obvious answer is a resounding, NO!","If the pay stopped, would you continue that job? For most of us, the simple and painfully obvious answer is a resounding, NO!"
"19","0.8527","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea that living entities have the ability to reproduce and create new individuals. The terms 'living things' and 'organisms' are synonymous in this context, and the overall meaning remains unchanged.","3.  **Reproduction**: Living things have the capacity to reproduce, creating offspring or new entities.","3.  **Reproduction**: Organisms have the ability to reproduce, producing offspring or new individuals."
"20","0.92","MEDIUM","no","paraphrase","The back-translated paragraph retains the original meaning by conveying that living organisms respond to external stimuli and can adapt to environmental changes, using slightly different wording but maintaining the same concepts.","4.  **Response to Stimuli**: Life responds to external stimuli (like light, heat, or sound) and can adjust to changes in the environment.","4.  **Response to stimuli**: Living organisms respond to external stimuli (light, heat, sound, etc.) and can adapt to changes in their environment."
"23","0.8218","LOW","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, using different wording but conveying the same idea about applying criteria of 'life' to actions and defining 'dead works'.","If we apply this standard of ‘life’ to our works with a bit of creative license, then dead works are those that:","If we apply these ‘life’ criteria to our actions with a bit of creative interpretation, then dead works are as follows:"
"27","0.8513","MEDIUM","yes","doctrinal","The original suggests a lack of action ('do not maintain'), while the back-translation implies an inability ('cannot maintain'), which alters the understanding of agency and responsibility in maintaining internal stability.","4.  Do not maintain internal stability, become dis-regulated, are not self-controlled.","4.  Cannot maintain internal stability, fall into dysregulation, and cannot self-regulate."
"33","0.8464","LOW","no","paraphrase","Both paragraphs convey the same conceptual distinction between the binary state of being dead or alive and the gradient nature of dying. The comparison of dead works to poisons and the acknowledgment of varying effects remains consistent in both versions.","While dead versus alive is a binary. Dying is a gradient. Our dead works may not be completely dead across every single category, yet, but they will become so! Dead works are like poisons, some have greater effects.","Whether something is dead or alive is a dichotomy. There are stages to dying. Our dead works may not yet be completely dead in every respect, but they will be! Dead works are like poison, and their strength of effect varies."
"40","0.8722","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, emphasizing the need for repentance and the dangers of worldly distractions leading to both physical and spiritual death.","We must repent! We must turn away from the things of this life that are poisoning us and leading to both our natural and spiritual death.","We must repent！ We must turn away from the things of this world, that are poisoning us, and leading us to death both physically and spiritually。"
"41","0.8538","MEDIUM","no","paraphrase","The back-translation retains the original intent and meaning, simply using slightly different wording without altering the overall message about the need to explore the Greek language for deeper understanding.","To understand this fully we need to look a bit deeper into the Greek language.","To understand this fully、we need to look a little deeper into the Greek。"
"42","0.8207","LOW","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationship as the original, simply rephrasing it without altering the core concepts.","The term used in Hebrews is *repentance*. This is contrasted with the term *repent,* an example is found in","The word used in Hebrews is *repentance*です。 This is contrasted with the word *repent,* その一例は次に見られます"
"44","0.9105","MEDIUM","yes","doctrinal","The back-translation uses 'has drawn near' instead of 'is at hand,' which may imply a different temporal nuance regarding the immediacy of the kingdom of heaven, potentially affecting the urgency of the call to repentance.","> **<u>Matthew 4:17</u>** (NKJV)\\\\n>\\\\n> From that time Jesus began to preach and to say, ""Repent, for the kingdom of heaven is at hand.""\\\\n>","> **<u>Matthew 4:17</u>** (NKJV)\\\\n>\\\\n> From that time Jesus began to preach and say, ""Repent。 For the kingdom of heaven has drawn near。""\\\\n>"
"46","0.9037","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, conveying the definition of repentance without altering its doctrinal or intentional implications.","Repent (***Metanoeō***, pronounced *meh-tah-NO-eh-oh* - **G3340**) is a verb, it's an action or occurrence, it means to change one’s mind or purpose; to turn away from sin and toward God.","To repent（***Metanoeō***, pronounced *meh-tah-NO-eh-oh* - **G3340**）is a verbで, an act or occurrenceで, to change the mind or purpose; to turn from sin toward God。"
"47","0.8991","MEDIUM","yes","mixed","The back-translation alters the phrasing and introduces ambiguity by using 'a changed mind' instead of 'to have a change of mind,' which could affect the clarity of the concept of repentance. Additionally, the use of 'で' may imply a different grammatical structure that could confuse the logical relationships in the original.","Repentance (***Metanoia***, pronounced *meh-TAH-noi-ah* - **G3341**) is a noun, it's a state of having repented, it means to have a change of mind; the state of having turned away from sin and toward God.","Repentance（***Metanoia***, pronounced *meh-TAH-noi-ah* - **G3341**）is a nounで, the state of having repentedで, a changed mind; the state of having turned from sin toward God。"
"48","0.9148","MEDIUM","no","paraphrase","Both paragraphs convey the same theological concept of living in a continual state of repentance from dead works, with no significant changes in meaning or intent.","When God says in Hebrews ‘*repentance from dead works*’ He is saying to be in the state of having repented! We are to live in a continual state of having ‘turned away’ from dead works.","When God says in Hebrews『*repentance from dead works*』, He means being in a repented state！ We should constantly live in a state of being 『turned away』 from dead works。"
"51","0.8903","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, with only minor variations in wording that do not affect the overall intent or message.","How do we change our minds? Intentionally, through an experience with truth.","How do we change our minds？ Intentionally, through encounters with the truth。"
"59","0.8521","MEDIUM","yes","doctrinal","The original phrase 'Systems of Change' suggests multiple frameworks or approaches to change, while the back-translated phrase 'A system of change' implies a singular framework, altering the scope and potentially the interpretation of the concept.","### Systems of Change","### A system of change"
