# Drift report generated 2026-01-30T00:05:42.147165
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter14_back_5_hearing_the_voice_of_god.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/farsi/pipeline2/backtranslation/chapters/chapter14_back_5_hearing_the_voice_of_god.md
"id","similarity","translation_quality","source","back_translation"
"1","0.8943","MEDIUM","The following guest appendix by Rev. Larry Low ([<u>www.LarryLow.com</u>](http://www.larrylow.com)) complements our exploration of the Holy Spirit’s role, offering practical insights on hearing God’s voice. The following guest contribution is used with permission.","The following guest addendum from Pastor Larry Low ([<u>www.LarryLow.com</u>](http://www.larrylow.com)) completes our exploration of the role of the Holy Spirit and provides practical insights on hearing the voice of God. This guest piece is used with permission."
"2","0.9735","HIGH","During prayer one morning, I asked **God** the following question: “What is the most important thing I could teach your people for the times that are heading our way?” And He answered me very quickly, and I sensed it was very urgent when He said: “**Teach them to hear My voice.**”","One morning during prayer, I asked **God** this question: ""What is the most important thing I can teach Your people for the times that are coming toward us?"" And He answered me very quickly, and when He said, ""**Teach them to hear My voice.**"" I felt it was very urgent."
"3","0.9762","HIGH","When the Lord gives me a direction like that, I always pick up a pad and pencil and begin to write what little I know, or what I think I know, and the Scriptures that support it. I love doing Word studies on topics the Lord is leading me to teach. I love the anointing for preaching, but I really love to teach the Word. It is an adventure finding things that have always been there but have been overlooked.","When the Lord gives me such direction, I always pick up a piece of paper and a pencil and start writing the little that I know, or what I think I know, and the Scriptures that support it. I love doing word studies on subjects the Lord leads me to teach. I love the anointing for preaching, but I truly love teaching the Word. Discovering things that have always been there but have gone unnoticed is an adventure."
"4","0.9492","HIGH","David must have longed to uncover God’s Truths, for He prayed in verse 18 of Psalm 119: “Open my eyes that I may see Wondrous things from Your law.”","David must have been eager to discover God's truths, for in verse 18 of Psalm 119 he prayed: ""Open my eyes, that I may behold wondrous things out of Your law."""
"5","0.9282","HIGH","That’s what I want to see-Wondrous things from His Word.","That's what I want to see - wonders from His Word."
"6","0.9171","MEDIUM","As I was studying and preparing to teach the second message on hearing and discerning God’s voice, He spoke to my heart the following:","While I was studying and preparing to teach the second message about hearing and discerning the voice of God, He said these things to my heart:"
"7","0.9929","HIGH","“*Teach them to hear My voice,  \\nTeach them to honor and obey.*","“*Teach them to hear My voice,  \\nteach them to honor and obey.*"
"8","0.9812","HIGH","*Yes, Teach them to hear My voice and I will always lead them away:  \\nAway from troubles that would destroy them,*","*Yes, teach them to hear My voice and I will always lead them away:  \\naway from the troubles that destroy them,*"
"9","0.9723","HIGH","*Away from the trials that they are in,  \\nAway to a place of peace, love, and joy that few have ever been in.*","*away from the trials they are in,  \\naway to a place of peace, love, and joy that few have ever been.*"
"10","0.9054","MEDIUM","*Away to a place of refreshing,  \\nto a place of Divine ecstasy.*","*away to a place of renewal,  \\nto a place of divine ecstasy.*"
"11","0.9547","HIGH","*Oh yes, teach them to hear My voice son  \\nand these people will forever be free*.”","*Ah yes, My son, teach them to hear My voice  \\nand these people will be free forever*.”"
"12","0.9411","HIGH","05/27/00 9:10 A.M.","05/27/00 9:10 AM"
"13","1.0","HIGH","The following eleven points should help you understand how the Lord will communicate with you:","The following eleven points should help you understand how the Lord will communicate with you:"
"14","0.9685","HIGH","1.  <u>Hearing God’s voice is NOT an audible sound but a KNOWING in your heart.</u>","1.  <u>Hearing God's voice is not an audible voice but a knowing in your heart.</u>"
"15","0.9255","HIGH","There was one time when His Word came so clear and bold that it could have been audible. I answered Him by speaking out, it was so real. However, there was no one there but the Lord and I, so I can’t really say for sure if He spoke to me like we speak to each other.","Once His word came so clear and emphatic that it could have been audible. I answered Him out loud, it was that real. However, there was no one there but the Lord and me, so I really can't say for certain that He spoke to me the way we speak to one another."
"16","0.9567","HIGH","There was the time when Jesus was being baptized in the river Jordan and the Father spoke: “This is My Son, in whom I am well pleased,” but even some of those there said it sounded like thunder, so I guess He could have spoken audibly to me, but for now, I want you to understand that when I say God spoke to me, it is a KNOWING in my heart more than a sound in my ear.","There was a time when Jesus was being baptized in the Jordan and the Father said, ""This is My beloved Son, in whom I am well pleased,"" but even some of those who were there said His voice sounded like thunder; therefore I suppose He may have spoken to me audibly, but for now I want you to understand that when I say God spoke to me, it is more a knowing in my heart than a voice in my ear."
"17","0.8888","MEDIUM","2.  <u>The KNOWING is NOT built by logic within your mind; however, it is a complete thought or understanding.</u>","2.  <u>This knowing is not constructed by the logic of your mind; nevertheless, it is a complete thought or understanding.</u>"
"18","0.9409","HIGH","I have never had the Lord speak anything to me that confused me. I have never had Him speak anything to me that left me wondering ‘why.’ It is always a KNOWING with complete UNDERSTANDING. God is not the author of confusion (<span class=""x-scripture"" data-book=""1CO"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""33"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Corinthians 14:33</span>).","It has never happened that the Lord told me something that confused me. It has never happened that He told me something that left me with the question ""Why."" It is always a knowing with complete understanding. God is not the source of confusion (<span class=""x-scripture"" data-book=""1CO"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""33"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Corinthians 14:33</span>)."
"19","0.9874","HIGH","3.  <u>When He speaks, He speaks in complete thoughts.</u>","3.  <u>When He speaks, He speaks in the form of complete thoughts.</u>"
"20","0.9634","HIGH","He never leaves us to fill in the blanks. In the twinkling of an eye, God can fill your heart with enough information to keep you preaching a lifetime. One touch from God can fill you with fire that will keep you burning eternally. He is a complete communicator.","He never leaves us to fill in the blanks on our own. In the blink of an eye, God can fill your heart with so much information that you could preach for the rest of your life. One touch from God can fill you with a fire that will keep you ablaze forever. He is a perfect communicator."
"21","0.9816","HIGH","4.  <u>When God speaks to us, He NEVER DRIVES. He leads.</u>","4.  <u>When God speaks to us, He never drives. He leads.</u>"
"22","0.9312","HIGH","He is not a task master; He is a Shepherd. Herdsmen drive, but Shepherds lead. Jesus is the Great Shepherd of the sheep, and we are the sheep of His pasture.","He is not a hard taskmaster؛ He is a shepherd. Herdsmen drive, but shepherds lead. Jesus is the great Shepherd of the sheep, and we are the sheep of His pasture."
"23","0.9054","MEDIUM","5.  <u>When He speaks to His children, He NEVER CONVICTS; He CONVINCES.</u>","5.  <u>When He speaks to His children, He never condemns؛ He convinces.</u>"
