# Drift explanation generated 2026-01-30T15:33:47.401432
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/somali/pipeline2/analysis/chapters/drift_report_chapter6_chapter_6_faith_toward_god_vs_chapter6_chapter_6_faith_toward_god.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"1","0.864","MEDIUM","yes","doctrinal","The back-translation changes 'bedrock' to 'foundational,' which may imply a slightly different emphasis on the importance of faith. Additionally, 'subtle misconceptions and wrong understanding' is altered to 'slippery, wrong notions and a distorted understanding,' which could suggest a more negative connotation. Finally, 'persuasion' is replaced with 'conviction,' which shifts the nuance of belief from a more passive acceptance to a stronger, more active certainty.","Faith is a bedrock concept in Christianity. Faith is such a commonly used word in Christianity that sometimes the meaning of the word is supplanted by subtle misconceptions and wrong understanding. But it’s not something you can hold in your hands-it’s something formed in your heart as you come to trust God. Persuasion is belief.","Faith is a foundational concept in Christianity. The word faith is used a great deal in Christianity, and so sometimes the meaning of the word gets replaced by slippery, wrong notions and a distorted understanding. But it is not something you can grasp with your hand-it is formed in your heart when you trust in God. Conviction is belief."
"12","0.8981","MEDIUM","no","paraphrase","The back-translation maintains the original meaning while using different wording. Both paragraphs convey the same idea about the nature of faith and the expectation to articulate one's beliefs.","Faith misrepresented <u>abstractly</u> has no specific conviction or persuasion. This is often evident with a bit of probing as this representation of faith cannot be made specific. If you ask, ‘what do you believe’ or ‘why do you believe’ the person with this understanding of faith often cannot clarify beyond ‘I believe’. <span class=""x-scripture"" data-book=""1PE"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""15"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Peter 3:15</span> says we should be ready to give an answer for the hope that is in us.","Faith misrepresented as <u>general and undefined</u> has no specific belief or conviction. This often shows up when a little is asked, since this representation of faith cannot specify anything concrete. If you ask, ‘what do you believe’ or ‘what do you believe in,’ the person with this understanding of faith often cannot clarify anything beyond ‘I believe.’ <span class=""x-scripture"" data-book=""1PE"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""15"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Peter 3:15</span> says we are to be ready to give the answer for the hope within us."
"14","0.5461","CRITICAL","yes","doctrinal","The original paragraph questions the relevance of belief to the process of persuasion, while the back-translated paragraph shifts the focus to the relationship between belief and conviction, altering the conceptual emphasis from persuasion to a more personal sense of conviction.","Why is belief relevant to persuasion?","What does belief have to do with conviction?"
"16","0.8661","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea about how our perceptions and beliefs guide our actions in navigating the world, with only slight variations in wording and phrasing.","We act on what we perceive, understand, and believe to be possible. When we walk through a hallway our brain detects the boundaries of the floor and the wall and tells our feet automatically where we can step, and what to avoid. This truth extends beyond our physical navigation of the world around us.","We move toward what we see, understand, and believe is possible. As we walk down a hallway, our minds perceive the boundaries of the floor and the wall and tell our feet directly where we can step, and what to avoid. That truth goes beyond the physical guidance of the world around us."
"18","0.877","MEDIUM","yes","doctrinal","The original paragraph emphasizes God's character as 'unloving and punishing,' while the back-translation uses 'unloving, punitive,' which may imply a more legalistic interpretation. Additionally, 'prevent you from walking with Him' versus 'keep you from approaching Him' alters the nuance of the relationship dynamics implied.","If you believe that God has an unloving and punishing character, that perception of Him will prevent you from walking with Him as His child.","If you believe that God has an unloving, punitive character, that view of Him will keep you from approaching Him as His child."
"19","0.7877","LOW","yes","doctrinal","The term 'persuasion' suggests a process of convincing or influencing, while 'conviction' implies a strong belief or certainty. This change alters the doctrinal nuance of faith from an active process to a more static state of belief.","#### Faith is Persuasion","#### Faith is Conviction"
"22","0.918","MEDIUM","yes","doctrinal","The back-translation alters the phrase 'walk *WITH* Him in obedience' to 'keep in step with Him by obeying *LA*', which may imply a different understanding of the nature of obedience and relationship with God, potentially changing the emphasis on the active partnership in faith.","‘Faith towards God’, is relational. Relationships are built by two parties, not one. The good news about our faith in God is that God is responsible for His side of the relationship (made possible by the atoning death of Jesus, and the infilling of His spirit at rebirth), and He helps us on our side too (through the work of the Comforter - the Holy Spirit). God is doing almost all the work, our part (as we will discuss later in this chapter) is to walk *WITH* Him in obedience.","‘Faith directed toward God’ is relational. Relationships are built by two sides, not just one. Our understanding about the faith we have in God is that God is responsible for His side of the relationship (made possible by the atoning death of Jesus, and by filling us with His Spirit at new birth), and He is also helping us on our side (through the work of the Comforter—the Holy Spirit). God does most of the work; our part (as we will discuss later in this chapter) is to keep in step with Him by obeying *LA*."
"31","0.892","MEDIUM","no","paraphrase","The phrases 'increases' and 'grows' convey the same concept of faith developing through the Word of God, maintaining the original intent and meaning without significant alteration.","### Faith Increases by the Word of God","### Faith Grows by the Word of God"
"32","0.9018","MEDIUM","no","paraphrase","The term 'passage' and 'section' are synonymous in this context, and the overall intent and meaning of the text remain unchanged.","Consider this passage from Romans:","Consider this section from Romans:"
"61","0.9138","MEDIUM","no","paraphrase","The back-translated paragraph maintains the original meaning and intent, emphasizing the contrast between a skeptical attitude and a trust-based relationship without altering the core message.","Using a relational example, how challenging would my relationship with my wife be if my attitude was consistently ‘<u>I’ll believe it when I see it!’</u>? Instead a trust -based relationship says ‘I know you are a trustworthy person’.","If we use a relationship example, how difficult would my relationship with my wife be if my posture were consistently, ‘<u>I will believe when I see!</u>’? Instead, a trust-based relationship says, ‘I know you are someone who can be trusted.’"
