# Drift explanation generated 2026-01-30T14:07:19.707656
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/russian/pipeline2/analysis/chapters/drift_report_chapter9_chapter_9_the_church_our_role_in_it_vs_chapter9_chapter_9_the_church_our_role_in_it.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"2","0.8531","MEDIUM","yes","doctrinal","The original question 'Who is the Church?' implies a focus on the identity and community of the Church, while the back-translated question 'What is the Church?' shifts the focus to the nature and definition of the Church, potentially altering the theological emphasis.","## Who is the Church?","## What is the Church?"
"18","0.9076","MEDIUM","yes","doctrinal","The original paragraph emphasizes the church's intended nature as revealed in Scripture, while the back-translation shifts the focus to what the Church is 'called to be,' suggesting a more active or aspirational interpretation rather than a descriptive one.","To help us understand what the church is, the Scriptures gives us powerful pictures that show what it’s meant to be.","To help us understand what the Church is, Scripture gives us powerful images showing what it is called to be."
"21","0.8814","MEDIUM","yes","doctrinal","The original term 'The Body' implies a specific theological or doctrinal significance, possibly referring to the Church or the physical body of Christ, while the back-translation 'Body' lacks this contextual depth and specificity.","1.  The Body","1.  Body"
"22","0.8865","MEDIUM","yes","intentional","The back-translation omits the definite article 'The,' which may alter the emphasis or significance of 'The Bride' as a specific entity, potentially changing the intent behind the reference.","2.  The Bride","2.  Bride"
"23","0.908","MEDIUM","yes","doctrinal","The back-translation omits the definite article 'The,' which may imply a specific temple in the original context, potentially altering the doctrinal significance associated with a particular place of worship.","3.  The Temple","3.  Temple"
"25","0.8957","MEDIUM","yes","doctrinal","The back-translation omits the definite article 'The,' which may imply a specific or unique concept in the original, potentially altering its doctrinal significance.","5.  The Flock","5.  Flock"
"28","0.8577","MEDIUM","no","paraphrase","The back-translation simplifies the title by removing the article 'The,' but it does not alter the overall meaning or intent of the original text.","### The Body","### Body"
"30","0.7541","LOW","yes","intentional","The back-translation omits the article 'The,' which may alter the specificity and intent of the original title, suggesting a broader or less formal reference rather than a specific subject.","### The Bride","### Bride"
"32","0.8023","LOW","yes","doctrinal","The original term 'The Temple' implies a specific and significant religious structure, while the back-translated term 'Temple' lacks the definitive article, which may diminish its doctrinal significance and specificity.","### The Temple","### Temple"
"34","0.8425","LOW","yes","doctrinal","The original term 'The Family' suggests a specific and possibly doctrinal context, while the back-translated term 'Family' is more general and lacks the same specificity, potentially altering the intended meaning.","### The Family","### Family"
"36","0.9111","MEDIUM","yes","intentional","The original title 'The Flock' suggests a specific group or community with a shared purpose or belief, while the back-translated title 'Flock' is more general and lacks the same connotation of intentionality or unity.","### The Flock","### Flock"
"38","0.901","MEDIUM","yes","intentional","The original title 'The Vine and Branches' suggests a specific theological context and relationship, while the back-translated title 'Vine and branches' lacks the definitive article, which may imply a more general or less intentional reference, altering the intended focus on the relationship between Christ and believers.","### The Vine and Branches","### Vine and branches"
"50","0.8538","MEDIUM","no","paraphrase","The back-translation simplifies the title from 'The Leadership of the Church' to 'Church Leadership' without altering the core concept or intent, maintaining the same focus on the leadership aspect within the church context.","## The Leadership of the Church","## Church Leadership"
"83","0.8788","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, using different wording but conveying the same process of the apostles reviewing and commissioning the deacons through prayer and laying on of hands.","- **Approved by Leaders** - Apostles reviewed and commissioned the chosen deacons through prayer and laying on of hands.","- **Confirmed by the leaders** - The apostles examined and ordained the selected deacons through prayer and the laying on of hands."
"85","0.7892","LOW","no","paraphrase","The back-translation 'Leadership requirements' conveys the same concept as 'Qualifications for Leadership,' maintaining the focus on the criteria needed for effective leadership without altering the meaning.","### Qualifications for Leadership","### Leadership requirements"
"86","0.876","MEDIUM","no","paraphrase","The terms 'qualifications' and 'requirements' are synonymous in this context, and both paragraphs convey the same intent regarding the criteria for elders and deacons without altering the doctrinal meaning.","#### Qualifications for Both Elders and Deacons:","#### Requirements for both elders and deacons:"
"92","0.8985","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply rephrasing 'Example Structures' to 'Examples of structures' without altering the intent or logical relationship.","### Example Structures","### Examples of structures"
"94","0.8597","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply using a slightly different phrasing without altering the intent or doctrinal implications.","### Church at Jerusalem","### The church in Jerusalem"
"96","0.8745","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply using a different phrasing without altering any doctrinal or intentional aspects.","### Church at Antioch","### The church in Antioch"
"111","0.8621","MEDIUM","yes","doctrinal","The original paragraph contrasts 'Leadership' with 'Gifting', suggesting a distinction between the two concepts, while the back-translation combines them under 'Leadership and Gifts', which may imply a more integrated view rather than a contrasting one.","## Leadership Versus Gifting","## Leadership and Gifts"
"119","0.8962","MEDIUM","no","paraphrase","Both paragraphs convey the same core ideas about church leadership and the metaphor of the body, with only slight variations in wording that do not alter the overall meaning.","So far in this chapter we’ve covered the leadership of the church and the core analogies for the church. Let’s build upon the specific analogy of *the body* and consider a marathon runner.","So far in this chapter we have looked at church leadership and the primary metaphors for the church. Let’s develop the specific metaphor of the body and consider a marathoner."
