# Drift report generated 2026-01-30T01:22:00.641299
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter4_chapter_4_jesus_the_messiah.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/spanish/pipeline2/backtranslation/chapters/chapter4_chapter_4_jesus_the_messiah.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9677","HIGH","Building on our study of sin, we concluded that sin exacts a serious price, against those whom sin is committed and must be restored, and for those who commit sin and must make restitution. The price of sin must be paid. In the Old Testament God established a series of sacrifices performed by priests, individuals, and communities to deal with, resolve, and adjudicate sin.","Based on our study of sin, we conclude that sin demands a serious price, both for those against whom sin is committed and must be restored, and for those who commit sin and must make restitution. The price of sin must be paid. In the Old Testament God established a series of sacrifices performed by priests, individuals, and communities to deal with, resolve, and adjudicate sin."
"2","0.9754","HIGH","Even with all the sacrifices for sin, they still weren’t enough-not because God failed, but because people continued to choose sin. While animal sacrifice could provide limited atonement, no amount of animal sacrifice was able to change the sinful nature of men.","Even with all the sacrifices for sin, even so they were not enough-not because God failed, but because people kept choosing sin. While animal sacrifice could provide limited atonement, no amount of animal sacrifices could change man’s sinful nature."
"3","0.998","HIGH","God had a wonderful plan, the <u>Messiah</u> (in Hebrew ***Mashiach,*** pronounced *Mah-shee-ahkh -* **H4899**) also known as the <u>Christ</u> (in Greek ***Christos,*** pronounced *Khris-tos* - **G5547**) meaning “Anointed one""; someone consecrated for a special role (e.g., king, priest, or deliverer).","God had a wonderful plan, the <u>Messiah</u> (in Hebrew ***Mashiach,*** pronounced *Mah-shee-ahkh -* **H4899**) also known as the <u>Christ</u> (in Greek ***Christos,*** pronounced *Khris-tos* - **G5547**) which means “Anointed""; someone consecrated for a special role (e.g., king, priest, or deliverer)."
"4","0.9876","HIGH","To understand who Jesus is, it helps to look at what people in His time were hoping the Messiah would be. These expectations shaped how they viewed Jesus and, in many cases, why they struggled to recognize Him as the fulfillment of God’s plan.","To understand who Jesus is, it helps to look at what people in His time expected the Messiah to be. These expectations shaped how they viewed Jesus and, in many cases, why they struggled to recognize Him as the fulfillment of God’s plan."
"5","1.0","HIGH","## Historical Context","## Historical Context"
"6","0.9866","HIGH","The Jewish people had long awaited a coming Messiah. Jewish beliefs about the Messiah during the time just before Jesus were shaped by Old Testament prophecies, the interpretations of which were diverse and not universally agreed upon. Most Jews expected the Messiah to be a political and military leader who would deliver Israel from foreign oppression (primarily Roman rule) and restore the Davidic kingdom. Here’s an overview of common Messianic expectations and how they aligned (or did not align) with biblical prophecy:","The Jewish people had long awaited the coming of a Messiah. Jewish beliefs about the Messiah during the time just before Jesus were shaped by Old Testament prophecies, whose interpretations were diverse and not universally accepted. Most Jews expected the Messiah to be a political and military leader who would free Israel from foreign oppression (primarily Roman rule) and restore the Davidic kingdom. Here is an overview of common messianic expectations and how they aligned (or did not align) with biblical prophecy:"
"7","0.9929","HIGH","### Common Jewish Expectations of the Messiah Before Jesus","### Common Jewish Expectations of the Messiah before Jesus"
"8","0.972","HIGH","### **1. A Political and Military Deliverer**","### **1. A political and military deliverer**"
"9","0.9913","HIGH","- **Belief:** The Messiah would be a king like David, leading Israel in a victorious revolt against foreign powers and restoring Israel's independence.","- **Belief:** The Messiah would be a king like David, who would lead Israel in a victorious revolt against foreign powers and restore Israel’s independence."
"10","0.9853","HIGH","- **Scriptures Referenced:** <span class=""x-scripture"" data-book=""ISA"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""6-7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Isaiah 9:6-7</span>, <span class=""x-scripture"" data-book=""JER"" data-chapter=""23"" data-lang=""en"" data-type=""ref"" data-verses=""5-6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Jeremiah 23:5-6</span>, <span class=""x-scripture"" data-book=""ZEC"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""9-10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Zechariah 9:9-10</span>.","- **Scriptures cited:** <span class=""x-scripture"" data-book=""ISA"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""6-7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Isaiah 9:6-7</span>, <span class=""x-scripture"" data-book=""JER"" data-chapter=""23"" data-lang=""en"" data-type=""ref"" data-verses=""5-6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Jeremiah 23:5-6</span>, <span class=""x-scripture"" data-book=""ZEC"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""9-10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Zechariah 9:9-10</span>."
"11","0.9861","HIGH","- **Historical Context:** Jews under the Roman’s rule were oppressed and heavily taxed, leading to hopes for a Messiah who would overthrow Rome and establish a powerful earthly kingdom.","- **Historical context:** The Jews under Roman rule were oppressed and heavily taxed, which led to hopes for a Messiah who would overthrow Rome and establish a powerful earthly kingdom."
"12","0.9997","HIGH","- **Truth:** Jesus is a King, but His kingdom is not earthly (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""36"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 18:36</span>). He established a spiritual kingdom through His first coming, but He will return as a conquering King to judge and rule in righteousness, as described in the book of Revelation (<span class=""x-scripture"" data-book=""REV"" data-chapter=""19"" data-lang=""en"" data-type=""ref"" data-verses=""11-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 19:11-16</span>).","- **Truth:** Jesus is a King, but His kingdom is not earthly (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""36"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 18:36</span>). He established a spiritual kingdom through His first coming, but He will return as a conquering King to judge and rule with righteousness, as described in the book of Revelation (<span class=""x-scripture"" data-book=""REV"" data-chapter=""19"" data-lang=""en"" data-type=""ref"" data-verses=""11-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 19:11-16</span>)."
"13","0.9874","HIGH","### **2. A Restorer of the Davidic Kingdom**","### **2. A restorer of the Davidic kingdom**"
"14","0.9977","HIGH","- **Belief:** The Messiah would rebuild the Davidic dynasty and bring about a golden age of prosperity, justice, and peace.","- **Belief:** The Messiah would rebuild the Davidic dynasty and bring a golden age of prosperity, justice, and peace."
"15","0.9866","HIGH","- **Scriptures Referenced:** <span class=""x-scripture"" data-book=""2SA"" data-chapter=""7"" data-lang=""en"" data-type=""ref"" data-verses=""12-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">2 Samuel 7:12-16</span>, <span class=""x-scripture"" data-book=""AMO"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""11"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Amos 9:11</span>.","- **Scriptures cited:** <span class=""x-scripture"" data-book=""2SA"" data-chapter=""7"" data-lang=""en"" data-type=""ref"" data-verses=""12-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">2 Samuel 7:12-16</span>, <span class=""x-scripture"" data-book=""AMO"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""11"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Amos 9:11</span>."
"16","1.0","HIGH","- **Interpretation:** The focus was often on national restoration rather than spiritual renewal.","- **Interpretation:** The focus was often on national restoration rather than spiritual renewal."
"17","0.9985","HIGH","- **Truth:** Jesus, as the descendant of David, fulfills this promise by establishing an eternal kingdom. While this kingdom is spiritual in nature now, it will culminate in a physical reign during His second coming (<span class=""x-scripture"" data-book=""LUK"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""32-33"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Luke 1:32-33</span>, <span class=""x-scripture"" data-book=""REV"" data-chapter=""20"" data-lang=""en"" data-type=""ref"" data-verses=""4-6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 20:4-6</span>).","- **Truth:** Jesus, as a descendant of David, fulfills this promise by establishing an eternal kingdom. While this kingdom is spiritual in nature now, it will culminate in a physical reign during His second coming (<span class=""x-scripture"" data-book=""LUK"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""32-33"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Luke 1:32-33</span>, <span class=""x-scripture"" data-book=""REV"" data-chapter=""20"" data-lang=""en"" data-type=""ref"" data-verses=""4-6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 20:4-6</span>)."
"18","0.9689","HIGH","### **3. A Prophet Like Moses**","### **3. A prophet like Moses**"
"19","0.9869","HIGH","- **Belief:** Some Jews believed the Messiah would be a prophet, like Moses, who would speak directly to God and on His behalf.","- **Belief:** Some Jews believed that the Messiah would be a prophet, like Moses, who would speak directly with God and in His name."
"20","0.9606","HIGH","- **Scriptures Referenced:** <span class=""x-scripture"" data-book=""DEU"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""15-19"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Deuteronomy 18:15-19</span>.","- **Cited Scriptures:** <span class=""x-scripture"" data-book=""DEU"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""15-19"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Deuteronomy 18:15-19</span>."
"21","0.9924","HIGH","- **Expectation:** While many anticipated a prophetic figure, they often did not see this role as central to the Messiah but as an additional aspect.","- **Expectation:** Although many anticipated a prophetic figure, they often did not see this role as central to the Messiah, but as an additional aspect."
"22","0.9899","HIGH","- **Truth:** Jesus fulfilled this prophecy as the ultimate Prophet, speaking God’s Word and revealing the Father directly (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 1:18</span>, <span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 14:10</span>). His prophetic role goes beyond Moses, as He mediates a new and better covenant (<span class=""x-scripture"" data-book=""HEB"" data-chapter=""8"" data-lang=""en"" data-type=""ref"" data-verses=""6-7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Hebrews 8:6-7</span>).","- **Truth:** Jesus fulfilled this prophecy as the supreme Prophet, speaking the Word of God and revealing the Father directly (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 1:18</span>, <span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 14:10</span>). His prophetic role goes beyond Moses, since He mediates a new and better covenant (<span class=""x-scripture"" data-book=""HEB"" data-chapter=""8"" data-lang=""en"" data-type=""ref"" data-verses=""6-7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Hebrews 8:6-7</span>)."
"23","0.9848","HIGH","### **4. A Leader Who Would Bring Justice**","### **4. A leader who would bring justice**"
"24","1.0","HIGH","- **Belief:** The Messiah would judge the wicked, uphold the righteous, and bring justice to the oppressed.","- **Belief:** The Messiah would judge the wicked, uphold the righteous, and bring justice to the oppressed."
"25","0.9782","HIGH","- **Scriptures Referenced:** <span class=""x-scripture"" data-book=""ISA"" data-chapter=""11"" data-lang=""en"" data-type=""ref"" data-verses=""3-5"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Isaiah 11:3-5</span>, <span class=""x-scripture"" data-book=""PSA"" data-chapter=""72"" data-lang=""en"" data-type=""ref"" data-verses=""1-4"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Psalms 72:1-4</span>.","- **Cited Scriptures:** <span class=""x-scripture"" data-book=""ISA"" data-chapter=""11"" data-lang=""en"" data-type=""ref"" data-verses=""3-5"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Isaiah 11:3-5</span>, <span class=""x-scripture"" data-book=""PSA"" data-chapter=""72"" data-lang=""en"" data-type=""ref"" data-verses=""1-4"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Psalms 72:1-4</span>."
"26","0.9858","HIGH","- **Interpretation:** Justice was expected to be primarily political and societal rather than spiritual.","- **Interpretation:** Justice was expected to be primarily political and social rather than spiritual."
"27","0.9957","HIGH","- **Truth:** Jesus brings ultimate justice. In His first coming, He offered spiritual redemption and justice through the cross (<span class=""x-scripture"" data-book=""COL"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""13-15"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Colossians 2:13-15</span>). At His second coming, He will execute judgment on the wicked and establish perfect justice for all eternity (<span class=""x-scripture"" data-book=""REV"" data-chapter=""20"" data-lang=""en"" data-type=""ref"" data-verses=""11-15"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 20:11-15</span>).","- **Truth:** Jesus brings ultimate justice. In His first coming, He offered spiritual redemption and righteousness through the cross (<span class=""x-scripture"" data-book=""COL"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""13-15"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Colossians 2:13-15</span>). In His second coming, He will execute judgment upon the wicked and establish perfect justice for all eternity (<span class=""x-scripture"" data-book=""REV"" data-chapter=""20"" data-lang=""en"" data-type=""ref"" data-verses=""11-15"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 20:11-15</span>)."
"28","0.967","HIGH","### Diverse Messianic Beliefs","### Diverse messianic beliefs"
"29","0.9679","HIGH","As Christendom today is divided into separate sects, denominations, or belief structures, so too, were the Jews of Jesus' age divided. During the time of Jesus, four major Jewish sects shaped the religious and political landscape of Israel, each with distinct beliefs and expectations about the Messiah. Understanding some background on these different groups can help provide meaningful context to a study of the New Testament scriptures.","Just as Christianity today is divided into sects, denominations, or separate belief structures, so too were the Jews in the time of Jesus divided. During the time of Jesus, four major Jewish sects shaped the religious and political landscape of Israel, each with distinct beliefs and expectations about the Messiah. Understanding some background about these different groups can help provide meaningful context for the study of the New Testament Scriptures."
"30","0.9976","HIGH","The **Pharisees** were the most influential among the common people, known for their strict adherence to the Law (Torah) and oral traditions. They believed in the resurrection, the afterlife, and the existence of angels, emphasizing personal piety and obedience to God's commandments. Their messianic expectation was centered on a figure who would uphold the Law, bring justice, and restore Israel both politically and religiously.","The **Pharisees** were the most influential among the common people, known for their strict adherence to the Law (Torah) and to the oral traditions. They believed in the resurrection, the afterlife, and the existence of angels, emphasizing personal piety and obedience to God’s commandments. Their messianic expectation centered on a figure who would uphold the Law, bring justice, and restore Israel both politically and religiously."
"31","0.9958","HIGH","The **Sadducees**, in contrast, were a wealthy and politically powerful group that controlled the Temple and priesthood. They rejected oral traditions and accepted only the Torah as authoritative scripture. The Sadducees denied the resurrection, afterlife, and the existence of angels, focusing instead on maintaining their power and collaborating with Rome to ensure political stability. Consequently, they had little emphasis on a Messiah, as their primary concern was preserving the status quo.","The **Sadducees**, by contrast, were a wealthy and politically powerful group that controlled the Temple and the priesthood. They rejected the oral traditions and accepted only the Torah as authoritative Scripture. The Sadducees denied the resurrection, the afterlife, and the existence of angels, focusing instead on maintaining their power and collaborating with Rome to ensure political stability. Consequently, they placed little emphasis on a Messiah, since their primary concern was preserving the status quo."
"32","0.9853","HIGH","The **Essenes** were a separatist group that withdrew from mainstream Jewish society, living in isolated communities such as Qumran. They were deeply focused on ritual purity, apocalyptic expectations, and a disciplined lifestyle. The Essenes believed in two Messianic figures: a priestly Messiah who would restore the Temple's sanctity and a kingly Messiah who would lead Israel in righteousness. This dual-Messiah concept reflected their hope for a spiritual and political renewal. The Essenes are not directly referenced in the scriptures.","The **Essenes** were a separatist group that withdrew from mainstream Jewish society, living in isolated communities such as Qumran. They were deeply focused on ritual purity, apocalyptic expectations, and a disciplined lifestyle. The Essenes believed in two messianic figures: a priestly Messiah who would restore the holiness of the Temple and a royal Messiah who would lead Israel in righteousness. This concept of a dual Messiah reflected their hope for both spiritual and political renewal. The Essenes are not mentioned directly in the Scriptures."
"33","0.9982","HIGH","Finally, the **Zealots** were militant nationalists who sought to overthrow Roman rule through violent rebellion. They rejected Roman authority and were deeply committed to the restoration of Israel's sovereignty. Their messianic expectation was for a warrior-king Messiah, akin to David, who would lead them in battle against their oppressors and establish a powerful earthly kingdom.","Finally, the **Zealots** were militant nationalists who sought to overthrow Roman rule through violent rebellion. They rejected Roman authority and were deeply committed to the restoration of Israel’s sovereignty. Their messianic expectation was that of a warrior-king Messiah, like David, who would lead them into battle against their oppressors and establish a powerful earthly kingdom."
"34","0.9695","HIGH","While these groups focused on earthly expectations, Jesus’ mission revealed a far greater plan-one that addressed not just political oppression but humanity’s spiritual bondage to sin.","Although these groups focused on earthly expectations, the mission of Jesus revealed a much greater plan-one that addressed not only political oppression but also humanity’s spiritual slavery to sin."
"35","0.9712","HIGH","## The Truth of the Messiah","## The truth of the Messiah"
"36","0.977","HIGH","### The Anointing of Jesus","### The anointing of Jesus"
