# Drift explanation generated 2026-01-30T16:10:24.757231
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/nepali/pipeline2/analysis/chapters/drift_report_chapter12_chapter_12_discipleship_vs_chapter12_chapter_12_discipleship.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"2","0.8557","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply using different wording to express that discipleship is the main command in the Great Commission.","Discipleship is the primary command in the Great Commission. Jesus defined this mission in:","Discipleship is the central command in the Great Commission. Jesus defined this mission as follows:"
"9","0.8951","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply rephrasing 'matters' to 'is important' without altering the intent or doctrinal significance.","## Why Discipleship Matters","## Why Is Discipleship Important"
"26","0.9033","MEDIUM","no","paraphrase","The back-translation maintains the same doctrinal meaning and intent as the original, simply rephrasing it without altering the core message.","Jesus describes the apprentice model in:","Jesus describes the apprentice model this way:"
"33","0.9161","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea that disciples should be fully trained like their teacher without merely imitating them, emphasizing the goal of maturity in spreading Jesus's message.","**First, the disciple becomes fully trained**, as the teacher. This does not mean that the disciple imitates everything their teacher does. We aren't being commanded to create clones, but rather to build into maturity men and women who can carry the message of Jesus to the ends of the earth.","**First, the disciple is fully trained like the teacher.** This does not mean the disciple must imitate everything his teacher does. We have not been commanded to make clones; rather, to form mature men and women who can carry Jesus’s message to the ends of the earth."
"35","0.9193","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, emphasizing the idea that organisms or groups that cannot reproduce are considered unhealthy or barren, without altering the doctrinal or logical relationships.","Any organism that does not reproduce is barren, and its line is cut off. An animal that cannot reproduce is not healthy, a church that cannot reproduce is likewise unhealthy.","Any living thing that cannot reproduce is barren and its lineage is cut off. An animal that cannot reproduce is not healthy; likewise a congregation that cannot reproduce is also unhealthy."
"37","0.8928","MEDIUM","no","paraphrase","Both paragraphs convey the same core message about Jesus' example of discipleship and the importance of applying those principles in our own lives. The differences in wording do not alter the overall meaning or intent.","Jesus demonstrated the mature and complete example of discipleship in the Gospels with His chosen disciples. We should use these steps broadly as the foundation for our own walk in becoming and making disciples.","In the Gospels Jesus showed a mature and complete example of discipleship with his chosen disciples. We should broadly use these stages as the basis for our own journey to become and make disciples."
"39","0.9061","MEDIUM","no","paraphrase","Both paragraphs convey the same core ideas about the progression of discipleship relationships through eight phases, emphasizing the interconnectedness of these phases and the focus for both the disciple and disciple-maker. The language has been altered slightly, but the overall meaning remains intact.","Every discipleship relationship goes through a progression of eight phases. The phases, or steps, are not purely isolated from each other, many times the relationship will flow between the phases. In each phase there is an emphasis for the disciple, and for the disciple-maker. We will study attributes of disciple-makers in depth later in this chapter.","Every discipleship relationship passes through a progressive process of eight stages. These stages, or steps, are not completely distinct from one another; often the relationship flows between those stages. At each stage there is its own emphasis for the disciple and for the disciple-maker. Later in this chapter we will study the qualities of disciple-makers in depth."
"40","0.8777","MEDIUM","no","paraphrase","The terms 'phases' and 'stages' are synonymous in this context, and both paragraphs convey the same idea of outlining a sequence in discipleship without altering the underlying meaning.","The eight phases of discipleship are:","The eight stages of discipleship are as follows:"
"43","0.8681","MEDIUM","yes","doctrinal","The term 'Demonstrating' implies an active process of showing or proving something, while 'Demonstration' refers to the act itself, which may not convey the same level of engagement or intent.","3.  Demonstrating","3.  Demonstration"
"44","0.8672","MEDIUM","yes","doctrinal","The term 'Trying' implies an effort or attempt that may not necessarily lead to success, while 'Attempt' can carry a more neutral connotation of effort without the same emphasis on the process of participation. This subtle shift may affect the interpretation of the concept in a doctrinal context.","4.  Participation/Trying","4.  Participation/Attempt"
"55","0.856","MEDIUM","yes","doctrinal","The term 'Demonstrating' implies an active process of showing or proving something, while 'Demonstration' refers to the act itself or the result of that process. This shift alters the focus from the action to the event, potentially changing the emphasis on the nature of the evidence or proof being presented.","### Demonstrating","### Demonstration"
"58","0.8425","LOW","yes","doctrinal","The term 'Participation' implies a deeper engagement or involvement, often with a communal or relational aspect, while 'Attempt' suggests a more superficial effort or trial without the same level of commitment or connection.","### Participation/Trying","### Participation/Attempt"
"70","0.7643","LOW","no","paraphrase","The phrases 'Remain Connected' and 'Staying Connected' convey the same idea of maintaining a connection, with no significant change in meaning or intent.","### Remain Connected","### Staying Connected"
"87","0.7377","CRITICAL","no","paraphrase","The terms 'patient' and 'steadfast' convey similar qualities of endurance and resilience, maintaining the original intent without altering the doctrinal or logical relationships.","#### Patient and Persistent","#### Patient and Steadfast"
"92","0.8905","MEDIUM","no","paraphrase","The term 'Biblical Study' and 'Bible Study' convey the same concept of studying the Bible, with no significant change in doctrinal meaning, logical relationship, or intent.","### Biblical Study","### Bible Study"
"101","0.9157","MEDIUM","no","paraphrase","The terms 'mentorship' and 'mentoring' are synonymous and convey the same concept of guidance and support, indicating no change in meaning.","### Mentorship","### Mentoring"
