# Drift explanation generated 2026-02-01T01:44:23.567879
# Source drift file: /Users/andrew/repo/kli-translation-pipeline_principles-of-faith/japenese/pipeline2/analysis/chapters/drift_report_chapter14_back_5_hearing_the_voice_of_god_vs_chapter14_back_5_hearing_the_voice_of_god.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"10","0.8596","MEDIUM","no","paraphrase","The back-translation maintains the core concepts of both 'refreshing' and 'renewal,' as well as 'Divine ecstasy' and 'divine ecstasy,' without altering the overall meaning or intent of the original text.","*Away to a place of refreshing,  \\\\nto a place of Divine ecstasy.*","*to a place of renewal,  \\\\nto a place of divine ecstasy.*"
"14","0.9149","MEDIUM","yes","doctrinal","The original emphasizes a personal, inner experience of hearing God's voice as a 'knowing,' while the back-translation uses 'conviction,' which may imply a stronger sense of certainty or belief, potentially altering the nuance of the experience described.","1.  <u>Hearing God’s voice is NOT an audible sound but a KNOWING in your heart.</u>","1.  <u>Hearing God’s voice is not an audible sound, but a conviction in the heart.</u>"
"15","0.8855","MEDIUM","no","paraphrase","The back-translation maintains the original's conceptual meaning, conveying the experience of a profound communication with the Lord while acknowledging uncertainty about the nature of that communication. Both versions express the same theological sentiment without altering the core message.","There was one time when His Word came so clear and bold that it could have been audible. I answered Him by speaking out, it was so real. However, there was no one there but the Lord and I, so I can’t really say for sure if He spoke to me like we speak to each other.","There was a time when the Word came so clearly and powerfully that it seemed like an audible voice. It was so real that I responded out loud. However, since there was no one there but the Lord and me, I cannot say for certain whether it was actually spoken with a voice as we speak to one another."
"17","0.8161","LOW","yes","doctrinal","The original emphasizes 'KNOWING' as a distinct concept that is not derived from logic, while the back-translation uses 'conviction,' which may imply a belief rather than a deeper understanding. This shift alters the doctrinal emphasis from a state of knowledge to a state of belief.","2.  <u>The KNOWING is NOT built by logic within your mind; however, it is a complete thought or understanding.</u>","2.  <u>That conviction is not built by the logic in your mind; rather, it is a complete thought, or understanding.</u>"
"19","0.9174","MEDIUM","no","paraphrase","The back-translation maintains the same core message as the original, simply specifying 'the Lord' instead of 'He,' which does not alter the doctrinal meaning or intent.","3.  <u>When He speaks, He speaks in complete thoughts.</u>","3.  <u>When the Lord speaks, He speaks in complete thoughts.</u>"
"22","0.8053","LOW","yes","doctrinal","The original paragraph refers specifically to 'He' as Jesus, emphasizing His role as the Great Shepherd, while the back-translation uses 'God,' which could imply a broader interpretation and potentially shift the focus from Jesus to a more general concept of divinity.","He is not a task master; He is a Shepherd. Herdsmen drive, but Shepherds lead. Jesus is the Great Shepherd of the sheep, and we are the sheep of His pasture.","God is not a foreman but a shepherd. A drover drives the flock, but a shepherd leads. Jesus is the great Shepherd of the sheep, and we are the sheep of His pasture."
"23","0.8209","LOW","yes","doctrinal","The original emphasizes that God does not convict (implying a sense of guilt or punishment) but convinces (suggesting persuasion towards truth), while the back-translation uses 'condemns' and 'gives assurance,' which alters the nuance of God's communication from a focus on persuasion to one of providing comfort, thus changing the theological implications.","5.  <u>When He speaks to His children, He NEVER CONVICTS; He CONVINCES.</u>","5.  <u>When God speaks to His children, He never condemns; He gives assurance.</u>"
"37","0.9177","MEDIUM","no","paraphrase","Both paragraphs convey the same theological message that God uplifts rather than diminishes individuals, emphasizing the absence of doom and gloom in His communication. The back-translation maintains the original intent and meaning while using slightly different wording.","God never takes you down! He will never run you down; He only builds you up. When God speaks to you, He is speaking from the frame of reference that everything the Word says about you has already been accomplished and ACCEPTED by you. <span class=""x-scripture"" data-book=""JER"" data-chapter=""33"" data-lang=""en"" data-type=""ref"" data-verses=""3"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Jeremiah 33:3</span> says: “Call to Me, and I will answer you, and show you **GREAT AND MIGHTY** things which you do not know.” Does that sound like running you down or doom and gloom? There is NO doom and gloom in God, therefore He cannot tell you anything doomy or gloomy. You’ll have to tune in to the world’s news agency for doom and gloom.","God will never bring you down! He will never belittle or demean you; He only builds you up. When God speaks to you, He speaks from the premise that everything the Word says about you has already been accomplished and has been accepted by you. <span class=""x-scripture"" data-book=""JER"" data-chapter=""33"" data-lang=""en"" data-type=""ref"" data-verses=""3"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Jeremiah 33:3</span> says, “Call to Me, and I will answer you, and show you <b>great and mighty</b> things which you do not know.” Does that sound like He would belittle you or speak doom and gloom? There is no doom and gloom in God whatsoever. Therefore God cannot tell you something that sounds gloomy and dark. If you want to hear doom and gloom, you will have to tune in to the world’s news outlets."
"41","0.8921","MEDIUM","no","paraphrase","The back-translation maintains the original's doctrinal meaning and intent, conveying the same message about God's positive thoughts and guidance toward a hopeful future without introducing any significant changes.","Now, if God THINKS good thoughts of peace, a future, and hope toward us, why would He speak otherwise? The answer is, HE WOULDN’T, and HE DOESN’T! He only leads us UPWARD and ONWARD with great hope to provide us an expected future.","Now then, if God has good thoughts toward us—peace, a future, and hope—why would He say anything different? The answer is this: He never would, and He doesn't! God, with great hope, simply leads us upward and forward to give us the future we hope for."
"42","0.8719","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual and theological meaning as the original, emphasizing the importance of listening to God and the benefits that come from doing so.","I hope this encourages you to “call upon Him” and learn how to **hear His voice**. He has great things to tell you, but He needs your listening ear before all His good things can do you any good.","I hope this serves as an encouragement for you to learn how to ""call on the Lord"" and to **hear the Lord's voice**. God has many wonderful things to say to you, but for all those good things to benefit you, you must first listen."
