# Drift explanation generated 2026-01-30T14:56:23.116231
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/chinese/pipeline2/analysis/chapters/drift_report_chapter5_chapter_5_repentance_from_dead_works_vs_chapter5_chapter_5_repentance_from_dead_works.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"1","0.8699","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea that repentance in Christianity is not just an initial act for salvation but a deeper, ongoing process of turning away from harmful things and towards God. The back-translation maintains the original intent and meaning without significant changes.","Oftentimes in Christianity we think about repentance as fundamental only to the beginning of our faith in Jesus. The heart of repentance goes much deeper than turning away from sin unto salvation. Repentance from dead works means living with our hearts turned away from the things that harm us or stunt our growth-and turned toward the things of God.","In Christianity, we often think of repentance as only the foundation at the beginning of our trusting in Jesus。The core of repentance is far more than turning from sin for the sake of being saved。Repentance from dead works means that our hearts turn away from the things that harm us or hinder our growth-并turn toward the things of God。"
"6","0.8479","LOW","no","paraphrase","Both paragraphs convey the same intent to examine the Greek phrase more closely, with no significant changes in doctrinal meaning or logical relationships.","Let's take an in-depth look at the Greek for this phrase:","Let’s take a closer look at the Greek of this phrase："
"9","0.9045","MEDIUM","no","paraphrase","The back-translated paragraph retains the core concepts and ideas of the original, using different wording but conveying the same meaning about work and employment.","Every person who has ever been employed knows what work is. Work is the set of tasks that you undertake to receive a paycheck so you can earn a living (employment). Employment is an agreement to trade your talents and efforts for something of value that will help sustain you. You work because you get something out of it.","Anyone who has ever been employed knows what work is。Work is a set of tasks you take on to earn a paycheck and make a living（employment）。Employment is an agreement in which you exchange your talent and effort for something of value that helps you sustain your livelihood。You work because you can get a return from it。"
"10","0.902","MEDIUM","no","paraphrase","The back-translated paragraph maintains the original's emphasis on the importance of work in providing purpose and identity, while also acknowledging the potential challenges and monotony of certain jobs. The overall meaning and intent remain consistent with the original.","Our work is important, it can bring a sense of purpose, often a sense of identity. It's very common to be asked ‘What do you do for a living?’ and the response begins with a statement of identity ‘I am’. While work can be enjoyable and purposeful, it is also very likely to be physically or mentally tough, difficult, challenging, and stressful. If your job is none of these things, you might find it too menial and boring.","Our work is important; it can bring a sense of purpose and often a sense of identity。People often ask ‘What do you do for a living？’，and the answer usually begins with an identity statement: ‘I am’。Although work can be enjoyable and meaningful, it can also be physically or mentally grueling, difficult, challenging, and stressful。如果你的工作完全不涉及这些，你可能会觉得它过于琐碎和无聊。"
"11","0.8943","MEDIUM","no","paraphrase","The back-translated paragraph retains the same meaning as the original, conveying the same information about time spent working and the exclusion of other necessary tasks without altering the doctrinal, logical, or intentional aspects.","If you work a 40-hour a week job, and sleep 8 hours per night, you spend 36% of your waking hours working, and this excludes the time you spend getting ready to work, commuting to work, taking care of a household, and all the other necessary tasks you need to do to keep the your life on track.","If you work 40 hours a week and sleep 8 hours a night, then 36% of your waking time is spent working, and that does not include the time you spend getting ready for work, commuting, caring for your household, and all the other necessary tasks you must do to get your life on track。"
"12","0.8312","LOW","no","paraphrase","Both paragraphs convey the same core idea that the reasons for doing work vary, but fundamentally, it is driven by the pursuit of something valuable. The translation maintains the original intent and logical relationship without altering the doctrinal meaning.","Why do we do all this work? It varies, but definitionally because we get something of value from it.","Why do we do all this work？The reasons vary, but by definition, it is because we receive a valuable return from it。"
"13","0.8461","LOW","no","paraphrase","The back-translated paragraph retains the same doctrinal meaning, logical relationship, and intent as the original. Both express the idea that most people would not continue working without pay.","Would you continue to work at a job if they stopped paying you? For most of us the easy and painfully obvious answer is a resounding, NO!","If they stopped paying you, would you keep doing a job？For most of us, the simple and obvious answer is: No！"
"14","0.8537","MEDIUM","no","paraphrase","Both paragraphs convey the same question about the willingness to continue working at a harmful job, with a similar conditional response regarding the speed of the job's detrimental effects.","Would you continue to work at a job if it was killing you? I suppose it depends on how quickly.","If the job were killing you, would you keep doing it？I think that depends on how fast。"
"19","0.8826","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, using different wording but conveying the same idea about the capacity of living things to reproduce and create new entities or individuals.","3.  **Reproduction**: Living things have the capacity to reproduce, creating offspring or new entities.","3.  **Reproduction**: Living things have the ability to reproduce, producing offspring or new individuals。"
"23","0.8841","MEDIUM","no","paraphrase","Both paragraphs convey the same idea of applying a standard of 'life' to evaluate works, with minor variations in wording. The core concept remains unchanged, indicating that both refer to the same theological evaluation of actions.","If we apply this standard of ‘life’ to our works with a bit of creative license, then dead works are those that:","If we take a bit of creative liberty and apply the criteria of ‘life’ to our behaviors, then dead works are those that:"
"25","0.9158","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same core message as the original, simply using slightly different wording without altering the overall meaning or intent.","2.  Do not reproduce, cannot produce a positive or desirable result.","2.  Do not reproduce, and cannot produce positive or desirable outcomes."
"27","0.8665","MEDIUM","yes","doctrinal","The original states a lack of maintaining stability and self-control as a condition, while the back-translation implies an inability to do so, suggesting a more definitive and possibly more severe state of dysfunction.","4.  Do not maintain internal stability, become dis-regulated, are not self-controlled.","4.  Cannot maintain internal stability, become dysregulated, and cannot exercise self-control."
"33","0.891","MEDIUM","no","paraphrase","The back-translation maintains the original concepts of life and death as binary and gradient, respectively, and preserves the idea that dead works vary in their effects. The overall intent and logical relationships remain consistent.","While dead versus alive is a binary. Dying is a gradient. Our dead works may not be completely dead across every single category, yet, but they will become so! Dead works are like poisons, some have greater effects.","Although life and death are binary opposites. Death, however, is a gradient. Our dead works may not yet be completely dead in every category, however, they eventually will be! Dead works are like poison, some have a greater impact."
"35","0.918","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, conveying the idea that certain actions do not lead to the abundant life promised by Jesus and describing the negative effects of adultery and stubbornness in similar terms.","Dead works are any works that in review and consideration are not bringing the abundant life that Jesus promised. Having an extra marital affair is very strong poison, it's likely to have a full and negative effect quite soon. Being a needlessly stubborn and resentful person will slowly poison a person until they’ve driven everyone away from them.","Dead works refer to any actions that, upon examination and reflection, do not bring about the abundant life Jesus promised. Committing adultery is a very potent poison, it will very likely produce complete and negative effects very quickly. A person who is needlessly stubborn and harbors resentment will slowly poison a person until they drive everyone away from themselves."
"36","0.91","MEDIUM","no","paraphrase","Both paragraphs convey the same essential message about the necessity of repentance to be freed from dead works, with no significant change in meaning or intent.","To be delivered from dead works, we must repent!","To be set free from dead works, we must repent!"
"38","0.9169","MEDIUM","yes","doctrinal","The back-translation alters the phrase 'repent from dead works' to 'repentance from dead works,' which shifts the focus from an active process of turning away to a more passive state of repentance. Additionally, the phrase 'throwing away' introduces a stronger connotation of discarding than 'leaving behind,' which may affect the understanding of the nature of the change required in one's life.","To ‘repent from dead works’ is to turn to God and leave behind anything that is hurting our walk with Him-starting with a change of heart and mind.","‘Repentance from dead works’ means turning to God and throwing away anything that is harming our walk with Him - beginning with a change of mind."
"41","0.9157","MEDIUM","no","paraphrase","Both paragraphs convey the same idea of needing to examine the Greek language more closely to achieve a full understanding. The changes in wording do not alter the original meaning.","To understand this fully we need to look a bit deeper into the Greek language.","To fully understand this, we need to look more deeply at the Greek."
"42","0.905","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationship as the original, simply rephrasing the content without altering its intent.","The term used in Hebrews is *repentance*. This is contrasted with the term *repent,* an example is found in","The term used in 《Hebrews》 is *repentance*. This stands in contrast to the term *repent,* as seen in"
"65","0.8602","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that steps have been taken to initiate change, with the back-translation slightly rephrasing the original without altering its core meaning.","3.  Preparation: Some steps have been taken to change.","3.  Preparation stage: Some steps toward change have already been taken."
"66","0.8225","LOW","no","paraphrase","Both paragraphs convey the same idea that behavior has changed temporarily, with no significant differences in meaning or emphasis.","4.  Action: The behavior has been changed for a short time.","4.  Action stage: Behavior has changed in the short term."
