# Drift report generated 2026-01-30T14:03:39.644211
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter1_chapter_1_sound_doctrine_matters.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/russian/pipeline2/backtranslation/chapters/chapter1_chapter_1_sound_doctrine_matters.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9742","HIGH","Doctrine simply means the core truths we believe and teach-truths passed on by faithful people of God, rooted in Scripture, and lived out in our daily walk.","Doctrine simply means the core truths we believe and teach—truths handed down by God’s faithful people, rooted in Scripture, and expressed in our everyday lives."
"2","0.8768","MEDIUM","When Jesus instructed His church to ‘teach’, He was instructing them to share His doctrine.","When Jesus commanded His church to “teach,” He commanded them to share His teaching."
"3","0.9998","HIGH","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"4","0.9989","HIGH","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.\\n>\\n> Go therefore and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all things that I have commanded you; and lo, I am with you always, even to the end of the age."" Amen.\\n>","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, saying, “All authority has been given to Me in heaven and on earth.\\n>\\n> Go therefore and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all things that I have commanded you; and lo, I am with you always, even to the end of the age.” Amen.\\n>"
"5","1.0","HIGH","</span>","</span>"
"6","0.9055","MEDIUM","In other words, Jesus is instructing all of us to learn His teachings and to replicate them in others.","In other words, Jesus calls all of us to learn His teaching and reproduce it in others."
"7","1.0","HIGH","[See Table 1](../tables/table1.md)","[See Table 1](../tables/table1.md)"
"8","0.9938","HIGH","Jesus is the Way, the Truth, and the Life (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 14:6</span>), fully embodying God’s truth, wisdom, and revelation. This embodiment, the Word (logos), existed from the beginning and became flesh to dwell among us (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 1:1</span>, 14). The structured teachings of Jesus is His doctrine (***didaskalia***), in observing (obeying, guarding, protecting) His commands (***entolē)*** we become His disciples (***mathētēs***).","Jesus is the Way, the Truth, and the Life (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 14:6</span>), fully embodying God’s truth, wisdom, and revelation. This embodiment, the Word (logos), existed from the beginning and became flesh to dwell among us (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 1:1</span>, 14). The structured teaching of Jesus is His doctrine (***didaskalia***); by keeping (obeying, keeping, guarding) His commandments (***entolē)*** we become His disciples (***mathētēs***)."
"9","0.9898","HIGH","Imagine a master architect, the greatest builder in all history, whose vision, knowledge, and wisdom surpass all others. He alone understands the perfect design for an enduring, unshakable structure. His understanding is not derived from others-it is inherent within Him. He is the source of all architectural wisdom, and every sound building finds its origin in His design. This architect represents Jesus, the Logos-the full and complete embodiment of God’s truth, wisdom, and revelation (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 1:1</span>, <span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 14:6</span>).","Imagine a master architect, the greatest builder in all of history, whose vision, knowledge, and wisdom surpass all others. Only he understands the perfect design of a solid, unshakable structure. His understanding is not borrowed from others—it is inherent to Himself. He is the source of all architectural wisdom, and every sturdy building has its origin in His design. This architect represents Jesus, the Logos—the full and perfect embodiment of God’s truth, wisdom, and revelation (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 1:1</span>, <span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 14:6</span>)."
"10","0.9884","HIGH","To bring His design to life, the architect creates a **detailed blueprint**-a structured plan that contains the principles, proportions, and foundational truths necessary for constructing a building that will stand firm. Without this blueprint, no one could build correctly. This blueprint represents Jesus’ structured teaching, His doctrine (***didaskalia***) — the framework through which divine truth is understood and applied (<span class=""x-scripture"" data-book=""TIT"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Titus 2:1</span>, <span class=""x-scripture"" data-book=""1TI"" data-chapter=""4"" data-lang=""en"" data-type=""ref"" data-verses=""13"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Timothy 4:13</span>). His doctrine is not merely theoretical knowledge; it is the means by which His wisdom is communicated and preserved so that all who follow Him can build their lives on the right foundation.","To bring His design to life, the architect creates a **detailed blueprint**—a structured plan that contains the principles, proportions, and foundational truths necessary to erect a building that will stand. Without this blueprint, no one could build correctly. This blueprint represents the structured teaching of Jesus, His doctrine (***didaskalia***)—the foundation through which divine truth is understood and applied (<span class=""x-scripture"" data-book=""TIT"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Titus 2:1</span>, <span class=""x-scripture"" data-book=""1TI"" data-chapter=""4"" data-lang=""en"" data-type=""ref"" data-verses=""13"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Timothy 4:13</span>). His doctrine is not merely theoretical knowledge; it is the means by which His wisdom is transmitted and preserved so that all who follow Him can build their lives on the right foundation."
"11","0.9753","HIGH","However, a blueprint alone is not enough. The architect also provides **precise instructions**, detailing how each part of the structure should be assembled, where each beam must be placed, and how every element should align with His perfect design. These specific instructions represent His commands **(Entolē**)-the actionable directives that govern obedience (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""15"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 14:15</span>, <span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""ref"" data-verses=""20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 28:20</span>). His commands are not arbitrary rules; they are the necessary steps to ensure the building stands strong, aligned with the original blueprint. To ignore or alter His commands would be to compromise the integrity of the entire structure.","However, a blueprint alone is not enough. The architect also gives **precise instructions**, detailing how each element of the structure must be assembled, where each beam should be installed, and how everything must align with His perfect plan. These specific instructions represent His commandments **(Entolē**)- actionable directives that guide obedience (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""15"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 14:15</span>, <span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""ref"" data-verses=""20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 28:20</span>). His commandments are not arbitrary rules; they are the necessary steps for the building to stand firm, in accordance with the original blueprint. To ignore or alter His commandments is to jeopardize the integrity of the entire structure."
"12","0.9882","HIGH","Now, imagine that the architect gathers a group of **apprentices**-those who desire to learn from Him, build under His guidance, and one day teach others how to construct buildings that endure. These apprentices study His blueprint carefully, listen to His instructions attentively, and apply His commands faithfully in their work. They do not build according to their own ideas but according to the master’s design. These apprentices represent the disciples **(Mathētēs**)-those who observe, obey, and internalize Jesus’ teachings, aligning their lives with His Word (<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""ref"" data-verses=""19-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 28:19-20</span>, <span class=""x-scripture"" data-book=""JHN"" data-chapter=""8"" data-lang=""en"" data-type=""ref"" data-verses=""31"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 8:31</span>). The more they study under the architect, the more skilled they become, eventually teaching and training others in His ways.","Now imagine the architect gathers a group of **apprentices**—those who desire to learn from Him, build under His guidance, and one day teach others to erect buildings that will stand. These apprentices carefully study His blueprint, listen attentively to His instructions, and faithfully apply His directives on the job. They build not by their own ideas, but according to the master’s design. These apprentices represent disciples **(Mathētēs**)- those who observe, obey, and internalize the teaching of Jesus, conforming their lives to His Word (<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""ref"" data-verses=""19-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 28:19-20</span>, <span class=""x-scripture"" data-book=""JHN"" data-chapter=""8"" data-lang=""en"" data-type=""ref"" data-verses=""31"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 8:31</span>). The longer they learn from the architect, the more skillful they become, and eventually they teach and train others in His ways."
"13","0.9877","HIGH","## Why Should We Study Doctrine?","## Why should we study doctrine?"
"14","0.9496","HIGH","Jesus’ teaching is the bedrock of our faith! He is the master architect who has a perfect design and blueprint. Only by studying the blueprints, obeying the architect’s specific instructions, and developing a strong working relationship can we build a life that will stand in the storms of life.","The teaching of Jesus is the foundation of our faith! He is the chief architect who has the perfect design and blueprint. Only by studying the blueprints, obeying the architect’s specific instructions, and building a strong working relationship will we be able to construct a life that will stand in the storms."
"15","1.0","HIGH","<span class=""x-scripture"" data-book=""PSA"" data-chapter=""127"" data-lang=""en"" data-type=""fragment"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""PSA"" data-chapter=""127"" data-lang=""en"" data-type=""fragment"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"16","0.9909","HIGH","> **<u>Psalms 127:1</u>** (NKJV)\\n>\\n> A Song of Ascents. Of Solomon. Unless the LORD builds the house, They labor in vain who build it; Unless the LORD guards the city, The watchman stays awake in vain.\\n>","> **<u>Psalm 127:1</u>** (NKJV)\\n>\\n> A Song of Ascents. Of Solomon. Unless the Lord builds the house, They labor in vain who build it; Unless the Lord guards the city, The watchman stays awake in vain.\\n>"
"17","1.0","HIGH","</span>","</span>"
"18","0.9545","HIGH","We cannot expect our lives to stand strong in the face of difficulties, challenges, tribulations, persecutions, or just ordinary life if we have not built our lives on the strong rock of faith.","We cannot expect our lives to stand up to hardships, challenges, tribulations, persecution, or simply everyday life if we have not built them on the solid rock of faith."
"19","0.9412","HIGH","It takes more than a gym membership to make a person healthy and physically fit. You must continue in the discipline of the gym to get the full benefits of membership. Likewise, we cannot merely attend a church or casually claim to be Christians, we all must become educated, trained, equipped, disciplined in the faith, only then will we realize the full benefits of membership!","A gym membership alone is not enough for a person to become healthy and physically fit. One must continue to train with discipline to receive all the benefits of membership. In the same way, it is not enough merely to attend church or to call ourselves Christians in word; all of us need to be taught, trained, equipped, and disciplined in the faith—and only then will we experience all the benefits of membership!"
"20","0.8924","MEDIUM","Jesus’ charge extends beyond us. It’s great that we become whole, healthy, disciplined, submitted to God, but we must teach, train, equip, lead, and disciple others into the faith as well!","Jesus' commission extends beyond ourselves. It is good that we become whole, healthy, disciplined, and submitted to God, but we must also teach, instruct, equip, lead, and make disciples, bringing others to faith!"
"21","0.9935","HIGH","Why should we study doctrine and become disciplined? To build our lives on the rock!","Why should we study doctrine and become disciplined? To build our lives on the Rock!"
"22","0.946","HIGH","However, this is more than just a benefit, it also stands as a warning to us. If we do not build our lives on the rock, we build our lives on the sand, and a strong storm will break our house. (<span class=""x-scripture"" data-book=""MAT"" data-chapter=""7"" data-lang=""en"" data-type=""ref"" data-verses=""24-27"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 7:24-27</span>).","However, this is more than just an advantage—it is also a warning for us. If we do not build our lives on the Rock, we are building on sand, and a strong storm will destroy our house. (<span class=""x-scripture"" data-book=""MAT"" data-chapter=""7"" data-lang=""en"" data-type=""ref"" data-verses=""24-27"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 7:24-27</span>)."
"23","0.9694","HIGH","Our beliefs dictate our actions and our destiny. Proverbs teaches us that as a man thinks, so is he! (<span class=""x-scripture"" data-book=""PRO"" data-chapter=""23"" data-lang=""en"" data-type=""ref"" data-verses=""7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Proverbs 23:7</span>). We don’t get to stay neutral-we’re all building on something. Jesus calls us to build on the rock so we can stand strong and walk in His salvation. The promise of truth and freedom is for us!","Our beliefs determine our actions and our destiny. The Book of Proverbs teaches that as a person thinks, so is he! (<span class=""x-scripture"" data-book=""PRO"" data-chapter=""23"" data-lang=""en"" data-type=""ref"" data-verses=""7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Proverbs 23:7</span>). We cannot remain neutral—we are all building on something. Jesus calls us to build on the Rock so that we can stand firm and walk in His salvation. The promise of truth and freedom is for us!"
"24","0.9994","HIGH","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""8"" data-lang=""en"" data-type=""quote"" data-verses=""31-32"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""8"" data-lang=""en"" data-type=""quote"" data-verses=""31-32"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"25","0.9914","HIGH","> **<u>John 8:31-32</u>** (NKJV)\\n>\\n> Then Jesus said to those Jews who believed Him, ""If you abide in My word, you are My disciples indeed.\\n>\\n> And you shall know the truth, and the truth shall make you free.""\\n>","> **<u>John 8:31-32</u>** (NKJV)\\n>\\n> Then Jesus said to those Jews who had believed in Him, ""If you abide in My word, you are truly My disciples.\\n>\\n> And you will know the truth, and the truth will make you free.""\\n>"
"26","1.0","HIGH","</span>","</span>"
"27","0.9472","HIGH","Being Jesus' disciple is only possible by continuing in His word (his logos)! The result of continuing in His word is our knowledge of the truth, which makes us free!","Being a disciple of Jesus is only possible by continuing to abide in His word (His logos)! The result of abiding in His word is our knowing the truth, which makes us free!"
"28","0.9543","HIGH","Disciples, having been taught discipline, can carry out the master’s commandments. Every person in the New Testament church is called to:","Disciples trained in discipline can carry out the Teacher's commands. Every person in the New Testament church is called to:"
"29","0.9771","HIGH","1.  Be a disciple -\\> subject ourselves to the discipline of sound doctrine.","1.  Be a disciple -\\> subject yourself to the discipline of sound doctrine."
"30","0.983","HIGH","2.  Make disciples -\\> teach others to be subject to the discipline of sound doctrine.","2.  Make disciples -\\> teach others to submit to the discipline of sound doctrine."
"31","0.9701","HIGH","### How Do We Go About Building Our Lives On the Rock?","### How do we build our lives on the Rock?"
"32","0.9019","MEDIUM","Don’t worry, we do not have to go this alone.","Don't worry, we don't have to go through this alone."
"33","0.9959","HIGH","1.  God has given us His Holy Spirit who will lead us and guide us into all truth (John 14).","1.  God has given us His Holy Spirit, who will lead us and guide us into all truth (John 14)."
"34","0.9309","HIGH","2.  God has given us His recorded words in the scriptures.","2.  God has given us His written Word in the Scriptures."
"35","0.9873","HIGH","3.  God has given us spiritually mature gifted leaders to help build us up, make us mature, keep us safe, and organize us into doing good work.","3.  God has given us spiritually mature, gifted leaders to build us up, make us mature, keep us safe, and organize us for good works."
"36","0.9879","HIGH","Christianity is a team sport, and we have a perfect coach who knows exactly what we need. He has given us specialists who know through experience how to help us grow and mature, and in time you too can be one of them!","Christianity is a team sport, and we have a perfect Coach who knows exactly what we need. He has given us specialists who, from their own experience, know how to help us grow and mature, and in time you too will be able to become one of them!"
"37","0.9999","HIGH","<span class=""x-scripture"" data-book=""EPH"" data-chapter=""4"" data-lang=""en"" data-type=""quote"" data-verses=""11-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""EPH"" data-chapter=""4"" data-lang=""en"" data-type=""quote"" data-verses=""11-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"38","0.9818","HIGH","> **<u>Ephesians 4:11-16</u>** (NKJV)\\n>\\n> And He Himself gave some to be apostles, some prophets, some evangelists, and some pastors and teachers,\\n>\\n> for the equipping of the saints for the work of ministry, for the edifying of the body of Christ,\\n>\\n> till we all come to the unity of the faith and of the knowledge of the Son of God, to a perfect man, to the measure of the stature of the fullness of Christ;\\n>\\n> that we should no longer be children, tossed to and fro and carried about with every wind of doctrine, by the trickery of men, in the cunning craftiness of deceitful plotting,\\n>\\n> but, speaking the truth in love, may grow up in all things into Him who is the head—Christ—\\n>\\n> from whom the whole body, joined and knit together by what every joint supplies, according to the effective working by which every part does its share, causes growth of the body for the edifying of itself in love.\\n>","> **<u>Ephesians 4:11-16</u>** (NKJV)\\n>\\n> And He Himself appointed some as apostles, others as prophets, others as evangelists, and others as pastors and teachers,\\n>\\n> for the equipping of the saints for the work of ministry, for the building up of the body of Christ,\\n>\\n> until we all come to the unity of the faith and of the knowledge of the Son of God, to a mature man, to the measure of the full stature of Christ;\\n>\\n> so that we should no longer be children, tossed and carried about by every wind of doctrine, by the trickery of men, by the cunning craftiness of deceitful scheming,\\n>\\n> but, speaking the truth in love, may grow up in all things into Him who is the head—Christ—\\n>\\n> from whom the whole body, being joined and held together through every mutually supporting connection, as each member works in due measure, receives increase for the building up of itself in love.\\n>"
"39","1.0","HIGH","</span>","</span>"
"40","0.9718","HIGH","**An important note:** the word ‘some’ indicates that not all of us are called with a gift of apostle, prophet, evangelist, pastor, or teacher but we are all given ministry gifts, talents, and special roles (discussed later in the chapter on the church).","**Important note:** the word ‘some’ indicates that not all of us are called with the gift of an apostle, prophet, evangelist, pastor, or teacher, but that service gifts, talents, and special roles have been given to all of us (discussed later in the chapter on the church)."
"41","0.9862","HIGH","God has given the church these special gifts to bring us to maturity, so we can and are:","God gave the church these special gifts to bring us to maturity, so that we can and are:"
"42","0.8796","MEDIUM","- Able to do work and bear fruit","- Able to labor and bear fruit"
"43","0.8636","MEDIUM","- Unified in the faith","- United in faith"
"44","0.9085","MEDIUM","- Full of the knowledge of God","- Filled with the knowledge of God"
"45","1.0","HIGH","- Mature","- Mature"
"46","1.0","HIGH","- Not like children","- Not like children"
"47","0.9845","HIGH","Without sound doctrine we will be <u>children, tossed about and carried off.</u>","Without sound doctrine we will be <u>children, tossed to and fro and carried about.</u>"
"48","0.917","MEDIUM","Children are an important part of the family of God, but children are inherently:","Children are an important part of God’s family, but children are by nature:"
"49","1.0","HIGH","- Immature - unable to bear fruit or reproduce.","- Immature - unable to bear fruit or reproduce."
"50","0.895","MEDIUM","- Naive - unable to discern between good and bad actors.","- Naive - unable to discern good and bad people."
"51","0.9732","HIGH","- Self-centered - concerned with the temporal and the now.","- Self-centered - concerned with the temporal and the present moment."
"52","1.0","HIGH","- Defenseless - vulnerable to harm.","- Defenseless - vulnerable to harm."
"53","0.8908","MEDIUM","### Sound doctrine Provides a Defense Against the Wickedness of the World","### Sound doctrine provides protection from the ungodliness of the world"
"54","0.9942","HIGH","We do not have the luxury of being spiritually neutral in this life. We are either influenced by the Kingdom of God, or the Kingdom of Darkness.","We do not have the luxury of being spiritually neutral in this life. We are influenced either by the Kingdom of God or by the Kingdom of Darkness."
"55","0.9211","HIGH","Paul charged his spiritual son in the Lord Timothy saying:","Paul instructed his spiritual son in the Lord, Timothy, saying:"
"56","1.0","HIGH","<span class=""x-scripture"" data-book=""2TI"" data-chapter=""4"" data-lang=""en"" data-type=""quote"" data-verses=""1-4"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""2TI"" data-chapter=""4"" data-lang=""en"" data-type=""quote"" data-verses=""1-4"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"57","0.9908","HIGH","> **<u>2 Timothy 4:1-4</u>** (NKJV)\\n>\\n> I charge you therefore before God and the Lord Jesus Christ, who will judge the living and the dead at His appearing and His kingdom:\\n>\\n> Preach the word! Be ready in season and out of season. Convince, rebuke, exhort, with all longsuffering and teaching.\\n>\\n> For the time will come when they will not endure sound doctrine, but according to their own desires, because they have itching ears, they will heap up for themselves teachers;\\n>\\n> and they will turn their ears away from the truth, and be turned aside to fables.\\n>","> **<u>2 Timothy 4:1-4</u>** (NKJV)\\n>\\n> I charge you therefore before God and the Lord Jesus Christ, who will judge the living and the dead at His appearing and His kingdom:\\n>\\n> Preach the word! Be ready in season and out of season. Convince, rebuke, exhort, with all longsuffering and teaching.\\n>\\n> For the time will come when they will not endure sound doctrine, but according to their own desires, having itching ears, they will heap up for themselves teachers;\\n>\\n> and they will turn their ears away from the truth and be turned aside to"
"60","1.0","HIGH","<span class=""x-scripture"" data-book=""2TI"" data-chapter=""3"" data-lang=""en"" data-type=""quote"" data-verses=""1-9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""2TI"" data-chapter=""3"" data-lang=""en"" data-type=""quote"" data-verses=""1-9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"61","0.997","HIGH","> **<u>2 Timothy 3:1-9</u>** (NKJV)\\n>\\n> But know this, that in the last days perilous times will come:\\n>\\n> For men will be lovers of themselves, lovers of money, boasters, proud, blasphemers, disobedient to parents, unthankful, unholy,\\n>\\n> unloving, unforgiving, slanderers, without self-control, brutal, despisers of good,\\n>\\n> traitors, headstrong, haughty, lovers of pleasure rather than lovers of God,\\n>\\n> having a form of godliness but denying its power. And from such people turn away!\\n>\\n> For of this sort are those who creep into households and make captives of gullible women loaded down with sins, led away by various lusts,\\n>\\n> always learning and never able to come to the knowledge of the truth.\\n>\\n> Now as Jannes and Jambres resisted Moses, so do these also resist the truth: men of corrupt minds, disapproved concerning the faith;\\n>\\n> but they will progress no further, for their folly will be manifest to all, as theirs also was.\\n>","> **<u>2 Timothy 3:1-9</u>** (NKJV)\\n>\\n> But know this, that in the last days perilous times will come:\\n>\\n> For men will be lovers of themselves, lovers of money, boasters, proud, blasphemers, disobedient to parents, unthankful, unholy,\\n>\\n> without love, irreconcilable, slanderers, without self-control, brutal, despisers of good,\\n>\\n> traitors, headstrong, haughty, lovers of pleasure rather than God,\\n>\\n> having a form of godliness, but denying its power. From such turn away!\\n>\\n> For of this sort are those who creep into houses and make captives of gullible women, loaded down with sins, led by various lusts,\\n>\\n> always learning and never able to come to the knowledge of the truth.\\n>\\n> Now as Jannes and Jambres resisted Moses, so do these also resist the truth: men of corrupt minds, disapproved concerning the faith;\\n>\\n> but they will progress no further, for their folly will be manifest to all, as theirs also was.\\n>"
"62","1.0","HIGH","</span>","</span>"
"63","0.9244","HIGH","The crux of this message is that perilous times will come. Men will be so self-absorbed that despite all their ‘teaching’ they will not submit to sound doctrine, will deny the power of God, and will walk with a corrupt and reprobate mind. Paul urges Timothy to be well prepared to preach sound doctrine.","The essence of this message is that dangerous times will come. People will be so absorbed in themselves that, despite all their ‘learning’, they will not submit to sound doctrine, will deny the power of God, and will walk with a corrupt and incorrigible mind. Paul urges Timothy to be well prepared to preach sound doctrine."
"64","0.9541","HIGH","As disciples we study and subject ourselves to the discipline of sound doctrine, this provides a defense against the wickedness of the world, we become full grown mature men and women of God, able to defend ourselves against the snares of the enemy and able to protect those around us that have not yet come to full maturity.","As disciples, we study and submit ourselves to the discipline of sound doctrine; this serves as a protection from the malice of the world; we become grown, mature men and women of God, able to defend ourselves from the snares of the enemy and to protect those around us who have not yet reached full maturity."
"65","0.8961","MEDIUM","We must be careful and diligent in our study, sound teaching of the scriptures can be led astray by several perverse influences.","We must be careful and diligent in our training: the sound teaching of the Scriptures can be thrown off course by several perverted influences."
"66","0.9553","HIGH","Sound doctrine can become twisted by the traditions of men. We see this truth evident from the need of the great reformers of Protestantism and in the history of the Old Testament. God raised men up to restore the fundamental truth that had become perverted by the traditions of men.","Sound doctrine can be distorted by the traditions of men. We see this truth in the example of the necessity of the great reformers of Protestantism and in the history of the Old Testament. God raised up people to restore the foundational truth that had been perverted by the traditions of men."
"67","0.9772","HIGH","The scriptures warn us:","The Scriptures warn us:"
"68","1.0","HIGH","<span class=""x-scripture"" data-book=""COL"" data-chapter=""2"" data-lang=""en"" data-type=""quote"" data-verses=""8"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""COL"" data-chapter=""2"" data-lang=""en"" data-type=""quote"" data-verses=""8"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"69","0.9333","HIGH","> **<u>Colossians 2:8</u>** (NKJV)\\n>\\n> Beware lest anyone cheat you through philosophy and empty deceit, according to the tradition of men, according to the basic principles of the world, and not according to Christ.\\n>","> **<u>Colossians 2:8</u>** (NKJV)\\n>\\n> See to it that no one takes you captive by means of philosophy and empty deception, according to human tradition, according to the elements of the world, and not according to Christ.\\n>"
"70","1.0","HIGH","</span>","</span>"
"71","1.0","HIGH","<span class=""x-scripture"" data-book=""MRK"" data-chapter=""7"" data-lang=""en"" data-type=""fragment"" data-verses=""9,13"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MRK"" data-chapter=""7"" data-lang=""en"" data-type=""fragment"" data-verses=""9,13"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"72","0.9892","HIGH","> **<u>Mark 7:9,13</u>** (NKJV)\\n>\\n> He said to them, ""All too well you reject the commandment of God, that you may keep your tradition.\\n>\\n> making the word of God of no effect through your tradition which you have handed down. And many such things you do.""\\n>","> **<u>Mark 7:9,13</u>** (NKJV)\\n>\\n> He said to them: ""You skillfully reject the commandment of God, that you may keep your tradition.\\n>\\n> making the word of God of no effect through your tradition which you have handed down. And many such things you do.""\\n>"
"73","1.0","HIGH","</span>","</span>"
