# Drift explanation generated 2026-01-30T14:58:17.944435
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/chinese/pipeline2/analysis/chapters/drift_report_chapter4_chapter_4_jesus_the_messiah_vs_chapter4_chapter_4_jesus_the_messiah.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"1","0.8911","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationships as the original, simply using different wording without altering the core concepts regarding sin and its consequences.","Building on our study of sin, we concluded that sin exacts a serious price, against those whom sin is committed and must be restored, and for those who commit sin and must make restitution. The price of sin must be paid. In the Old Testament God established a series of sacrifices performed by priests, individuals, and communities to deal with, resolve, and adjudicate sin.","Based on our study of sin, we conclude: sin exacts a severe cost——the wronged party must be restored；the one who sins must make restitution. The price of sin must be paid. In the Old Testament, God established a series of offerings presented by priests, individuals, and the community to address, resolve, and adjudicate sin。"
"2","0.9107","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationships as the original, conveying that sacrifices for sin are insufficient due to human choice, without altering the intent.","Even with all the sacrifices for sin, they still weren’t enough-not because God failed, but because people continued to choose sin. While animal sacrifice could provide limited atonement, no amount of animal sacrifice was able to change the sinful nature of men.","Even with all these atoning sacrifices, they were still not enough——not because God failed, but because people continued to choose to sin。Animal sacrifices could provide limited atonement, but no amount of animal sacrifice could change the sinful nature of humans。"
"5","0.8685","MEDIUM","no","paraphrase","The terms 'context' and 'background' are synonymous in this instance, and both refer to the same concept of historical information, indicating no change in meaning.","## Historical Context","## Historical Background"
"6","0.9139","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationships as the original, with only minor variations in wording and phrasing. Both paragraphs convey the same expectations of the Jewish Messiah and the context surrounding those beliefs.","The Jewish people had long awaited a coming Messiah. Jewish beliefs about the Messiah during the time just before Jesus were shaped by Old Testament prophecies, the interpretations of which were diverse and not universally agreed upon. Most Jews expected the Messiah to be a political and military leader who would deliver Israel from foreign oppression (primarily Roman rule) and restore the Davidic kingdom. Here’s an overview of common Messianic expectations and how they aligned (or did not align) with biblical prophecy:","The Jewish people had long been waiting for a coming Messiah。In the period before Jesus, Jewish beliefs about the Messiah were shaped by Old Testament prophecies, with interpretations that varied and were not universally agreed upon。Most Jews expected the Messiah to be a political and military leader who would deliver Israel from Gentile oppression (primarily Roman rule) and restore the kingdom of David。Below is an overview of some common Messianic expectations and how they do (or do not) align with biblical prophecy："
"9","0.9068","MEDIUM","no","paraphrase","Both paragraphs convey the same core belief about the Messiah being a king like David who will lead Israel to victory and restore independence, with no significant changes in meaning.","- **Belief:** The Messiah would be a king like David, leading Israel in a victorious revolt against foreign powers and restoring Israel's independence.","- **Belief:** The Messiah would be a king like David, lead Israel to victory over foreign powers, and restore Israel’s independence。"
"11","0.8922","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same meaning as the original, conveying the oppression of Jews under Roman rule and their hopes for a Messiah without altering the doctrinal, logical, or intentional aspects.","- **Historical Context:** Jews under the Roman’s rule were oppressed and heavily taxed, leading to hopes for a Messiah who would overthrow Rome and establish a powerful earthly kingdom.","- **Historical background:** Under Roman rule, the Jews were oppressed and heavily taxed, so they hoped for a Messiah who would overthrow Rome and establish a powerful earthly kingdom。"
"16","0.8684","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that the emphasis was on national restoration instead of spiritual renewal, with no significant changes in meaning.","- **Interpretation:** The focus was often on national restoration rather than spiritual renewal.","- **Interpretation:** People often focused on national restoration rather than spiritual renewal。"
"24","0.9127","MEDIUM","no","paraphrase","The back-translation maintains the same doctrinal meaning and intent as the original, simply rephrasing it without altering the core message.","- **Belief:** The Messiah would judge the wicked, uphold the righteous, and bring justice to the oppressed.","- **Belief：** The Messiah will judge the wicked、uphold the righteous、and bring justice to the oppressed."
"26","0.8712","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that justice is viewed primarily in political and social terms rather than spiritual ones, with no significant change in meaning.","- **Interpretation:** Justice was expected to be primarily political and societal rather than spiritual.","- **Interpretation：** The justice people expected was primarily political and social rather than spiritual."
"36","0.8497","LOW","no","paraphrase","The back-translation simplifies the title but retains the same conceptual meaning regarding the act of anointing Jesus, without altering any doctrinal or intentional aspects.","### The Anointing of Jesus","### Jesus’s Anointing"
