# Drift explanation generated 2026-01-30T02:04:18.252399
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/french/pipeline2/analysis/chapters/drift_report_chapter11_chapter_11_baptisms_water_and_spirit_vs_chapter11_chapter_11_baptisms_water_and_spirit.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"13","0.8642","MEDIUM","no","paraphrase","Both phrases refer to the same event involving John, with no significant change in meaning. The original and back-translated versions convey the same doctrinal concept of baptism associated with John.","## John’s Baptism","## The Baptism of John"
"17","0.8091","LOW","no","paraphrase","Both phrases refer to the same event in Christian theology, the baptism of Jesus Christ, without altering the doctrinal meaning or intent.","## Christ’s Baptism","## The Baptism of Christ"
"27","0.8775","MEDIUM","no","paraphrase","Both phrases convey the same concept of baptism associated with the Holy Spirit, with no significant change in doctrinal meaning or intent.","## Holy Spirit Baptism","## Baptism in the Holy Spirit"
"36","0.7841","LOW","yes","doctrinal","The original phrase 'Spirit Within' suggests an internal, personal presence of the Spirit, while 'Spirit Upon' implies an external influence or empowerment. The back-translation alters this nuance, changing the focus from an internal state to an external action.","### Spirit Within vs Spirit Upon","### Spirit in us vs Spirit on us"
"38","0.7918","LOW","no","paraphrase","The terms 'Scriptural Basis' and 'Biblical foundation' convey the same concept of a foundational reference in religious texts without altering the doctrinal meaning, logical relationship, or intent.","Scriptural Basis:","Biblical foundation:"
"44","0.7918","LOW","no","paraphrase","The terms 'Scriptural Basis' and 'Biblical foundation' convey the same concept of a foundational text or principle in a religious context, with no significant change in meaning.","Scriptural Basis:","Biblical foundation:"
"82","0.8888","MEDIUM","no","paraphrase","The terms 'discussed' and 'addressed' are synonymous in this context, both indicating that the chapter covers topics related to the Church without altering the original intent or meaning.","- Discussed in the chapter on the Church.","- Addressed in the chapter on the Church."
"84","0.8867","MEDIUM","no","paraphrase","Both 'discussed' and 'addressed' convey a similar idea of engaging with the topic in the chapter on the church, indicating no significant change in meaning.","- Discussed in the chapter on the church.","- Addressed in the chapter on the church."
"86","0.7146","CRITICAL","no","paraphrase","The phrases 'discussed here' and 'addressed here' convey similar meanings, indicating that a topic is being covered or mentioned in the text. There is no significant change in doctrinal meaning, logical relationship, or intent.","- Discussed here.","- Addressed here."
"88","0.8413","LOW","no","paraphrase","The terms 'Purpose' and 'Objectives' as well as 'Operations' and 'Functioning' convey similar meanings, maintaining the overall intent and doctrinal context of the original paragraph.","### Purpose &amp; Operations of the Gifts","### Objectives &amp; Functioning of the Gifts"
"106","0.9103","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual focus on the gifts of the Holy Spirit, simply rephrasing the original without altering its meaning.","### Explaining the 9 Holy Spirit Manifestation Gifts","### Explanation of the 9 manifestation gifts of the Holy Spirit"
"121","0.9132","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, simply rephrasing 'Personal Reflection Questions' to 'Questions for personal reflection' without altering the intent or logical relationship.","## Personal Reflection Questions","## Questions for personal reflection"
"123","0.897","MEDIUM","no","paraphrase","Both paragraphs convey the same theological concept regarding the Old Covenant's significance in relation to Christ's work, with slight variations in wording but no change in meaning.","2.  The Old Covenant washings pointed to the need for ultimate cleansing. How does understanding this deepen your appreciation of Christ’s work?","2.  The purifications of the Old Covenant highlighted the need for an ultimate purification. How does this understanding deepen your appreciation of the work of Christ?"
"129","0.915","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual and theological meaning as the original, with only slight variations in wording (e.g., 'washings' vs. 'purifications') that do not alter the intent or doctrinal content.","2.  **Exploring Old and New Testament Washings:** What do the ceremonial washings of the Old Covenant teach us about holiness and our need for cleansing? How does Jesus fulfill these practices?","2.  **Exploration of the purifications of the Old and New Testaments :** What do the ceremonial purifications of the Old Covenant teach us about holiness and our need for purification? How does Jesus fulfill these practices?"
