# Drift explanation generated 2026-01-30T15:02:49.207694
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/chinese/pipeline2/analysis/chapters/drift_report_chapter8_chapter_8_holy_spirit_comforter_guide_and_power_vs_chapter8_chapter_8_holy_spirit_comforter_guide_and_power.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"8","0.9165","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply using 'given' instead of 'sent,' which does not alter the theological understanding of the Holy Spirit's relationship to believers.","## When was the Holy Spirit Sent to All Believers?","## When was the Holy Spirit given to all believers?"
"21","0.8857","MEDIUM","yes","intentional","The original title 'Getting to Know the Holy Spirit' suggests an ongoing process of relationship and discovery, while the back-translated title 'Knowing the Holy Spirit' implies a more static state of understanding, potentially altering the intent of fostering a deeper connection.","## Getting to Know the Holy Spirit","## Knowing the Holy Spirit"
"49","0.9121","MEDIUM","no","paraphrase","Both paragraphs convey the same theological concepts regarding the relationship between the Holy Spirit, Jesus, and the Father, emphasizing the Holy Spirit's dependence on the Father and His role as a helper.","The Holy Spirit is from God and is of God. As Jesus said He did nothing except the father show Him (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""5"" data-lang=""en"" data-type=""ref"" data-verses=""19"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 5:19</span>), the Holy Spirit too does nothing unless it's directed from the father. Because the Holy Spirit is the helper, He does not work on His own accord, but works in perfect harmony with the father.","The Holy Spirit comes from God and belongs to God. Just as Jesus said He does nothing unless the Father shows Him (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""5"" data-lang=""en"" data-type=""ref"" data-verses=""19"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 5:19</span>), so it is with the Holy Spirit: He does nothing apart from the Father’s leading. For the Holy Spirit is the Helper; He does not act on His own initiative but works in perfect harmony with the Father."
"50","0.9053","MEDIUM","yes","doctrinal","The back-translation changes 'what Jesus has for us' to 'what Jesus has prepared for us,' which implies a more specific and intentional action by Jesus, potentially altering the understanding of the relationship between Jesus and what is offered to believers.","The Spirit testifies of Jesus (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""15"" data-lang=""en"" data-type=""ref"" data-verses=""26"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 15:26</span>), glorifies Jesus, and announces and declares what Jesus has for us (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""16"" data-lang=""en"" data-type=""ref"" data-verses=""14"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 16:14</span>).","The Holy Spirit bears witness to Jesus (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""15"" data-lang=""en"" data-type=""ref"" data-verses=""26"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 15:26</span>), glorifies Jesus, and declares what Jesus has prepared for us (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""16"" data-lang=""en"" data-type=""ref"" data-verses=""14"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 16:14</span>)."
"58","0.8623","MEDIUM","no","paraphrase","Both phrases inquire about the relationship of a statement or belief to Scripture, with no significant change in meaning. The terms 'align' and 'consistent' convey a similar concept of agreement with Scriptural teachings.","- Does this align with Scripture?","- Is this consistent with Scripture?"
"60","0.9082","MEDIUM","no","paraphrase","Both phrases inquire about the outcome of producing 'godly fruit,' with 'produce' and 'bear' being synonymous in this context. The overall meaning remains unchanged, focusing on the same theological concept.","- Does this produce godly fruit?","- Does this bear godly fruit?"
"65","0.8664","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea that Jesus has a mission for His followers, referred to as the Great Commission. The back-translation uses different wording but retains the original intent and meaning.","Jesus gave us His mission, the Great Commission:","Jesus entrusted His mission to us, namely the Great Commission:"
"69","0.8999","MEDIUM","no","paraphrase","Both paragraphs convey the same essential idea that the Holy Spirit plays a crucial role in the mission of convicting the world regarding sin, righteousness, and judgment, with no significant changes in meaning.","The Holy Spirit has an integral part in the mission, convicting the world of sin, righteousness, and judgement:","The Holy Spirit plays an indispensable role in this mission, bringing conviction to the world concerning sin, righteousness, and judgment:"
"73","0.7225","CRITICAL","yes","doctrinal","The original paragraph emphasizes the Spirit's role in bringing conviction, which implies a sense of personal accountability and moral awakening, while the back-translation uses 'confirmation,' which suggests a more passive affirmation of truths without the same level of personal engagement.","Diving deeper, the Spirit brings conviction of these three truths:","Furthermore, the Holy Spirit brings confirmation of the following three truths:"
"75","0.8866","MEDIUM","yes","doctrinal","The original paragraph emphasizes 'conviction of righteousness,' suggesting a strong belief or assurance in Jesus' fulfillment of God's will, while the back-translation uses 'confirmation of righteousness,' which may imply a more passive acknowledgment. Additionally, the original states that Jesus' sacrifice provided a 'one-time' atonement, whereas the back-translation refers to it as 'once-for-all,' which could alter the perception of the nature of atonement.","2.  **Conviction of righteousness**: Demonstrating Jesus’ perfect fulfillment of the Father’s will, and that Jesus' sacrifice provided the one-time atonement needed for forgiveness of sins.","2.  **Confirmation of righteousness**: Manifests that Jesus perfectly accomplished the Father’s will, and that Jesus’ sacrifice provides the once-for-all atonement needed for forgiveness."
"76","0.8944","MEDIUM","yes","doctrinal","The original uses 'conviction' which implies a strong belief or certainty, while the back-translation uses 'confirmation,' which suggests validation rather than inherent belief. This subtle shift may affect the interpretation of the certainty of God's justice and the nature of judgment.","3.  **Conviction of judgment**: Affirming the defeat of Satan, the certainty of God’s justice, and that all will stand a judgement for their life's work and deeds.","3.  **Confirmation of judgment**: Affirms that Satan has been defeated, that God’s justice is beyond doubt, and that everyone must stand under judgment for the works and deeds of their life."
