# Drift explanation generated 2026-01-30T16:25:01.003411
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/punjabi/pipeline2/analysis/chapters/drift_report_chapter3_chapter_3_sin_and_redemption_vs_chapter3_chapter_3_sin_and_redemption.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"3","0.9006","MEDIUM","no","paraphrase","The back-translation maintains the original concepts of sin against God, man, and self, with only slight variations in wording that do not alter the overall meaning.","- Sin against God, sin against man, sin against self","- Sins against God, sins against man, sins against oneself"
"4","0.9174","MEDIUM","no","paraphrase","The terms 'intentional' and 'deliberate' are synonymous in this context, and both paragraphs convey the same concept of sin, maintaining the original meaning without any doctrinal or logical changes.","- Intentional sin, unintentional sin","- Deliberate sin, unintentional sin"
"5","0.8353","LOW","no","paraphrase","The back-translated paragraph retains the original concepts of sin occurring in a single moment versus sin committed habitually, without altering the doctrinal meaning or intent.","- Sin of a single moment, sin habitually committed","- Momentary sin, habitual sin"
"6","0.7977","LOW","no","paraphrase","The back-translated paragraph maintains the same concepts and relationships as the original, simply using slightly different wording without altering the underlying meaning.","- Sin requiring severe punishment like death, sin requiring financial restitution","- Sins requiring severe penalties such as death, sins requiring financial restitution"
"11","0.8891","MEDIUM","no","paraphrase","Both phrases convey the same concept that sin leads to consequences, with no significant change in doctrinal meaning, logical relationship, or intent.","## Sin has Consequences","## The Consequences of Sin"
"18","0.9186","MEDIUM","no","paraphrase","Both sentences convey the same idea that the individual did not provide an acceptable sacrifice, with no significant change in meaning or intent.","1.  He failed to offer a proper sacrifice.","1.  He did not offer the right sacrifice."
"19","0.9089","MEDIUM","yes","doctrinal","The original uses 'waiting to devour him,' while the back-translation uses 'crouching to devour him,' which introduces a more active and predatory connotation. Additionally, the use of 'Jehovah' versus 'Yahweh' may reflect different theological perspectives on the name of God.","2.  He ignored the warning from Jehovah (God), that sin was waiting to devour him.","2.  He ignored Yahweh’s (God’s) warning that sin was crouching to devour him."
"24","0.7293","CRITICAL","yes","doctrinal","The original uses the term 'sacrifice,' which carries specific theological implications, while the back-translation uses 'offering,' which may not convey the same depth of meaning related to sacrifice in a doctrinal context.","- He felt miserable about the state of his sacrifice.","- He was very distressed about the state of his offering."
"25","0.7547","LOW","no","paraphrase","Both phrases convey the same idea that sin has a powerful and consuming effect on the individual. The change in wording does not alter the underlying meaning.","- He was devoured by sin.","- Sin consumed him."
"30","0.9124","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that Cain distanced himself from God and that the scriptures do not indicate he returned to God's presence. The wording is different, but the core meaning remains unchanged.","- Cain left the presence of God; the scriptures do not mention Cain ever being with God again.","- Cain moved away from the presence of God; nowhere in the Scriptures does it say that Cain was ever again with God."
"63","0.8402","LOW","yes","doctrinal","The original phrase emphasizes that sin inherently necessitates a sacrifice, suggesting a direct relationship between sin and the need for atonement. The back-translation, while similar, could imply a more conditional interpretation, as if sacrifice is merely a requirement rather than an intrinsic aspect of sin itself.","## Sin Requires Sacrifice","## A Sacrifice Is Required for Sin"
"76","0.6477","CRITICAL","yes","doctrinal","The term 'Collective Sin' implies a shared moral failing among a group, often with a focus on community responsibility, while 'Corporate Sin' suggests a more institutional or organizational wrongdoing, potentially shifting the focus from individual moral agency to systemic issues.","## Collective Sin","## Corporate Sin"
"88","0.8969","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea that the books of the Bible, particularly the Torah, address sin through specific laws and penalties, using similar terminology and maintaining the original intent.","The books of the Bible focus on the issue of sin differently. When Moses recorded the law in the Torah (the first five books of the Old Testament) he recorded specific punishments for specific sins/crimes. I use the word crime here interchangeably, because the books of the law were the legal system of the day for the Israelites.","The books of the Bible address the issue of sin in various ways. When Moses wrote the Law in the Torah (the first five books of the Old Testament), he recorded specific penalties for specific sins/offenses. I am using the word ‘offense’ interchangeably here, because the books of the Law were the legal system of the day for the Israelites."
"106","0.9199","MEDIUM","yes","doctrinal","The original paragraph refers specifically to 'God’s judgment,' which carries a connotation of accountability and consequence, while the back-translated paragraph uses 'God’s justice,' which may imply a broader, more abstract concept of fairness rather than personal judgment. This shift can affect the theological implications regarding how one perceives God's role in moral accountability.","3.  What emotions arise when you consider God’s judgment? Does it lead you toward fear, hope, or repentance? Why?","3.  When you think about God’s justice, what emotions arise? Does it lead you toward fear, hope, or repentance? Why?"
