# Drift report generated 2025-10-08T07:14:10.071853
# Source file: source/AUTOGEN/chapters/chapter14_chapter_14_keep_watch.md
# Back translation: backtranslation/chapter14_chapter_14_keep_watch.md
"id","similarity","translation_quality","source","back_translation"
"1","0.966","HIGH","Having been given the spiritual authority of Christ on the Earth to establish His kingdom we should work with diligence and haste, for Jesus will return!","Having been given the spiritual authority of Christ on earth to establish His kingdom, we must work diligently and quickly, for Jesus will return!"
"2","0.988","HIGH","The return of Christ is an important part of our faith. The study of the return of Christ and the end times is known as **eschatology**. Many books on eschatology have been written, and *most of them disagree with each other*! Specifically, they disagree on interpretations (figurative, literal, symbolic), the order and timings of the events in the scriptures. I'm reminded of the saying by the great Pentecostal evangelist Reinhard Bonke - “I will split hairs in heaven when I am done breaking chains on Earth!”","The return of Christ is an important part of our faith. The study of the return of Christ and the end times is known as **eschatology**. Many books about eschatology have been written, and *many of them do not agree among themselves*! In particular, they disagree about interpretation (allegorical, literal, symbolic), the order and timing of events in the Scriptures. And it reminds me of the saying of the great Pentecostal evangelist Reinhard Bonnke - “I will split hairs in heaven once I have finished breaking chains on earth!”"
"3","0.9346","HIGH","As the author, I’m hesitant to dive very deep into this hotly debated topic given that this book is focused primarily on fundamentals of the faith. I will stick largely to the highest-level view of the events depicted in scripture and focus on what matters most - **the** **mission of the Gospel**!","As a writer, I hesitate to go too deep into this highly debated topic because this book is focused primarily on the foundations of the faith. I will largely hold to a high-level view of the events shown in the Scriptures and focus on what is most important - **the** **Gospel mission**!"
"4","0.8003","LOW","## Universally Agreed Upon Points:","## Things Agreed on by All:"
"5","0.9396","HIGH","1.  Jesus Is Returning","1.  Jesus Is Coming Back"
"6","0.9727","HIGH","2.  Resurrection of the Dead","2.  The Resurrection of the Dead"
"7","1.0","HIGH","3.  Judgment for All People","3.  Judgment for All People"
"8","1.0","HIGH","4.  Eternal Destiny","4.  Eternal Destiny"
"9","1.0","HIGH","5.  A Defeated Enemy","5.  A Defeated Enemy"
"10","0.9546","HIGH","6.  New Heaven and New Earth","6.  A New Heaven and a New Earth"
"11","0.9271","HIGH","For each point we will review what the concept is, look at reference scriptures, consider why it matters, and what we should do in light of it.","For each point we will examine what the concept itself is, look at the reference Scriptures, see why they are important, and what we should do in light of that."
"12","0.961","HIGH","### **1. Jesus Is Returning**","### **1. Jesus Is Coming Back**"
"13","0.9361","HIGH","**What It Is:** The **Second Coming of Christ** is the literal return of Jesus to the earth as King and Judge.","**What It Means:** **The Second Coming of Christ** is the literal return of Jesus to the earth as King and Judge."
"14","1.0","HIGH","<span class=""x-scripture"" data-type=""quote"" data-book=""Acts"" data-chapter=""1"" data-verses=""11"" data-lang=""en"" data-version=""NKJV"">","<span class=""x-scripture"" data-type=""quote"" data-book=""Acts"" data-chapter=""1"" data-verses=""11"" data-lang=""en"" data-version=""NKJV"">"
"15","1.0","HIGH","> **<u>Acts 1:11</u>** (NKJV) *Men of Galilee, why do you stand gazing up into heaven? This same Jesus, who was taken up from you into heaven, will so come in like manner as you saw Him go into heaven.*","> **<u>Acts 1:11</u>** (NKJV) *Men of Galilee, why do you stand gazing up into heaven? This same Jesus, who was taken up from you into heaven, will so come in like manner as you saw Him go into heaven.*"
"16","1.0","HIGH","</span>","</span>"
"17","1.0","HIGH","<span class=""x-scripture"" data-type=""quote"" data-book=""Revelation"" data-chapter=""22"" data-verses=""12"" data-lang=""en"" data-version=""NKJV"">","<span class=""x-scripture"" data-type=""quote"" data-book=""Revelation"" data-chapter=""22"" data-verses=""12"" data-lang=""en"" data-version=""NKJV"">"
"18","0.9933","HIGH","> **<u>Revelation 22:12</u>***, (NKJV) And behold, I am coming quickly, and My reward is with Me, to give to every one according to his work.*","> **<u>Revelation 22:12</u>***, (NKJV) *And behold, I am coming quickly, and My reward is with Me, to give to every one according to his work.*"
"19","1.0","HIGH","</span>","</span>"
"20","0.9757","HIGH","**Why It Matters:** Christ’s return fulfills God’s promise to complete redemption and establish His kingdom. It reminds us to live with urgency, knowing we will one day see Him face-to-face.","**Why It Matters:** The return of Christ fulfills God's promise to complete redemption and establish His Kingdom. It reminds us to live with a sense of urgency, knowing that one day we will see Him face to face."
"21","1.0","HIGH","**What Should We Do?**","**What Should We Do?**"
"22","0.9843","HIGH","- **Be Watchful:** Live in expectation of His return.","- **Be Watchful:** Live expecting His return."
"23","0.9838","HIGH","- **Stay Faithful:** Carry out the Great Commission (<span class=""x-scripture"" data-type=""ref"" data-book=""Matthew"" data-chapter=""28"" data-verses=""19-20"" data-lang=""en"" data-version=""NKJV"">Matthew 28:19-20</span>) with purpose and diligence.","- **Remain Faithful:** Carry out the Great Commission (<span class=""x-scripture"" data-type=""ref"" data-book=""Matthew"" data-chapter=""28"" data-verses=""19-20"" data-lang=""en"" data-version=""NKJV"">Matthew 28:19-20</span>) with purpose and diligence."
"24","0.9793","HIGH","### **2. Resurrection of the Dead**","### **2. The Resurrection of the Dead**"
"25","0.966","HIGH","**What It Is:** The **resurrection** is the raising of all people-both righteous and unrighteous-from the dead to face **judgment**.","**What It Is:** The resurrection is the raising of all people—the righteous and the unrighteous—from the dead to face judgment."
