# Drift explanation generated 2026-02-01T01:46:22.966284
# Source drift file: /Users/andrew/repo/kli-translation-pipeline_principles-of-faith/japenese/pipeline2/analysis/chapters/drift_report_chapter13_chapter_13_spiritual_authority_vs_chapter13_chapter_13_spiritual_authority.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"9","0.9042","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea that an employee needs both talent and permission to sell company assets, and without permission, such an action is considered theft. The wording has changed slightly, but the doctrinal meaning remains intact.","Example 1: At work, an employee may have the talents and skills to conduct a sale of the company's assets (power). This power is lawful if they also have the associated permission (authority) from the company’s owners. Without this authority, selling the company's assets is theft.","Example 1: In the workplace, an employee may have the talent or skill (power) to sell company assets. This power is legitimate when the corresponding permission (authority) has also been given by the owner of the company. Without this authority, selling the company’s assets is theft."
"13","0.6307","CRITICAL","yes","doctrinal","The original phrase 'Over Heaven and Earth' suggests a more general or poetic sense of dominion, while the back-translated phrase 'Authority over heaven and earth' implies a specific, authoritative control, altering the theological implications of power and governance.","- Over Heaven and Earth","- Authority over heaven and earth"
"14","0.658","CRITICAL","yes","doctrinal","The original phrase 'Over life and death' suggests a general concept of control or influence over existence, while the back-translated phrase 'Authority over life and death' implies a specific power or jurisdiction, altering the theological implications of who holds that power.","- Over life and death","- Authority over life and death"
"15","0.6457","CRITICAL","yes","doctrinal","The original phrase 'Over sin and forgiveness' suggests a general discussion about the concepts of sin and forgiveness, while the back-translated phrase 'Authority over sin and forgiveness' implies a specific power or control over these concepts, altering the theological implications.","- Over sin and forgiveness","- Authority over sin and forgiveness"
"16","0.7386","CRITICAL","yes","doctrinal","The original phrase 'Over demons and spiritual forces' suggests a broader authority, while the back-translated phrase 'Authority over evil spirits and spiritual forces' specifies the nature of the demons as 'evil spirits,' which may imply a more negative connotation and a narrower focus on malevolent entities.","- Over demons and spiritual forces","- Authority over evil spirits and spiritual forces"
"17","0.7052","CRITICAL","yes","doctrinal","The original phrase suggests a general state of being above sickness and disease, while the back-translated version implies a specific authority or power over them, altering the theological implications regarding control and dominion.","- Over sickness and disease","- Authority over sickness and disease"
"18","0.7457","CRITICAL","yes","doctrinal","The original phrase 'To judge humanity' implies a general action or capability, while the back-translated phrase 'Authority to judge humanity' introduces a specific concept of having the power or right to judge, which alters the theological implications regarding who holds that authority.","- To judge humanity","- Authority to judge humanity"
"19","0.6279","CRITICAL","yes","doctrinal","The original phrase 'Over the Church' is more ambiguous and could imply general oversight, while 'Authority over the Church' explicitly denotes a power dynamic, suggesting a hierarchical relationship that alters the understanding of governance within the Church.","- Over the Church","- Authority over the Church"
"20","0.6749","CRITICAL","yes","doctrinal","The original phrase suggests a general relationship with creation and nature, while the back-translated version introduces the concept of 'authority,' implying a hierarchical or controlling relationship that alters the theological implications.","- Over creation and nature","- Authority over creation and nature"
"21","0.7319","CRITICAL","yes","doctrinal","The original phrase suggests a state of being or existence over death, Hell, and the grave, while the back-translated version implies a position of authority or control over these concepts, altering the theological interpretation of the relationship to death and the afterlife.","- Over death, Hell, and the grave","- Authority over death, hell, and the grave"
