# Drift explanation generated 2026-01-30T16:24:35.814957
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/punjabi/pipeline2/analysis/chapters/drift_report_chapter5_chapter_5_repentance_from_dead_works_vs_chapter5_chapter_5_repentance_from_dead_works.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"13","0.9037","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, simply rephrasing the question and response without altering the core message.","Would you continue to work at a job if they stopped paying you? For most of us the easy and painfully obvious answer is a resounding, NO!","If they stopped paying you, would you keep working? For most of us, the easy and painfully obvious answer comes very quickly: no!"
"19","0.9184","MEDIUM","no","paraphrase","Both paragraphs convey the same fundamental concept that living things can reproduce and create offspring or new entities. The wording is slightly different, but the core meaning remains unchanged.","3.  **Reproduction**: Living things have the capacity to reproduce, creating offspring or new entities.","3.  **Reproduction**: Living things have the ability to reproduce, through which they produce offspring or new individuals."
"24","0.9069","MEDIUM","no","paraphrase","The back-translation maintains the same core message as the original, simply using different wording. Both phrases convey the idea of preventing personal growth or development without altering the underlying meaning.","1.  Do not permit personal growth or development.","1.  do not allow personal growth or progress."
"33","0.869","MEDIUM","no","paraphrase","The back-translated paragraph maintains the original's conceptual distinctions between life and death, as well as the idea of dead works being harmful. The phrasing is slightly altered, but the core meaning remains intact.","While dead versus alive is a binary. Dying is a gradient. Our dead works may not be completely dead across every single category, yet, but they will become so! Dead works are like poisons, some have greater effects.","Where dead and living are a dichotomy. Death is a spectrum. Our dead works may not yet be completely dead in every category, but they will be! Dead works are like poisons; some have stronger effects."
"36","0.886","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply using different wording. Both phrases convey the necessity of repentance to overcome 'dead works.'","To be delivered from dead works, we must repent!","To be rid of dead works, we must repent!"
"50","0.8203","LOW","yes","intentional","The original phrase 'Changing Our Minds' suggests a collective or communal aspect, implying a shared experience or decision-making process, while 'Changing your mind' shifts the focus to an individual perspective, altering the intent of the message.","## Changing Our Minds","## Changing your mind"
"59","0.7006","CRITICAL","yes","doctrinal","The term 'Systems of Change' suggests a broader, more structured approach to understanding change, while 'Mechanisms of change' implies a focus on the specific processes or tools involved. This shift alters the conceptual framework from a holistic view to a more technical one.","### Systems of Change","### Mechanisms of change"
"71","0.9146","MEDIUM","yes","doctrinal","The original paragraph emphasizes a sudden conviction, which suggests a moral realization or a sense of wrongdoing, while the back-translated version focuses on feeling guilt, which may imply a more emotional response rather than a moral awakening.","**Scenario:**, a father experiencing a sudden conviction after yelling at his child.","**Scenario:**, a father who suddenly feels guilt after yelling at his child."
"111","0.9035","MEDIUM","no","paraphrase","Both paragraphs convey the same theological concept of God's goodness as a force for redemption and repentance, emphasizing that His goodness does not condone sin but provides a path to salvation despite it.","God's unrelenting goodness, to be willing to redeem us and restore us if we come to Him is a positive agent in our path of repentance. His goodness isn’t that we continue in sin, but that despite our sin He makes a way for us to be redeemed and experience His salvation.","The unwavering goodness of God—that if we come to Him He is ready to deliver and restore us—is a positive force on our path to repentance. His goodness is not that we remain in sin, but that despite our sin He makes a way for our deliverance and that we may experience His salvation."
"114","0.9087","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea that while humans have an inherent ability to change and adapt, this ability does not equate to a desire or motivation to change. The wording is different, but the overall meaning remains consistent.","Man has great capacity to change; it's wired into our very essence. Humans are very adaptable, we can learn and grow, and find better ways to do things. However, a capacity to change is not the same as a willingness or a persuasion to change.","Human beings have a great capacity for change; it is woven into our very nature. Humans are highly adaptable; we can learn and develop, and find better ways of doing things. However, the capacity to change is not the same as the desire or motivation to change."
"136","0.8973","MEDIUM","yes","doctrinal","The original phrase 'godly sorrow' emphasizes a specific type of sorrow that aligns with God's character, while the back-translation uses 'God-honoring sorrow,' which may imply a broader interpretation. This shift could affect the understanding of the nature of the sorrow being discussed in relation to God's influence.","3.  In what ways has God used “godly sorrow” to draw you closer to Him? How did it lead to positive change?","3.  How has God drawn you closer to Himself through God-honoring “sorrow”? How has that led to positive change?"
