# Drift report generated 2026-01-30T15:53:31.870902
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter9_chapter_9_the_church_our_role_in_it.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/bengali/pipeline2/backtranslation/chapters/chapter9_chapter_9_the_church_our_role_in_it.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9471","HIGH","The church is how God shows Himself on earth-through His people, doing His work. We are called to be His body, we are His hands and feet to accomplish His work and purpose. Without our efforts the harvest will remain in the field and will go un-reaped.","The church is the way God, in the world-through His people, doing His work, reveals Himself. We have been called to be His body; we are His hands and feet to accomplish His work and purpose. Without our efforts the harvest will remain in the field and will not be reaped."
"2","0.9715","HIGH","## Who is the Church?","## Who is the church?"
"3","1.0","HIGH","The church, ***Ekklesia** (eh-klee-SEE-ah - **G1577**),* is derived from two Greek words:","The church, ***Ekklesia** (eh-klee-SEE-ah - **G1577**),* is derived from two Greek words:"
"4","0.9198","MEDIUM","- **""Ek""**: ""Out of.""","- **""Ek""**: ""out of।"""
"5","0.908","MEDIUM","- **""Kaleo""**: ""To call.""","- **""Kaleo""**: ""to call।"""
"6","0.9691","HIGH","Together, **Ekklesia** literally means ""called out"" or ""called out assembly."" In ancient Greek city-states, it referred to a gathering of citizens summoned for a specific purpose, such as legislative or judicial meetings. It was a secular term denoting an assembly of people.","Together, the literal meaning of **Ekklesia** is ""called out"" or ""a called-out assembly."" In the ancient Greek city-states, it referred to an assembly of citizens summoned for a specific purpose, such as a legislative or judicial gathering. It was a secular term used to denote an assembly of people."
"7","0.9606","HIGH","In the New Testament, it is used primarily to refer to the community of believers in Jesus Christ. It can denote:","In the New Testament, it is primarily used to refer to the community of believers in Jesus Christ. It can mean:"
"8","0.9283","HIGH","- **The Local Church**: A specific gathering of believers in a particular location (e.g., the church at Corinth, Philippi, etc.).","- **Local church**: A specific assembly of believers in a particular place (e.g., the churches of Corinth, Philippi, etc.)."
"9","1.0","HIGH","<span class=""x-scripture"" data-book=""1CO"" data-chapter=""1"" data-lang=""en"" data-type=""quote"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""1CO"" data-chapter=""1"" data-lang=""en"" data-type=""quote"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"10","0.9975","HIGH","> **<u>1 Corinthians 1:2</u>** (NKJV)\\n>\\n> To the church of God which is at Corinth, to those who are sanctified in Christ Jesus, called to be saints, with all who in every place call on the name of Jesus Christ our Lord, both theirs and ours:\\n>","> **<u>1 Corinthians 1:2</u>** (NKJV)\\n>\\n> To the church of God which is in Corinth, to those who are sanctified in Christ Jesus, called to be saints, with all who in every place call on the name of our Lord Jesus Christ, both theirs and ours:\\n>"
"11","1.0","HIGH","</span>","</span>"
"12","0.9645","HIGH","- **The Universal Church**: The collective body of all believers across time and space.","- **The universal church**: The collective body of all believers across all boundaries of time and space."
"13","1.0","HIGH","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""16"" data-lang=""en"" data-type=""fragment"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""16"" data-lang=""en"" data-type=""fragment"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"14","0.9463","HIGH","> **<u>Matthew 16:18</u>** (NKJV)\\n>\\n> And I also say to you that you are Peter, and on this rock I will build My church, and the gates of Hades shall not prevail against it.\\n>","> **<u>Matthew 16:18</u>** (NKJV)\\n>\\n> And I tell you, you are Peter; and on this rock I will build My church, and the gates of Hades shall not prevail against it।\\n>"
"15","1.0","HIGH","</span>","</span>"
"16","0.9679","HIGH","The church is the people, not the building or location they meet. **Called-Out Ones**: Reflects the idea that Christians are called out of the world and set apart for God's purposes (e.g., <span class=""x-scripture"" data-book=""1PE"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Peter 2:9</span>) for a specific mission and purpose (the great commission). The church is technically any two or more believers meeting together (<span class=""x-scripture"" data-book=""MAT"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 18:20</span>). Typically, the church is organized into regular meetings, with perhaps a set location and time, but wherever two or more people meet in Jesus’ name, that's where the church is!","The church is the people, not the building or place where they meet. **Called-Out Ones**: This reflects the idea that Christians have been called out of the world and set apart for God’s purposes (e.g., <span class=""x-scripture"" data-book=""1PE"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Peter 2:9</span>) for a specific mission and purpose (the Great Commission). Technically, when two or more believers gather together, that is the church (<span class=""x-scripture"" data-book=""MAT"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 18:20</span>). Typically, churches organize into regular assemblies, perhaps with set places and times, but wherever two or more people gather in Jesus’ name, there is the church!"
"17","0.9615","HIGH","The church was established by Jesus and increased in the 1st century A.D. by the work of the disciples who followed him. The church we have and experience today in all its local bodies across the Earth is a direct result of the original work of Christ and His apostles. As believers we are to be committed to a local church for fellowship, provision, equipping for ministry, and to do good works!","The church was established by Jesus and grew through the work of the disciples who followed Him in the first century AD. The church we find and experience today in all its local bodies throughout the world is the direct result of the original work of Christ and His apostles. As believers, we should be committed to a local church for fellowship, provision, equipping for ministry, and doing good works!"
"18","0.8975","MEDIUM","To help us understand what the church is, the Scriptures gives us powerful pictures that show what it’s meant to be.","To explain what the church is, Scripture gives us powerful images that show what it is meant to be."
"19","1.0","HIGH","## Understanding the Church","## Understanding the Church"
"20","0.8902","MEDIUM","There are several core metaphorical images used to depict attributes of the church:","A few key metaphorical images are used to describe the characteristics of the Church:"
