# Drift report generated 2026-01-30T00:04:20.519796
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter0_6_preface.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/farsi/pipeline2/backtranslation/chapters/chapter0_6_preface.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9323","HIGH","## Building a Foundation that Lasts","## Building a Foundation That Endures"
"2","0.9604","HIGH","I have always had a fascination with questions. Why is *something* true? What made it that way? How do we know? How are we sure? If *something* is true, what else is true? What is false? This fascination goes beyond a desire to be correct on a surface level, but to know deeply and precisely, and to be able to clearly articulate the new gained understanding.","I have always been fascinated by questions. Why is *something* true? What has made it so? How do we know? What are we certain of? If *something* is true, what else is also true? What things are false? This fascination goes beyond merely being right at a superficial level; I want to know deeply and precisely and to be able to express the understanding gained clearly."
"3","0.9295","HIGH","While communication is common, effective and precise communication is challenging. To effectively communicate a message the author and originator must have an idea. However, the idea alone like water on a hard surface-its edges and boundaries are poorly defined, fluid, and easily moved around.","Though communication is common, effective and precise communication is challenging. To transmit a message effectively, the writer and creator must have an idea. However, the idea itself is like water on a hard surface—its edges and boundaries are faint, fluid, and easily shift."
"4","0.9835","HIGH","We use words, terms, and phrases to transform the raw idea from vaguely shaped to precisely shaped. Words give our idea a boundary, they help us distinguish and separate between what the idea is, and what it is not. Now our shaped idea must be transmitted and received through some medium. Whether in long form text, like this book, or short form text, like a social media post, or in oral form, like a conversation or a video recording, the medium transmits the now well-formed idea to the recipient.","We use words, terms, and phrases to transform the raw idea from something vague into something precise. Words give our idea boundaries; they help us distinguish and separate what the idea is and what it is not. Now the formed idea must be transmitted and received through a medium. Whether in long-form text, like this book, or short-form text, like a social media post, or in oral form, like a conversation or a video recording, the medium carries the now well-structured idea to the recipient."
"5","0.9231","HIGH","So far, we’ve only discussed the originator and author of the idea. For an idea to be useful, the recipient must receive, decode, and understand the message accurately. The transmitted and received messages should align closely.","Up to this point we have only spoken of the creator and author of the idea. For an idea to be useful, the recipient must correctly receive, decode, and understand the message. The transmitted message and the received message must align well with each other."
"6","0.961","HIGH","Every great human work is the by-product of effective communication. One man’s labor can only accomplish so much. To really build or perform something great, many men (speaking here generically of mankind) must labor together in a shared purpose, with a shared idea. Barring naturally occurring disasters (like a volcanic eruption) we also know that the greatest calamities to ever occur usually did so in significant part because of missing, broken or distorted communication. Truly life and death are in the power of the tongue (<span class=""x-scripture"" data-book=""PRO"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""21"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Proverbs 18:21</span>).","Every great human work is a byproduct of effective communication. The work of a single person alone is limited. To build or do something truly great, many people (here I speak generally of humankind) must work together with a shared goal and a shared idea. Aside from natural disasters (such as a volcanic eruption), we know that the greatest catastrophes that have occurred have usually been, to a significant extent, due to missing, broken, or distorted communication. Truly, death and life are in the power of the tongue (<span class=""x-scripture"" data-book=""PRO"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""21"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Proverbs 18:21</span>)."
"7","0.9588","HIGH","What we believe and how we communicate it has the power to build a person, a family, a community, a nation, or has the power to equally destroy them. What we believe is the foundation for our actions and is the blueprint for what we will do, who we will be, how we will exist. Because belief is expressed through action and communication, it defines the role we play in existence. Our beliefs shape not just our lives, but to a degree the lives of everyone around us.","What we believe and how we express those beliefs have the power to build up a person, a family, a community, a nation—or just as much the power to destroy them. Our beliefs are a foundation for our actions and a blueprint for what we will do, what we will be, and the manner of our being. Because belief is expressed through action and communication, it defines our role in existence. Our beliefs shape not only our own lives but, to a degree, the lives of everyone around us."
"8","0.8886","MEDIUM","We must establish our beliefs accurately and learn to share them effectively. Jesus said as much when he said to His disciples:","We must build our beliefs carefully and learn to share them effectively. Jesus said the same when he told his disciples:"
"9","1.0","HIGH","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""fragment"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""fragment"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"10","0.9984","HIGH","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.\\n>\\n> Go therefore and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all things that I have commanded you; and lo, I am with you always, even to the end of the age."" Amen.\\n>","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.\\n>\\n> Go therefore and make disciples of all nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all things that I have commanded you; and behold, I am with you always, even to the end of the age."" Amen.\\n>"
