# Drift explanation generated 2026-02-01T01:37:13.485039
# Source drift file: /Users/andrew/repo/kli-translation-pipeline_principles-of-faith/japenese/pipeline2/analysis/chapters/drift_report_chapter9_chapter_9_the_church_our_role_in_it_vs_chapter9_chapter_9_the_church_our_role_in_it.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"1","0.8991","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, emphasizing the role of the church as God's manifestation on earth and the importance of human efforts in fulfilling His purpose.","The church is how God shows Himself on earth-through His people, doing His work. We are called to be His body, we are His hands and feet to accomplish His work and purpose. Without our efforts the harvest will remain in the field and will go un-reaped.","The church is the way in which God reveals Himself on the earth-through His people carrying out His works-。 We are called to be His body、 the hands and feet of the Lord to accomplish His works and purposes。 Without our efforts、 the harvest will remain in the fields and will not be gathered in。"
"2","0.8896","MEDIUM","no","paraphrase","The back-translated paragraph retains the same meaning as the original, with no changes in doctrinal content, logical relationships, or intent. The only difference is the punctuation style.","## Who is the Church?","## Who is the Church？"
"4","0.8138","LOW","no","paraphrase","Both translations convey the same basic idea of origin or source, with 'out of' and 'from' serving similar functions in their respective languages.","- **""Ek""**: ""Out of.""","- **""Ek""**: ""from。"""
"7","0.8705","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, simply rephrasing it without altering the core message about the community of believers in Jesus Christ.","In the New Testament, it is used primarily to refer to the community of believers in Jesus Christ. It can denote:","In the New Testament、 it is used primarily as a term referring to the community of those who believe in Jesus Christ。 This can mean the following:"
"8","0.8953","MEDIUM","yes","doctrinal","The original refers to a singular 'Local Church' in a specific location, while the back-translation uses 'churches' in plural, suggesting multiple gatherings rather than a single entity, which alters the doctrinal understanding of the concept.","- **The Local Church**: A specific gathering of believers in a particular location (e.g., the church at Corinth, Philippi, etc.).","- **Local church**: A specific gathering of believers in a particular place（e.g.: the churches in Corinth, Philippi, etc.）。"
"12","0.9016","MEDIUM","no","paraphrase","Both paragraphs convey the same concept of the Universal Church as a collective body of believers existing throughout time and space, with no significant changes in meaning.","- **The Universal Church**: The collective body of all believers across time and space.","- **The universal Church**: The collective body of all believers that exists across time and space。"
"16","0.8751","MEDIUM","no","paraphrase","The back-translated paragraph retains the original's conceptual and theological meaning, emphasizing that the church is the people rather than the building, and that it exists wherever believers gather in Jesus' name.","The church is the people, not the building or location they meet. **Called-Out Ones**: Reflects the idea that Christians are called out of the world and set apart for God's purposes (e.g., <span class=""x-scripture"" data-book=""1PE"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Peter 2:9</span>) for a specific mission and purpose (the great commission). The church is technically any two or more believers meeting together (<span class=""x-scripture"" data-book=""MAT"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 18:20</span>). Typically, the church is organized into regular meetings, with perhaps a set location and time, but wherever two or more people meet in Jesus’ name, that's where the church is!","The church is not a building or the place where they gather、 but the people themselves。 **The called-out ones**: This reflects the idea that Christians are called out of the world and set apart for God’s purposes（e.g.: <span class=""x-scripture"" data-book=""1PE"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Peter 2:9</span>）。 For a specific mission and purpose（the Great Commission）。 Strictly speaking、 the church is wherever two or more believers gather together（<span class=""x-scripture"" data-book=""MAT"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 18:20</span>）。 Normally、 churches are organized to have regular gatherings and may have set places and times、 but wherever two or more are gathered in the name of Jesus、 there is the church！"
"17","0.88","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, with only slight variations in wording and phrasing. Both emphasize the establishment of the church by Jesus and the importance of local church commitment for believers.","The church was established by Jesus and increased in the 1st century A.D. by the work of the disciples who followed him. The church we have and experience today in all its local bodies across the Earth is a direct result of the original work of Christ and His apostles. As believers we are to be committed to a local church for fellowship, provision, equipping for ministry, and to do good works!","The church was established by Jesus and expanded in the first century A.D. through the work of the disciples who followed Him。 Today、 the church we have and experience in every local congregation on earth is the direct result of the initial work of Christ and His apostles。 As believers、 we should devote ourselves to the local church for fellowship、 equipping、 training for service、 and to do good works！"
"18","0.8421","LOW","no","paraphrase","Both paragraphs convey the same idea that the Scriptures or Bible provides imagery to help understand the nature of the church. The terms used are slightly different, but the overall meaning remains consistent.","To help us understand what the church is, the Scriptures gives us powerful pictures that show what it’s meant to be.","To help us understand what the church is、 the Bible gives powerful images that show what it is intended to be。"
"21","0.8815","MEDIUM","yes","doctrinal","The original term 'The Body' implies a specific theological or doctrinal context, possibly referring to the Church or a collective entity, while the back-translation 'Body' lacks this specificity and depth, altering its intended meaning.","1.  The Body","1.  Body"
"22","0.8864","MEDIUM","yes","intentional","The back-translation omits the definite article 'The,' which can change the emphasis and specificity of the subject, potentially altering the intent of the original text.","2.  The Bride","2.  Bride"
"23","0.908","MEDIUM","yes","doctrinal","The original term 'The Temple' suggests a specific and significant place of worship with doctrinal implications, while the back-translation 'Temple' lacks the definitive article, which may imply a more general or less specific reference, altering its theological significance.","3.  The Temple","3.  Temple"
"25","0.7891","LOW","yes","doctrinal","The original term 'The Flock' may carry a broader or more metaphorical meaning, potentially referring to a community or group under guidance, while 'Flock of sheep' is more literal and specific, focusing solely on the animals.","5.  The Flock","5.  Flock of sheep"
"27","0.8497","LOW","yes","doctrinal","The original emphasizes the church's identity as a 'unified and diverse community under Christ's leadership,' while the back-translation shifts to 'under Christ’s guidance,' which may imply a less authoritative role for Christ compared to 'leadership.' Additionally, the original uses 'yet together,' suggesting a stronger contrast, whereas 'but taken together' in the back-translation softens this relationship.","Each analogy highlights a unique aspect of the church, yet together, they reveal the church's identity as a unified and diverse community under Christ's leadership.","Each metaphor highlights a unique aspect of the church, but taken together they reveal the church’s identity as a community, under Christ’s guidance, endowed with unity and diversity."
"28","0.8577","MEDIUM","yes","doctrinal","The original term 'The Body' suggests a specific theological or doctrinal context, possibly referring to the Church or the physical body of Christ, while the back-translation 'Body' lacks this specificity and may lead to a broader or different interpretation.","### The Body","### Body"
"30","0.7542","LOW","yes","intentional","The back-translation simplifies the title from 'The Bride' to 'Bride,' which may alter the intent by removing the specific context or emphasis implied in the original title.","### The Bride","### Bride"
"32","0.8023","LOW","yes","doctrinal","The original paragraph refers specifically to 'The Temple,' which may imply a particular religious or doctrinal significance, while the back-translated version simply states 'Temple,' potentially losing that specific context and meaning.","### The Temple","### Temple"
"34","0.8425","LOW","yes","doctrinal","The original term 'The Family' implies a specific and possibly doctrinal context regarding family structures and values, while 'Family' is more general and lacks the same connotation, potentially altering the intended emphasis on familial teachings.","### The Family","### Family"
"36","0.8026","LOW","yes","doctrinal","The original term 'The Flock' may imply a broader or metaphorical meaning related to a community or group under a shepherd's care, while 'Flock of sheep' is a more literal and specific reference to a group of sheep, losing the potential theological implications.","### The Flock","### Flock of sheep"
"38","0.901","MEDIUM","yes","intentional","The original title 'The Vine and Branches' suggests a specific theological context and relationship, while the back-translated title 'Vine and branches' is more generic and lacks the same intentional emphasis on the connection between the vine and its branches.","### The Vine and Branches","### Vine and branches"
"40","0.8843","MEDIUM","no","paraphrase","The back-translation simplifies the title from plural to singular without altering the overall concept or intent regarding the Church's roles.","## Roles of the Church","## The Role of the Church"
"50","0.8538","MEDIUM","no","paraphrase","The back-translation simplifies the title from 'The Leadership of the Church' to 'Church Leadership' without altering the core concept or intent, maintaining the same focus on the leadership aspect within the church context.","## The Leadership of the Church","## Church Leadership"
"51","0.9081","MEDIUM","no","paraphrase","Both paragraphs convey the same idea of diversity within Christian denominations and the significance of the few universal rules regarding church leadership, with no substantial changes in meaning.","Across Christendom there are a wide variety of denominations, meetings, gatherings, and assemblies. There are very few universal rules to the leadership of the church, but the rules we do have are very significant:","There is a remarkable diversity of denominations, assemblies, gatherings, and meetings within the Christian world. There are very few universal rules regarding church leadership, but the ones we have are very important:"
"58","0.8886","MEDIUM","yes","doctrinal","The original refers specifically to 'members of the body,' which implies a theological context related to the body of Christ, while the back-translation uses 'persons within the body,' which may dilute the specific doctrinal significance of membership in a spiritual sense.","3.  There are no greater or lesser members of the body. Scriptures supporting this are:","3.  There are no greater or lesser persons within the body. The following passages support this:"
"61","0.8981","MEDIUM","no","paraphrase","The back-translated paragraph maintains the original's emphasis on the situational and traditional aspects of Church structure, as well as the idea that practices are based on historical reasoning rather than being universally prescribed. The overall intent and meaning remain consistent between the two versions.","The structure of the Church, beyond the leadership rules, is important but much of it is situational and a matter of tradition rather than universally dictated. “<u>That's the way we’ve always done it!</u>” is a popular statement; if you go back far enough, there was usually a good reason for why they did it that way. This is generally neither good nor bad, but is a matter of taste, needs, and availability.","Church structures beyond rules for leadership are important, but many of them are, rather than being universally prescribed, matters of context and tradition. “<u>We’ve always done it this way!</u>” is a common saying；if you go back far enough, there was usually a valid reason they did it that way. This is generally not a matter of right and wrong, but of preference, need, and availability."
"64","0.8795","MEDIUM","no","paraphrase","The back-translation retains the same terminology and meaning as the original, simply presenting it in a different format without altering the doctrinal or intentional aspects.","### Elders (Overseers)","### Elders（overseers）"
"65","0.894","MEDIUM","no","paraphrase","The back-translation uses a plural form for 'Role' to 'Roles', but this does not change the overall meaning or intent of the original text regarding duties and responsibilities.","Role and Responsibilities:","Roles and responsibilities:"
"75","0.8886","MEDIUM","no","paraphrase","The back-translation retains the same meaning as the original, simply presenting the term 'Deacons' with a translation of 'servants' in parentheses, which does not alter the doctrinal or intentional meaning.","### Deacons (Servants)","### Deacons（servants）"
"76","0.8941","MEDIUM","no","paraphrase","The back-translation uses a plural form 'Roles' instead of the singular 'Role', but this does not change the overall meaning or intent of the original text.","Role and Responsibilities:","Roles and responsibilities:"
