# Drift report generated 2026-01-30T01:22:21.536262
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter6_chapter_6_faith_toward_god.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/spanish/pipeline2/backtranslation/chapters/chapter6_chapter_6_faith_toward_god.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9644","HIGH","Faith is a bedrock concept in Christianity. Faith is such a commonly used word in Christianity that sometimes the meaning of the word is supplanted by subtle misconceptions and wrong understanding. But it’s not something you can hold in your hands-it’s something formed in your heart as you come to trust God. Persuasion is belief.","Faith is a fundamental concept in Christianity. Faith is a word so commonly used in Christianity that sometimes the meaning of the word gets supplanted by subtle misconceptions and misunderstanding. But it is not something you can hold in your hands-it’s something formed in your heart as you come to trust God. Persuasion is belief."
"2","0.9553","HIGH","The writer of Hebrews instructs us that we are to have ‘faith towards God’.","The author of Hebrews instructs us that we must have ‘faith toward God’."
"3","1.0","HIGH","<span class=""x-scripture"" data-book=""HEB"" data-chapter=""6"" data-lang=""en"" data-type=""quote"" data-verses=""1-2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""HEB"" data-chapter=""6"" data-lang=""en"" data-type=""quote"" data-verses=""1-2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"4","1.0","HIGH","> **<u>Hebrews 6:1-2</u>** (NKJV)\\n>\\n> Therefore, leaving the discussion of the elementary principles of Christ, let us go on to perfection, not laying again the foundation of repentance from dead works and of faith toward God,\\n>\\n> of the doctrine of baptisms, of laying on of hands, of resurrection of the dead, and of eternal judgment.\\n>","> **<u>Hebrews 6:1-2</u>** (NKJV)\\n>\\n> Therefore, leaving the discussion of the elementary principles of Christ, let us go on to perfection, not laying again the foundation of repentance from dead works and of faith toward God,\\n>\\n> of the doctrine of baptisms, of laying on of hands, of resurrection of the dead, and of eternal judgment.\\n>"
"5","1.0","HIGH","</span>","</span>"
"6","0.9798","HIGH","In this chapter we will discuss what faith is, and is not, how to increase our faith, how we exercise our faith (obedience), the benefits of living a life of obedience, and practical steps to increasing our faith.","In this chapter we will talk about what faith is and what it is not, how to increase our faith, how we exercise our faith (obedience), the benefits of living a life of obedience, and practical steps to increase our faith."
"7","1.0","HIGH","As we did in our study on repentance, let’s examine the Greek to set the stage for our study. Understanding these terms helps us see how faith is both directional (toward God) and relational (rooted in trust and persuasion).","As we did in our study on repentance, let’s examine the Greek to set the stage for our study. Understanding these terms helps us see how faith is both directional (toward God) and relational (rooted in trust and persuasion)."
"8","1.0","HIGH","[See Table 5](../tables/table5.md)","[See Table 5](../tables/table5.md)"
"9","0.9682","HIGH","### Defining Faith","### Defining faith"
"10","0.987","HIGH","Faith is a commonly misunderstood and misrepresented aspect of Christianity. As the saying goes, “there is a ditch on both sides of the road”! Because the word faith is so commonly used without proper explanation in our modern Christianity, it can come to pick up erroneous definitions amplified through misunderstanding. Faith is often portrayed either as a blanketed statement of abstracted belief or as an almost mystical power or “magic,” something you possess in a specific measured and limited amount.","Faith is a commonly misunderstood and misrepresented aspect of Christianity. As the saying goes, “there’s a ditch on both sides of the road”! Because the word faith is used so commonly without due explanation in our modern Christianity, it can come to take on erroneous definitions amplified by misunderstanding. Faith is often presented as a generalized statement of abstracted belief or as an almost mystical power or “magic,” something you possess in a specifically measured and limited amount."
