# Drift explanation generated 2026-01-30T15:24:42.892239
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/somali/pipeline2/analysis/chapters/drift_report_chapter5_chapter_5_repentance_from_dead_works_vs_chapter5_chapter_5_repentance_from_dead_works.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"6","0.9112","MEDIUM","no","paraphrase","Both paragraphs convey the same intent to analyze the Greek phrase, with only slight variations in wording. The change from 'in-depth' to 'deeper' does not alter the overall meaning.","Let's take an in-depth look at the Greek for this phrase:","Let’s take a deeper look at the Greek of this phrase:"
"15","0.907","MEDIUM","no","paraphrase","Both paragraphs convey the same essential idea that the combination of ***nekros*** and ***erga*** refers to work that is lifeless and unproductive, with the author of Hebrews warning against such dead work.","The context of ***nekros*** joined with ***erga*** is labor or work that is dead, has no vitality, cannot reproduce! The author of Hebrews is warning us of labor that is dead.","The contextual meaning of ***nekros*** when coupled with ***erga*** is work or deeds that are dead, inactive, unproductive! The author of Hebrews is warning us about dead work."
"23","0.9187","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, simply using different wording without altering the core idea of applying a standard of 'life' to works.","If we apply this standard of ‘life’ to our works with a bit of creative license, then dead works are those that:","If we apply this criterion of ‘life’ to our deeds using a little creativity, then dead works are those that:"
"27","0.8284","LOW","yes","doctrinal","The original emphasizes a lack of internal stability and self-control, while the back-translation introduces the idea of deterioration and self-regulation, which alters the focus from merely lacking stability to actively deteriorating.","4.  Do not maintain internal stability, become dis-regulated, are not self-controlled.","4.  Do not maintain internal stability; they just deteriorate and are not self-regulating."
"33","0.8747","MEDIUM","yes","doctrinal","The original emphasizes that dead works will inevitably become completely dead, suggesting a certainty about their fate, while the back-translation introduces ambiguity with 'may not yet be fully dead,' which softens the original's assertive tone. Additionally, the comparison of dead works to poisons is less emphatic in the back-translation, which may alter the perceived severity of their effects.","While dead versus alive is a binary. Dying is a gradient. Our dead works may not be completely dead across every single category, yet, but they will become so! Dead works are like poisons, some have greater effects.","Although dead and alive are a binary. Death has different degrees. Our dead works may not yet be fully dead in every part, but they will be! Dead works are like poison; some have a strong effect."
"35","0.8812","MEDIUM","yes","doctrinal","The back-translation alters the original's emphasis on the nature of 'dead works' by using different terms like 'sexual immorality' instead of 'extra marital affair,' which may shift the focus from a specific act to a broader category of behavior. Additionally, the change from 'needlessly stubborn and resentful' to 'unnecessarily rigid and bitter' modifies the connotation of the personality traits discussed.","Dead works are any works that in review and consideration are not bringing the abundant life that Jesus promised. Having an extra marital affair is very strong poison, it's likely to have a full and negative effect quite soon. Being a needlessly stubborn and resentful person will slowly poison a person until they’ve driven everyone away from them.","Dead works are anything which, when reviewed and considered, do not bring about the abundant life that Jesus promised. Entering into sexual immorality outside of marriage is a very strong poison; it is likely to quickly have a fully negative effect. Being an unnecessarily rigid and bitter person slowly poisons one until everyone withdraws from them."
"36","0.9021","MEDIUM","no","paraphrase","The back-translation uses 'escape' instead of 'be delivered from,' but both phrases convey the same essential idea of being freed from dead works through repentance.","To be delivered from dead works, we must repent!","To escape dead works, we must repent!"
"50","0.8186","LOW","no","paraphrase","The phrases 'Changing Our Minds' and 'Changing Our Thinking' convey similar concepts regarding the process of altering one's perspective or beliefs, without significant differences in meaning.","## Changing Our Minds","## Changing Our Thinking"
"51","0.9076","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same core idea as the original, focusing on the intentional process of changing one's thinking through experiences with truth.","How do we change our minds? Intentionally, through an experience with truth.","How do we change our thinking? Intentionally, through experiences with the truth."
"58","0.9106","MEDIUM","no","paraphrase","The back-translated paragraph conveys the same conceptual meaning as the original, with slight variations in wording but no significant changes in doctrinal or logical relationships.","We change our minds by hearing truth that replaces our deadly belief. His truth could be spoken to us by a friend, read in a book, revealed personally by the Holy Spirit, or in any number of ways.","We change our thinking by hearing truth that changes our beliefs that kill us. His truth can be told to us by a friend, it can be read in a book, it can be personally revealed by the Holy Spirit, or in many other ways."
"59","0.7012","CRITICAL","yes","doctrinal","The term 'Systems of Change' implies a structured framework or methodology, while 'Processes of Change' suggests a more fluid and dynamic progression. This shift alters the conceptual understanding of how change is approached and implemented.","### Systems of Change","### Processes of Change"
"60","0.9105","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, discussing the cognitive trap in recognizing the need for change and using the poison analogy effectively. The differences in wording do not alter the overall intent or logical relationships presented.","There is a cognitive trap in changing our minds. If we don’t perceive a need to change our minds, then why would we ever open our eyes to look for change? Again, back to the poison analogy, if you cannot perceive that the poison is killing you, why would you stop consuming it?","There is a cognitive trap in changing our thinking. If we do not feel a need to change our thinking, then why would we open our eyes to seek change? Again, let us return to the example of poison: if you do not know that the poison kills you, why would you stop consuming it?"
"69","0.9167","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that there is no fixed duration for the stages of progression, and that individuals may vary in their movement through these stages, either progressing slowly or quickly. The translation maintains the original intent and meaning without significant alteration.","There is no set length of time for how long any stage may take. Some people with respect to certain issues in their lives never meaningfully progress through the stages. In other instances, we can progress from stage 1 to 6 very expediently.","There is no fixed time indicating how long each stage might take. Some, when it comes to certain aspects of their lives, never meaningfully move through the stages. At other times, we can move quickly from stage 1 to 6."
"71","0.9158","MEDIUM","yes","doctrinal","The original paragraph describes a father experiencing a sudden conviction, which implies a sense of moral awareness or guilt about his actions. In contrast, the back-translated paragraph uses the term 'remorse,' which emphasizes regret but may not fully capture the nuance of moral conviction present in the original.","**Scenario:**, a father experiencing a sudden conviction after yelling at his child.","**Scenario:**, a father feeling sudden remorse after he yelled at his child."
"86","0.8969","MEDIUM","no","paraphrase","Both paragraphs convey the same idea of praying in the manner of King David upon embracing a transformation or change. The wording is slightly altered, but the core message remains intact.","As we really embrace this transformation we can pray as King David:","When we truly embrace this change we can pray like King David:"
"92","0.8396","LOW","yes","doctrinal","The back-translation introduces the term 'rebuke' instead of 'convict,' which may imply a harsher tone and a different understanding of God's approach to influencing repentance. Additionally, the phrase 'more than a riddle or a story that is told' alters the nuance of 'myth,' potentially changing the perception of the concept of hitting rock-bottom.","While hitting rock-bottom is more a myth than a certain precondition to change, God can use sorrow to influence our minds.  God will use sorrow to bring us to repentance. He will convict us of our actions and the state of our lives and hearts to open our eyes to see our complete and total need of Him.","Although reaching the lowest point is more than a riddle or a story that is told and is not a guaranteed condition for change, God can use sorrow to affect our minds. God will use sorrow to bring us to repentance. He will rebuke us for our actions and the state of our lives and hearts in order to open our eyes so that we may see our complete need for Him."
