# Drift report generated 2026-01-30T15:53:08.045658
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter7_chapter_7_jesus_the_foundation_of_our_faith.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/bengali/pipeline2/backtranslation/chapters/chapter7_chapter_7_jesus_the_foundation_of_our_faith.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9846","HIGH","Building on our study of Jesus as the Messiah, in this chapter we continue in looking at the life, person, and work of Jesus. We’ll see that Jesus is the Mediator of a new and better covenant-and that He perfectly fills the roles of Prophet, Priest, and King. It is in this New Covenant that we as believers have good standing with God and transition from a works-based covenant to a trust-based (faith-based) covenant. Finally, we will read and study the *Apostles Creed* as a way to round-out our study on Jesus.","Building on our study of Jesus as the Messiah, in this chapter we will continue discussing the life, person, and work of Jesus. We will see that Jesus is the mediator of a new and better covenant—and that He perfectly fulfills the roles of prophet, priest, and king. In this new covenant, as believers we are brought into a right relationship with God and move from a works-based covenant to a trust-based (faith-based) covenant. Finally, to complete our study about Jesus, we will read and study the *Apostles’ Creed*."
"2","0.9999","HIGH","## Mediator of the New Covenant","## Mediator of the New Covenant"
"3","0.9748","HIGH","The concept of a mediator involves a go-between who bridges the gap between two parties, facilitating a relationship or agreement. In the Exodus story, Moses is the initial mediator of the covenant God established with His people. Moses received the law, offered the sacrifice (priest), called God’s people to obedience (prophet), and judged them (judge / king). In the remainder of the Old Testament after Moses, the mediating role was fulfilled through the role of the Prophet, the Levitical Priesthood, and the Judges and later Kings of the nation.","The concept of a mediator refers to a go-between who bridges the gap between two parties to help establish relationship or agreement. In the Exodus narrative, Moses was the first mediator of the covenant God established with His people. Moses received the Law, offered sacrifices (priest), called God’s people to obedience (prophet), and judged them (judge/king). After Moses, throughout the rest of the Old Testament, prophets, the Levitical priesthood, and judges and later kings carried out this mediatorial role."
"4","0.8709","MEDIUM","Old Testament Roles of Mediators:","The role of mediators in the Old Testament:"
"5","0.9761","HIGH","1.  **Prophet:** Prophets were God’s messengers, sent to speak His heart to the people and call them back when they wandered. Moses, for example, served as a prophet who mediated the Old Covenant by receiving the Law from God and teaching it to Israel. Prophets also foretold the coming of the Messiah and the ultimate redemption of humanity. Other prominent examples of prophet include: Isaiah, Jeremiah, Elijah, Elisha, Samuel.","1.  **Prophet:** Prophets were God’s messengers, sent to declare His heart to the people and to bring them back when they strayed. For example, Moses, as a prophet, was the mediator of the old covenant—he received the Law from God and taught it to Israel. The prophets also foretold the coming of the Messiah and the ultimate redemption of humanity. Some notable examples of prophets are: Isaiah, Jeremiah, Elijah, Elisha, Samuel."
"6","0.9754","HIGH","2.  **Levitical Priesthood:** Priests acted as mediators by offering sacrifices for the atonement of sins and interceding for the people before God. The High Priest, especially, played a vital role on the Day of Atonement, entering the Holy of Holies to sprinkle blood on the mercy seat, symbolizing reconciliation with God. The priest's ministry is to intercede for the people.","2.  **Levitical priesthood:** Priests served as mediators by offering sacrifices for the atonement of the people’s sins and interceding before God on their behalf. In particular, the high priest would enter the Most Holy Place on the Day of Atonement and sprinkle blood on the mercy seat, symbolizing reconciliation with God. The priest’s ministry is to intercede for the people."
"7","0.9702","HIGH","3.  **Judge/King:** Judges, and later Kings, were charged with ruling over God’s people, enforcing His laws, judging between the people, delivering them from their enemies, and leading them in righteousness. The book of Judges tells the stories of these leaders-people like Deborah, Samson, and Gideon-whom God raised up to rescue and guide Israel. Israel later had a line of kings, many wicked, some good (see 1st and 2nd Kings, 1st and 2nd Samuel, and 1<sup>st</sup> and 2<sup>nd</sup> Chronicles). Some prominent examples are Saul, David, and Solomon.","3.  **Judge/king:** Judges, and later kings, were appointed to rule over God’s people, enforce His Law, judge among the people, deliver them from their enemies, and lead them in righteousness. The book of Judges tells the stories of these leaders—Deborah, Samson, and Gideon—whom God raised up to deliver and guide Israel. Israel later had a succession of kings, many evil, some righteous (see 1st and 2nd Kings, 1st and 2nd Samuel, and 1<sup>st</sup> and 2<sup>nd</sup> Chronicles). Some notable examples are Saul, David, and Solomon."
"8","0.9282","HIGH","Worth noting is that all the Old Covenant mediators were fully man and not divine. As men they were able to sin, and many times were given to sin. Some of the mediators were sinful and drove people away from God and towards profane worship: false prophets, lying and corrupt priests, and wicked kings.","It is noteworthy that all the mediators of the old covenant were fully human, not divine. As humans they were capable of sin, and many times did sin. Some mediators were themselves wicked and led people away from God into defiled worship: false prophets, lying and corrupt priests, and evil kings."
"9","0.991","HIGH","### Christ as the Mediator of the New Covenant","### Christ as Mediator of the New Covenant"
"10","0.9245","HIGH","Jesus’ death, resurrection and ascension fulfil the Old Covenant, and establish the New Covenant.","Jesus’ death, resurrection, and ascension bring the old covenant to its fulfillment and establish the new covenant."
