# Drift explanation generated 2026-01-30T14:13:33.266680
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/russian/pipeline2/analysis/chapters/drift_report_chapter12_chapter_12_discipleship_vs_chapter12_chapter_12_discipleship.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"2","0.8884","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea that discipleship is central to the Great Commission, with slight variations in wording but no significant change in meaning.","Discipleship is the primary command in the Great Commission. Jesus defined this mission in:","Discipleship — is the core command in the Great Commission. Jesus articulated this mission in:"
"18","0.8171","LOW","yes","doctrinal","The original paragraph contrasts the Didactic Model with the Apprentice Model, which emphasizes a structured teaching approach versus hands-on learning. The back-translation changes 'Apprentice Model' to 'Mentoring Model,' which may imply a broader, less structured form of guidance, altering the doctrinal distinction between the two models.","### Didactic Model vs Apprentice Model","### Didactic Model versus Mentoring Model"
"22","0.9085","MEDIUM","yes","doctrinal","The back-translation changes 'apprentice model' to 'discipleship model,' which may imply a different connotation regarding the relationship between teacher and learner, potentially altering the understanding of the educational framework being discussed.","The advantage of the didactic model is that it can scale more efficiently than the apprentice model. Massively open online courses (MOOCs) can have thousands of students at the same time, whereas even a very skilled master can only have perhaps a few dozen apprentices concurrently.","The advantage of the didactic model is that it scales more efficiently than the discipleship model. Massive Open Online Courses (MOOCs) can teach thousands of students at once, whereas even a very skilled master can simultaneously lead at most a few dozen disciples."
"24","0.7992","LOW","yes","doctrinal","The original paragraph uses 'apprentice model' while the back-translation uses 'discipleship model,' which may imply different theological or educational frameworks. Additionally, the term 'student' in the original is replaced with 'disciple,' suggesting a shift in the relationship dynamics and connotations associated with learning and mentorship.","In the apprentice model the master shares more than knowledge, he imparts wisdom. The result of the apprentice model is that the student has become like the master so completely that the student can reproduce the work of the master and take on apprentices of his own.","In the discipleship model the master shares not only knowledge; he imparts wisdom. The outcome of the discipleship model is that the disciple becomes like the master to such an extent that he can reproduce his work and take on disciples of his own."
"26","0.8454","LOW","yes","doctrinal","The term 'apprentice model' suggests a focus on skill acquisition and practical training, while 'discipleship model' emphasizes a spiritual and relational journey in following Jesus, which alters the theological implications of the teaching.","Jesus describes the apprentice model in:","Jesus describes the discipleship model in:"
"30","0.9113","MEDIUM","no","paraphrase","The back-translation maintains the same doctrinal meaning and logical relationships as the original, with only minor changes in wording that do not affect the overall intent or message.","In the didactic model the student becomes a carrier of the knowledge, in the apprentice model, the student becomes like the teacher. Let’s study the key words from that passage of Luke.","In the didactic model the student becomes a carrier of knowledge; in the discipleship model the student becomes like the teacher. Let’s study the key words from this passage in Luke."
"32","0.9141","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same core concepts and intent as the original, simply using different wording for 'aim' instead of 'goal' and 'discipleship model' instead of 'apprentice model'.","To summarize, the purpose and goal of the apprentice model used in discipleship is twofold:","To summarize, the aim and purpose of the discipleship model used in discipleship is twofold:"
"36","0.8944","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual focus on Jesus' approach to discipleship without altering the doctrinal meaning or intent of the original text.","## Jesus’ Model and Process of Discipleship","## The Model and Process of Jesus' Discipleship"
"38","0.8348","LOW","yes","doctrinal","The original paragraph emphasizes a traditional apprenticeship model with the roles of 'master' and 'student,' suggesting a hierarchical relationship, while the back-translated version uses 'mentor' and 'disciple,' which implies a more collaborative and less hierarchical relationship, potentially altering the doctrinal implications of authority and learning.","The apprentice model has two roles: master and student. Every master has been a student, and hopefully every student will become a master. I will use the terms *disciple* to refer to the student and *disciple-maker* to refer to the master/teacher.","The discipleship model has two roles: mentor and disciple. Every mentor was once a disciple, and, hopefully, every disciple will in time become a mentor. I will use the terms *disciple* to refer to the student and *mentor* to refer to the master/teacher."
"39","0.9161","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, with slight variations in wording but no significant changes in doctrinal or logical relationships.","Every discipleship relationship goes through a progression of eight phases. The phases, or steps, are not purely isolated from each other, many times the relationship will flow between the phases. In each phase there is an emphasis for the disciple, and for the disciple-maker. We will study attributes of disciple-makers in depth later in this chapter.","Any discipleship relationship goes through a sequence of eight phases. These phases, or steps, are not completely isolated from one another: often the relationship will flow between them. In each phase there is its own emphasis for both the disciple and the mentor. We will study the qualities of mentors in detail later in this chapter."
"40","0.8352","LOW","no","paraphrase","The back-translation simplifies the phrasing but retains the core concept of multiple phases or stages of discipleship without altering the doctrinal meaning.","The eight phases of discipleship are:","Eight stages of discipleship:"
"43","0.8682","MEDIUM","yes","doctrinal","The original term 'Demonstrating' implies an active process of showing or proving something, while 'Demonstration' suggests a more static presentation or event. This shift alters the emphasis from an ongoing action to a singular act, affecting the interpretation of the concept.","3.  Demonstrating","3.  Demonstration"
"44","0.8253","LOW","yes","doctrinal","The original term 'Trying' implies an effort or attempt to engage, while 'Practice' suggests a more habitual or routine engagement. This change alters the understanding of the nature of participation, shifting from an emphasis on effort to one on regularity.","4.  Participation/Trying","4.  Participation/Practice"
"48","0.894","MEDIUM","no","paraphrase","The back-translation 'Staying connected' conveys the same idea as 'Remain Connected,' maintaining the original intent and meaning without any significant changes.","8.  Remain Connected","8.  Staying connected"
"55","0.8559","MEDIUM","yes","doctrinal","The original term 'Demonstrating' implies an active process of showing or proving something, while 'Demonstration' can refer to the act itself or the result of that process, potentially altering the emphasis on the action versus the outcome.","### Demonstrating","### Demonstration"
"58","0.8061","LOW","yes","doctrinal","The term 'Participation' suggests a more active engagement in a community or activity, while 'Practice' implies a focus on habitual actions or routines. This shift alters the emphasis from communal involvement to individual behavior, potentially changing the doctrinal interpretation of the concepts.","### Participation/Trying","### Participation/Practice"
"64","0.8621","MEDIUM","no","paraphrase","The terms 'Authorization' and 'Granting Authority' convey similar concepts of empowerment, maintaining the original intent without altering the doctrinal or logical relationships.","### Empowerment/Authorization","### Empowerment/Granting Authority"
"70","0.7795","LOW","no","paraphrase","The phrases 'Remain Connected' and 'Stay Connected' convey the same idea of maintaining a connection, with no significant change in meaning or intent.","### Remain Connected","### Stay Connected"
"81","0.8257","LOW","no","paraphrase","The terms 'committed' and 'devoted' convey similar levels of dedication to the mission, maintaining the original intent without altering the doctrinal or logical meaning.","#### Committed to the Mission","#### Devoted to the Mission"
"83","0.8174","LOW","no","paraphrase","The phrases 'Spirit-Led' and 'Led by the Spirit' convey the same concept of guidance by the Spirit, maintaining the original intent and meaning without any doctrinal or logical changes.","#### Spirit-Led","#### Led by the Spirit"
