# Drift explanation generated 2026-01-30T15:33:04.328277
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/somali/pipeline2/analysis/chapters/drift_report_chapter12_chapter_12_discipleship_vs_chapter12_chapter_12_discipleship.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"2","0.8365","LOW","no","paraphrase","The back-translated paragraph maintains the same core message as the original, simply using different wording to convey that discipleship is a key aspect of the Great Commission as defined by Jesus.","Discipleship is the primary command in the Great Commission. Jesus defined this mission in:","Discipleship is the central command of the Great Commission. Jesus defined this task:"
"22","0.9143","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea that the didactic model is more scalable than the apprenticeship model, specifically in the context of MOOCs versus traditional apprenticeships, without altering the original meaning.","The advantage of the didactic model is that it can scale more efficiently than the apprentice model. Massively open online courses (MOOCs) can have thousands of students at the same time, whereas even a very skilled master can only have perhaps a few dozen apprentices concurrently.","The advantage of the didactic method is that it can scale efficiently beyond the apprenticeship method. Massive open online courses (MOOCs) can have thousands of students at the same time, whereas even a highly skilled master can only have a dozen or so apprentices at the same time."
"23","0.8549","MEDIUM","no","paraphrase","Both paragraphs convey the same core ideas about the didactic model, emphasizing student mastery of content and the teacher's role as a facilitator who imparts or transmits knowledge, without altering the underlying meaning.","The result of the didactic model is that the student has mastery of content, however the student does not become like the teacher. The teacher is a facilitator for the curriculum. The teacher imparts knowledge.","The outcome of the didactic method is that the student gains a high degree of command over the content; however, the student does not become like the teacher. The teacher is the facilitator of the curriculum. The teacher transmits knowledge."
"24","0.8883","MEDIUM","no","paraphrase","The back-translated paragraph retains the core ideas and concepts of the original, conveying the same meaning about the apprentice model and its outcomes without altering the doctrinal or logical relationships.","In the apprentice model the master shares more than knowledge, he imparts wisdom. The result of the apprentice model is that the student has become like the master so completely that the student can reproduce the work of the master and take on apprentices of his own.","In the apprenticeship method, the master shares more than knowledge; he imparts wisdom. The result of this method is that the student becomes fully like the master and is able to reproduce the master's work and take on apprentices of his own."
"26","0.9155","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply using different wording without altering the core idea of Jesus describing the method of apprenticeship.","Jesus describes the apprentice model in:","Jesus explains the apprenticeship method in:"
"32","0.893","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea about the dual purpose of the apprentice model in discipleship, with only slight variations in wording that do not affect the overall meaning.","To summarize, the purpose and goal of the apprentice model used in discipleship is twofold:","In short, the purpose and goal of the apprenticeship method as used for discipling are twofold:"
"34","0.8963","MEDIUM","no","paraphrase","The back-translation maintains the original meaning and intent, emphasizing the necessity for the student to teach others what they have learned, without altering the doctrinal or logical relationships present in the original paragraph.","**Second, the disciple now becomes a teacher for others**. The disciple must pass along what they've learned to someone else, otherwise the message of the kingdom stops with them. This doesn't mean that they will necessarily have the exact same giftings as their teacher, or that they will enter full time ministry, but it does mean that they must reproduce for their own training to have been complete.","**Next, the student now becomes a teacher to others**. The student must pass on what he has learned to someone else; otherwise the message of the kingdom stops with him/her. This does not mean they must have the exact same gifts as their teacher, or enter full-time ministry, but it does mean they are to produce others so that their training becomes complete."
"36","0.8192","LOW","no","paraphrase","The back-translation maintains the same conceptual focus on Jesus' approach to discipleship, using different wording but conveying the same overall meaning.","## Jesus’ Model and Process of Discipleship","## The Pattern and Process of Jesus' Discipling"
"38","0.907","MEDIUM","no","paraphrase","Both paragraphs convey the same conceptual framework of the apprentice model, emphasizing the relationship between master and student, and the hope for students to become masters. The terminology used is slightly different, but the overall meaning remains consistent.","The apprentice model has two roles: master and student. Every master has been a student, and hopefully every student will become a master. I will use the terms *disciple* to refer to the student and *disciple-maker* to refer to the master/teacher.","The apprenticeship method has two roles: master and disciple. Every master was once a disciple, and we hope that every disciple becomes a master. We will use the term *disciple* to refer to the learner, and *disciple-maker* to refer to the master/teacher."
"40","0.8078","LOW","yes","doctrinal","The term 'phases' suggests a sequential or developmental process in discipleship, while 'facets' implies distinct aspects or characteristics. This change alters the understanding of how discipleship is structured and experienced.","The eight phases of discipleship are:","The eight facets of discipleship are:"
