# Drift report generated 2026-01-30T15:51:09.687743
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter12_chapter_12_discipleship.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/bengali/pipeline2/backtranslation/chapters/chapter12_chapter_12_discipleship.md
"id","similarity","translation_quality","source","back_translation"
"1","0.985","HIGH","Discipleship means following Jesus, learning from Him, and becoming more like Him in how we live and love. It involves a lifelong journey of obedience, transformation, and service, guided by the Holy Spirit, and rooted in God’s Word.","Discipleship means following Jesus, learning from Him, and becoming like Him in our way of life and love. It is a lifelong journey of obedience, transformation, and service, led by the Holy Spirit and rooted in the Word of God."
"2","0.8603","MEDIUM","Discipleship is the primary command in the Great Commission. Jesus defined this mission in:","In the Great Commission, discipleship is the primary charge. Jesus defined this mission:"
"3","0.9998","HIGH","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"4","0.996","HIGH","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.\\n>\\n> Go therefore and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all things that I have commanded you; and lo, I am with you always, even to the end of the age."" Amen.\\n>","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.\\n>\\n> Therefore go and make disciples of all nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all things that I have commanded you; and behold, I am with you always, to the end of the age."" Amen.\\n>"
"5","1.0","HIGH","</span>","</span>"
"6","0.9924","HIGH","We, His followers, are to *“go and make disciples of all nations.”* Discipleship is about personal growth and about multiplying that growth by teaching others to follow Christ. Discipleship is the vehicle through which we build the Kingdom of God; the teachings of Jesus are the message.","We, His followers, are to *""Go and make disciples of all nations.""* Discipleship is about personal growth and about multiplying that growth—by teaching others to follow Christ. Discipleship is the vehicle by which we build the Kingdom of God; the teaching of Jesus is the message."
"7","0.9798","HIGH","The call to be a disciple is more than attending church or learning Bible verses-it is an invitation to live like Jesus and to partner with Him in advancing God’s Kingdom. Genuine discipleship helps believers become spiritually mature and effective for ministry (<span class=""x-scripture"" data-book=""EPH"" data-chapter=""4"" data-lang=""en"" data-type=""ref"" data-verses=""13"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Ephesians 4:13</span>). It shapes both the heart and skills needed to serve others and share the Gospel. As Paul instructed Timothy in <span class=""x-scripture"" data-book=""2TI"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">2 Timothy 2:2</span>, discipleship follows a pattern of spiritual multiplication, where trained disciples continue raising up new followers to lead other to Christ.","The call to be a disciple is not merely going to church or learning Bible verses—it is an invitation to live like Jesus and to partner with Him to advance the Kingdom of God. True discipleship helps believers become spiritually mature and effective for service (<span class=""x-scripture"" data-book=""EPH"" data-chapter=""4"" data-lang=""en"" data-type=""ref"" data-verses=""13"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Ephesians 4:13</span>). It develops the heart and skills necessary to serve others and share the Gospel. As Paul instructed Timothy in  <span class=""x-scripture"" data-book=""2TI"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">2 Timothy 2:2</span>, discipleship follows a pattern of spiritual multiplication, where trained disciples continue to form new followers so that they can bring others to Christ."
"8","0.9731","HIGH","Discipleship is both an individual calling and a global mission. On a personal level, it involves growing in faith, developing an active spiritual life, being in relationship with others &amp; God. At the same time, it fuels the mission of the Church to reach every nation with the Gospel, ensuring that the message of Christ continues to expand and transform lives across generations.","Discipleship is, on the one hand, a personal calling, and on the other, a global mission. At a personal level, it includes growing in faith, cultivating an active spiritual life, and being in relationship with others &amp; with God. At the same time, it fuels the Church’s mission to carry the Gospel to every nation, and Christ’s message spreads from generation to generation, continuing to transform lives."
"9","1.0","HIGH","## Why Discipleship Matters","## Why Discipleship Matters"
"10","0.9693","HIGH","The impact of discipleship goes beyond personal transformation-it has a Kingdom impact. Paul reminded Timothy in <span class=""x-scripture"" data-book=""2TI"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">2 Timothy 2:2</span> to entrust what He had learned to faithful men who would then teach others also. This generational pattern highlights how discipleship is the engine that drives the growth and sustainability of the Church. Discipleship matters because it was Jesus’ chosen method for spreading the Gospel and building His Church.","The impact of discipleship extends beyond personal transformation—it has Kingdom implications. In <span class=""x-scripture"" data-book=""2TI"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">2 Timothy 2:2</span> Paul reminded Timothy to entrust what he had learned to faithful people who would also teach others. This generational pattern shows that discipleship is the engine driving the Church’s growth and endurance. Discipleship matters because it is what Jesus chose for spreading the Gospel and building His Church."
"11","0.9836","HIGH","Rather than focusing on large crowds, Jesus intentionally invested in a small group of followers, teaching them, modeling faithfulness, and preparing them to carry forward His mission. This personal, relational approach ensured that His message would multiply, as each disciple was equipped to make more disciples.","Instead of focusing on large crowds, Jesus intentionally invested in a few followers—He taught them, modeled faithfulness, and prepared them to carry His mission forward. This personal, relational approach ensured that His message would multiply, because each disciple was equipped to make more disciples."
"12","0.9744","HIGH","At its core, discipleship is central to fulfilling the Great Commission (<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""ref"" data-verses=""19-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 28:19-20</span>). Jesus did not just call us to make converts but to make disciples-followers who are grounded in God’s Word, empowered by the Holy Spirit, and equipped for ministry. Through discipleship, believers grow in their knowledge of Scripture, develop spiritual disciplines, and learn to walk in obedience to Christ. It prepares the Church to impact the world, advance the Gospel, and reflect the glory of God to all nations.","Essentially, discipleship is central to fulfilling the Great Commission (<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""ref"" data-verses=""19-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 28:19-20</span>). Jesus did not tell us merely to make converts, but to make disciples—followers who are grounded in the Word of God, empowered by the Holy Spirit, and equipped for service. Through discipleship believers grow in knowledge of Scripture, develop spiritual practices, and learn to walk in obedience to Christ. It prepares the Church to influence the world, advance the Gospel, and reflect God’s glory to all nations."
"13","0.9881","HIGH","### Nature vs Nurture","### Nature vs. Nurture"
"14","0.9757","HIGH","In the study of biology, psychology, and anthropology we often consider the impact of nature versus nurture. The question often posed, is a person more the result of their innate, in-built genetic heritage? Or are they more the result of their environment and upbringing? The truth is that every person is a blend of nature and nurture. Both elements in strong interplay choreograph the development of a human soul.","In the study of biology, psychology, and anthropology, we often consider the influence of nature versus nurture. The question is often asked: Is a person more the result of his or her inherent, internal genetic inheritance? Or more the result of environment and upbringing? The truth is, every person is a blend of nature and nurture. In a powerful interaction, these two elements choreograph the development of the human soul."
"15","0.9385","HIGH","When you accepted Jesus, the miracle of salvation made you born-again of incorruptible seed. You received a godly nature! Your spiritual DNA was re-written! This godly nature causes a stirring in our hearts to be close to our heavenly Father, to know Him, to experience Him.","When you received Jesus, in the miracle of salvation you were born again of imperishable seed. You received a godly/divine nature! Your spiritual DNA was rewritten! This divine nature stirs in our hearts a longing to draw close to our heavenly Father, to know Him, to experience Him."
"16","0.9442","HIGH","Just as a new-born, whose wonderful, beautiful, innocent nature must be shaped by loving parents to develop into a healthy and mature individual, we too must be shaped and nurtured to be developed.","Like a newborn, whose wonderful, beautiful, innocent nature needs to be shaped by loving parents so that he or she may become a healthy and mature person, we likewise need to be formed and nurtured in order to flourish."
"17","0.9708","HIGH","Discipleship is the process of spiritual development that builds upon our godly nature and makes us spiritually mature. Through investing in discipleship, we ensure that faith is passed down, leaders are raised up, and the Church remains healthy and vibrant-both locally and globally.","Discipleship is the process of spiritual development that, built upon our divine nature, brings us to spiritual maturity. By investing in discipleship we ensure that faith is passed down, leaders are raised up, and the Church remains healthy and vibrant both locally and globally."
"18","0.9591","HIGH","### Didactic Model vs Apprentice Model","### Didactic Model vs. Apprenticeship Model"
"19","0.9625","HIGH","In modern day western education, the primary relationship the student has is with the material. The student’s learning is focused on content, material, books, videos, assignments, etc. The transformation of education happens via the curriculum. This method of teaching is known as the *didactic model*.","In modern Western education, a student's primary relationship is with the material. The student's learning is centered on content, materials, books, videos, assignments, etc. Transformation in education happens through the curriculum. This approach is called the *didactic model*."
"20","0.9062","MEDIUM","The paradigm of the didactic model has not always been the norm. The model and method used in Jesus’ age was the *apprentice model.* This model of learning emphasizes knowledge being more ‘caught than taught’ and focuses more on the relationship between student and teacher, than student and curriculum.","The instructional model paradigm has not always been the standard. In Jesus’ time the model and method used was the *apprenticeship model.* This learning model emphasizes that knowledge is ‘more caught than taught’ and focuses more on the student–teacher relationship than on the student and the curriculum."
