# Drift explanation generated 2026-01-30T15:13:09.615326
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/chinese/pipeline2/analysis/chapters/drift_report_chapter13_chapter_13_spiritual_authority_vs_chapter13_chapter_13_spiritual_authority.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"13","0.6298","CRITICAL","yes","doctrinal","The original phrase 'Over Heaven and Earth' suggests a more general or poetic sense of dominion, while 'Authority over heaven and earth' implies a specific, formalized power or control, altering the theological implications of the phrase.","- Over Heaven and Earth","- Authority over heaven and earth"
"14","0.6569","CRITICAL","yes","doctrinal","The original phrase 'Over life and death' suggests a general concept of existence and mortality, while the back-translated phrase 'Authority over life and death' introduces a specific notion of power and control, altering the theological implications regarding agency and dominion.","- Over life and death","- Authority over life and death"
"15","0.6457","CRITICAL","yes","doctrinal","The original phrase 'Over sin and forgiveness' suggests a general relationship or state regarding sin and forgiveness, while the back-translated phrase 'Authority over sin and forgiveness' implies a specific power or control over these concepts, altering the theological implications.","- Over sin and forgiveness","- Authority over sin and forgiveness"
"16","0.7376","CRITICAL","yes","doctrinal","The original phrase suggests a general sense of dominion over demons and spiritual forces, while the back-translation specifies 'authority,' implying a more formal or recognized power structure, which may alter the theological implications regarding the nature of control over these entities.","- Over demons and spiritual forces","- Authority over demons and spiritual powers"
"17","0.7052","CRITICAL","yes","doctrinal","The original phrase suggests a general state of being above sickness and disease, while the back-translated version implies a specific authority or power over them, altering the theological implications regarding control and dominion.","- Over sickness and disease","- Authority over sickness and disease"
"18","0.7457","CRITICAL","yes","doctrinal","The original phrase implies a general ability or action to judge humanity, while the back-translated version introduces the concept of 'authority,' suggesting a formal or sanctioned power to judge, which alters the original's meaning.","- To judge humanity","- Authority to judge humanity"
"19","0.6131","CRITICAL","yes","doctrinal","The original phrase 'Over the Church' is more ambiguous and could imply various forms of oversight or influence, while 'Authority over the church' explicitly denotes a hierarchical power structure, suggesting a more defined and authoritative relationship.","- Over the Church","- Authority over the church"
"20","0.6722","CRITICAL","yes","doctrinal","The original phrase suggests a general relationship with creation and nature, while the back-translated version implies a specific authority over them, altering the theological implications regarding power and control.","- Over creation and nature","- Has authority over creation and nature"
"21","0.7196","CRITICAL","yes","doctrinal","The original phrase suggests a state of being over death, Hell, and the grave, while the back-translation implies an active authority over these entities. This changes the doctrinal meaning from a passive existence to an active dominion.","- Over death, Hell, and the grave","- Has authority over death, hell, and the grave"
"22","0.8978","MEDIUM","yes","intentional","The original phrase 'To empower believers' suggests a purpose or intention behind the action, while 'Empowers believers' presents it as a definitive action without the same emphasis on intent.","- To empower believers","- Empowers believers"
"23","0.8713","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply rephrasing 'over' to 'in' and 'on' without altering the overall intent or doctrinal significance.","### Authority Over Heaven and Earth","### Authority in heaven and on earth"
"43","0.8533","MEDIUM","yes","doctrinal","The original paragraph emphasizes authority over both sickness and disease, suggesting a broader scope of control, while the back-translation narrows the focus to only disease, potentially altering the theological implications regarding the nature of authority over health.","### Authority Over Sickness and Disease","### Authority over Disease"
