# Drift explanation generated 2026-01-30T02:23:27.661483
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/hindi/pipeline2/analysis/chapters/drift_report_chapter9_chapter_9_the_church_our_role_in_it_vs_chapter9_chapter_9_the_church_our_role_in_it.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"20","0.9111","MEDIUM","no","paraphrase","Both paragraphs convey the same idea of using metaphorical images to describe the church, with only slight variations in wording. The core concepts remain unchanged.","There are several core metaphorical images used to depict attributes of the church:","Several key metaphorical images are used to depict the characteristics of the Church:"
"21","0.8815","MEDIUM","yes","doctrinal","The original term 'The Body' suggests a specific theological or doctrinal context, possibly referring to the Church or the physical body of Christ, whereas the back-translation 'Body' lacks this specificity and may lose the intended doctrinal significance.","1.  The Body","1.  Body"
"22","0.8863","MEDIUM","yes","intentional","The back-translation removes the definite article 'The,' which alters the specificity and intent of the original title, suggesting a more general reference rather than a specific subject.","2.  The Bride","2.  Bride"
"23","0.908","MEDIUM","yes","doctrinal","The original paragraph refers specifically to 'The Temple,' suggesting a particular significance or context, while the back-translation simply states 'Temple,' which may lack the same doctrinal weight or specificity.","3.  The Temple","3.  Temple"
"25","0.8962","MEDIUM","yes","doctrinal","The back-translation omits the definite article 'The,' which may imply a specific group or concept in the original, potentially altering its doctrinal significance and intent.","5.  The Flock","5.  Flock"
"28","0.8578","MEDIUM","no","paraphrase","The back-translation simplifies the title by removing the article 'The,' but it does not alter the overall meaning or intent of the original text.","### The Body","### Body"
"30","0.7542","LOW","yes","intentional","The back-translation removes the article 'The,' which alters the specificity and intent of the original title, suggesting a more general reference rather than a specific subject.","### The Bride","### Bride"
"32","0.8023","LOW","yes","doctrinal","The original term 'The Temple' implies a specific religious significance and context, while the back-translated term 'Temple' lacks the same doctrinal weight and specificity, potentially altering its theological implications.","### The Temple","### Temple"
"34","0.8425","LOW","yes","doctrinal","The original term 'The Family' implies a specific and possibly doctrinal context, while the back-translated term 'Family' is more general and lacks the same specificity, potentially altering its theological significance.","### The Family","### Family"
"36","0.9111","MEDIUM","yes","intentional","The back-translation simplifies the title from 'The Flock' to 'Flock', which may alter the intent by removing the specificity and context implied in the original title.","### The Flock","### Flock"
"46","0.895","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, conveying the unity of believers through Christ's sacrifice and the significance of communion without altering the core message.","Parents sacrifice for their children because they love them, because they are part of the same body, because they share the same blood. As members of the body and family of Christ, we share the same body, we share the same blood. Communion reminds us through its symbolism that we have been joined to one another through Christ’s sacrifice. The act of communion is to be a point of unity, reminding us that we all have need of redemption, and that salvation is only from God. In this unity we see that no part of the body is greater than another except for our head, Christ.","Parents sacrifice for their children because they love them, because they are part of the same body, because they share the same blood। As members of the Body and family of Christ, we share one body, we share the same blood। The Lord’s Supper, through its symbolism, reminds us that by Christ’s sacrifice we are joined to one another। The act of the Lord’s Supper is to be a point of unity, reminding us that we all need redemption, and that salvation is only from God। In this unity we see that, apart from our head, Christ, no part of the body is greater than another।"
"51","0.8519","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, discussing the diversity of Christian denominations and the significance of church leadership rules without altering any doctrinal or logical relationships.","Across Christendom there are a wide variety of denominations, meetings, gatherings, and assemblies. There are very few universal rules to the leadership of the church, but the rules we do have are very significant:","There are many kinds of denominations, meetings, assemblies, and fellowships in the Christian world। There are very few universal rules for church leadership, but the rules we do have are extremely important:"
"58","0.8559","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that all members of the body are equal in status, with supporting scriptures to back this claim. The back-translation maintains the original intent and meaning without introducing any significant changes.","3.  There are no greater or lesser members of the body. Scriptures supporting this are:","3.  No member in the body is greater or lesser। Some verses that support this are:"
"59","0.8902","MEDIUM","no","paraphrase","The back-translation uses 'favoritism' instead of 'partiality,' but both terms convey the same concept of unfair bias based on wealth. Therefore, the overall meaning remains unchanged.","3.1.  There should be no partiality between rich and poor (James 2).","3.1.  There should be no favoritism between the rich and the poor (James 2)।"
"62","0.9113","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea that family mealtime, rooted in tradition, emphasizes nourishment and allows for personal variations in food choices. The differences in wording do not alter the overall meaning or intent.","A useful example of tradition being the foundation for structure is family dinner time. The most important part of family dinner time is that everyone gets fed and that the meal is nourishing. The variations are endless: what they eat, how they eat, how they season their food, etc. The various combinations are generally acceptable and largely a matter of taste and preference.","A useful example of structure being formed on the basis of tradition is mealtime with the family. The most important thing about family mealtimes is that everyone gets food and the food is nutritious. The variations are countless: what is eaten, how it is eaten, how the food is seasoned, etc. Different combinations are generally acceptable and are mostly a matter of taste and preference."
"64","0.8693","MEDIUM","yes","doctrinal","The original refers to 'Elders' in plural, indicating a group or collective leadership role, while the back-translation uses 'Elder' in singular, which may imply a singular authority or individual role, potentially altering the understanding of church governance.","### Elders (Overseers)","### Elder (Overseer)"
"75","0.9014","MEDIUM","yes","doctrinal","The original refers to 'Deacons' in plural, indicating a group or office within a church, while the back-translation refers to 'Deacon' in singular, which could imply a focus on an individual rather than the collective role, potentially altering the understanding of church hierarchy and function.","### Deacons (Servants)","### Deacon (Servant)"
"84","0.9148","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same core message as the original, simply using different wording. Both emphasize the testing of deacons for faithfulness before their official appointment.","- **Confirmed in Service** - Deacons were first tested to prove their faithfulness before being officially appointed (<span class=""x-scripture"" data-book=""1TI"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Timothy 3:10</span>).","- **Proven in service** - Before official appointment, deacons were first tested to prove their faithfulness (<span class=""x-scripture"" data-book=""1TI"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Timothy 3:10</span>)."
"94","0.8598","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply using a slightly different phrasing without altering any doctrinal, logical, or intentional aspects.","### Church at Jerusalem","### The church in Jerusalem"
"96","0.8745","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply using a different phrasing without altering the intent or doctrinal significance.","### Church at Antioch","### The church in Antioch"
"105","0.9159","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, simply rephrasing it without altering any doctrinal, logical, or intentional aspects.","The five gifts given to equip the saints for the work of the ministry are:","Five gifts that are given to equip the saints for the work of ministry:"
"111","0.9179","MEDIUM","yes","doctrinal","The original paragraph emphasizes the contrast between leadership qualities and the act of gifting, suggesting a deeper exploration of their roles in a specific context. The back-translation simplifies the terms to 'Leadership vs. Gifts,' which may imply a more superficial comparison without the same doctrinal nuance.","## Leadership Versus Gifting","## Leadership vs. Gifts"
"119","0.9184","MEDIUM","no","paraphrase","The back-translation maintains the same core ideas and intent as the original, simply using different wording without altering the doctrinal or logical relationships.","So far in this chapter we’ve covered the leadership of the church and the core analogies for the church. Let’s build upon the specific analogy of *the body* and consider a marathon runner.","Up to now in this chapter we have covered the leadership of the church and the main metaphors for the church. Let us move forward with the specific metaphor of the *body* by considering a marathon runner."
"134","0.8341","LOW","yes","intentional","The original title emphasizes the process of finding one's place or role, suggesting a journey or exploration, while the back-translated title is more static and simply states 'where you fit,' which may imply a predetermined position without the same sense of discovery.","### Finding Where You Fit","### Where you fit"
"168","0.9104","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, simply using different wording without altering the intent or doctrinal implications.","- Observe where God works through you and where you feel most effective.","- Pay attention to where God works through you and where you feel most effective."
"184","0.9094","MEDIUM","yes","doctrinal","The term 'called-out one' implies a specific theological concept often associated with being chosen or set apart, while 'called person' is more generic and may lack the same doctrinal significance. This change alters the depth of meaning related to identity in a spiritual context.","1.  What does it mean to you personally to be a “called-out one”? How can you live out this identity in your daily life?","1.  What does it mean to you personally to be a “called person”? How can you live out this identity in your daily life?"
