# Drift report generated 2026-01-30T02:02:03.599650
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter4_chapter_4_jesus_the_messiah.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/french/pipeline2/backtranslation/chapters/chapter4_chapter_4_jesus_the_messiah.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9806","HIGH","Building on our study of sin, we concluded that sin exacts a serious price, against those whom sin is committed and must be restored, and for those who commit sin and must make restitution. The price of sin must be paid. In the Old Testament God established a series of sacrifices performed by priests, individuals, and communities to deal with, resolve, and adjudicate sin.","Building on our study of sin, we concluded that sin requires a serious price, against those against whom the sin is committed and who must be restored, and for those who commit the sin and must make restitution. The price of sin must be paid. In the Old Testament, God established a series of sacrifices carried out by priests, individuals, and communities to deal with, resolve, and judge sin."
"2","0.9632","HIGH","Even with all the sacrifices for sin, they still weren’t enough-not because God failed, but because people continued to choose sin. While animal sacrifice could provide limited atonement, no amount of animal sacrifice was able to change the sinful nature of men.","Even with all the sacrifices for sin, they were still not sufficient-not because God failed, but because people kept choosing sin. If the sacrifice of animals could offer limited atonement, no amount of animal sacrifices was able to change the sinful nature of men."
"3","0.9977","HIGH","God had a wonderful plan, the <u>Messiah</u> (in Hebrew ***Mashiach,*** pronounced *Mah-shee-ahkh -* **H4899**) also known as the <u>Christ</u> (in Greek ***Christos,*** pronounced *Khris-tos* - **G5547**) meaning “Anointed one""; someone consecrated for a special role (e.g., king, priest, or deliverer).","God had a wonderful plan, the <u>Messiah</u> (in Hebrew ***Mashiach,*** pronounced *Mah-shee-ahkh -* **H4899**) also known as <u>Christ</u> (in Greek ***Christos,*** pronounced *Khris-tos* - **G5547**) meaning “The Anointed""; someone consecrated for a special role (e.g., king, priest, or deliverer)."
"4","0.9548","HIGH","To understand who Jesus is, it helps to look at what people in His time were hoping the Messiah would be. These expectations shaped how they viewed Jesus and, in many cases, why they struggled to recognize Him as the fulfillment of God’s plan.","To understand who Jesus is, it is helpful to examine what the people of his time expected of the Messiah. These expectations shaped the way they saw Jesus and, in many cases, the reason why they struggled to recognize him as the fulfillment of God’s plan."
"5","1.0","HIGH","## Historical Context","## Historical Context"
"6","0.99","HIGH","The Jewish people had long awaited a coming Messiah. Jewish beliefs about the Messiah during the time just before Jesus were shaped by Old Testament prophecies, the interpretations of which were diverse and not universally agreed upon. Most Jews expected the Messiah to be a political and military leader who would deliver Israel from foreign oppression (primarily Roman rule) and restore the Davidic kingdom. Here’s an overview of common Messianic expectations and how they aligned (or did not align) with biblical prophecy:","The Jewish people had long awaited the coming of a Messiah. Jewish beliefs about the Messiah in the period just before Jesus were shaped by Old Testament prophecies, whose interpretations were diverse and not universally accepted. Most Jews expected the Messiah to be a political and military leader who would deliver Israel from foreign oppression (primarily Roman rule) and restore the Davidic kingdom. Here is an overview of common messianic expectations and how they aligned (or not) with biblical prophecy:"
"7","0.9725","HIGH","### Common Jewish Expectations of the Messiah Before Jesus","### Common Jewish expectations concerning the Messiah before Jesus"
"8","0.972","HIGH","### **1. A Political and Military Deliverer**","### **1. A political and military deliverer**"
"9","0.9734","HIGH","- **Belief:** The Messiah would be a king like David, leading Israel in a victorious revolt against foreign powers and restoring Israel's independence.","- **Belief :** The Messiah would be a king like David, leading Israel in a victorious revolt against foreign powers and restoring Israel’s independence."
"10","0.9811","HIGH","- **Scriptures Referenced:** <span class=""x-scripture"" data-book=""ISA"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""6-7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Isaiah 9:6-7</span>, <span class=""x-scripture"" data-book=""JER"" data-chapter=""23"" data-lang=""en"" data-type=""ref"" data-verses=""5-6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Jeremiah 23:5-6</span>, <span class=""x-scripture"" data-book=""ZEC"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""9-10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Zechariah 9:9-10</span>.","- **Scriptures cited :** <span class=""x-scripture"" data-book=""ISA"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""6-7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Isaiah 9:6-7</span>, <span class=""x-scripture"" data-book=""JER"" data-chapter=""23"" data-lang=""en"" data-type=""ref"" data-verses=""5-6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Jeremiah 23:5-6</span>, <span class=""x-scripture"" data-book=""ZEC"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""9-10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Zechariah 9:9-10</span>."
