# Drift report generated 2026-01-30T02:17:54.714483
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter0_6_preface.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/hindi/pipeline2/backtranslation/chapters/chapter0_6_preface.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9492","HIGH","## Building a Foundation that Lasts","## Building a Lasting Foundation"
"2","0.9682","HIGH","I have always had a fascination with questions. Why is *something* true? What made it that way? How do we know? How are we sure? If *something* is true, what else is true? What is false? This fascination goes beyond a desire to be correct on a surface level, but to know deeply and precisely, and to be able to clearly articulate the new gained understanding.","I have always been fascinated by questions. Why is *something* true? How did it come to be so? How do we know? How can we be certain? If *something* is true, what else is true? What is false? This fascination goes beyond a surface-level desire merely to be right; it reaches to a desire to know with depth and precision, and to clearly express the new understanding that has been gained."
"3","0.9367","HIGH","While communication is common, effective and precise communication is challenging. To effectively communicate a message the author and originator must have an idea. However, the idea alone like water on a hard surface-its edges and boundaries are poorly defined, fluid, and easily moved around.","Though communication is common, effective and precise communication is challenging. To communicate a message effectively, the author and proponent must have an idea. But a lone idea is like water on a hard surface—its edges and boundaries are vague, fluid, and easily displaced."
"4","0.989","HIGH","We use words, terms, and phrases to transform the raw idea from vaguely shaped to precisely shaped. Words give our idea a boundary, they help us distinguish and separate between what the idea is, and what it is not. Now our shaped idea must be transmitted and received through some medium. Whether in long form text, like this book, or short form text, like a social media post, or in oral form, like a conversation or a video recording, the medium transmits the now well-formed idea to the recipient.","We use words, terms, and phrases to transform the raw idea from a hazy shape into a precise one. Words give our idea a boundary; they help us distinguish and separate what the idea is and what it is not. Now our shaped idea must be transmitted and received through some medium. Whether long-form text, like this book, or short-form text, like a social media post, or an oral form, like a conversation or a video recording, the medium carries that now well-developed idea to the recipient."
"5","0.9145","MEDIUM","So far, we’ve only discussed the originator and author of the idea. For an idea to be useful, the recipient must receive, decode, and understand the message accurately. The transmitted and received messages should align closely.","Thus far, we have spoken only of the proponent and author of the idea. For an idea to be useful, the recipient must correctly receive, decode, and understand the message. The transmitted and received messages should closely match one another."
"6","0.956","HIGH","Every great human work is the by-product of effective communication. One man’s labor can only accomplish so much. To really build or perform something great, many men (speaking here generically of mankind) must labor together in a shared purpose, with a shared idea. Barring naturally occurring disasters (like a volcanic eruption) we also know that the greatest calamities to ever occur usually did so in significant part because of missing, broken or distorted communication. Truly life and death are in the power of the tongue (<span class=""x-scripture"" data-book=""PRO"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""21"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Proverbs 18:21</span>).","Every great human achievement is a byproduct of effective communication. The labor of one person can yield only limited fruit. To truly build or accomplish something great, many humans (speaking generally of humankind here) must labor together with a shared purpose and a shared idea. Apart from naturally occurring disasters (such as a volcanic eruption), we also know that the greatest catastrophes that have occurred so far have often happened largely because communication was absent, broken, or distorted. Truly, life and death are in the power of the tongue (<span class=""x-scripture"" data-book=""PRO"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""21"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Proverbs 18:21</span>)."
"7","0.9934","HIGH","What we believe and how we communicate it has the power to build a person, a family, a community, a nation, or has the power to equally destroy them. What we believe is the foundation for our actions and is the blueprint for what we will do, who we will be, how we will exist. Because belief is expressed through action and communication, it defines the role we play in existence. Our beliefs shape not just our lives, but to a degree the lives of everyone around us.","What we believe and how we communicate it has the power to build a person, a family, a community, a nation—or to destroy them with equal force. What we believe is the foundation of our actions and the blueprint for what we will do, who we will be, how we will exist. Because belief is expressed through action and communication, it defines the role we play in existence. Our beliefs shape not only our own lives but, to a degree, the lives of everyone around us."
"8","0.945","HIGH","We must establish our beliefs accurately and learn to share them effectively. Jesus said as much when he said to His disciples:","We must properly establish our beliefs and also learn to share them effectively. Jesus said the same to His disciples when He said:"
"9","1.0","HIGH","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""fragment"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""fragment"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"10","0.9954","HIGH","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.\\n>\\n> Go therefore and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all things that I have commanded you; and lo, I am with you always, even to the end of the age."" Amen.\\n>","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> And Jesus came and said to them, ""All authority in heaven and on earth has been given to Me.\\n>\\n> Go therefore and make disciples of all nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all things that I have commanded you; and behold, I am with you always, to the end of the age."" Amen.\\n>"
