# Drift report generated 2026-01-30T02:02:47.384235
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter8_chapter_8_holy_spirit_comforter_guide_and_power.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/french/pipeline2/backtranslation/chapters/chapter8_chapter_8_holy_spirit_comforter_guide_and_power.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9921","HIGH","The Holy Spirit is not a new spirit but is of God and has been with God since the very beginning. In <span class=""x-scripture"" data-book=""GEN"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Genesis 1:2</span> the Spirit of God is hovering on the waters during creation. In <span class=""x-scripture"" data-book=""NEH"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Nehemiah 9:20</span>, the scriptures say that it was the Spirit who instructed the people in the wilderness. It was by this same Holy Spirit that God anointed the kings, judges, and prophets in the Old Testament. In <span class=""x-scripture"" data-book=""JOL"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""28-29"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Joel 2:28-29</span> the Spirit is promised to be poured out on all mankind. It was by this same Holy Spirit that God raised Jesus from the dead, and now dwells in us (<span class=""x-scripture"" data-book=""ROM"" data-chapter=""8"" data-lang=""en"" data-type=""ref"" data-verses=""11"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Romans 8:11</span>). There is only one Holy Spirit, and He has always been the same. How He works with people has looked different at different times, but His heart has never changed.","The Holy Spirit is not a new spirit but He is of God and has been with God since the very beginning. In <span class=""x-scripture"" data-book=""GEN"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Genesis 1:2</span> the Spirit of God hovers over the waters during creation. In <span class=""x-scripture"" data-book=""NEH"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Nehemiah 9:20</span>, the Scriptures say that it was the Spirit who instructed the people in the wilderness. It is by this same Holy Spirit that God anointed the kings, the judges, and the prophets in the Old Testament. In <span class=""x-scripture"" data-book=""JOL"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""28-29"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Joel 2:28-29</span> it is promised that the Spirit will be poured out on all humanity. It is by this same Holy Spirit that God raised Jesus from the dead, and He now lives in us (<span class=""x-scripture"" data-book=""ROM"" data-chapter=""8"" data-lang=""en"" data-type=""ref"" data-verses=""11"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Romans 8:11</span>). There is only one Holy Spirit, and He has always been the same. The way He works with people has seemed different at different times, but His heart has never changed."
"2","1.0","HIGH","Jesus gave His disciples, and all of us, the powerful promise of the Holy Spirit.","Jesus gave His disciples, and all of us, the powerful promise of the Holy Spirit."
"3","0.9988","HIGH","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""quote"" data-verses=""16-18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""quote"" data-verses=""16-18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"4","0.9415","HIGH","> **<u>John 14:16-18</u>** (NKJV)\\n>\\n> And I will pray the Father, and He will give you another Helper, that He may abide with you forever—\\n>\\n> the Spirit of truth, whom the world cannot receive, because it neither sees Him nor knows Him; but you know Him, for He dwells with you and will be in you.\\n>\\n> I will not leave you orphans; I will come to you.\\n>","> **<u>John 14:16-18</u>** (NKJV)\\n>\\n> And I will pray the Father, and He will give you another Helper, that He may abide with you forever—\\n>\\n> the Spirit of truth, whom the world cannot receive, because it neither sees Him nor knows Him"
"20","0.9721","HIGH","The disciples were to wait for the promise of the Spirit poured out, and that this was to empower them to be witnesses to the ends of the earth. The Holy Spirit is integral to God’s plan for humanity, and is essential to us as believers, for completing our mission, and to the world.","The disciples were to wait for the promise of the poured-out Spirit, and that this would enable them to be witnesses to the ends of the earth. The Holy Spirit is an integral part of God’s plan for humanity, and is essential for us as believers, for carrying out our mission, and for the world."
"21","1.0","HIGH","## Getting to Know the Holy Spirit","## Getting to Know the Holy Spirit"
"22","0.9717","HIGH","The Holy Spirit is first and foremost, from and of God. The scriptures refer to the Spirit as the Spirit of God, or the Spirit of the Lord, or the Spirit of Christ, while these highlight different aspects, they are all one in the same. The Holy Spirit, being fully God, is also eternal and is holy (blameless, innocent, pure, not profane). Some translations refer to the Holy Spirit as the Holy Ghost.","The Holy Spirit is, first and foremost, of God and from God. The Scriptures refer to the Spirit as the Spirit of God, or the Spirit of the Lord, or the Spirit of Christ; although these expressions highlight different aspects, they designate one and the same reality. The Holy Spirit, being fully God, is also eternal and is holy (blameless, innocent, pure, not profane). Some translations refer to the Holy Spirit as the Holy Ghost."
"23","0.9864","HIGH","The word spirit in Greek is **Pneuma** (**NYOO-mah** - **G4151**), it means breath, or wind. The Hebrew word for spirit means the same. Breath is significant as we need it in constant supply to live. It was God's breath that He blew into Adam to bring Him to life, likewise it was Jesus' breath that He breathed last before He died on the cross. Without breath there is no life. Breath like wind can be felt and experienced but are not as easily observed as other ‘elements’ water, fire, earth.","The word for spirit in Greek is **Pneuma** (**NYOO-mah** - **G4151**); it means breath, or wind. The Hebrew word for spirit means the same thing. Breath is significant because we need it constantly to live. It was the breath of God that He breathed into Adam to make him live; likewise, it was Jesus’ breath that He exhaled last before dying on the cross. Without breath there is no life. Breath, like the wind, can be felt and experienced but is not as easily observable as other 'elements' water, fire, earth."
"24","0.9485","HIGH","There are several other core adjectives to describe the Holy Spirit. Each of these adjectives are used in conjunction with ‘the Spirit of’, meaning that these properties are vital to the definition of the Spirit. Example, the *Spirit of Truth* or the *Spirit of Life*.","There are several other foundational adjectives to describe the Holy Spirit. Each of these adjectives is used in conjunction with 'the Spirit of', which means these properties are vital to the definition of the Spirit. For example, the Spirit of truth or the Spirit of life."
"25","1.0","HIGH","The Spirit of:","The Spirit of:"
