# Drift report generated 2026-01-30T02:01:55.189229
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter3_chapter_3_sin_and_redemption.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/french/pipeline2/backtranslation/chapters/chapter3_chapter_3_sin_and_redemption.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9802","HIGH","Scripture tells us many stories about sin-its causes, its consequences, and how God responds to it. To sin is to fall short of God’s standard, or ‘miss the mark,’ a term from archery describing an archer’s failure to hit the target.","The Scriptures tell us many stories about sin-its causes, its consequences, and how God responds to it. To sin is to fall short of God's standard, or ‘miss the mark,’ an archery term describing an archer's failure to hit the target."
"2","0.9792","HIGH","Both Old and New Testaments use various terms for sin, each highlighting aspects like its type, severity, intent, victim, nature, and required punishment. There are several broad categorizations that the scriptures use to describe sin:","The Old and New Testaments use various terms for sin, each highlighting aspects like its type, its severity, intent, the victim, its nature, and the required punishment. There are several major categorizations that the Scriptures use to describe sin:"
"3","0.9739","HIGH","- Sin against God, sin against man, sin against self","- Sin against God, sin against man, sin against oneself"
"4","1.0","HIGH","- Intentional sin, unintentional sin","- Intentional sin, unintentional sin"
"5","0.8248","LOW","- Sin of a single moment, sin habitually committed","- One-time sin, habitually committed sin"
"6","0.9897","HIGH","- Sin requiring severe punishment like death, sin requiring financial restitution","- Sin requiring a severe punishment such as death, sin requiring financial restitution"
"7","0.9878","HIGH","In our modern criminal justice systems, we have similar distinctions: degrees of crime, premeditated or crimes of passion, crimes requiring financial restitution, or incarceration, or even capital punishment. An act might be both a crime and a sin, but crime is man's categorization, sin is God’s.","In our modern criminal justice systems, we make similar distinctions: degrees of criminality, premeditated crimes or crimes of passion, crimes requiring financial restitution, or incarceration, or even capital punishment. An act can be both a crime and a sin, but crime is man's categorization, sin is God's."
"8","0.9732","HIGH","The various Greek and Hebrew words for sin have a high level of overlap. All sin is broadly described under the umbrella term ‘missing the mark’, ***Hamartia*** in Greek, and ***Chata’*** in Hebrew. This umbrella term is used for the most severe sins, adultery, murder, but also less severe sins, like showing partiality to wealthy people in our church gatherings (<span class=""x-scripture"" data-book=""JAS"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">James 2:9</span>).","The various Greek and Hebrew words for sin show a strong overlap. All sin is generally described under the generic term ‘miss the mark,’ ***Hamartia*** in Greek, and ***Chata’*** in Hebrew. This generic term is used for the most serious sins, adultery, murder, but also for less serious sins, such as showing favoritism toward rich people in our Church assemblies (<span class=""x-scripture"" data-book=""JAS"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">James 2:9</span>)."
"9","0.9908","HIGH","Here are some words the Scriptures use for sin. They help us understand how serious sin is-and how deeply we need God's grace.","Here are some words that the Scriptures use for sin. They help us understand how serious sin is-and how deeply we are in need of God's grace."
"10","0.9996","HIGH","[See Table 2](../tables/table2.md)","[See Table 2](../tables/table2.md)"
